,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,-0.109,-0.137,-0.234,-0.132,-0.048,-0.276,-0.007,-0.405,-0.295,-0.215,-0.018,-0.415,-0.099,-0.222,-0.366,-0.209,-0.017,-0.493,-0.344,-0.283,-0.476,-0.055,-0.693,-0.374,-0.091,-0.168,-0.011,-0.096,-0.158
ctx-lh-CT1_2_fro_inf,,,0.033,-0.236,-0.02,-0.152,-0.179,0.063,-0.295,-0.317,0.044,-0.237,-0.416,-0.166,-0.297,-0.34,-0.115,-0.096,-0.256,-0.194,-0.128,-0.159,-0.057,-0.297,-0.296,0.036,-0.215,-0.337,-0.147,-0.286
ctx-lh-CT1_2_mof,,,,-0.127,-0.039,-0.16,0.01,-0.01,0.032,-0.264,-0.185,-0.05,-0.354,0.099,-0.097,-0.227,-0.083,-0.02,-0.123,-0.126,-0.091,-0.008,0.014,0.061,-0.262,-0.037,-0.075,-0.194,0.021,-0.048
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.197,-0.036,-0.362,-0.036,-0.407,-0.328,-0.269,-0.109,-0.356,-0.167,-0.316,-0.377,-0.33,-0.112,-0.354,-0.332,-0.171,-0.53,0.074,-0.733,-0.442,-0.235,-0.203,-0.047,-0.191,-0.254
ctx-lh-CT1_2_temp,,,,,,-0.154,-0.095,-0.06,0.01,-0.312,-0.058,-0.028,-0.133,-0.232,-0.193,-0.188,-0.222,-0.063,-0.113,-0.091,-0.16,-0.035,-0.019,-0.039,-0.255,-0.057,0.053,-0.139,-0.18,-0.084
ctx-lh-CT2_fro,,,,,,,-0.026,0.016,-0.021,-0.13,-0.038,0.016,-0.144,0.013,-0.031,-0.107,-0.242,0.059,-0.013,-0.198,0.092,0.036,0.1,-0.076,-0.098,-0.143,0.091,0.115,0.013,0.093
ctx-lh-CT2_par,,,,,,,,-0.028,-0.299,-0.319,0.073,-0.148,-0.264,0.193,-0.23,-0.305,-0.102,0.107,-0.412,-0.085,-0.077,0.069,-0.065,-0.297,-0.499,0.028,-0.259,-0.179,0.272,-0.193
ctx-lh-CT3_fro,,,,,,,,,-0.055,-0.08,0.153,0.037,-0.081,-0.063,-0.089,-0.246,-0.238,-0.089,-0.067,-0.215,-0.066,-0.099,-0.154,-0.14,-0.188,0.035,0.071,0.101,-0.038,0.056
ctx-lh-CT3_par,,,,,,,,,,-0.217,-0.095,-0.244,-0.128,-0.302,-0.195,-0.365,-0.284,-0.192,-0.379,-0.18,-0.123,-0.395,-0.016,-0.306,-0.322,-0.126,-0.306,-0.092,0.025,-0.114
ctx-lh-CT4_occ,,,,,,,,,,,-0.233,-0.384,-0.185,-0.457,-0.091,-0.298,-0.402,-0.091,-0.418,-0.444,-0.23,-0.307,-0.007,-0.276,-0.26,-0.103,-0.344,-0.199,-0.281,-0.034
