,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FH,,,,,,,,,,,,-0.001,-0.098,-0.09,0.078,0.099,-0.065,-0.049,-0.001,-0.05,0.039,-0.026,-0.052,0.038,0.032,0.109,0.071,0.089,0.011,0.055,-0.027,0.027,0.017,-0.046,0.094,0.064,-0.013,-0.05,-0.12,0.024,0.016,0.016,-0.023,-0.071,-0.013,0.024,0.021,0.022,-0.086,0.082,-0.039,-0.08,0.091,0.013,0.061,-0.04,0.06,-0.044,-0.05,0.069,-0.044,-0.052,0.044,0.042,-0.108,-0.1,-0.012,0.007,0.058,0.057,-0.013,-0.125,-0.076,-0.136,-0.096,-0.028,-0.042,-0.042,0.022,0.068,0.045,0.022,-0.017,-0.096,-0.025,0.05
ctx-lh-FJK,,,,,,,,,,,,,0.031,-0.045,0.022,0.193,-0.013,0.061,0.033,-0.071,-0.049,-0.086,-0.105,-0.076,-0.168,0.029,-0.127,-0.139,0.036,0.103,0.119,0.117,-0.005,0.099,0.067,0.165,-0.01,0.124,-0.128,-0.081,0.14,0.247,-0.04,0.134,0.08,-0.171,-0.094,-0.123,-0.092,-0.224,-0.177,-0.202,0.013,-0.124,-0.022,-0.046,-0.16,0.019,0.022,-0.014,0.17,-0.068,-0.153,-0.151,-0.081,-0.215,-0.147,-0.148,0.062,0.011,-0.108,0.099,0.07,0.088,0.075,0.006,0.041,-0.073,0.059,0.134,0.128,-0.012,0.141,-0.043,0.178,-0.068
ctx-lh-FLMN,,,,,,,,,,,,,,0.005,0.098,-0.024,0.078,0.027,0.07,-0.003,-0.036,-0.063,-0.044,-0.071,-0.014,0.115,0.153,0.111,0.03,0.102,-0.029,0.019,-0.059,0.06,0.011,0.074,-0.083,-0.099,-0.03,0.036,-0.033,0.007,0.076,-0.044,0.016,0.008,0.033,0.007,-0.179,0.026,-0.052,-0.161,0.028,-0.015,0.057,0.055,0.009,-0.019,-0.105,0.096,0.079,-0.054,-0.005,-0.046,-0.088,-0.046,-0.087,-0.074,0.154,0.12,0.071,-0.086,-0.005,-0.119,-0.026,-0.07,0.089,-0.022,0.11,0.059,-0.053,-0.048,-0.009,-0.1,-0.023,0.072
ctx-lh-HA,,,,,,,,,,,,,,,-0.09,-0.047,0.016,-0.032,-0.119,-0.098,-0.03,-0.041,-0.062,0.116,-0.085,0.01,-0.009,-0.057,0.073,0.156,0.157,0.062,-0.063,0.038,-0.025,0.052,0.069,-0.104,-0.026,0.077,-0.006,0.059,0.009,0.145,-0.005,-0.005,-0.044,-0.027,-0.122,0.015,-0.108,-0.094,-0.023,-0.016,-0.064,-0.041,-0.1,-0.051,-0.002,-0.082,-0.015,-0.066,0.023,-0.02,0.058,-0.126,0.065,-0.003,0.008,-0.049,-0.023,0.019,0.089,0.103,-0.034,-0.053,0.053,-0.056,0.044,0.038,0.147,-0.082,0.158,-0.023,0.123,0.017
ctx-lh-HB,,,,,,,,,,,,,,,,0.009,0.011,0.045,-0.019,0.017,0.063,0.031,-0.147,0.045,0.041,-0.08,-0.071,-0.048,0.056,0.104,0.095,0.021,-0.161,-0.075,0.007,-0.159,0.059,0.009,-0.068,-0.045,0.109,0.072,0.11,0.025,-0.041,0.028,0.068,0.025,0.017,-0.002,0.003,-0.02,0.008,0.039,0.062,0.012,0.03,0.297,0.087,-0.102,0.138,-0.057,0.007,-0.042,0.084,-0.155,0.122,-0.042,-0.103,-0.083,-0.035,-0.059,0.032,0.003,-0.016,-0.129,-0.097,-0.015,-0.111,0.04,0.112,0.067,0.131,-0.021,0.141,-0.01
ctx-lh-HC,,,,,,,,,,,,,,,,,-0.014,-0.086,-0.052,-0.007,0.07,-0.019,-0.005,0.105,-0.019,0.003,-0.004,0.059,-0.021,-0.065,-0.067,-0.115,-0.061,-0.161,-0.066,-0.016,-0.085,-0.036,0.028,0.009,-0.081,-0.024,0.021,-0.083,0.036,0.231,0.1,0.156,0.062,0.116,0.076,0.176,0.121,0.115,-0.006,0.049,-0.014,0.014,-0.045,-0.019,-0.041,-0.017,0.131,0.068,0.024,-0.027,-0.074,-0.031,0.002,0.021,0.037,-0.116,-0.107,-0.098,-0.131,-0.033,-0.024,0.009,0.01,0.058,0.049,0.077,-0.056,0.037,-0.041,0.021
ctx-lh-IA,,,,,,,,,,,,,,,,,,-0.032,-0.037,-0.048,-0.129,-0.095,0.028,-0.102,-0.115,-0.038,-0.061,-0.164,0.043,0.06,0.109,0.054,0.037,0.057,-0.024,0.137,0.105,-0.065,-0.1,-0.197,0.03,0.171,-0.044,0.084,0.041,-0.101,-0.005,-0.114,0.171,-0.113,-0.011,0.028,-0.116,-0.09,0.039,-0.007,-0.149,-0.02,0.054,0.09,0.029,0.035,-0.047,-0.269,0.009,-0.024,-0.094,-0.143,-0.042,-0.043,-0.108,0.18,0.109,0.152,0.165,0.041,-0.049,-0.11,0.003,0.083,-0.024,0.104,-0.087,-0.004,0.109,-0.008
ctx-lh-IB,,,,,,,,,,,,,,,,,,,-0.086,-0.087,-0.172,-0.12,-0.032,-0.135,-0.195,-0.003,-0.017,-0.105,-0.033,0.026,0.172,0.019,-0.029,0.102,-0.068,0.208,0.11,0.084,-0.067,-0.157,0.093,0.215,-0.014,0.167,0.033,-0.184,0.125,-0.192,0.08,-0.008,-0.102,-0.012,-0.003,-0.106,0.049,-0.0,-0.205,-0.026,-0.085,0.024,0.054,-0.1,-0.12,-0.247,-0.06,-0.029,-0.134,-0.226,-0.043,-0.072,-0.028,0.176,0.079,0.213,0.032,-0.027,0.123,-0.109,0.107,0.067,-0.035,0.071,-0.004,0.062,0.036,-0.043
ctx-lh-LA1,,,,,,,,,,,,,,,,,,,,-0.066,-0.043,-0.008,-0.044,-0.079,-0.131,0.076,0.002,-0.129,0.084,0.042,0.186,0.072,0.09,0.107,0.012,0.289,0.02,0.001,-0.136,-0.146,0.025,0.18,0.005,0.091,0.006,-0.205,-0.022,-0.153,0.023,-0.024,-0.053,0.049,0.0,-0.089,-0.087,-0.093,-0.145,-0.104,0.011,0.002,-0.078,0.016,-0.091,-0.169,-0.045,0.025,-0.112,-0.129,0.038,-0.02,-0.095,0.129,0.117,0.109,0.036,0.032,0.129,-0.092,0.153,0.063,-0.031,0.029,-0.045,0.038,0.063,0.032
ctx-lh-LA2,,,,,,,,,,,,,,,,,,,,,0.034,0.033,0.012,0.054,-0.046,0.146,0.056,-0.079,0.141,0.137,0.13,0.108,0.094,0.134,0.067,0.302,0.085,0.056,-0.066,-0.031,0.094,0.135,-0.052,0.068,-0.019,-0.166,-0.094,-0.075,0.019,-0.097,-0.141,-0.069,-0.096,-0.118,-0.168,-0.181,-0.059,-0.069,-0.002,-0.078,-0.012,0.05,0.009,-0.102,-0.037,0.035,-0.07,-0.069,0.126,0.039,-0.094,0.084,0.087,0.001,0.042,0.022,0.111,-0.073,0.198,0.157,0.118,0.05,0.043,0.072,0.078,-0.018
