,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.305,-0.285,-0.289,0.081,0.043,0.041,0.017,0.088,-0.057,0.148,0.061,0.149,-0.023,-0.022,-0.082,-0.117,-0.119,-0.178,0.13,0.025,-0.145,-0.12,-0.011,0.049,0.047,0.011,0.118,-0.023,-0.043,-0.029,-0.098,0.207,-0.015,-0.121,0.172,0.064,0.098,0.028,-0.276,-0.252,-0.262,-0.19,0.101,0.051,0.114,0.077,0.083,-0.085,0.044,-0.007,0.115,-0.052,-0.066,-0.121,-0.213,-0.088,-0.128,0.105,-0.016,-0.12,-0.057,-0.115,0.066,0.085,0.04,-0.042,-0.099,-0.108,-0.107,-0.07,0.193,-0.098,-0.107,0.309,0.132,0.132,-0.035
ctx-lh-BA2,,,-0.131,-0.163,-0.001,0.025,-0.006,-0.034,0.008,-0.033,0.215,0.073,0.15,-0.019,0.0,-0.069,-0.174,-0.074,-0.185,0.095,-0.06,-0.175,-0.11,-0.074,-0.035,0.028,0.02,0.148,0.022,-0.037,-0.046,-0.072,0.136,-0.059,-0.05,0.185,0.148,0.077,0.036,-0.256,-0.249,-0.109,-0.124,0.014,-0.028,0.042,0.049,0.054,-0.101,0.091,-0.017,0.15,-0.011,-0.089,-0.107,-0.159,0.005,-0.127,0.155,-0.082,-0.139,-0.024,-0.078,0.049,0.099,0.084,0.052,-0.032,-0.128,-0.057,-0.095,0.095,-0.136,-0.028,0.25,0.194,0.135,0.019
ctx-lh-BA4,,,,-0.169,-0.022,0.081,-0.058,-0.022,0.072,-0.031,0.14,0.025,0.134,-0.006,0.011,-0.049,-0.129,-0.123,-0.176,0.074,-0.069,-0.157,-0.193,-0.121,0.032,0.018,0.05,0.002,0.054,-0.006,-0.028,-0.061,0.151,-0.102,-0.128,0.131,0.054,0.037,0.03,-0.32,-0.089,-0.229,-0.092,0.07,0.08,0.012,0.018,0.15,-0.037,0.027,-0.069,0.094,-0.041,-0.09,-0.104,-0.215,-0.1,-0.106,0.135,-0.1,-0.143,-0.135,-0.145,0.069,0.141,0.137,0.052,-0.051,-0.082,-0.026,-0.04,0.177,-0.186,-0.099,0.281,0.079,0.108,0.008
ctx-lh-BA5,,,,,-0.045,0.055,0.009,0.061,0.136,-0.021,0.16,-0.031,0.125,-0.015,-0.026,-0.065,-0.136,-0.159,-0.147,0.026,-0.004,-0.126,-0.21,-0.042,-0.067,-0.023,0.066,0.042,-0.012,-0.065,-0.08,-0.004,0.14,-0.185,-0.201,0.13,0.108,0.132,0.036,-0.254,-0.16,-0.272,-0.218,0.002,0.02,0.004,0.111,0.105,-0.137,0.023,-0.102,0.103,-0.075,-0.103,-0.062,-0.073,-0.119,-0.08,-0.01,-0.034,-0.146,-0.065,-0.104,0.052,0.074,0.083,-0.041,-0.072,-0.13,0.016,0.049,0.133,-0.225,-0.172,0.232,0.066,0.139,-0.006
ctx-lh-BA6,,,,,,-0.053,-0.033,-0.022,0.132,-0.022,-0.069,-0.054,0.055,-0.003,0.023,-0.003,0.018,0.054,-0.041,0.095,-0.076,-0.023,-0.004,0.003,0.039,-0.001,0.003,0.031,-0.023,0.018,0.009,-0.017,-0.079,-0.071,-0.014,0.021,-0.05,-0.03,0.007,0.003,0.043,-0.011,-0.072,-0.12,-0.035,-0.071,0.003,0.107,0.063,-0.089,-0.148,0.072,0.018,0.007,0.014,-0.111,-0.03,0.016,0.069,-0.127,0.005,-0.035,-0.082,0.022,0.041,0.015,-0.028,0.063,-0.031,-0.04,-0.016,-0.063,-0.074,0.078,-0.046,-0.076,-0.126,-0.095
ctx-lh-BA7,,,,,,,-0.061,0.01,0.001,0.013,0.05,0.14,0.013,-0.006,0.011,-0.08,-0.017,0.171,-0.064,0.067,0.051,-0.026,-0.087,-0.058,0.064,0.039,-0.034,-0.035,-0.062,-0.041,0.039,-0.052,0.064,0.073,0.087,0.025,0.058,0.019,-0.036,0.078,-0.066,0.039,0.064,0.016,-0.07,-0.098,-0.019,-0.003,0.034,0.092,0.094,0.035,-0.036,-0.015,-0.011,0.059,0.198,-0.008,0.07,-0.131,-0.016,-0.108,-0.102,0.06,0.055,-0.024,-0.019,-0.003,-0.026,-0.016,-0.058,0.103,0.01,0.041,0.069,0.076,-0.0,-0.056
ctx-lh-BA8,,,,,,,,-0.044,0.032,0.014,-0.064,-0.009,-0.049,0.093,0.076,-0.034,-0.038,0.05,0.139,0.058,0.052,0.081,0.126,0.194,0.059,0.069,0.063,-0.004,0.034,0.048,-0.048,0.029,-0.08,-0.016,0.021,0.01,-0.043,-0.025,-0.006,0.016,0.06,0.058,-0.038,-0.039,-0.055,0.0,-0.006,0.045,-0.026,-0.053,-0.019,-0.05,0.086,0.135,0.009,-0.07,0.026,0.16,0.022,0.064,0.198,0.06,0.16,0.041,-0.001,-0.008,-0.075,0.043,0.034,0.002,0.048,-0.135,-0.0,0.119,-0.092,-0.063,-0.126,-0.039
ctx-lh-BA9,,,,,,,,,0.072,-0.055,-0.149,-0.084,0.024,0.127,0.116,0.034,-0.007,0.031,0.066,-0.034,0.011,0.066,0.092,0.17,0.068,0.005,0.005,0.076,-0.045,0.06,-0.054,0.008,-0.175,0.013,-0.043,0.001,-0.052,0.041,-0.045,0.012,0.045,0.052,0.014,-0.087,0.049,0.026,0.016,0.007,-0.022,-0.099,-0.043,0.025,0.088,0.139,0.041,-0.015,0.065,0.075,-0.011,0.028,0.175,0.07,0.105,0.022,-0.012,-0.064,-0.079,-0.045,0.027,-0.062,0.006,-0.138,0.002,0.046,-0.047,0.001,-0.038,-0.055
ctx-lh-BA10,,,,,,,,,,-0.094,-0.014,-0.018,-0.006,0.062,0.044,-0.044,-0.039,0.042,0.134,0.003,0.064,0.052,0.088,0.02,0.087,0.091,0.127,-0.022,-0.022,0.008,-0.155,0.067,-0.023,0.031,-0.019,0.087,0.015,0.018,-0.019,0.091,0.067,0.162,0.045,0.036,-0.086,0.004,0.102,-0.071,-0.11,0.014,-0.047,-0.037,-0.018,0.058,-0.05,-0.086,0.008,0.083,0.016,0.0,0.077,-0.043,-0.011,0.049,0.002,-0.123,-0.072,-0.101,-0.066,-0.118,-0.029,-0.125,0.064,0.046,-0.005,-0.044,-0.094,-0.077
ctx-lh-BA11,,,,,,,,,,,-0.046,-0.099,-0.048,-0.016,0.011,0.014,-0.037,-0.048,-0.067,-0.133,0.053,-0.1,-0.061,-0.002,-0.07,-0.104,-0.033,0.03,0.09,0.045,0.038,-0.114,-0.056,-0.013,-0.052,-0.03,-0.037,0.013,0.034,-0.08,-0.011,-0.023,-0.069,-0.027,0.052,0.054,-0.026,0.035,-0.001,0.008,0.004,-0.066,-0.003,0.032,0.027,0.045,-0.046,-0.074,-0.048,0.093,-0.079,-0.088,0.03,-0.049,-0.06,-0.049,0.06,0.067,0.017,0.122,-0.081,-0.044,0.044,-0.121,-0.116,-0.013,-0.017,0.12
