,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA41_42_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,0.033,-0.006,-0.021,0.025,-0.223,-0.116,-0.125,-0.062,0.009,0.117,-0.022,0.009,0.008,0.036,-0.019,-0.079,0.043,0.053,0.058,-0.016,-0.137,-0.262,-0.015,-0.015,-0.015,-0.044,-0.029,0.015,0.044,0.037,0.047,0.014,0.01,-0.023,-0.035,0.002,0.023,-0.106,-0.175,0.024,-0.041,0.007,-0.01
ctx-lh-BA43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.047,0.01,0.11,-0.151,-0.041,-0.025,-0.063,0.005,-0.002,0.044,0.085,0.096,0.052,-0.106,-0.134,-0.001,-0.063,-0.073,0.032,0.024,-0.172,-0.032,-0.023,0.012,-0.035,-0.147,-0.061,-0.01,0.054,0.008,0.014,-0.06,-0.049,0.072,0.037,-0.027,-0.214,-0.189,-0.001,0.033,0.018,0.083
ctx-lh-BA44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.075,-0.078,0.016,0.016,0.076,0.066,0.092,-0.055,-0.002,-0.009,-0.014,0.095,0.076,-0.016,-0.01,-0.05,0.001,0.012,-0.014,-0.084,-0.058,0.022,0.128,0.043,0.058,-0.009,0.013,0.027,0.092,0.048,0.068,-0.059,-0.047,0.027,-0.022,-0.059,0.025,0.008,-0.104,-0.174,-0.096,-0.07
ctx-lh-BA45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044,-0.015,0.041,0.036,0.026,0.055,-0.009,-0.028,0.003,-0.031,0.031,0.05,0.043,0.004,-0.042,-0.003,-0.006,-0.017,-0.085,0.018,0.006,0.102,0.017,0.067,-0.022,0.005,0.019,0.065,0.047,0.06,-0.028,0.033,-0.023,0.001,-0.007,0.003,0.011,-0.055,-0.092,0.008,-0.021
ctx-lh-BA46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,-0.0,0.047,-0.07,-0.039,-0.116,-0.01,0.026,0.04,0.113,0.104,-0.017,-0.033,-0.086,-0.035,0.013,-0.017,-0.005,-0.055,0.085,0.066,0.034,0.107,0.001,0.004,0.101,0.056,0.055,0.037,-0.015,0.003,0.036,0.032,-0.031,-0.029,-0.027,-0.075,-0.051,0.002,0.042
ctx-lh-BA47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.03,0.02,-0.023,0.013,0.008,-0.071,-0.078,-0.015,-0.004,0.032,0.056,-0.078,-0.043,0.008,-0.074,-0.067,0.048,0.033,0.006,0.018,0.094,-0.0,0.071,0.005,0.041,0.027,-0.021,0.027,0.037,-0.061,0.01,-0.022,0.033,0.072,-0.007,-0.008,-0.016,-0.006
ctx-rh-BA1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.069,-0.067,-0.095,0.094,0.067,0.098,0.085,0.037,0.03,0.029,-0.053,0.044,-0.025,-0.051,0.091,0.019,-0.119,-0.025,0.044,-0.028,-0.057,-0.082,0.021,0.03,0.057,-0.033,0.067,-0.007,0.028,0.066,0.042,0.042,-0.177,-0.124,0.092,0.132,0.091,0.115
ctx-rh-BA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.022,0.145,0.042,0.05,0.039,-0.03,-0.041,0.102,0.044,0.017,-0.066,-0.096,0.019,-0.035,-0.131,-0.052,0.123,-0.079,-0.064,-0.029,0.037,0.016,0.079,-0.003,0.046,-0.037,-0.045,-0.01,-0.008,0.063,-0.065,-0.038,0.13,0.111,0.053,0.061
ctx-rh-BA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005,0.128,0.028,0.043,0.029,-0.018,-0.013,0.096,0.038,0.032,-0.049,-0.067,0.069,-0.007,-0.121,-0.044,0.106,-0.062,-0.031,-0.012,0.037,0.02,0.1,0.045,0.117,-0.002,-0.016,0.089,-0.02,0.107,-0.114,0.012,0.1,0.085,0.027,0.085
ctx-rh-BA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,0.126,0.02,-0.012,-0.066,-0.071,0.049,0.027,0.042,-0.022,-0.015,-0.014,-0.05,-0.13,-0.065,0.069,-0.044,-0.098,0.037,0.003,-0.027,0.07,0.048,-0.009,-0.04,-0.023,-0.007,-0.059,0.091,-0.068,-0.021,0.129,0.057,-0.029,0.04
