,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.003,0.023,-0.025,-0.082,-0.036,-0.0,-0.068,-0.061,-0.001,0.037,-0.045,-0.068,-0.005,-0.03,-0.052,0.006,-0.013,-0.048,-0.073,-0.035,-0.006,0.028,-0.006,-0.0,0.051,-0.047,-0.078,-0.041,0.01
ctx-lh-CT1_2_fro_inf,,,0.01,-0.027,-0.085,-0.096,-0.034,-0.126,-0.017,0.011,-0.042,0.016,-0.026,0.052,-0.01,-0.024,-0.067,-0.001,-0.053,-0.107,-0.1,0.0,-0.014,0.003,0.009,0.009,0.006,-0.025,0.027,-0.006
ctx-lh-CT1_2_mof,,,,-0.004,0.005,-0.006,-0.046,-0.019,0.015,0.041,0.042,0.005,-0.029,0.013,0.006,-0.004,-0.008,0.058,-0.006,0.026,-0.012,-0.001,0.006,0.041,0.044,0.104,0.008,0.022,0.043,0.027
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.115,-0.0,0.018,-0.045,-0.05,0.006,0.02,-0.07,-0.095,-0.006,-0.045,-0.062,-0.031,-0.006,-0.096,-0.098,-0.027,0.004,0.072,-0.043,0.001,0.03,-0.107,-0.131,-0.042,-0.005
ctx-lh-CT1_2_temp,,,,,,-0.124,-0.111,-0.127,-0.102,-0.007,-0.049,-0.044,-0.077,0.01,-0.012,-0.103,-0.12,-0.038,-0.138,-0.205,-0.125,-0.088,-0.066,-0.097,-0.01,-0.03,-0.099,-0.096,-0.057,0.02
ctx-lh-CT2_fro,,,,,,,-0.092,-0.09,-0.015,0.024,0.005,0.0,-0.067,-0.043,-0.036,-0.062,-0.076,-0.007,-0.022,-0.146,-0.065,-0.05,0.023,-0.001,0.022,0.047,-0.026,-0.09,-0.073,-0.031
ctx-lh-CT2_par,,,,,,,,-0.041,0.058,0.11,0.015,0.005,0.04,-0.083,0.093,-0.005,-0.054,-0.04,0.014,-0.194,-0.084,-0.081,0.03,0.031,0.103,0.005,0.032,0.003,-0.135,0.1
ctx-lh-CT3_fro,,,,,,,,,-0.013,0.011,-0.025,-0.044,-0.064,0.001,-0.013,-0.084,-0.107,-0.043,-0.097,-0.142,-0.059,-0.024,0.007,-0.022,0.011,-0.009,-0.079,-0.064,0.005,-0.012
ctx-lh-CT3_par,,,,,,,,,,0.009,0.02,-0.038,-0.029,0.064,0.011,-0.099,-0.043,-0.002,-0.06,-0.15,-0.009,-0.008,0.055,-0.135,-0.013,-0.007,-0.057,-0.046,-0.023,0.03
ctx-lh-CT4_occ,,,,,,,,,,,0.021,-0.0,0.003,0.049,0.026,-0.029,-0.004,0.017,0.006,-0.019,0.021,0.061,0.047,-0.058,-0.032,-0.028,0.016,0.005,0.038,0.017
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.017,0.034,0.034,0.032,0.016,-0.013,0.028,-0.014,-0.046,0.004,0.035,0.012,0.058,0.052,0.045,0.0,0.042,0.03,0.041
ctx-lh-CT5_cen,,,,,,,,,,,,,-0.128,-0.012,-0.007,-0.052,0.05,-0.049,-0.056,-0.007,0.044,0.016,0.061,-0.011,-0.02,-0.013,-0.199,-0.108,-0.034,0.024
ctx-lh-CT5_ins,,,,,,,,,,,,,,0.001,-0.076,-0.081,-0.056,-0.004,-0.11,-0.113,-0.085,0.029,-0.024,-0.048,0.009,0.022,-0.14,-0.111,-0.038,-0.038
ctx-lh-CT5_med,,,,,,,,,,,,,,,0.018,-0.062,0.013,0.02,-0.043,-0.063,-0.068,-0.051,0.02,0.043,0.069,0.069,-0.002,-0.045,-0.11,0.028
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,-0.048,-0.045,0.022,-0.054,-0.032,-0.045,0.072,0.002,-0.046,0.015,-0.033,0.013,-0.079,0.0,-0.069
ctx-rh-CT1,,,,,,,,,,,,,,,,,0.007,-0.011,-0.037,-0.059,-0.047,0.008,-0.01,-0.026,-0.015,0.023,0.008,-0.043,-0.056,-0.014
