,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.068,0.008,-0.019,0.046,-0.108,-0.143,-0.046,-0.019,-0.071,0.065,0.007,-0.027,0.04,-0.078,0.007,0.013,-0.084,-0.068,-0.089,-0.147,-0.054,-0.087,-0.086,0.014,0.068,0.021,0.018,0.054,-0.068,0.061,0.038,0.022,-0.018,-0.044,0.09,-0.019,-0.039,0.011,0.087,-0.003,0.052,0.061,0.044,-0.072,0.066,0.021,-0.034,0.005,0.025,0.019,0.057,-0.087,0.026,-0.024,-0.007,-0.013,-0.016,-0.098,-0.045,-0.08,-0.098,0.024,0.04,0.064,-0.002,-0.009,0.016,0.074,0.006,-0.028,-0.048,-0.063,0.016,0.029,-0.072
ctx-lh-FB,,,-0.044,0.027,-0.033,-0.003,-0.068,-0.025,-0.044,-0.046,0.058,-0.014,-0.028,0.002,-0.052,-0.036,-0.063,-0.052,-0.064,-0.055,-0.039,-0.053,-0.051,-0.053,-0.031,-0.061,-0.038,0.013,-0.059,-0.114,0.051,0.009,-0.033,-0.022,-0.022,0.034,-0.033,-0.006,-0.072,-0.089,-0.047,0.111,-0.076,0.147,0.098,0.096,0.122,0.054,0.048,0.059,0.04,0.116,-0.092,0.008,-0.037,0.016,0.014,-0.003,-0.03,-0.048,-0.065,-0.068,-0.038,-0.04,0.0,-0.001,-0.075,-0.111,0.097,0.008,-0.093,-0.048,-0.069,-0.016,0.035,-0.023
ctx-lh-FBA,,,,-0.013,0.034,-0.068,-0.046,-0.062,0.006,-0.05,0.009,0.018,-0.017,-0.011,-0.143,-0.009,-0.129,-0.11,-0.064,-0.048,-0.084,0.016,-0.007,-0.018,-0.064,0.026,0.058,-0.012,-0.066,-0.035,0.036,0.036,0.006,-0.089,-0.079,0.028,-0.032,-0.079,-0.002,0.053,-0.052,0.092,0.081,0.103,0.026,0.086,0.022,0.01,-0.01,0.075,0.001,0.054,-0.08,0.001,-0.067,-0.024,0.0,0.047,-0.07,0.041,-0.007,-0.027,-0.008,0.023,0.043,0.013,-0.053,-0.003,0.097,0.095,-0.073,-0.13,-0.022,0.063,0.061,-0.045
ctx-lh-FC,,,,,0.02,-0.025,0.02,0.042,0.026,0.059,0.088,0.019,0.091,0.015,-0.021,0.035,0.02,0.02,-0.039,-0.053,-0.027,0.004,0.012,-0.024,-0.005,-0.031,-0.032,0.044,-0.035,-0.011,0.045,0.12,0.006,0.013,0.056,0.107,-0.031,0.004,-0.055,-0.098,-0.01,-0.027,-0.034,0.143,0.172,0.056,0.131,0.038,0.063,0.165,0.099,0.155,-0.087,0.073,0.017,0.037,-0.003,-0.014,-0.046,0.011,-0.025,-0.032,-0.054,-0.003,-0.014,0.012,-0.014,-0.023,-0.011,0.08,-0.003,0.005,-0.036,-0.003,0.046,0.002
ctx-lh-FCBm,,,,,,0.038,-0.015,-0.015,-0.004,0.029,-0.026,-0.04,-0.052,0.001,-0.116,0.068,0.035,0.023,-0.037,-0.008,0.001,-0.017,-0.054,-0.049,0.068,0.088,0.055,0.06,0.071,0.031,0.023,0.083,0.003,0.069,-0.086,0.015,-0.023,-0.052,0.051,0.013,0.01,0.149,-0.015,0.204,0.108,0.13,0.128,0.115,0.066,0.043,-0.037,0.083,-0.186,0.097,-0.029,0.062,0.038,0.055,-0.049,0.019,-0.061,-0.05,0.034,0.079,0.068,0.04,0.081,-0.003,0.08,0.102,-0.033,-0.052,-0.004,0.006,0.05,-0.086
ctx-lh-FDdelta,,,,,,,0.035,0.017,0.056,-0.029,0.034,0.001,0.004,-0.013,-0.014,0.018,-0.035,-0.057,-0.08,-0.074,-0.019,-0.051,0.006,-0.031,-0.11,-0.12,-0.123,-0.023,-0.04,-0.119,0.003,-0.053,-0.039,-0.049,-0.008,0.018,-0.032,0.057,-0.113,-0.022,-0.048,0.067,-0.013,0.132,0.088,0.071,0.023,-0.03,0.064,0.093,-0.059,0.011,-0.059,0.033,-0.04,-0.034,-0.07,-0.065,-0.063,-0.051,-0.086,-0.053,-0.132,-0.075,-0.103,-0.044,-0.024,-0.074,-0.023,-0.059,-0.025,-0.097,-0.063,-0.029,-0.014,0.043
ctx-lh-FDL,,,,,,,,0.058,0.043,0.068,0.007,-0.037,0.087,0.019,-0.081,0.036,0.022,0.093,-0.051,-0.102,-0.133,-0.008,-0.006,-0.073,-0.118,-0.136,-0.021,-0.048,-0.009,-0.081,-0.107,0.057,-0.071,0.0,-0.068,0.012,-0.081,-0.009,-0.155,-0.102,-0.019,-0.088,-0.026,0.112,0.003,0.031,0.078,-0.06,-0.044,0.134,-0.016,-0.032,0.001,0.057,-0.004,0.004,-0.076,-0.107,-0.092,-0.029,-0.081,-0.021,-0.121,-0.113,-0.095,-0.124,0.019,-0.07,-0.1,0.006,-0.031,-0.04,-0.092,-0.095,-0.032,-0.004
ctx-lh-FDm,,,,,,,,,0.093,0.014,0.005,0.021,0.072,0.018,-0.045,0.044,-0.023,-0.036,-0.006,-0.028,-0.026,-0.009,0.014,-0.032,-0.052,-0.056,0.017,0.038,-0.028,-0.043,0.021,0.081,-0.029,-0.066,0.006,0.098,-0.04,-0.009,-0.059,-0.067,-0.031,-0.029,-0.03,0.117,0.075,-0.057,0.124,0.007,0.03,0.156,-0.001,0.085,-0.042,0.018,0.01,-0.015,0.014,0.002,-0.056,-0.007,-0.04,-0.029,-0.044,-0.026,-0.039,-0.027,-0.011,-0.029,-0.021,0.006,0.012,-0.049,-0.06,-0.006,-0.001,-0.022
ctx-lh-FDp,,,,,,,,,,0.03,-0.036,-0.088,0.017,-0.073,-0.033,0.062,0.06,-0.051,-0.07,-0.091,-0.051,-0.052,-0.039,-0.083,-0.002,-0.043,-0.062,-0.004,-0.032,-0.004,-0.045,0.039,-0.042,-0.002,0.02,-0.015,-0.04,-0.066,-0.041,-0.062,0.01,-0.031,-0.036,0.1,0.125,0.107,0.118,-0.004,0.014,0.056,-0.016,0.079,-0.041,0.053,0.027,0.024,-0.018,-0.035,-0.08,-0.016,-0.097,-0.076,-0.048,-0.026,-0.019,-0.026,-0.004,0.017,-0.077,0.021,-0.035,-0.071,-0.046,-0.037,0.043,-0.036
ctx-lh-FE,,,,,,,,,,,0.041,-0.002,0.118,0.012,-0.04,0.062,0.081,-0.062,-0.074,-0.089,-0.152,0.042,0.046,-0.015,-0.001,-0.062,-0.023,0.02,-0.017,-0.027,-0.003,0.037,-0.019,0.029,0.014,0.041,0.047,0.017,-0.121,-0.047,0.008,-0.071,0.002,-0.014,0.002,-0.005,-0.043,-0.157,-0.018,0.017,-0.01,0.003,0.05,0.046,0.045,0.0,-0.027,-0.095,-0.098,0.069,0.001,0.025,-0.03,-0.09,-0.042,-0.031,0.004,-0.03,-0.051,0.062,-0.048,0.009,-0.054,0.005,0.101,0.029
ctx-lh-FF,,,,,,,,,,,,-0.058,0.076,-0.014,-0.049,0.086,0.074,-0.02,0.023,-0.01,-0.057,0.059,0.014,-0.008,0.044,0.072,0.073,0.106,0.017,0.019,0.044,0.109,-0.016,0.067,-0.01,0.104,0.037,-0.01,0.001,0.013,0.017,0.066,-0.051,0.097,0.095,0.011,0.135,0.1,0.166,0.074,0.016,0.018,0.029,0.066,0.039,0.056,0.068,0.061,-0.035,0.093,-0.011,0.011,0.034,0.003,0.045,0.051,0.028,0.002,0.086,0.142,0.014,-0.009,-0.005,0.094,0.113,-0.008
ctx-lh-FG,,,,,,,,,,,,,0.132,0.054,0.014,0.077,0.088,0.007,-0.056,-0.125,-0.213,-0.004,0.053,-0.018,0.013,-0.031,-0.049,-0.073,-0.002,-0.021,-0.037,0.034,0.035,0.026,0.005,0.019,0.018,0.013,-0.03,-0.004,0.025,-0.004,0.024,0.12,-0.073,0.038,0.009,-0.069,-0.104,-0.007,0.077,-0.017,-0.037,0.061,0.072,0.051,-0.087,-0.053,-0.151,0.032,0.023,0.042,-0.01,-0.035,-0.029,-0.041,0.077,0.002,-0.059,0.051,0.021,-0.029,-0.021,-0.039,-0.019,0.01
ctx-lh-FH,,,,,,,,,,,,,,-0.042,0.021,0.015,0.05,0.1,0.057,-0.024,-0.121,0.022,0.043,-0.007,-0.021,-0.026,0.059,0.019,-0.003,-0.016,-0.005,0.023,-0.015,0.024,-0.017,-0.01,-0.063,-0.0,-0.04,-0.01,-0.002,0.019,-0.008,0.071,0.051,0.054,0.04,0.009,0.011,0.087,0.015,0.086,0.047,0.02,-0.017,0.121,0.07,0.026,-0.053,0.077,0.036,0.068,-0.022,-0.043,0.015,0.014,0.048,0.011,-0.012,0.087,0.056,0.02,0.018,-0.085,0.016,0.066
