,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,0.015,-0.062,-0.053,0.018,0.077,-0.073,-0.023,-0.09,-0.045,-0.124,-0.008,-0.095,-0.145,-0.052,0.096,0.047,0.233,-0.193,-0.158,-0.133,0.031,0.13,0.062,-0.298,-0.255,-0.03,-0.068,0.115,-0.213,-0.193,0.003,-0.277,-0.146,-0.298,0.063,0.035,0.023,-0.289,-0.03,-0.005,-0.001,0.143,0.118,-0.065,0.169,-0.005,0.014,0.0,-0.005,-0.057,-0.037,-0.096,0.12,0.058,0.237,-0.225,-0.156,-0.198,-0.02,0.127,0.166,-0.287,-0.292,-0.082,0.006,0.184,-0.169,-0.166,-0.012,-0.215,-0.202,-0.221,-0.012,-0.01,0.062
ctx-lh-FB,,,-0.038,-0.194,-0.072,0.095,0.019,-0.045,-0.107,-0.035,-0.047,-0.036,-0.052,-0.103,-0.066,-0.015,-0.016,0.214,-0.045,-0.076,0.119,0.126,0.176,0.136,0.04,-0.042,0.049,0.012,0.058,-0.071,-0.219,0.076,-0.117,-0.132,-0.148,-0.05,0.093,-0.023,-0.027,-0.041,-0.017,-0.139,0.088,0.036,-0.028,0.018,-0.089,0.049,-0.022,-0.068,-0.104,-0.085,-0.07,0.042,0.064,0.213,-0.111,-0.067,0.025,0.159,0.22,0.21,-0.036,-0.098,-0.005,0.062,0.092,0.007,-0.241,0.136,-0.075,-0.108,-0.145,-0.113,0.072,-0.01
ctx-lh-FBA,,,,-0.1,-0.074,0.022,-0.085,-0.112,-0.096,0.029,-0.138,0.034,-0.096,-0.093,-0.094,-0.12,-0.097,0.034,-0.169,-0.144,-0.122,0.154,0.225,0.16,0.009,0.057,0.087,-0.045,-0.105,0.034,-0.148,0.116,-0.161,-0.123,-0.17,-0.01,-0.065,-0.053,-0.106,-0.102,-0.115,-0.078,-0.093,-0.015,-0.133,-0.12,-0.068,0.002,-0.108,-0.004,-0.116,-0.09,-0.019,-0.115,-0.11,0.041,-0.189,-0.1,-0.073,0.114,0.208,0.241,0.039,0.013,0.111,0.011,-0.008,0.048,-0.097,0.164,-0.111,-0.117,-0.14,-0.019,0.025,-0.047
ctx-lh-FC,,,,,-0.051,-0.069,0.04,0.005,-0.014,0.017,0.079,0.052,0.083,-0.012,0.04,-0.097,-0.077,0.079,0.215,0.069,0.235,0.096,0.09,0.058,0.016,-0.094,-0.023,0.039,-0.096,-0.113,-0.004,0.026,-0.022,-0.175,0.007,-0.042,0.154,0.047,-0.015,-0.121,-0.1,-0.003,0.048,-0.04,0.09,0.03,0.05,0.129,0.117,-0.037,0.056,-0.033,-0.003,-0.102,-0.028,0.095,0.145,0.096,0.167,0.1,0.122,0.072,-0.033,-0.088,-0.08,0.012,-0.079,-0.038,-0.037,0.07,-0.032,-0.143,-0.011,-0.042,0.071,0.109
ctx-lh-FCBm,,,,,,-0.005,0.089,0.054,-0.04,0.067,-0.104,0.023,-0.041,-0.092,-0.097,-0.244,-0.135,0.058,0.129,0.059,0.08,0.125,0.166,0.089,0.098,0.067,0.129,0.012,-0.037,0.039,0.039,-0.0,0.028,-0.139,0.048,-0.141,-0.081,-0.015,0.009,-0.198,-0.075,-0.136,-0.169,-0.096,0.038,-0.144,-0.101,0.029,-0.148,-0.064,-0.083,-0.065,-0.114,-0.246,-0.142,-0.014,-0.02,-0.007,0.073,0.163,0.175,0.151,0.038,0.095,0.065,-0.049,-0.086,0.042,-0.073,0.119,-0.058,-0.135,-0.023,-0.172,-0.056,-0.026
ctx-lh-FDdelta,,,,,,,0.045,-0.058,-0.048,-0.018,-0.047,-0.011,-0.028,-0.035,-0.121,0.021,0.029,0.075,0.077,-0.008,0.057,0.094,0.094,0.128,0.174,0.044,0.169,0.128,0.019,0.052,0.008,0.053,0.072,0.004,0.049,-0.092,-0.047,-0.059,0.156,0.085,0.024,-0.074,-0.048,-0.015,0.08,-0.09,-0.085,-0.006,-0.13,-0.042,-0.04,-0.034,-0.106,0.063,-0.008,0.061,0.006,-0.008,0.098,0.084,0.082,0.103,0.162,0.123,0.148,0.028,-0.006,0.08,-0.029,0.057,0.131,0.085,-0.018,-0.113,-0.036,-0.029
ctx-lh-FDL,,,,,,,,0.05,0.107,-0.097,-0.046,-0.074,-0.149,-0.018,-0.042,-0.078,-0.126,-0.157,-0.08,-0.13,-0.058,0.084,0.02,-0.072,-0.096,-0.142,-0.12,-0.06,0.044,-0.114,0.067,-0.017,-0.047,-0.206,0.053,0.06,0.015,0.025,0.011,-0.035,-0.076,0.07,0.073,0.091,0.007,0.045,0.01,-0.121,-0.044,-0.124,-0.074,-0.066,0.018,-0.066,-0.068,-0.112,-0.075,-0.191,-0.111,0.029,-0.043,-0.057,-0.074,-0.108,-0.135,-0.14,-0.045,-0.106,0.026,-0.025,-0.034,-0.101,0.038,0.012,-0.001,0.038
ctx-lh-FDm,,,,,,,,,0.011,0.007,-0.013,-0.004,-0.011,-0.018,-0.074,-0.126,-0.12,-0.042,0.133,-0.012,0.092,0.121,0.141,0.04,0.009,-0.07,0.014,0.002,-0.061,-0.103,0.006,0.002,0.038,-0.149,0.017,-0.022,0.033,0.025,0.037,-0.089,-0.072,-0.007,0.017,-0.053,0.06,0.007,-0.025,-0.024,0.002,-0.07,-0.023,-0.028,-0.03,-0.154,-0.075,-0.014,0.084,-0.002,0.061,0.088,0.118,0.098,0.011,-0.01,-0.041,-0.115,-0.111,-0.017,-0.026,0.023,0.028,-0.061,0.049,-0.025,0.055,0.087
ctx-lh-FDp,,,,,,,,,,0.075,-0.024,0.024,0.021,0.022,-0.002,-0.08,-0.055,0.089,0.279,0.186,0.268,0.07,0.113,0.049,-0.042,-0.116,-0.038,0.135,-0.011,-0.089,0.132,-0.067,0.076,-0.029,0.006,-0.142,-0.098,-0.136,0.015,-0.069,-0.081,0.015,-0.02,-0.017,0.193,0.022,-0.031,-0.001,-0.042,-0.08,0.02,-0.016,-0.089,-0.074,-0.064,0.099,0.27,0.122,0.179,0.032,0.064,0.038,-0.038,-0.011,-0.027,0.042,-0.037,0.0,0.118,-0.069,-0.024,-0.016,-0.026,-0.109,-0.111,-0.087
ctx-lh-FE,,,,,,,,,,,0.018,0.073,-0.032,0.073,-0.101,0.115,-0.023,-0.044,0.033,0.001,-0.012,0.055,0.018,-0.016,0.034,-0.078,-0.079,0.05,0.051,-0.027,-0.027,-0.066,0.087,-0.043,0.012,-0.052,-0.031,-0.195,0.066,0.096,0.015,0.077,0.129,0.04,0.049,0.118,0.072,-0.063,0.086,-0.059,0.058,-0.012,-0.065,0.103,-0.077,0.053,0.062,-0.019,-0.036,0.036,-0.046,-0.02,0.054,0.056,-0.045,0.006,0.05,-0.047,0.021,-0.099,0.001,0.074,0.011,-0.081,-0.091,-0.1
