,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.097,0.163,-0.02,-0.068,-0.047,-0.003,-0.001,-0.014,-0.032,-0.004,-0.02,-0.002,0.037,0.058,0.022,-0.058,0.064,0.108,-0.012,0.008,-0.018,-0.098,-0.107,0.019,-0.048,-0.046,-0.028,-0.013,-0.1,0.046,0.014,-0.012,-0.038
ctx-lh-frontal,,,-0.008,0.013,0.102,0.116,0.067,0.061,-0.034,-0.001,0.103,0.041,0.009,0.139,0.044,0.102,-0.087,0.082,-0.068,-0.087,0.112,0.128,0.118,0.058,0.13,-0.061,-0.016,0.113,-0.028,-0.097,0.139,0.013,0.117,-0.048
ctx-lh-inter_precentral,,,,-0.071,0.021,0.058,0.028,-0.008,0.032,0.005,0.01,-0.111,-0.021,0.138,0.099,0.047,-0.142,0.103,-0.085,-0.195,-0.015,0.023,0.034,-0.021,0.035,0.08,-0.048,-0.042,-0.189,-0.071,0.103,0.059,0.076,-0.126
ctx-lh-precentral,,,,,-0.29,-0.144,-0.002,-0.037,0.026,-0.009,-0.123,-0.078,-0.104,-0.088,-0.12,-0.145,0.137,0.044,0.113,0.074,-0.222,-0.311,-0.178,0.008,-0.119,-0.005,-0.035,-0.189,-0.176,-0.097,0.078,-0.053,-0.125,0.159
ctx-lh-postcentral,,,,,,-0.286,0.01,-0.063,0.015,-0.061,-0.071,-0.046,-0.081,-0.103,-0.064,-0.138,0.159,-0.06,0.207,0.124,-0.232,-0.298,-0.269,0.014,-0.095,0.014,-0.073,-0.155,-0.111,-0.049,0.048,-0.016,-0.129,0.171
ctx-lh-inter_postcentral,,,,,,,-0.166,-0.06,0.044,-0.039,-0.104,-0.081,-0.053,-0.096,0.013,-0.171,0.206,0.003,0.14,0.096,-0.091,-0.292,-0.253,-0.178,-0.133,0.028,-0.106,-0.101,-0.131,0.034,0.061,0.002,-0.144,0.192
ctx-lh-parietal,,,,,,,,0.042,0.036,-0.054,0.034,-0.011,-0.043,-0.046,-0.041,-0.013,0.018,-0.018,0.01,0.042,-0.026,0.034,-0.146,-0.004,0.069,0.045,-0.006,0.147,-0.032,-0.024,0.014,-0.173,0.045,0.085
ctx-lh-visuopsychic,,,,,,,,,0.055,0.018,-0.091,0.037,-0.008,0.014,0.06,-0.003,0.068,0.056,0.081,0.088,-0.018,-0.111,-0.116,-0.055,-0.219,-0.006,0.047,-0.105,0.1,0.121,0.011,0.015,-0.019,0.051
ctx-lh-visuosensory,,,,,,,,,,0.03,-0.009,0.023,-0.007,-0.036,0.046,-0.083,0.062,0.019,-0.019,0.048,0.06,-0.013,-0.044,-0.06,0.031,-0.025,0.107,-0.038,0.061,0.095,-0.034,0.035,-0.028,0.068
ctx-lh-temporal,,,,,,,,,,,-0.011,0.058,0.172,-0.037,0.021,0.099,-0.062,-0.048,-0.07,-0.087,0.012,-0.02,-0.09,-0.094,0.065,0.122,-0.039,-0.05,0.083,0.129,-0.103,-0.028,0.109,-0.036
ctx-lh-audiopsychic,,,,,,,,,,,,-0.189,0.045,-0.157,-0.091,-0.071,0.105,-0.027,0.113,-0.033,-0.095,-0.185,-0.191,-0.03,-0.139,0.05,-0.116,-0.277,-0.21,0.045,-0.071,-0.001,-0.084,0.06
ctx-lh-audiosensory,,,,,,,,,,,,,0.065,-0.125,-0.202,-0.05,0.071,-0.079,0.089,-0.098,-0.046,-0.12,-0.067,-0.042,-0.009,0.061,-0.009,-0.082,-0.174,0.02,-0.096,-0.045,-0.033,0.079
ctx-lh-olfactory,,,,,,,,,,,,,,0.012,0.009,0.056,0.04,-0.082,-0.017,-0.032,-0.181,-0.082,-0.04,-0.035,0.003,0.066,0.111,0.03,0.091,-0.005,0.013,0.058,0.038,0.02
ctx-lh-limbicA,,,,,,,,,,,,,,,0.012,-0.001,-0.017,-0.001,0.137,-0.081,-0.083,-0.078,-0.119,-0.05,0.067,-0.023,-0.068,-0.023,-0.131,-0.137,-0.093,-0.128,0.005,-0.046
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.015,-0.029,-0.021,-0.01,-0.094,-0.139,-0.061,-0.066,-0.096,0.107,0.041,0.074,-0.027,-0.076,-0.059,-0.032,-0.049,-0.007,-0.05
ctx-lh-limbicC,,,,,,,,,,,,,,,,,0.005,0.0,0.151,-0.056,-0.169,-0.113,-0.17,-0.025,0.041,-0.054,0.129,0.036,-0.031,-0.045,0.042,-0.092,0.032,-0.003
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.079,-0.11,-0.17,0.163,0.09,0.243,0.083,0.064,0.079,-0.026,0.115,0.028,0.008,0.034,-0.001,0.071,-0.086
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.096,0.008,0.018,-0.019,-0.077,-0.023,0.033,-0.037,-0.122,-0.057,-0.076,-0.122,-0.072,-0.032,-0.108,-0.098
