,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.007,-0.033,-0.003,-0.063,0.034,-0.029,0.009,-0.005,-0.025,-0.017,-0.033,-0.022,0.003,-0.009,0.101,-0.005,-0.022,-0.113,-0.076,0.06,-0.17,-0.069,0.065,-0.016,-0.141,-0.178,-0.035,0.053,0.002,0.064,0.003,0.006,-0.026,-0.08,0.066,0.047,0.076,0.058,-0.051,-0.03,0.032,-0.002,0.082,0.046,0.005,-0.001,-0.062,-0.057,0.003,-0.056,0.005,-0.017,-0.06,-0.081,-0.099,-0.037,-0.062,-0.042,0.045,-0.075,-0.043,0.041,0.046,-0.166,-0.028,-0.063,0.026,-0.005,-0.012,-0.024,-0.074,-0.083,0.028,0.095,0.022,-0.006,0.003
ctx-lh-BA2,,,-0.014,0.046,-0.066,-0.032,-0.025,0.008,-0.004,-0.021,0.105,0.013,0.038,0.088,0.066,0.096,0.017,0.01,-0.09,-0.072,0.075,-0.07,-0.074,0.0,-0.058,-0.114,-0.153,-0.031,-0.029,-0.055,0.057,0.035,-0.007,-0.011,-0.003,0.081,0.065,0.041,0.075,0.04,-0.058,0.043,-0.002,0.009,-0.089,-0.018,0.016,-0.054,-0.066,0.048,0.019,0.094,0.072,0.023,-0.025,-0.033,-0.011,-0.058,-0.015,0.061,-0.094,-0.056,-0.006,-0.031,-0.098,-0.027,-0.041,-0.008,-0.005,-0.054,-0.115,-0.175,-0.014,0.089,0.088,0.095,-0.003,0.029
ctx-lh-BA4,,,,-0.023,-0.108,-0.003,-0.042,0.012,0.028,-0.011,0.003,-0.01,0.007,0.011,-0.035,0.119,0.087,-0.07,-0.093,-0.06,0.064,-0.17,-0.09,-0.01,-0.022,-0.148,-0.085,-0.076,-0.017,-0.025,0.04,0.035,-0.01,-0.082,-0.07,0.004,0.024,0.022,0.086,-0.06,-0.009,0.011,0.043,0.057,0.002,0.07,0.076,0.024,-0.068,-0.02,-0.097,0.037,-0.043,-0.068,-0.096,-0.005,-0.068,-0.086,0.021,0.055,-0.05,-0.082,-0.071,0.049,-0.099,0.03,-0.074,-0.058,-0.036,-0.042,0.027,-0.101,-0.118,-0.032,0.052,0.062,0.033,0.052
ctx-lh-BA5,,,,,-0.08,0.007,-0.008,-0.044,-0.056,-0.019,0.015,-0.035,0.02,0.04,-0.027,-0.005,-0.017,-0.025,-0.028,-0.059,0.06,0.013,0.034,0.004,-0.086,-0.143,-0.096,-0.066,0.022,-0.098,0.084,0.035,0.056,-0.01,0.01,0.005,0.033,0.026,-0.006,-0.068,-0.015,-0.037,-0.049,0.011,-0.007,0.069,0.02,-0.117,-0.088,-0.051,-0.055,0.03,-0.037,-0.065,-0.013,0.059,-0.021,-0.035,-0.016,0.0,0.021,0.015,0.007,0.042,-0.059,0.022,0.039,0.06,-0.063,0.046,0.071,-0.028,-0.055,0.047,0.044,0.022,-0.003,0.055
ctx-lh-BA6,,,,,,-0.046,0.027,0.055,0.089,0.021,-0.023,-0.079,-0.094,0.013,-0.084,0.003,-0.004,-0.122,0.021,-0.019,-0.029,0.011,-0.057,0.059,0.06,-0.021,0.03,-0.056,0.005,-0.073,0.028,0.05,-0.094,-0.162,-0.045,-0.064,-0.012,-0.039,0.067,-0.094,-0.01,-0.131,-0.051,-0.168,-0.077,0.115,0.199,0.182,0.044,-0.027,-0.137,-0.025,-0.094,-0.091,-0.009,-0.006,-0.165,0.018,-0.077,0.061,0.032,-0.026,-0.069,0.055,0.03,0.019,-0.089,0.016,-0.061,-0.063,0.037,-0.183,-0.165,-0.098,-0.08,0.031,0.045,0.102
ctx-lh-BA7,,,,,,,0.018,-0.043,-0.041,0.039,0.079,0.053,-0.047,-0.044,-0.067,0.015,-0.017,0.063,-0.013,0.075,0.081,0.043,-0.048,0.006,-0.04,0.036,0.004,0.01,-0.077,-0.085,0.089,0.09,0.117,0.11,0.081,0.038,0.039,-0.009,0.043,0.099,0.023,0.041,-0.009,-0.027,-0.133,0.088,0.041,-0.032,0.007,0.042,0.054,-0.089,-0.148,-0.095,0.058,0.132,0.042,0.031,0.03,0.012,0.048,0.012,-0.016,-0.0,0.083,-0.017,0.057,-0.026,-0.023,-0.022,0.07,-0.03,0.123,0.1,0.066,0.096,0.017,0.103
ctx-lh-BA8,,,,,,,,0.079,0.04,-0.006,0.007,-0.026,0.014,0.019,0.024,-0.045,0.044,-0.034,-0.001,-0.008,-0.049,-0.041,0.143,0.109,0.05,0.139,0.083,0.036,0.019,0.17,-0.049,0.005,-0.074,-0.067,0.007,-0.039,-0.047,-0.003,-0.004,-0.118,-0.025,-0.124,-0.07,-0.07,-0.012,-0.068,0.034,0.099,0.04,0.019,0.006,0.007,0.031,0.017,-0.128,-0.022,-0.111,0.002,0.002,0.091,-0.003,-0.034,-0.066,0.031,0.02,0.049,-0.022,-0.008,-0.028,-0.059,-0.068,-0.064,-0.1,-0.074,-0.071,-0.061,-0.016,-0.025
ctx-lh-BA9,,,,,,,,,0.118,0.026,0.031,0.041,0.02,0.022,0.001,0.013,0.032,-0.006,0.016,0.061,-0.07,0.003,0.176,0.049,0.026,0.157,0.1,0.086,0.088,0.138,0.048,-0.063,-0.024,-0.018,0.035,0.037,0.054,0.058,0.022,-0.083,0.017,-0.073,-0.086,-0.044,-0.12,-0.091,-0.013,0.049,0.08,0.069,0.008,-0.031,-0.028,-0.019,-0.118,-0.042,-0.047,-0.001,0.014,0.028,0.013,0.044,-0.109,-0.011,-0.007,0.062,0.059,0.021,-0.083,-0.017,-0.121,-0.009,-0.095,-0.005,-0.006,0.023,0.018,0.037
ctx-lh-BA10,,,,,,,,,,-0.027,0.04,0.115,0.021,-0.007,0.072,-0.014,0.055,0.032,-0.046,0.046,-0.07,-0.04,0.151,0.159,-0.015,0.141,0.019,0.009,0.16,0.15,0.008,-0.034,-0.022,-0.053,-0.019,0.091,0.105,0.071,0.013,-0.104,-0.02,-0.033,-0.133,0.069,-0.101,-0.056,0.054,-0.096,0.052,0.081,0.041,-0.064,-0.013,0.052,-0.006,-0.027,-0.028,-0.058,0.017,0.031,-0.063,0.066,0.089,-0.086,0.096,0.041,0.101,0.077,-0.018,0.018,-0.132,-0.013,-0.091,-0.022,0.045,0.116,-0.021,0.042
ctx-lh-BA11,,,,,,,,,,,0.047,0.065,0.002,-0.004,0.036,-0.022,-0.054,-0.05,-0.087,0.001,-0.096,-0.187,0.04,0.065,-0.073,-0.034,-0.058,0.13,0.083,0.042,0.011,-0.005,-0.07,0.036,0.025,-0.035,-0.075,0.014,-0.097,-0.074,-0.033,-0.008,-0.051,0.106,0.038,-0.047,-0.059,-0.098,0.002,0.043,0.063,0.036,0.043,0.087,-0.034,-0.061,-0.063,-0.077,-0.068,0.05,-0.089,0.01,0.082,-0.012,-0.021,-0.041,0.034,0.015,0.049,0.065,-0.026,0.041,-0.111,-0.055,-0.032,-0.02,-0.005,-0.035
