,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-callosA,,-0.071,0.078,0.054,-0.054,-0.007,0.029,0.088,-0.011,0.075,0.019,0.013,-0.028,0.021,-0.054,-0.048,-0.028,0.005,0.028,0.052,-0.008,0.107,0.029,0.029,0.066,0.036,-0.11,0.021,-0.047,-0.097,-0.057,-0.12,-0.059,-0.036,0.001,0.063,0.005,0.015,0.033,0.033,-0.041,-0.01,0.005,-0.043,-0.079,-0.047,-0.022,-0.051,-0.122,0.015,-0.008,0.055,-0.056,-0.043,0.044,0.053,-0.136,-0.04,-0.048,-0.011,-0.018,0.048,-0.026,0.035,-0.05,0.081,0.047,-0.024,-0.01,-0.055,-0.079,0.029,-0.045,-0.125,-0.034,-0.056,-0.023,-0.077,-0.067,-0.072,0.028,0.026,0.099,0.01,-0.044,-0.034,-0.023,-0.034
ctx-lh-callosB,,,-0.031,0.026,-0.025,-0.047,-0.014,-0.016,-0.082,0.015,-0.007,0.011,-0.082,0.001,-0.032,-0.076,-0.03,0.072,-0.013,0.058,0.006,0.051,-0.004,0.009,0.048,-0.023,-0.117,0.036,-0.01,-0.022,-0.063,-0.099,-0.066,-0.05,-0.146,0.026,-0.057,-0.02,-0.037,-0.042,-0.03,-0.092,-0.006,0.046,-0.042,-0.077,0.017,-0.006,-0.024,-0.012,0.036,-0.015,-0.004,0.009,-0.002,0.018,-0.116,-0.002,-0.067,-0.144,-0.021,0.092,-0.006,0.038,-0.007,0.016,-0.076,0.008,0.039,-0.138,-0.142,0.008,-0.024,-0.123,-0.037,-0.11,0.01,-0.106,-0.093,-0.022,-0.077,0.01,-0.014,-0.053,-0.006,-0.108,-0.044,0.019
ctx-lh-callosC,,,,0.031,-0.014,-0.006,-0.049,-0.029,-0.059,-0.073,-0.065,0.04,0.002,0.038,-0.062,-0.095,-0.05,-0.021,-0.049,0.042,-0.085,0.085,-0.058,0.116,0.019,-0.003,-0.067,0.023,0.067,0.01,-0.093,-0.068,-0.109,-0.071,-0.07,0.084,-0.04,0.009,-0.016,-0.04,0.006,-0.089,0.028,0.006,-0.016,-0.032,0.023,-0.122,-0.031,-0.008,-0.021,0.012,-0.045,-0.02,-0.074,-0.058,-0.118,-0.003,-0.04,-0.056,-0.055,0.056,-0.037,0.032,-0.088,0.089,-0.037,0.05,-0.016,-0.067,-0.062,-0.006,-0.034,-0.062,-0.067,-0.063,-0.134,-0.11,0.002,-0.055,-0.043,-0.005,-0.021,-0.009,-0.044,-0.105,0.057,-0.095
ctx-lh-callosD,,,,,0.066,0.029,0.048,-0.005,-0.099,-0.056,-0.024,0.07,-0.021,-0.004,0.038,-0.036,-0.045,0.031,0.05,-0.013,0.016,-0.003,-0.112,-0.054,-0.062,-0.006,-0.001,-0.002,0.014,0.01,-0.112,-0.111,-0.111,-0.067,0.019,0.03,-0.071,-0.025,-0.038,-0.035,-0.039,-0.04,-0.035,-0.17,-0.035,0.006,0.072,0.016,0.051,-0.015,0.008,-0.031,-0.056,-0.139,-0.065,-0.058,-0.06,-0.125,0.019,-0.077,0.026,0.025,0.027,0.016,0.022,0.099,-0.028,-0.062,-0.072,0.003,-0.022,-0.025,-0.071,-0.016,-0.164,-0.126,-0.158,-0.082,-0.066,-0.077,-0.114,-0.035,-0.02,-0.033,-0.076,-0.076,-0.04,-0.086
ctx-lh-froB,,,,,,0.078,-0.011,0.116,0.113,0.152,0.101,-0.003,0.084,0.06,0.011,0.089,0.121,-0.012,-0.034,0.014,-0.036,0.047,0.052,-0.009,0.047,0.012,-0.031,0.022,-0.02,-0.04,0.024,0.005,0.029,0.074,-0.115,0.119,0.056,0.071,0.056,0.114,0.1,-0.006,0.087,0.024,-0.023,-0.034,0.032,-0.042,-0.006,-0.008,0.109,0.097,-0.071,0.029,0.162,0.108,-0.028,0.112,0.02,-0.017,0.051,0.046,-0.004,0.02,-0.066,0.06,0.012,-0.04,-0.02,-0.045,-0.025,0.026,0.009,-0.018,0.05,0.077,0.073,-0.024,-0.082,-0.012,0.004,0.053,0.03,0.014,0.107,-0.065,-0.015,0.025
ctx-lh-froC,,,,,,,-0.069,0.056,0.057,0.055,-0.036,-0.087,0.105,0.061,0.025,0.116,0.059,0.104,0.067,0.085,0.052,0.124,0.072,-0.073,0.025,0.014,0.03,0.065,0.03,0.065,0.069,0.077,0.092,0.128,-0.067,0.028,0.04,0.159,-0.027,0.051,0.058,0.011,0.008,-0.022,0.05,0.0,0.017,-0.024,0.018,0.06,-0.011,0.019,0.011,-0.006,0.078,0.051,0.07,0.086,0.089,0.069,0.048,0.141,0.108,0.111,0.063,0.125,0.083,-0.001,0.02,0.025,0.056,0.162,0.059,0.05,0.02,0.045,0.059,0.019,0.016,-0.007,0.036,0.132,-0.034,0.007,0.093,-0.007,0.011,-0.056
ctx-lh-froD,,,,,,,,-0.014,-0.032,-0.016,0.005,0.014,-0.042,0.002,-0.035,-0.005,0.03,0.005,-0.043,0.087,0.008,0.052,0.035,0.1,0.009,-0.042,-0.079,0.021,0.045,0.014,-0.041,-0.045,-0.091,-0.047,-0.088,0.036,-0.04,0.012,-0.004,-0.003,0.048,-0.072,0.069,-0.001,-0.031,-0.019,0.053,-0.097,0.01,-0.025,0.075,-0.005,-0.044,-0.012,0.019,-0.044,-0.107,-0.016,-0.059,-0.06,0.04,0.089,-0.052,0.03,-0.052,0.103,-0.023,0.001,-0.019,-0.024,-0.054,0.01,0.005,-0.043,-0.038,-0.023,-0.044,-0.059,-0.037,-0.091,-0.093,0.055,0.068,0.022,0.041,-0.132,0.041,-0.072
ctx-lh-froinf,,,,,,,,,-0.103,-0.017,0.032,0.015,-0.009,0.005,-0.002,0.021,-0.003,0.01,-0.056,0.012,-0.073,0.065,-0.013,0.032,0.058,0.018,-0.04,-0.026,0.029,0.024,0.009,0.03,0.02,0.024,-0.047,0.001,-0.006,0.094,-0.064,-0.02,0.092,-0.111,0.032,-0.067,0.056,0.06,0.05,-0.033,0.115,0.175,0.048,-0.027,-0.064,-0.063,0.14,0.115,-0.016,0.089,0.009,-0.063,0.012,0.091,-0.021,0.021,-0.081,0.069,-0.038,0.086,0.051,0.066,0.03,0.063,0.034,0.028,-0.022,0.084,0.033,-0.006,-0.053,-0.052,-0.001,0.052,-0.028,-0.03,0.161,-0.109,0.018,-0.015
ctx-lh-froint,,,,,,,,,,0.045,0.019,-0.04,-0.027,0.004,-0.068,-0.033,0.032,-0.001,-0.09,-0.039,-0.093,-0.002,-0.056,-0.087,0.05,0.013,-0.111,-0.052,-0.046,-0.077,-0.044,-0.056,-0.053,-0.056,-0.1,-0.025,-0.013,-0.007,-0.055,-0.001,-0.04,-0.076,-0.034,-0.047,0.03,-0.055,0.002,-0.022,0.114,0.077,0.031,-0.084,-0.157,-0.063,0.038,0.082,-0.091,0.058,-0.019,-0.077,0.003,0.042,-0.107,-0.014,-0.103,0.101,-0.088,-0.046,-0.012,-0.035,-0.08,0.028,-0.01,-0.051,-0.046,-0.018,-0.02,-0.092,-0.179,-0.071,-0.043,-0.03,-0.056,-0.081,0.053,-0.117,-0.084,-0.014
ctx-lh-frointB,,,,,,,,,,,-0.015,0.014,0.031,-0.006,0.045,0.009,0.102,-0.01,-0.066,0.045,0.002,0.008,-0.037,-0.042,0.083,0.11,-0.012,0.091,0.039,0.065,0.054,0.04,-0.011,0.005,-0.134,0.104,-0.069,0.018,-0.04,-0.099,0.055,-0.05,0.005,-0.042,0.066,0.009,0.012,-0.063,0.185,0.125,0.08,-0.005,-0.041,0.026,0.074,0.092,0.032,0.088,-0.012,-0.063,0.036,0.089,-0.009,0.047,-0.008,0.075,-0.154,0.013,0.091,0.106,0.013,0.094,0.033,0.02,-0.007,0.046,0.019,-0.029,-0.124,-0.007,-0.032,0.042,-0.034,-0.061,0.153,-0.063,-0.034,0.035
