,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.04,-0.036,0.068,-0.033,-0.014,0.044,-0.06,0.022,-0.007,-0.068,0.035,-0.014,-0.008,0.004,-0.059,0.103,0.074,0.087,0.069,-0.062,-0.107,0.055,-0.062,-0.035,-0.044,0.002,0.027,-0.054,-0.152,-0.058,-0.06,0.015,0.013,-0.095,-0.074,-0.137,-0.075,-0.048,-0.122,-0.119,-0.061,0.073,-0.131,0.051,0.013,0.077,0.008,0.024,0.112,-0.009,0.045,-0.021,-0.005,0.036,-0.014,0.091,0.094,-0.071,0.078,0.036,0.098,0.1,-0.03,-0.057,-0.007,-0.07,-0.037,-0.041,0.01,0.034,-0.09,-0.123,-0.051,-0.04,0.021,0.074,-0.023,-0.044,-0.115,-0.045,-0.039,-0.141,-0.074,-0.046,0.066
ctx-lh-FB,,,0.049,0.013,0.072,0.033,-0.005,0.078,0.06,0.022,-0.003,0.071,0.029,0.021,-0.016,-0.093,0.01,0.049,0.114,0.157,0.009,-0.049,0.067,-0.024,0.048,0.007,-0.025,-0.05,0.02,-0.058,0.01,-0.099,0.047,-0.035,-0.045,-0.027,-0.062,-0.026,-0.039,-0.087,-0.077,-0.103,0.082,-0.046,-0.063,0.01,-0.047,0.064,0.078,-0.018,0.066,0.045,-0.03,0.022,0.051,-0.011,0.039,0.039,-0.08,-0.006,0.037,0.117,0.09,-0.043,-0.041,0.028,-0.077,0.019,-0.006,-0.001,-0.036,-0.011,-0.006,0.027,-0.054,0.022,0.038,-0.062,0.009,-0.063,-0.015,-0.043,-0.074,-0.054,-0.054,0.087
ctx-lh-FC,,,,0.024,0.014,0.07,-0.064,-0.071,-0.048,-0.085,-0.066,0.015,-0.022,-0.073,-0.017,-0.074,0.07,0.053,0.041,0.057,-0.05,-0.069,0.038,-0.0,0.022,0.12,0.025,0.003,0.028,0.038,0.004,-0.017,-0.023,0.035,-0.027,0.105,-0.012,0.003,0.008,-0.043,-0.04,0.015,-0.109,-0.037,0.01,0.009,0.07,0.029,0.071,-0.04,-0.021,0.019,-0.037,-0.039,-0.065,-0.022,-0.048,-0.027,-0.045,0.058,0.079,0.027,0.053,-0.082,-0.071,0.029,-0.036,-0.024,0.089,0.036,0.002,-0.003,-0.0,0.024,0.044,0.009,0.084,-0.07,0.054,0.009,0.023,-0.011,0.043,-0.01,0.091,-0.09
ctx-lh-FCBm,,,,,0.044,-0.034,-0.095,0.119,-0.033,0.024,0.066,0.05,0.048,-0.037,-0.029,-0.006,-0.064,0.053,0.104,0.126,0.083,0.027,-0.001,0.004,0.082,-0.011,-0.056,-0.074,0.057,0.068,0.043,-0.086,0.052,-0.086,-0.025,-0.003,-0.007,-0.017,0.017,-0.019,-0.089,-0.055,0.039,0.049,-0.039,-0.016,-0.098,0.034,-0.006,-0.131,0.115,-0.023,0.037,0.078,-0.017,0.035,0.001,-0.013,0.005,-0.076,0.051,0.077,0.052,0.026,0.04,0.022,0.0,0.097,0.006,-0.027,-0.091,0.034,-0.01,0.072,-0.044,0.021,-0.028,-0.001,0.025,-0.001,-0.006,-0.044,-0.001,-0.069,-0.011,0.039
ctx-lh-FD,,,,,,0.057,-0.058,-0.082,-0.061,-0.096,-0.05,0.057,-0.024,-0.097,-0.053,-0.016,0.082,0.066,0.032,0.028,-0.057,-0.058,-0.049,0.048,0.009,0.085,0.021,0.019,-0.045,-0.012,-0.021,0.002,-0.034,0.038,0.027,0.046,-0.009,0.002,0.035,-0.027,-0.044,0.027,-0.138,-0.055,0.024,0.031,0.084,-0.008,0.051,-0.038,-0.035,0.031,-0.05,-0.046,-0.024,-0.043,-0.105,-0.013,0.013,0.073,0.06,0.015,0.032,-0.072,-0.046,-0.034,0.011,0.054,0.069,0.019,0.008,-0.033,-0.053,-0.021,0.007,0.013,0.061,-0.008,-0.012,0.008,-0.009,-0.022,0.028,-0.026,0.055,-0.122
ctx-lh-FDdelta,,,,,,,-0.053,-0.027,0.014,-0.026,0.001,0.066,0.037,-0.006,-0.019,0.039,0.058,0.046,0.048,0.039,0.014,0.01,0.058,0.111,0.086,0.005,-0.007,-0.007,0.038,0.027,0.037,0.027,0.118,0.032,0.065,-0.007,-0.008,0.016,0.042,-0.007,-0.063,0.006,-0.084,-0.03,-0.023,0.02,-0.004,0.038,0.059,-0.058,0.013,0.04,0.025,0.013,-0.042,0.003,-0.061,0.023,0.067,0.026,0.037,0.053,0.038,-0.026,-0.015,0.035,0.077,0.118,0.016,-0.019,-0.009,0.039,-0.001,0.022,-0.006,0.086,0.02,0.005,-0.023,0.017,0.061,0.034,0.033,-0.048,0.014,-0.04
ctx-lh-FDT,,,,,,,,0.072,-0.041,-0.006,0.038,0.079,0.038,-0.039,-0.001,0.056,0.002,0.059,0.079,0.042,0.026,0.038,-0.015,0.025,0.091,-0.007,-0.027,-0.038,0.044,0.055,0.03,-0.025,0.032,-0.044,-0.04,0.011,-0.011,0.03,0.009,0.024,-0.074,0.022,-0.023,0.013,0.027,-0.018,-0.033,-0.008,-0.041,-0.032,0.046,0.022,0.03,0.064,0.069,0.005,-0.048,-0.011,0.045,0.018,0.078,0.047,0.054,0.069,0.066,-0.008,0.015,0.058,-0.022,-0.022,-0.039,0.025,-0.027,0.045,0.008,0.066,0.015,0.032,-0.022,0.021,-0.024,0.003,0.037,-0.053,0.052,-0.079
ctx-lh-FE,,,,,,,,,-0.027,-0.093,-0.123,0.01,-0.069,-0.027,0.048,-0.018,0.152,0.011,-0.075,-0.122,-0.182,-0.143,-0.056,-0.026,-0.1,0.107,0.07,0.075,-0.084,-0.038,-0.085,0.033,-0.089,0.039,-0.039,0.074,-0.025,-0.016,0.044,-0.003,0.009,0.099,-0.049,-0.08,0.046,-0.043,0.125,-0.063,-0.029,0.077,-0.022,0.0,-0.072,-0.182,-0.021,-0.052,-0.004,0.068,0.043,0.135,0.046,-0.085,-0.075,-0.156,-0.103,-0.047,-0.042,-0.082,0.115,0.063,0.081,-0.045,-0.067,-0.111,0.085,-0.051,0.06,-0.067,0.057,-0.004,-0.054,-0.012,-0.011,0.041,0.115,-0.095
ctx-lh-FF,,,,,,,,,,0.003,0.084,0.026,0.064,0.005,0.022,0.05,0.003,0.045,-0.019,-0.029,0.026,0.003,-0.024,0.048,-0.001,0.003,-0.032,0.014,-0.04,0.018,0.035,0.007,0.029,-0.048,0.046,0.022,-0.011,-0.031,0.023,0.054,-0.035,0.043,0.034,0.021,-0.011,-0.062,-0.082,-0.048,-0.031,-0.059,-0.004,0.011,0.063,0.017,-0.009,0.057,-0.057,-0.005,0.106,-0.013,0.036,-0.043,-0.01,-0.017,0.023,-0.041,-0.01,0.038,-0.008,-0.025,0.008,-0.025,-0.039,0.013,0.021,-0.004,-0.05,-0.002,0.012,0.029,-0.022,0.039,0.026,-0.066,0.056,-0.035
ctx-lh-FG,,,,,,,,,,,-0.002,-0.011,0.015,-0.026,0.011,-0.01,0.032,0.012,-0.066,-0.079,-0.124,-0.06,-0.035,0.001,-0.041,0.034,0.068,0.041,-0.087,0.003,0.0,0.033,-0.042,-0.03,-0.073,0.026,-0.05,-0.045,0.015,-0.018,-0.057,0.038,-0.021,-0.027,0.071,0.036,0.08,0.018,0.031,0.055,-0.03,0.051,0.006,-0.011,-0.034,0.033,-0.023,0.034,0.085,0.012,0.0,-0.065,0.031,-0.011,-0.024,-0.026,0.026,0.01,0.009,0.016,0.038,-0.014,-0.064,-0.046,0.083,0.01,0.03,0.027,-0.035,-0.008,-0.075,-0.007,-0.038,0.011,0.05,-0.046
