,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K41_42_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.211,-0.005,-0.096,-0.055,-0.002,-0.023,0.006,-0.009,0.025,0.074,0.061,0.006,-0.046,0.128,-0.056,-0.0,-0.112,-0.046,-0.05,0.035,-0.085,0.037,0.014,0.037,0.057,0.046,-0.016,0.12,0.044,-0.019,0.088,-0.087,-0.201,-0.057,-0.008,0.013,-0.052,0.091,-0.075,0.033,0.051,0.08,-0.105,0.073,-0.03,0.066,0.053,0.005,-0.271,-0.091,0.077,-0.108,0.02,0.008,0.005
ctx-lh-K43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.001,0.038,-0.059,-0.011,-0.028,0.041,-0.021,0.004,0.009,-0.04,-0.085,-0.001,-0.016,-0.11,-0.14,-0.106,0.01,-0.034,-0.007,-0.017,-0.08,-0.045,-0.085,-0.064,-0.127,0.053,-0.171,-0.144,0.085,0.087,-0.124,0.066,0.064,0.028,-0.157,0.105,-0.219,-0.141,-0.023,0.026,0.054,0.061,0.202,0.069,0.036,-0.022,-0.114,-0.149,0.054,-0.063,-0.054,-0.143,0.002
ctx-lh-K44a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.038,-0.059,0.014,-0.022,0.062,0.03,0.164,-0.041,-0.005,-0.039,0.034,-0.007,-0.146,-0.141,0.002,-0.06,0.103,0.076,-0.082,-0.021,0.006,-0.116,0.002,0.003,0.004,-0.065,-0.042,-0.066,-0.064,-0.067,0.087,0.112,-0.003,-0.13,-0.037,0.004,-0.021,0.012,0.102,0.017,-0.092,0.064,0.073,0.023,0.097,0.082,0.013,-0.06,-0.018,-0.048,-0.081,-0.09
ctx-lh-K44b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,0.085,0.043,-0.111,-0.081,-0.063,0.006,-0.038,0.028,0.018,0.027,-0.001,-0.112,-0.049,0.025,0.008,0.089,-0.023,0.021,0.076,0.165,0.0,0.092,0.017,0.013,0.001,-0.029,0.011,-0.045,-0.053,0.054,-0.059,-0.04,-0.074,-0.085,0.035,0.015,0.026,-0.002,0.078,-0.047,0.029,0.035,-0.045,-0.02,-0.084,-0.048,-0.023,-0.043,-0.03,-0.002,-0.051
ctx-lh-K45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,-0.008,-0.041,-0.011,-0.0,0.05,0.097,0.137,-0.078,0.067,-0.086,-0.155,-0.029,0.046,-0.025,0.157,0.006,0.031,0.073,0.05,-0.023,0.079,0.01,0.039,0.074,0.019,-0.059,-0.177,0.065,0.017,-0.11,-0.14,-0.032,-0.052,0.033,-0.0,0.081,0.059,0.088,-0.151,-0.085,0.024,0.017,0.108,-0.119,0.058,0.099,0.077,-0.052,0.03,-0.074
ctx-lh-K46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,-0.122,-0.135,-0.133,-0.103,-0.207,0.011,-0.002,-0.012,0.167,0.1,0.141,0.16,0.065,-0.092,-0.153,-0.08,-0.01,-0.016,-0.076,0.001,-0.007,-0.05,-0.052,-0.088,-0.108,0.05,-0.088,-0.05,-0.03,-0.115,0.016,-0.023,0.073,-0.042,-0.1,0.006,0.047,0.023,0.009,-0.01,-0.189,-0.153,-0.062,-0.189,-0.089,0.002,-0.045,0.04,0.108
ctx-lh-K47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,-0.092,-0.039,-0.047,-0.003,0.059,-0.038,-0.032,-0.05,-0.011,0.045,0.039,-0.065,0.05,0.059,-0.01,0.022,-0.049,-0.042,0.076,0.04,-0.032,0.09,0.0,-0.087,-0.173,0.03,-0.026,-0.15,-0.163,-0.03,-0.041,0.031,0.045,0.033,0.067,0.045,-0.017,-0.201,-0.017,-0.068,0.009,-0.124,-0.083,0.048,-0.036,-0.117,0.05,-0.041
ctx-rh-K1_3a_3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.098,0.018,-0.105,0.081,0.113,-0.084,-0.049,-0.003,-0.02,-0.106,-0.095,-0.014,0.077,0.183,0.037,0.086,0.083,-0.035,-0.103,-0.022,0.018,-0.139,-0.045,0.075,0.078,-0.004,0.032,-0.022,0.097,-0.111,-0.004,-0.069,-0.038,0.003,-0.012,0.099,-0.039,0.083,-0.027,0.094,0.004,-0.033,0.025,0.088,-0.037,0.055,-0.147,-0.027
ctx-rh-K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.082,0.078,0.137,0.008,0.001,0.037,0.033,-0.053,-0.044,-0.027,0.162,0.216,0.085,0.111,0.152,-0.065,-0.055,-0.024,-0.074,-0.117,-0.069,0.095,0.001,0.033,0.012,0.023,0.061,-0.046,-0.017,-0.102,-0.028,-0.055,-0.068,0.129,-0.028,0.104,0.086,0.09,0.058,-0.005,0.038,0.12,0.086,0.098,-0.058,0.135
ctx-rh-K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034,0.104,0.128,-0.081,-0.008,-0.031,-0.067,-0.129,-0.08,-0.013,0.116,0.181,0.035,0.064,0.06,-0.113,-0.075,-0.026,-0.019,-0.112,-0.095,-0.017,0.044,0.04,0.068,0.021,0.059,-0.1,0.041,-0.052,0.01,-0.028,-0.006,0.189,-0.084,0.005,0.011,0.096,0.006,-0.016,0.053,0.107,0.031,0.134,-0.08,0.048
