,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.032,0.038,0.011,0.085,0.062,-0.083,0.045,-0.005,-0.044,-0.009,-0.098,-0.091,-0.13,-0.041,0.094,0.07,0.048,-0.072,-0.1,-0.173,-0.037,0.043,0.048,-0.12,0.002,0.045,-0.044,0.11,-0.049,-0.056,-0.071,-0.04,0.039,-0.05,0.007,-0.082,-0.02,-0.035,-0.043,0.025,-0.028,0.09,0.087,-0.071,0.017,0.009,-0.035,0.029,-0.017,-0.108,-0.055,-0.1,0.091,0.065,0.05,-0.069,-0.099,-0.128,-0.07,0.007,0.045,-0.085,-0.065,0.003,-0.055,0.067,-0.015,-0.12,-0.06,-0.088,0.058,-0.094,-0.098,-0.123,-0.022
ctx-lh-FB,,,-0.069,-0.016,0.028,0.123,-0.027,0.055,0.001,-0.007,0.03,-0.035,-0.092,-0.14,-0.102,-0.039,-0.048,0.035,-0.048,-0.086,-0.145,-0.003,0.011,0.015,-0.017,0.027,0.071,-0.013,0.036,-0.06,-0.056,-0.065,-0.0,0.019,-0.0,-0.06,-0.101,-0.052,0.001,-0.045,-0.089,0.036,-0.005,0.095,-0.047,0.064,0.065,-0.029,0.061,-0.024,-0.084,-0.084,-0.124,-0.039,-0.019,0.008,-0.027,-0.058,-0.089,-0.031,-0.029,-0.011,-0.012,0.037,0.03,-0.066,0.003,-0.071,-0.106,-0.065,-0.009,-0.008,0.01,-0.103,-0.15,-0.013
ctx-lh-FBA,,,,-0.078,0.051,0.025,-0.069,-0.048,-0.05,-0.085,-0.029,-0.037,-0.053,-0.066,-0.151,-0.035,-0.048,-0.056,-0.158,-0.165,-0.251,-0.094,-0.077,-0.078,-0.021,0.091,-0.002,-0.132,0.02,-0.041,-0.11,-0.122,-0.075,-0.061,-0.038,-0.01,-0.057,-0.09,0.029,-0.056,-0.076,-0.092,0.068,0.052,-0.09,-0.044,-0.023,-0.109,-0.014,-0.001,-0.035,-0.047,-0.136,0.034,-0.011,-0.085,-0.182,-0.194,-0.241,-0.134,-0.118,-0.096,-0.039,0.083,-0.038,-0.124,0.012,-0.091,-0.144,-0.087,-0.045,0.025,-0.07,-0.069,-0.116,-0.015
ctx-lh-FC,,,,,-0.032,0.025,-0.023,0.029,-0.06,-0.015,-0.002,-0.023,-0.058,-0.089,-0.109,-0.054,-0.072,0.012,-0.007,-0.025,-0.071,0.004,-0.004,-0.015,0.013,0.025,-0.025,-0.052,-0.049,-0.034,-0.047,-0.041,0.021,0.034,0.013,-0.096,-0.115,-0.045,0.045,-0.018,-0.07,0.125,-0.053,0.004,-0.027,0.021,0.075,-0.04,0.046,0.002,-0.024,-0.039,-0.092,-0.078,-0.052,-0.02,0.002,0.022,-0.0,-0.018,-0.046,-0.033,0.015,0.066,0.009,-0.062,-0.063,-0.015,-0.081,-0.063,0.021,-0.03,0.025,-0.093,-0.168,-0.04
ctx-lh-FCBm,,,,,,0.024,-0.027,-0.055,0.077,-0.007,0.018,-0.009,-0.021,-0.034,-0.12,-0.071,-0.01,-0.037,-0.06,-0.051,-0.145,-0.058,-0.053,-0.065,0.051,0.097,0.044,-0.065,0.003,0.014,-0.052,-0.077,-0.016,-0.027,0.015,-0.011,-0.092,-0.054,0.089,0.002,-0.041,-0.038,0.006,0.017,-0.064,-0.015,0.078,0.014,0.035,0.03,-0.007,0.023,-0.085,-0.107,-0.023,-0.044,-0.048,-0.039,-0.096,-0.054,-0.048,-0.059,0.072,0.122,0.06,-0.095,-0.058,0.001,-0.047,-0.051,-0.002,0.007,0.032,-0.027,-0.097,-0.03
ctx-lh-FDdelta,,,,,,,-0.018,0.027,0.005,-0.013,0.03,0.028,0.011,-0.005,-0.025,0.043,0.047,0.121,-0.003,-0.037,-0.037,-0.005,-0.09,-0.02,0.077,0.062,0.086,-0.043,0.05,0.056,0.014,0.027,0.064,0.066,0.076,-0.041,-0.012,0.035,0.081,0.059,0.044,0.0,-0.033,-0.009,-0.071,0.018,0.039,-0.065,0.074,0.09,0.02,0.056,-0.015,0.021,0.049,0.074,-0.011,-0.023,-0.021,0.014,-0.067,-0.012,0.137,0.137,0.05,-0.05,-0.039,0.049,-0.03,-0.035,0.088,0.094,0.061,-0.066,-0.019,0.048
ctx-lh-FDL,,,,,,,,-0.036,-0.017,-0.061,-0.064,-0.036,-0.157,-0.166,0.013,-0.034,-0.113,-0.171,-0.152,-0.08,-0.032,0.026,-0.022,-0.014,-0.092,-0.069,-0.059,-0.064,-0.045,-0.106,-0.077,0.007,-0.118,-0.045,-0.064,0.025,-0.012,-0.075,-0.071,-0.03,-0.042,0.02,-0.027,-0.048,-0.082,-0.009,-0.067,-0.061,0.029,0.03,-0.112,-0.011,-0.039,-0.044,-0.122,-0.144,-0.117,-0.085,-0.054,0.013,-0.058,-0.028,-0.157,-0.055,-0.075,-0.109,-0.031,-0.11,-0.073,-0.018,-0.061,-0.126,-0.069,-0.014,-0.041,-0.024
ctx-lh-FDm,,,,,,,,,0.001,-0.065,-0.082,-0.039,-0.052,-0.086,-0.054,-0.051,-0.009,0.006,-0.014,-0.016,-0.054,0.029,0.023,0.036,0.088,0.04,0.037,-0.027,-0.034,-0.04,-0.027,-0.0,-0.04,0.02,-0.024,-0.042,-0.05,-0.047,0.066,-0.016,-0.057,0.007,-0.076,-0.005,-0.109,-0.055,-0.004,-0.075,-0.026,0.019,-0.081,-0.036,-0.072,-0.086,-0.055,-0.023,-0.05,-0.016,-0.031,0.027,-0.008,0.021,0.051,0.084,0.014,-0.063,-0.091,-0.028,-0.083,-0.036,0.014,-0.014,-0.017,-0.14,-0.09,-0.03
ctx-lh-FDp,,,,,,,,,,-0.026,0.031,-0.017,-0.068,-0.021,-0.119,-0.012,-0.01,0.02,-0.071,-0.072,-0.101,-0.045,-0.063,-0.041,-0.005,0.013,-0.039,-0.047,-0.045,-0.045,-0.086,-0.059,-0.001,0.044,0.01,-0.136,-0.055,-0.001,0.022,-0.036,-0.026,0.002,-0.011,-0.06,-0.075,-0.008,0.064,-0.058,0.045,0.034,-0.08,0.005,-0.094,-0.07,-0.018,-0.04,-0.064,-0.05,-0.039,-0.004,-0.057,-0.017,-0.015,0.044,-0.003,-0.063,-0.085,-0.022,-0.096,-0.045,0.004,-0.003,0.013,-0.096,-0.07,-0.007
ctx-lh-FE,,,,,,,,,,,-0.033,-0.076,-0.142,-0.051,-0.08,0.004,-0.026,-0.043,-0.082,-0.071,-0.116,-0.024,-0.028,-0.002,-0.025,0.006,0.019,0.021,0.027,-0.056,-0.011,-0.021,-0.089,-0.03,-0.021,0.002,-0.046,-0.095,-0.006,-0.028,-0.079,0.019,-0.058,-0.016,-0.096,-0.067,0.023,-0.06,0.012,-0.01,-0.099,-0.018,-0.035,-0.056,-0.026,-0.071,-0.037,-0.042,-0.037,0.015,-0.037,-0.004,-0.03,-0.002,0.029,0.011,-0.015,-0.043,0.002,-0.06,-0.021,-0.04,-0.005,0.01,-0.046,-0.092
