,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K1_3a_3b,,-0.122,-0.116,-0.138,0.007,0.043,0.002,-0.003,0.011,0.027,0.022,-0.057,-0.054,0.08,-0.013,0.053,-0.008,0.032,0.002,-0.092,-0.069,-0.031,-0.103,-0.068,0.012,-0.039,-0.034,-0.116,-0.106,-0.09,0.013,0.049,-0.075,-0.055,-0.004,-0.086,0.001,0.001,-0.022,0.027,0.03,-0.048,-0.147,-0.104,0.055,0.052,0.048,-0.005,0.041,-0.212,-0.143,-0.149,-0.133,0.004,0.106,0.034,-0.005,0.051,0.068,0.051,0.015,-0.029,0.013,-0.066,0.044,0.045,0.024,0.024,-0.069,-0.059,-0.01,-0.078,-0.07,0.016,-0.007,-0.005,-0.068,-0.143,-0.047,0.056,-0.044,-0.084,-0.009,-0.062,-0.03,0.027,0.025,0.024,0.071,-0.066,-0.112,-0.189,-0.159,0.096,0.043,0.069,0.039,0.043
ctx-lh-K2,,,-0.026,-0.069,0.024,-0.004,0.021,0.052,-0.02,0.02,-0.005,-0.095,-0.066,0.108,0.031,0.046,-0.015,0.022,0.004,-0.075,-0.103,-0.01,-0.07,-0.097,-0.058,-0.056,-0.04,-0.13,-0.105,-0.103,0.031,0.0,-0.074,-0.087,-0.065,-0.141,-0.051,-0.004,-0.013,0.024,0.002,-0.009,-0.094,-0.052,0.039,0.037,-0.006,-0.036,0.019,-0.139,-0.117,-0.033,-0.063,0.044,0.067,0.037,0.001,0.012,0.041,0.021,-0.004,-0.055,0.042,-0.063,0.059,0.019,0.008,0.002,-0.056,-0.068,-0.021,-0.064,-0.1,-0.045,-0.046,-0.027,-0.106,-0.166,-0.094,0.072,-0.061,-0.089,-0.027,-0.119,-0.101,-0.031,0.003,0.0,0.034,-0.042,-0.055,-0.145,-0.112,0.094,0.034,0.024,-0.01,0.014
ctx-lh-K4,,,,-0.059,0.007,0.014,-0.027,0.007,-0.021,0.005,-0.006,-0.078,-0.03,0.118,0.052,0.041,0.004,0.039,0.001,-0.075,-0.087,-0.028,-0.109,-0.079,0.004,-0.043,-0.037,-0.121,-0.125,-0.112,0.001,0.013,-0.082,-0.071,-0.043,-0.109,0.012,-0.045,-0.027,-0.023,0.03,0.023,-0.13,-0.032,0.068,0.04,0.044,-0.047,0.051,-0.13,-0.037,-0.089,-0.036,0.061,0.123,0.023,0.0,0.035,0.04,0.023,0.003,-0.018,0.092,-0.009,0.044,0.053,0.025,0.019,-0.073,-0.05,-0.026,-0.084,-0.074,-0.02,-0.01,-0.02,-0.081,-0.151,-0.043,0.042,-0.052,-0.086,-0.007,-0.068,-0.033,0.046,-0.027,0.025,0.065,0.037,0.012,-0.137,-0.059,0.116,0.022,0.046,0.012,0.062
ctx-lh-K5,,,,,0.052,0.027,-0.006,-0.016,-0.01,0.007,-0.03,-0.131,-0.085,0.109,0.023,0.018,0.024,0.061,-0.007,-0.055,-0.087,-0.011,-0.063,-0.07,-0.037,-0.06,-0.018,-0.163,-0.111,-0.094,-0.014,-0.013,-0.039,-0.088,-0.066,-0.073,-0.053,-0.045,-0.014,-0.011,0.071,0.065,-0.068,-0.026,0.073,0.051,0.002,-0.053,-0.04,-0.129,-0.097,-0.052,-0.062,0.085,0.118,0.022,-0.037,0.027,0.009,0.001,-0.054,-0.064,0.055,0.004,-0.008,0.04,0.033,-0.003,-0.052,-0.063,-0.033,-0.069,-0.089,-0.048,-0.071,-0.055,-0.136,-0.164,-0.081,0.018,-0.061,-0.044,-0.051,-0.064,-0.063,-0.023,-0.053,-0.013,0.06,0.043,0.043,-0.089,-0.037,0.139,0.04,0.019,-0.008,0.006
ctx-lh-K6aa,,,,,,0.019,-0.014,0.028,0.005,0.04,0.035,-0.029,0.018,0.053,0.046,0.021,0.009,0.015,0.043,-0.006,-0.061,0.025,-0.039,-0.038,-0.007,-0.015,0.01,-0.048,-0.02,-0.07,0.077,0.047,-0.06,-0.056,-0.051,-0.114,0.049,-0.034,0.004,-0.015,-0.006,0.035,-0.023,-0.012,0.015,0.003,-0.0,-0.06,0.065,0.022,0.093,0.039,0.062,-0.036,0.046,-0.029,0.024,0.031,0.028,0.023,0.036,0.005,0.063,0.009,0.073,0.03,0.001,0.036,-0.024,-0.024,0.046,0.003,-0.036,-0.024,0.001,0.027,-0.035,-0.066,-0.024,0.084,-0.039,-0.032,-0.009,-0.083,-0.06,0.087,-0.025,0.027,0.025,0.045,-0.003,-0.02,-0.013,0.017,0.029,-0.033,-0.025,0.028
ctx-lh-K6ab_1,,,,,,,0.006,0.011,-0.01,0.006,0.047,-0.036,-0.063,0.041,0.013,0.025,-0.029,0.002,0.052,0.015,-0.009,0.063,0.0,-0.004,-0.077,-0.054,0.026,-0.048,-0.02,-0.051,0.045,-0.009,-0.06,-0.071,-0.077,-0.044,-0.047,-0.046,-0.025,0.003,0.079,0.029,-0.014,0.007,0.047,-0.028,-0.071,-0.023,0.003,0.029,0.038,0.007,0.052,0.002,0.073,0.005,0.012,0.04,0.005,0.014,0.032,-0.021,0.065,0.031,0.062,-0.01,-0.0,0.05,0.012,0.014,0.011,0.007,-0.028,-0.057,-0.02,0.015,-0.053,-0.016,0.034,0.048,-0.064,-0.042,-0.015,-0.05,-0.026,-0.017,-0.044,0.0,0.065,0.07,0.001,-0.022,-0.005,0.051,-0.004,-0.043,0.035,0.017
ctx-lh-K6ab_2,,,,,,,,0.025,0.067,0.026,0.071,0.025,0.04,0.082,0.053,0.032,0.016,0.029,0.059,0.072,-0.003,0.071,0.06,0.021,-0.056,-0.046,0.02,-0.049,0.005,0.039,0.161,0.001,0.018,-0.037,-0.052,-0.005,-0.007,-0.025,0.054,0.04,0.077,0.049,0.021,0.009,0.063,0.071,0.003,-0.003,0.017,-0.008,0.066,0.001,0.026,-0.009,0.026,-0.006,0.031,0.066,-0.041,0.069,0.068,0.009,0.072,-0.003,0.061,0.087,0.004,0.044,0.057,0.021,0.047,0.078,0.017,-0.046,-0.016,-0.037,-0.046,-0.002,0.047,0.154,-0.04,0.03,0.003,-0.029,-0.021,-0.001,-0.014,0.047,0.103,0.029,-0.01,-0.013,-0.01,0.047,0.069,0.018,0.03,0.03
ctx-lh-K7,,,,,,,,,0.021,-0.019,-0.02,-0.043,-0.018,0.082,0.065,0.009,0.064,0.054,0.005,0.061,-0.015,0.012,0.054,-0.032,-0.066,-0.093,0.038,-0.117,-0.068,0.01,0.079,0.0,-0.021,-0.087,-0.086,-0.069,-0.079,-0.044,0.008,0.06,0.093,0.11,0.051,0.009,0.067,0.028,-0.025,0.015,0.009,0.031,0.06,0.036,0.122,0.014,-0.005,-0.018,-0.037,0.006,-0.023,-0.017,-0.008,-0.051,0.057,0.035,0.005,0.063,0.02,0.002,0.032,-0.017,0.017,0.079,-0.036,-0.105,-0.107,-0.05,-0.112,-0.083,-0.071,0.063,-0.034,0.019,-0.081,-0.113,-0.131,-0.043,-0.081,-0.049,0.078,0.035,0.023,0.043,-0.001,0.075,0.01,-0.017,0.011,-0.01
ctx-lh-K8_1,,,,,,,,,,0.05,0.043,-0.017,-0.057,0.072,-0.0,0.082,-0.013,-0.003,0.089,0.031,0.023,0.115,0.036,0.043,-0.066,-0.083,0.006,-0.055,-0.018,0.013,0.052,0.016,-0.082,-0.069,-0.066,0.021,-0.06,0.001,-0.051,0.049,0.055,0.008,-0.032,0.002,0.029,0.033,-0.015,0.052,0.021,-0.019,-0.005,-0.03,0.01,-0.007,0.034,0.038,0.037,-0.002,0.067,0.014,0.032,0.01,0.047,-0.01,0.102,0.014,0.0,0.078,0.033,0.025,0.066,0.03,0.025,-0.096,-0.067,0.011,-0.042,-0.002,0.002,0.048,-0.078,-0.055,-0.005,-0.052,0.035,-0.06,-0.007,-0.057,0.133,-0.001,-0.046,-0.03,-0.029,0.055,0.024,0.007,0.091,0.045
ctx-lh-K8_2,,,,,,,,,,,0.047,0.028,0.005,0.07,0.058,0.066,-0.02,-0.021,0.083,0.018,-0.013,0.075,0.012,0.021,-0.066,-0.08,0.032,-0.044,-0.008,0.01,0.074,0.035,-0.052,-0.058,-0.018,0.006,-0.038,-0.038,-0.036,0.014,0.06,0.045,0.01,0.049,0.017,0.024,-0.022,-0.001,0.015,0.013,0.024,-0.005,0.003,0.018,0.046,0.001,-0.003,0.006,-0.007,0.003,0.029,0.017,0.05,0.003,0.11,0.019,-0.018,0.08,0.026,0.012,0.057,0.027,0.017,-0.064,-0.056,0.013,-0.038,0.008,0.016,0.073,-0.048,-0.056,0.004,-0.015,0.039,-0.04,-0.026,-0.037,0.078,0.041,0.0,-0.006,-0.002,0.031,-0.005,0.003,0.044,0.013
