,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-rh-FDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.012,0.036,0.064,-0.007,-0.001,-0.103,-0.025,0.033,-0.036,-0.03,-0.059,-0.013,0.072,0.028,-0.0,-0.021,0.044,0.01,-0.061,-0.077,0.01,0.023,0.059,0.04,0.046,-0.061,0.058,0.011,0.042,-0.033,-0.01,-0.026,-0.029,-0.019,-0.039
ctx-rh-FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,-0.059,-0.08,-0.009,-0.033,-0.091,-0.009,0.008,0.074,-0.037,-0.068,-0.022,-0.062,-0.071,-0.011,-0.079,-0.047,0.044,-0.035,-0.014,-0.045,-0.069,-0.08,0.029,-0.051,0.001,-0.047,0.001,-0.022,-0.061,-0.005,-0.047,-0.085,-0.025,-0.106
ctx-rh-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,0.019,-0.011,-0.02,-0.064,0.006,0.066,-0.007,-0.019,-0.062,-0.013,0.044,0.031,-0.032,-0.006,0.049,0.002,-0.062,-0.052,0.006,0.015,0.035,0.01,0.0,-0.046,0.056,0.009,0.027,-0.046,0.027,0.008,-0.033,0.006,-0.023
ctx-rh-FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,-0.003,0.042,-0.032,0.044,0.143,0.039,0.012,-0.04,0.038,0.016,-0.022,0.043,-0.006,-0.017,0.016,-0.001,0.001,-0.029,-0.072,-0.044,0.004,-0.011,0.025,-0.0,-0.02,0.056,0.002,0.007,0.013,0.029,0.06,0.02
ctx-rh-FH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,-0.028,-0.09,-0.021,0.012,0.073,0.031,-0.05,0.01,0.01,0.011,0.037,-0.03,-0.03,0.027,-0.002,-0.016,0.008,-0.039,0.004,0.075,0.019,0.063,0.034,-0.008,0.063,-0.018,-0.006,-0.01,0.002,0.012,-0.052
ctx-rh-FJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005,-0.014,0.012,-0.037,0.03,0.032,-0.024,-0.028,-0.044,-0.024,-0.042,-0.075,-0.034,0.02,-0.053,-0.024,0.035,0.01,0.07,0.037,0.019,0.022,-0.024,0.031,0.062,0.04,0.025,0.018,0.009,0.013,0.018
ctx-rh-FLMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008,-0.016,0.096,0.014,-0.004,-0.031,0.014,0.037,0.015,0.025,0.021,0.043,0.035,-0.008,0.017,-0.029,-0.083,-0.057,-0.02,-0.019,-0.018,-0.007,0.003,0.024,0.003,0.01,-0.031,-0.038,0.046,-0.037
ctx-rh-HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.059,-0.062,-0.004,-0.12,-0.127,-0.039,-0.039,-0.026,0.001,-0.075,-0.043,-0.012,-0.005,0.022,-0.038,0.016,0.032,-0.012,-0.057,-0.058,-0.049,-0.097,-0.069,-0.053,-0.002,-0.074,0.03,-0.003
ctx-rh-HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.055,0.028,-0.032,-0.062,-0.013,-0.019,-0.03,-0.016,0.006,0.035,0.049,0.029,0.037,0.05,0.081,0.032,-0.005,0.008,-0.035,0.036,0.029,-0.01,0.024,-0.011,0.022,0.058,-0.003
ctx-rh-HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002,-0.02,-0.032,-0.008,0.043,0.011,0.07,-0.016,0.005,-0.011,-0.02,-0.004,0.014,-0.038,0.003,0.003,-0.024,0.033,-0.022,-0.008,-0.021,-0.042,-0.003,-0.054,-0.001,0.017,0.006
