,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,-0.468,0.01,-0.463,-0.405,-0.531,-0.174,-0.343,-0.378,-0.179,-0.171,-0.275,-0.56,-0.496,-0.238,-0.374,-0.331,-0.171,-0.341,-0.272,-0.395,-0.235,-0.165,-0.421,-0.236,-0.146,-0.314,-0.438,-0.307,-0.216
ctx-lh-CT1_2_fro_inf,,,0.092,-0.551,-0.354,-0.583,-0.15,-0.232,-0.279,-0.123,0.0,-0.241,-0.243,-0.252,-0.185,-0.3,-0.277,-0.091,-0.385,-0.225,-0.316,-0.084,0.017,-0.215,-0.159,-0.017,-0.273,-0.242,-0.173,-0.119
ctx-lh-CT1_2_mof,,,,-0.061,0.083,0.149,0.079,0.261,0.138,0.227,-0.1,-0.14,-0.062,0.029,0.225,-0.069,0.01,-0.144,0.014,0.214,0.238,0.09,0.228,0.072,0.178,-0.064,-0.152,-0.025,0.051,0.18
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.358,-0.517,-0.168,-0.261,-0.486,-0.373,-0.171,-0.464,-0.53,-0.452,-0.326,-0.447,-0.386,-0.108,-0.43,-0.294,-0.378,-0.296,-0.206,-0.542,-0.441,-0.19,-0.506,-0.592,-0.376,-0.338
ctx-lh-CT1_2_temp,,,,,,-0.451,-0.235,-0.295,-0.185,-0.02,0.02,-0.229,-0.185,-0.157,-0.076,-0.306,-0.082,0.051,-0.383,-0.291,-0.285,-0.166,-0.14,-0.213,-0.119,0.014,-0.239,-0.184,-0.12,-0.112
ctx-lh-CT2_fro,,,,,,,-0.229,-0.028,-0.44,-0.314,-0.144,-0.403,-0.372,-0.252,-0.288,-0.436,-0.401,-0.056,-0.336,-0.372,-0.182,-0.223,0.017,-0.44,-0.369,-0.191,-0.419,-0.48,-0.265,-0.267
ctx-lh-CT2_par,,,,,,,,-0.21,-0.223,-0.277,-0.069,0.017,-0.371,-0.382,-0.263,-0.116,-0.159,-0.13,-0.08,-0.283,-0.248,-0.269,-0.272,-0.294,-0.291,-0.098,0.138,-0.309,-0.307,-0.312
ctx-lh-CT3_fro,,,,,,,,,-0.303,-0.129,-0.094,-0.094,-0.179,-0.161,0.012,-0.262,-0.113,0.011,-0.252,-0.058,0.134,-0.171,0.095,-0.243,-0.185,0.087,-0.223,-0.188,-0.056,-0.095
ctx-lh-CT3_par,,,,,,,,,,-0.016,-0.002,-0.132,-0.365,-0.184,-0.033,-0.252,-0.219,0.032,-0.427,-0.132,-0.35,-0.294,-0.288,-0.199,-0.03,-0.041,-0.163,-0.263,-0.109,-0.06
ctx-lh-CT4_occ,,,,,,,,,,,0.021,-0.374,-0.247,-0.125,-0.172,-0.111,-0.032,-0.001,-0.302,0.062,-0.208,-0.258,-0.137,0.037,-0.181,-0.029,-0.328,-0.233,-0.089,-0.18
