,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.086,-0.002,0.007,0.037,-0.051,-0.136,0.002,0.071,-0.027,0.058,-0.007,-0.104,0.087,-0.031,-0.0,0.021,-0.052,-0.005,-0.084,-0.096,-0.078,-0.077,-0.054,-0.02,0.036,0.039,0.02,0.022,-0.109,0.03,-0.009,0.006,-0.081,-0.123,0.081,0.02,0.023,-0.026,0.101,-0.005,0.079,0.082,0.074,-0.134,0.089,0.032,-0.035,0.025,-0.025,0.033,0.057,-0.094,-0.011,-0.046,-0.029,-0.008,-0.037,-0.101,-0.071,-0.046,-0.045,-0.015,-0.009,0.041,-0.001,-0.071,-0.024,0.023,-0.077,-0.063,-0.121,-0.115,-0.045,-0.027,-0.07
ctx-lh-FB,,,-0.096,0.071,-0.079,0.069,0.019,0.066,0.031,0.025,0.045,0.027,-0.068,-0.027,0.02,-0.079,-0.125,-0.013,0.041,-0.005,0.101,-0.087,-0.022,0.025,-0.08,-0.083,-0.047,-0.013,-0.147,-0.154,0.055,-0.075,-0.06,-0.108,-0.038,0.003,0.032,0.053,-0.136,-0.121,-0.077,0.16,-0.129,0.171,0.147,0.106,0.174,0.095,0.055,0.041,0.084,0.11,-0.11,-0.086,-0.078,-0.012,0.052,0.003,0.029,-0.11,-0.033,-0.005,-0.164,-0.07,-0.042,-0.036,-0.185,-0.156,0.034,-0.089,-0.155,-0.099,-0.101,-0.084,0.005,-0.047
ctx-lh-FBA,,,,0.006,-0.029,-0.027,-0.003,-0.052,0.055,-0.013,-0.021,0.037,-0.031,-0.006,-0.102,-0.047,-0.124,-0.093,0.023,-0.015,-0.011,0.034,0.004,0.01,-0.105,0.005,0.067,-0.023,-0.117,-0.044,0.018,0.017,0.003,-0.16,-0.14,0.002,0.01,-0.068,-0.022,0.039,-0.082,0.15,0.056,0.138,0.009,0.1,0.031,0.031,0.0,0.064,0.019,0.035,-0.064,-0.024,-0.065,-0.041,0.046,0.077,-0.042,0.037,0.031,0.008,-0.038,0.01,0.029,0.022,-0.116,-0.022,0.055,0.061,-0.095,-0.173,-0.04,0.031,0.022,-0.036
ctx-lh-FC,,,,,0.028,0.019,0.068,0.066,0.017,0.079,0.06,0.02,0.074,-0.008,0.067,0.016,0.043,0.054,0.007,-0.041,0.072,0.018,0.055,0.071,0.004,0.033,-0.03,0.044,-0.077,0.038,-0.014,0.155,-0.009,-0.045,0.049,0.073,0.074,0.032,-0.08,-0.127,-0.011,-0.064,-0.054,0.11,0.161,0.025,0.082,0.03,0.035,0.134,0.133,0.125,-0.098,0.026,0.027,-0.003,0.004,-0.055,-0.006,-0.008,0.015,0.073,-0.147,0.008,-0.073,-0.01,-0.093,-0.021,-0.108,0.035,-0.024,-0.012,-0.071,-0.111,0.028,-0.016
ctx-lh-FCBm,,,,,,0.067,0.015,0.002,0.01,0.033,-0.097,-0.03,-0.092,-0.029,-0.074,0.009,-0.019,0.033,0.012,0.007,0.105,-0.036,-0.067,-0.013,0.02,0.11,0.048,0.07,0.034,0.021,-0.01,0.05,-0.065,0.017,-0.155,-0.014,0.019,-0.059,0.002,-0.019,-0.073,0.179,-0.083,0.197,0.116,0.089,0.118,0.142,0.025,0.009,-0.041,0.04,-0.207,0.015,-0.093,0.032,0.07,0.056,-0.02,-0.019,-0.05,-0.036,-0.045,0.055,0.03,0.025,0.002,-0.066,0.027,0.051,-0.101,-0.114,-0.03,-0.07,-0.017,-0.131
ctx-lh-FDdelta,,,,,,,0.119,0.045,0.111,0.002,0.077,0.053,0.04,-0.003,0.098,0.027,0.033,0.027,0.013,-0.004,0.09,-0.026,0.07,0.079,-0.11,-0.07,-0.124,-0.003,-0.004,-0.054,0.045,-0.062,-0.02,-0.01,0.049,0.057,0.073,0.12,-0.093,0.01,-0.042,0.119,0.004,0.126,0.156,0.09,0.051,-0.006,0.115,0.084,-0.024,-0.01,-0.006,0.009,-0.006,0.004,0.005,0.002,0.044,-0.048,-0.034,0.03,-0.148,-0.05,-0.181,-0.031,-0.006,-0.011,-0.022,-0.096,0.022,-0.088,-0.029,-0.062,-0.014,0.083
ctx-lh-FDL,,,,,,,,0.137,0.128,0.085,0.034,-0.044,0.054,0.033,-0.025,0.045,0.05,0.132,0.017,-0.058,-0.048,0.051,0.053,0.001,-0.077,-0.115,0.056,-0.014,0.011,-0.043,-0.093,0.09,-0.066,0.023,-0.025,0.041,-0.032,-0.005,-0.146,-0.055,0.01,-0.077,-0.002,0.162,-0.017,0.084,0.112,-0.052,-0.048,0.062,-0.042,-0.079,-0.001,0.058,0.019,0.026,-0.033,-0.1,-0.057,0.017,-0.004,0.083,-0.139,-0.113,-0.104,-0.09,0.05,-0.049,-0.124,0.02,-0.014,-0.005,-0.074,-0.15,-0.06,-0.014
ctx-lh-FDm,,,,,,,,,0.146,0.019,0.005,0.025,0.084,0.024,0.045,0.042,-0.0,0.008,0.058,0.004,0.067,0.001,0.042,0.071,-0.054,-0.004,0.053,0.048,-0.054,0.02,-0.016,0.078,-0.058,-0.105,0.005,0.079,0.034,-0.012,-0.045,-0.048,-0.043,-0.034,-0.024,0.109,0.085,-0.062,0.141,0.001,0.027,0.113,0.011,0.046,-0.022,-0.032,0.016,-0.033,0.035,-0.012,-0.019,-0.023,-0.006,0.08,-0.105,-0.021,-0.119,-0.036,-0.049,-0.002,-0.089,-0.056,0.018,-0.042,-0.072,-0.067,-0.035,-0.029
ctx-lh-FDp,,,,,,,,,,0.038,-0.005,-0.05,0.049,-0.092,0.093,0.059,0.132,0.016,-0.001,-0.063,0.068,-0.009,-0.003,0.036,0.067,0.055,0.002,0.053,-0.054,0.096,-0.037,0.085,-0.053,0.005,0.048,-0.016,0.077,-0.082,0.008,0.008,0.024,-0.031,-0.019,0.096,0.165,0.118,0.114,0.041,0.034,0.045,0.038,0.082,0.008,0.03,0.076,0.045,0.029,-0.042,-0.015,0.033,-0.01,0.049,-0.065,0.004,-0.015,0.035,-0.017,0.086,-0.124,0.025,-0.053,-0.063,-0.042,-0.083,0.07,-0.034
ctx-lh-FE,,,,,,,,,,,0.02,-0.016,0.121,0.022,0.063,0.07,0.103,-0.043,-0.044,-0.07,-0.061,0.098,0.094,0.091,0.023,-0.01,0.022,0.072,-0.029,0.021,-0.014,0.041,-0.013,0.056,0.032,0.049,0.142,0.072,-0.089,0.017,0.026,-0.081,0.026,-0.043,-0.051,-0.027,-0.069,-0.167,0.023,-0.033,-0.0,-0.029,0.115,0.031,0.109,-0.04,-0.024,-0.128,-0.066,0.117,0.066,0.116,-0.044,-0.106,-0.105,-0.004,0.001,-0.006,-0.11,0.035,-0.025,0.063,-0.056,-0.008,0.129,0.094
