,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,-0.078,-0.027,-0.0,0.077,-0.063,-0.111,-0.095,-0.093,-0.076
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,-0.096,0.063,-0.015,-0.041,0.13,0.075,0.048,0.008
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,-0.049,-0.063,0.003,-0.036,-0.086,-0.071,-0.075
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,0.093,-0.056,0.049,0.087,0.096,0.132
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,0.086,-0.025,0.133,0.048,0.071
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.062,-0.084,-0.069,0.09
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034,-0.005,0.018
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.011
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.065
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
