,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,-0.015,-0.083,-0.065,-0.02,-0.074,-0.051,0.076,0.032,-0.072,-0.039,-0.119,-0.074,-0.019,-0.151,0.01,-0.064,-0.014,-0.088,-0.082,0.035,0.075,0.086,-0.082,0.167,0.009,0.026,-0.008,-0.053,-0.125,0.077,-0.037,-0.067,-0.07
ctx-lh-frontal,,,0.019,0.069,0.202,0.102,-0.009,0.17,0.114,0.01,-0.014,-0.09,-0.025,0.105,0.004,0.144,-0.062,-0.119,-0.025,-0.074,0.105,0.172,0.195,-0.021,0.252,0.173,0.063,-0.007,-0.105,-0.114,0.094,0.035,-0.029,-0.115
ctx-lh-inter_precentral,,,,-0.038,0.03,-0.05,-0.071,0.058,0.049,-0.096,-0.095,-0.235,-0.028,-0.04,0.01,0.052,-0.071,-0.199,-0.024,-0.252,-0.067,0.014,0.044,-0.116,0.117,0.068,-0.118,-0.121,-0.307,-0.104,0.021,0.043,-0.068,-0.184
ctx-lh-precentral,,,,,-0.206,-0.133,-0.019,0.027,0.065,0.019,-0.077,-0.137,0.129,-0.067,-0.085,-0.005,0.158,-0.064,0.119,-0.025,-0.321,-0.225,-0.208,0.019,-0.01,0.093,0.055,-0.121,-0.246,0.097,0.052,0.015,-0.038,0.141
ctx-lh-postcentral,,,,,,-0.195,0.073,0.06,0.128,0.07,-0.034,-0.03,0.103,-0.045,-0.145,0.009,0.379,-0.006,0.23,0.149,-0.294,-0.389,-0.157,0.064,-0.067,0.05,0.139,-0.051,-0.087,0.156,0.078,-0.053,-0.07,0.317
ctx-lh-inter_postcentral,,,,,,,-0.066,-0.112,-0.023,-0.013,-0.128,-0.102,0.087,-0.002,-0.129,0.005,0.241,-0.127,0.094,-0.012,-0.166,-0.111,-0.139,-0.086,-0.128,-0.02,0.015,-0.175,-0.174,0.111,0.163,0.031,-0.035,0.168
ctx-lh-parietal,,,,,,,,-0.067,0.024,-0.117,-0.024,-0.049,-0.081,0.004,-0.196,0.128,0.016,-0.151,-0.082,-0.118,-0.046,-0.024,-0.013,-0.198,0.011,-0.012,-0.171,0.003,-0.157,-0.062,-0.051,-0.051,-0.074,-0.056
ctx-lh-visuopsychic,,,,,,,,,-0.04,0.076,-0.012,0.049,-0.014,0.09,-0.134,0.002,0.182,0.087,0.204,0.049,0.013,-0.023,0.023,-0.102,-0.279,-0.045,0.13,-0.055,0.167,0.088,0.163,0.049,0.029,0.152
ctx-lh-visuosensory,,,,,,,,,,0.044,-0.014,-0.032,-0.084,0.072,-0.118,-0.028,0.208,0.026,0.107,0.033,0.059,0.076,0.112,-0.044,0.009,-0.091,0.108,-0.003,0.047,0.162,0.129,0.097,-0.05,0.154
ctx-lh-temporal,,,,,,,,,,,-0.071,-0.101,0.014,-0.099,-0.159,0.019,-0.05,-0.116,0.048,-0.121,0.01,0.003,0.13,-0.231,0.149,0.052,-0.157,-0.1,-0.112,-0.072,-0.045,-0.016,-0.053,-0.07
ctx-lh-audiopsychic,,,,,,,,,,,,-0.34,0.009,-0.062,-0.045,-0.074,0.143,-0.095,0.006,-0.097,-0.093,-0.197,-0.098,-0.104,-0.069,-0.096,-0.142,-0.446,-0.385,-0.042,0.028,0.002,-0.138,0.068
ctx-lh-audiosensory,,,,,,,,,,,,,-0.035,-0.221,-0.123,-0.141,0.036,-0.095,0.024,-0.116,-0.115,-0.107,-0.01,-0.07,-0.016,-0.099,0.001,-0.311,-0.35,-0.004,-0.14,-0.12,-0.151,0.013
ctx-lh-olfactory,,,,,,,,,,,,,,-0.167,0.022,-0.147,-0.076,-0.114,-0.008,0.025,0.094,0.09,0.156,-0.14,-0.012,-0.032,-0.021,0.135,-0.062,-0.002,-0.159,-0.134,-0.056,-0.038
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.158,0.017,-0.089,-0.147,0.003,-0.124,-0.047,-0.069,0.122,-0.066,0.197,0.043,-0.016,-0.02,-0.201,-0.26,-0.128,-0.054,-0.138,-0.106
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.131,0.052,-0.144,-0.004,-0.062,-0.153,-0.132,-0.114,-0.18,-0.026,-0.081,-0.083,-0.039,-0.049,0.024,-0.214,0.027,-0.186,-0.178
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.033,-0.075,0.018,-0.088,-0.038,-0.021,0.11,-0.002,0.168,-0.009,0.016,0.028,-0.119,-0.148,-0.142,-0.003,-0.189,-0.038
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.082,-0.124,-0.004,0.178,0.272,0.259,0.025,0.165,0.181,-0.046,0.11,0.03,-0.171,-0.065,-0.098,-0.076,-0.161
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,-0.171,-0.195,-0.05,0.086,0.076,-0.162,0.168,0.038,0.002,-0.032,-0.081,-0.088,-0.155,-0.048,-0.141,-0.117
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.059,0.143,0.167,0.202,0.009,0.21,0.133,0.101,0.04,-0.036,-0.079,0.016,0.072,-0.089,-0.154
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.056,0.112,0.137,-0.078,0.017,-0.01,-0.07,-0.09,-0.243,-0.057,-0.066,-0.018,-0.194,-0.189
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.207,0.006,0.022,-0.047,0.037,0.073,-0.105,-0.216,0.045,0.093,-0.011,-0.084,0.141
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.065,0.026,-0.071,0.038,0.1,-0.101,-0.118,0.11,0.125,-0.056,-0.091,0.237
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.019,0.111,0.219,-0.105,-0.044,0.164,0.243,0.098,0.055,0.2
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.103,-0.074,-0.143,-0.078,-0.121,-0.037,-0.08,-0.067,-0.069,-0.012
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007,0.148,-0.043,0.115,0.089,0.205,0.155,0.128,0.082
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086,-0.085,-0.008,0.135,0.08,0.015,-0.003,0.14
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,0.018,-0.023,0.03,0.02,-0.001,-0.088
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.262,0.023,0.123,0.125,-0.026,-0.012
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,-0.155,0.001,-0.168,0.028
