,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.005,-0.03,0.007,-0.049,0.031,-0.037,-0.039,-0.06,-0.027,0.009,-0.006,-0.045,0.013,0.008,0.032,0.003,0.01,-0.135,-0.102,0.001,-0.171,-0.103,-0.019,-0.082,-0.117,-0.134,-0.06,-0.011,0.007,0.024,0.021,0.05,0.004,-0.053,0.075,0.024,0.061,0.073,-0.07,-0.038,0.032,0.002,0.073,0.036,0.005,0.018,-0.008,0.022,0.014,-0.051,-0.021,-0.016,-0.045,-0.06,-0.069,-0.012,-0.062,-0.03,0.041,-0.108,-0.127,0.025,0.007,-0.066,-0.034,-0.15,0.057,0.017,-0.01,0.024,-0.012,-0.073,0.015,0.09,0.036,0.046,0.017
ctx-lh-BA2,,,0.0,0.038,-0.039,-0.053,-0.026,-0.042,-0.064,-0.017,0.099,0.042,-0.017,0.05,0.036,0.039,0.024,0.057,-0.137,-0.116,-0.009,-0.106,-0.092,-0.069,-0.121,-0.096,-0.12,-0.055,-0.058,-0.054,0.045,0.04,0.039,0.013,0.009,0.093,0.06,0.044,0.109,0.037,-0.047,0.053,0.008,-0.001,-0.099,-0.005,0.018,-0.007,0.007,0.074,0.008,0.018,0.025,0.002,-0.011,-0.006,0.036,-0.083,-0.006,0.043,-0.129,-0.152,-0.008,-0.049,-0.026,-0.029,-0.115,0.05,0.001,-0.028,-0.025,-0.105,-0.001,0.068,0.087,0.094,0.069,0.068
ctx-lh-BA4,,,,0.01,-0.088,-0.013,-0.048,-0.047,-0.04,-0.006,-0.009,0.013,-0.04,0.007,-0.013,0.045,0.065,-0.021,-0.129,-0.105,-0.007,-0.185,-0.098,-0.086,-0.089,-0.13,-0.089,-0.089,-0.052,-0.021,-0.004,0.047,0.033,-0.048,-0.041,0.026,0.025,0.037,0.1,-0.086,-0.007,0.021,0.075,0.049,0.004,0.04,0.045,0.024,0.032,-0.008,-0.067,-0.011,-0.032,-0.046,-0.091,-0.014,-0.053,-0.083,0.007,0.066,-0.087,-0.165,-0.058,0.001,-0.046,0.041,-0.126,0.009,-0.007,-0.043,0.048,-0.024,-0.089,-0.038,0.057,0.049,0.062,0.047
ctx-lh-BA5,,,,,-0.042,0.031,0.004,-0.048,-0.067,0.016,0.026,-0.011,0.028,0.059,0.008,-0.028,0.023,0.028,-0.078,-0.072,0.01,-0.046,-0.016,-0.066,-0.103,-0.116,-0.097,-0.066,-0.019,-0.041,0.04,0.066,0.091,0.032,0.02,0.025,0.03,0.037,0.068,-0.052,0.004,0.028,-0.023,0.022,0.008,0.067,0.046,-0.036,0.015,-0.018,-0.054,0.029,-0.009,-0.028,0.014,0.045,-0.013,-0.032,-0.003,0.024,-0.018,-0.075,-0.001,0.026,0.01,0.015,-0.025,0.087,-0.002,0.014,0.096,0.002,-0.043,0.016,0.054,0.035,0.065,0.067
ctx-lh-BA6,,,,,,-0.031,0.025,-0.005,0.006,0.02,-0.015,-0.033,-0.055,0.026,-0.031,-0.032,-0.006,-0.059,-0.056,-0.071,-0.082,-0.05,-0.091,-0.043,-0.041,-0.054,-0.002,-0.041,-0.047,-0.065,-0.028,0.064,-0.043,-0.117,-0.05,-0.022,-0.001,0.02,0.096,-0.08,-0.014,-0.083,0.023,-0.162,-0.028,0.105,0.133,0.141,0.13,0.002,-0.114,-0.017,-0.048,-0.03,-0.009,-0.024,-0.12,-0.028,-0.048,0.067,-0.04,-0.146,-0.048,0.011,0.049,0.009,-0.132,0.075,-0.017,-0.054,0.079,-0.094,-0.121,-0.08,-0.04,0.052,0.105,0.095
ctx-lh-BA7,,,,,,,0.016,-0.017,-0.038,0.053,0.077,0.08,-0.031,-0.028,-0.025,-0.023,0.032,0.075,-0.063,0.006,-0.003,-0.0,-0.049,-0.049,-0.04,0.006,0.008,-0.025,-0.101,-0.057,0.039,0.095,0.118,0.067,0.058,0.05,0.043,0.003,0.109,0.092,0.012,0.052,0.047,-0.052,-0.122,0.054,0.057,0.045,0.1,0.082,0.024,-0.068,-0.098,-0.042,0.067,0.079,0.022,0.004,0.041,0.044,-0.01,-0.101,0.002,0.007,0.107,-0.007,-0.029,0.062,0.002,-0.016,0.098,-0.001,0.076,0.078,0.067,0.106,0.065,0.109
ctx-lh-BA8,,,,,,,,0.046,0.012,0.03,0.02,0.009,0.009,0.05,0.044,-0.062,0.032,-0.011,-0.052,-0.052,-0.076,-0.091,0.051,-0.011,-0.024,0.077,0.069,-0.01,-0.055,0.1,-0.05,0.045,-0.054,-0.057,0.003,-0.013,-0.028,0.024,0.047,-0.104,-0.042,-0.065,-0.006,-0.064,0.013,-0.069,0.035,0.104,0.147,0.046,-0.009,0.017,0.042,0.049,-0.058,-0.042,-0.084,-0.018,0.016,0.108,-0.059,-0.145,-0.065,0.014,0.044,0.03,-0.103,0.046,-0.009,-0.035,-0.013,-0.012,-0.08,-0.029,-0.046,-0.037,0.018,0.028
ctx-lh-BA9,,,,,,,,,0.077,0.045,0.015,0.013,-0.011,0.029,-0.008,-0.012,0.022,-0.013,-0.061,-0.029,-0.105,-0.071,0.059,-0.088,-0.05,0.11,0.088,0.018,-0.044,0.037,0.014,-0.02,-0.031,-0.044,-0.017,0.001,0.029,0.052,0.034,-0.094,-0.026,-0.066,-0.034,-0.076,-0.047,-0.113,-0.023,0.068,0.145,0.051,-0.034,-0.03,-0.017,-0.001,-0.085,-0.065,-0.075,-0.032,0.003,0.032,-0.053,-0.134,-0.115,-0.034,0.012,0.026,-0.065,0.06,-0.068,-0.027,-0.052,0.004,-0.1,-0.013,-0.03,-0.016,0.036,0.049
ctx-lh-BA10,,,,,,,,,,-0.036,0.019,0.077,-0.022,-0.015,0.013,-0.045,0.016,0.013,-0.124,-0.037,-0.127,-0.124,0.023,0.013,-0.106,0.086,0.023,-0.03,0.002,0.021,-0.011,-0.048,-0.025,-0.071,-0.059,0.049,0.074,0.065,0.007,-0.118,-0.061,-0.071,-0.083,-0.021,-0.069,-0.073,0.027,-0.109,0.094,0.067,-0.003,-0.073,-0.025,0.008,-0.003,-0.041,-0.06,-0.097,-0.003,0.023,-0.141,-0.116,0.016,-0.103,0.078,-0.013,-0.02,0.086,-0.053,-0.006,-0.098,-0.012,-0.099,-0.015,0.013,0.055,0.011,0.032
ctx-lh-BA11,,,,,,,,,,,0.051,0.077,0.038,0.039,0.057,-0.037,-0.029,-0.029,-0.07,0.017,-0.125,-0.164,0.0,0.02,-0.059,0.001,-0.019,0.088,0.014,0.049,-0.003,0.047,-0.007,0.02,0.038,0.004,-0.029,0.031,-0.06,-0.052,-0.036,0.007,0.002,0.061,0.057,-0.003,0.004,-0.06,-0.002,0.038,0.049,0.069,0.058,0.099,-0.034,-0.031,-0.043,-0.044,0.002,0.064,-0.08,-0.066,0.054,0.038,0.058,-0.007,-0.04,0.016,0.046,0.019,0.025,0.031,-0.088,-0.035,-0.007,-0.0,0.045,-0.041
