# File generated on 2024-06-04 22:04:54
# Number of participants: 32
# Number of patients (disruptive_behavior): 25
# Number of controls: 7
# 2 datasets were included:
# - HBN
# - NKI-Enhanced-all_parts
# P-value.
x,ctx-lh-bankssts_1,ctx-lh-caudalanteriorcingulate_1,ctx-lh-caudalmiddlefrontal_1,ctx-lh-cuneus_1,ctx-lh-entorhinal_1,ctx-lh-fusiform_1,ctx-lh-fusiform_2,ctx-lh-inferiorparietal_1,ctx-lh-inferiorparietal_2,ctx-lh-inferiortemporal_1,ctx-lh-inferiortemporal_2,ctx-lh-isthmuscingulate_1,ctx-lh-lateraloccipital_1,ctx-lh-lateraloccipital_2,ctx-lh-lateralorbitofrontal_1,ctx-lh-lateralorbitofrontal_2,ctx-lh-lingual_1,ctx-lh-lingual_2,ctx-lh-medialorbitofrontal_1,ctx-lh-middletemporal_1,ctx-lh-middletemporal_2,ctx-lh-parahippocampal_1,ctx-lh-paracentral_1,ctx-lh-parsopercularis_1,ctx-lh-parsorbitalis_1,ctx-lh-parstriangularis_1,ctx-lh-pericalcarine_1,ctx-lh-postcentral_1,ctx-lh-postcentral_2,ctx-lh-postcentral_3,ctx-lh-posteriorcingulate_1,ctx-lh-precentral_1,ctx-lh-precentral_2,ctx-lh-precentral_3,ctx-lh-precentral_4,ctx-lh-precuneus_1,ctx-lh-precuneus_2,ctx-lh-rostralanteriorcingulate_1,ctx-lh-rostralmiddlefrontal_1,ctx-lh-rostralmiddlefrontal_2,ctx-lh-rostralmiddlefrontal_3,ctx-lh-superiorfrontal_1,ctx-lh-superiorfrontal_2,ctx-lh-superiorfrontal_3,ctx-lh-superiorfrontal_4,ctx-lh-superiorparietal_1,ctx-lh-superiorparietal_2,ctx-lh-superiorparietal_3,ctx-lh-superiortemporal_1,ctx-lh-superiortemporal_2,ctx-lh-supramarginal_1,ctx-lh-supramarginal_2,ctx-lh-frontalpole_1,ctx-lh-temporalpole_1,ctx-lh-transversetemporal_1,ctx-lh-insula_1,ctx-lh-insula_2,ctx-rh-bankssts_1,ctx-rh-caudalanteriorcingulate_1,ctx-rh-caudalmiddlefrontal_1,ctx-rh-cuneus_1,ctx-rh-entorhinal_1,ctx-rh-fusiform_1,ctx-rh-fusiform_2,ctx-rh-inferiorparietal_1,ctx-rh-inferiorparietal_2,ctx-rh-inferiorparietal_3,ctx-rh-inferiortemporal_1,ctx-rh-inferiortemporal_2,ctx-rh-isthmuscingulate_1,ctx-rh-lateraloccipital_1,ctx-rh-lateraloccipital_2,ctx-rh-lateraloccipital_3,ctx-rh-lateralorbitofrontal_1,ctx-rh-lateralorbitofrontal_2,ctx-rh-lingual_1,ctx-rh-lingual_2,ctx-rh-medialorbitofrontal_1,ctx-rh-medialorbitofrontal_2,ctx-rh-middletemporal_1,ctx-rh-middletemporal_2,ctx-rh-parahippocampal_1,ctx-rh-paracentral_1,ctx-rh-parsopercularis_1,ctx-rh-parsorbitalis_1,ctx-rh-parstriangularis_1,ctx-rh-pericalcarine_1,ctx-rh-postcentral_1,ctx-rh-postcentral_2,ctx-rh-posteriorcingulate_1,ctx-rh-precentral_1,ctx-rh-precentral_2,ctx-rh-precentral_3,ctx-rh-precuneus_1,ctx-rh-precuneus_2,ctx-rh-rostralanteriorcingulate_1,ctx-rh-rostralmiddlefrontal_1,ctx-rh-rostralmiddlefrontal_2,ctx-rh-superiorfrontal_1,ctx-rh-superiorfrontal_2,ctx-rh-superiorfrontal_3,ctx-rh-superiorfrontal_4,ctx-rh-superiorparietal_1,ctx-rh-superiorparietal_2,ctx-rh-superiorparietal_3,ctx-rh-superiortemporal_1,ctx-rh-superiortemporal_2,ctx-rh-supramarginal_1,ctx-rh-supramarginal_2,ctx-rh-frontalpole_1,ctx-rh-temporalpole_1,ctx-rh-transversetemporal_1,ctx-rh-insula_1,ctx-rh-insula_2
ctx-lh-bankssts_1, nan,0.1749992296240089,0.7533133725361711,0.5801338309670536,0.0010986584936098517,0.12865972114750782,0.1720181059824792,0.0870632906689043,0.45179414825729236,0.201552487118458,0.833586180209435,0.008425607536685493,0.1488203762381827,0.5904117622175279,0.18782283221409207,0.12429671623994537,0.7316082886926403,0.7295371350012975,0.13338547188853003,0.053868454524524545,0.1897249619626438,0.33726608737856356,0.10985234964124702,0.5885746559428138,0.045028106869077655,0.5071139918090855,0.6266207484581137,0.252685290097578,0.05348140479684904,0.4885098744293106,0.3180193297093267,0.24096822980463983,0.10591059990352579,0.08518746247690838,0.28043591133568796,0.28506561012631115,0.418746244661229,0.888760296681037,0.6752644336937775,0.04705894720190699,0.9161863048099859,0.21525827198845648,0.5566003273519471,0.7834615592652028,0.14199089830914471,0.4993118767930257,0.5522681291917195,0.6745572090121577,0.4052790826492014,0.9824786843676829,0.6672966449444183,0.056206599041807886,0.16411919648505177,0.8428814026846679,0.6231963245191191,0.23630130246647865,0.0693110121203837,0.4448790551470079,0.370256437423671,0.11966947596720585,0.2607417180558516,0.586254789360195,0.09235419565717887,0.20000620401869934,0.46100716899341765,0.7766815878138609,0.1648334709737887,0.20813241056532228,0.5464719077381005,0.019877854979282177,0.24461218556375036,0.4656316818919247,0.6081497323960392,0.30729116772421083,0.005435851069265876,0.1685396036259592,0.45074505055770686,0.9563120166466181,0.14840501402584935,0.19521965073104963,0.50706554533685,0.8903866375723845,0.34394969839609424,0.5166708052673643,0.36926788346089023,0.7261565585536933,0.35030290027797084,0.3557612213556193,0.9720153311758036,0.5188660401343888,0.553054034025457,0.3099276905597602,0.03138944444293776,0.19698682908587625,0.604763453680152,0.4418370056974169,0.12668108393163988,0.027765183877298257,0.67533682888286,0.4012733294715797,0.10166154446085401,0.7684802328334396,0.4701728509390086,0.5340856900369532,0.4045226467510209,0.12968689435811726,0.47732183544812024,0.3326275036234094,0.6043701941017809,0.7568281331067661,0.8017524355271413,0.3575550391256406,0.13709649935954304,0.048360091665086716
ctx-lh-caudalanteriorcingulate_1, nan,nan,0.7892410380603877,0.19880138971234465,0.0012202220347500045,0.6130682954225863,0.8399738751018044,0.4756620881588206,0.5702077655868985,0.7818102212303637,0.9280655783910932,0.02877643306530823,0.0437199613995198,0.12219454523718114,0.3319646359187518,0.9973111506089072,0.030998997619679416,0.03070610618753209,0.009608231489611338,0.7288966902434572,0.5038854227921357,0.05786167467038941,0.5867981521019744,0.19225907388387134,0.00386369933189957,0.25282958327748223,0.17073699680086943,0.030653492435636035,0.544390049012162,0.1852108749369878,0.7057983472227793,0.18998563589570122,0.2542447857887626,0.08310667884611163,0.09059916577739546,0.9623029410643312,0.6626712164593246,0.013556377086556189,0.5540542122795653,0.12458547365808165,0.8104373900933529,0.6929777711620253,0.28260417854943964,0.8715969992840477,0.8562499089541324,0.044658529360174254,0.013339057620764027,0.06040841565121845,0.3397762666477565,0.7549658023483148,0.020205430190083935,0.26288316153192315,0.30261980871879096,0.3225985827301898,0.22702388980230567,0.07843370163616717,0.07702521583184517,0.9172970360581041,0.24430616205809935,0.5403208664244032,0.07364503589777144,0.19916770573414944,0.8524400026122693,0.738753455249437,0.5956974141853504,0.9917730298911716,0.3234168736050912,0.840038949465171,0.4223257721775563,0.03256330570518229,0.028924052369892508,0.26382575808798564,0.3225724824327977,0.24431665064323696,0.5339676075941739,0.17510698059712793,0.8443311881453996,0.35115035865168265,0.21478017947673636,0.8212431189615871,0.9561892811237178,0.830414072653856,0.4873440570404609,0.2335933135294943,0.09646096580083892,0.5966878453654174,0.16384763656182255,0.20657478995277298,0.2487005601493566,0.25106982074542933,0.23520941251759286,0.2549430958980699,0.1846558864078376,0.2668137208069031,0.6856555484564921,0.5966398640586887,0.647904375289809,0.780946713393358,0.8303967999836067,0.8380343749416463,0.6962517349025537,0.06153186314514424,0.1933365995479791,0.020397494150169088,0.0553819832993627,0.32586767497199853,0.6489873873166672,0.7902948715235729,0.11634386879195198,0.47476798619811544,0.9273762262549727,0.41271621276767245,0.33036881060623535,0.8257095455040305
ctx-lh-caudalmiddlefrontal_1, nan,nan,nan,0.5145800510739789,0.01754986483110872,0.88555290626668,0.7865756762580636,0.059014674339809135,0.08827040085478327,0.7361483931292624,0.10864945579830075,0.6682292819941646,0.07284138942230642,0.311915513046034,0.46111879506253783,0.1610257649889726,0.09604923297433347,0.07868191088626274,0.528352923528095,0.06519394149183651,0.5549934531242167,0.8261029519892672,0.004628750911555221,0.29126294081139065,0.07665917626802939,0.718262682376503,0.25830891255072314,0.040450355857782595,0.09105544250514702,0.21183343001443666,0.0010974442643834745,0.007424941491490745,0.06864593619517888,0.43332996716007055,0.8588273975136088,0.04467228866008714,0.04549033264232944,0.7554463006915737,0.051356819120778587,0.0756185138312157,0.4299454688200357,0.829855754822213,0.9950410829835405,0.9661038784041738,0.5144878635684611,0.02634248655734728,0.0031510275804815663,0.018413549738923937,0.3034272429561669,0.3733033146661636,0.06566915480925721,0.00172784750298887,0.7880530616933986,0.8970019998823796,0.10451630030312507,0.020356026238887062,0.8949052126458528,0.8492271113476898,0.6812817476406996,0.06669054430479371,0.19295117730149175,0.7898298884911819,0.49837087815940306,0.3985789193946885,0.0042812075961289825,0.01869002780848661,0.09839809872497472,0.240763763397089,0.04399160455011442,0.21250514133453313,0.045742947369113954,0.24582656508175954,0.2632216673470928,0.9444333277589431,0.02401269188486959,0.26380060639927544,0.638136939730058,0.21334203025710932,0.864360509760022,0.19159733981933028,0.34313389714523634,0.22911032315431343,0.018467145823571184,0.6128437371968802,0.5531510791027935,0.6370407522093247,0.365302042610389,0.7689058534257189,0.027514715362041087,0.00952990996824313,0.5202896987798968,0.7805352153038178,0.07773233207484283,0.4080165565345282,0.008368690673280468,0.9488203776846253,0.15098338745375398,0.4570233167894038,0.6545138568840074,0.6225031167436412,0.6421531359654633,0.9080044967918013,0.05690156080211804,0.015109446827993537,0.10776145304125426,0.14989860751293674,0.8901099696891309,0.03992612892062761,0.15164788115453973,0.7988841679320693,0.5855215807191834,0.023719579509177857,0.3739071645995754,0.7194414371473239
ctx-lh-cuneus_1, nan,nan,nan,nan,0.7157589492599739,0.6423178359638166,0.003674488784983,0.5575638984160791,0.6239968016024589,0.6645444862904899,0.4153270794672571,0.1347866806775331,0.44859059909012233,0.6351217367409421,0.8383291327125734,0.19575692312079407,0.822568407045509,0.03538432178418707,0.1165086286534073,0.21565236023423248,0.19667081916325416,0.0029345806072833694,0.007791392078083414,0.7122615468342364,0.27532103590127854,0.3218165369111547,0.6855353735031713,0.16905225218435782,0.2962288418597871,0.40922321957206376,0.327267971728765,0.038802102115159255,0.1630490455060988,0.5696929388274989,0.41710534960184753,0.27132854824663966,0.7607106480736363,0.27186389044097914,0.5616107675241595,0.6032425652013078,0.7776442144205191,0.942021529724882,0.2109643498559204,0.7802957535121291,0.11960805874617772,0.05479403140587033,0.02224118137207152,0.5297986791426645,0.2253610070237712,0.6559847740193447,0.10712029332826309,0.8006386189032892,0.5993736017516736,0.7827277324296724,0.529832831382373,0.03154553299016078,0.3166090798431546,0.9980687621965089,0.12475000114727364,0.0199245562800231,0.8955602851928283,0.6283230223170115,0.7530305141040129,0.08862956897851623,0.8906879321646488,0.9608846794181829,0.3221869354128806,0.30635204842117436,0.12863668325509675,0.129454433407442,0.6846616082144047,0.7250491813769123,0.5392906129034221,0.09131869066072418,0.24084298777129204,0.8866558519229629,0.004682888519129968,0.29143398532561304,0.4278427310490721,0.3937557297474573,0.9901389516477042,0.006582835162721295,0.00015906862370184728,0.12065981196126457,0.9420122862949762,0.5221477831499284,0.6982407188324913,0.404416903223059,0.0982453165883416,0.061761203894947624,0.0843695633200493,0.014449458558341767,0.017826642324085047,0.8293382956469464,0.15650842559987735,0.520782005557423,0.2832578510024137,0.262217942433173,0.6809675774312455,0.9712148225393158,0.01067832435979322,0.0010101594245583974,0.0036267415250820943,0.0012360954985433709,0.14512139567888185,0.3730766733790707,0.9907073045832162,0.0737139083893517,0.000355280619053985,0.8833805631957868,0.623963401311952,0.19766474181741345,0.03493968787633082,0.1250593242949941
ctx-lh-entorhinal_1, nan,nan,nan,nan,nan,0.13876343420757245,0.35319551605991384,0.8453158480372407,0.5244049460854128,0.877076578580645,0.23111375642345316,0.39795378992898833,0.12196448977160305,0.11636206904893918,0.8439390642915713,0.016746990825411503,0.12058268618932558,0.32055527806849,0.9764859780602375,0.41668076602082393,0.3227358020460319,0.5993909062807955,0.6147078056308068,0.003643181171783071,0.5264703008774272,0.11739071977845672,0.29303801342575103,0.13938903789942395,0.004760279124855157,0.0024225115287590457,0.38198598235759473,0.8114842219208434,0.05606549780228812,0.0058257385194116895,0.0007768407009571321,0.2734478706299012,0.7444052093869717,0.15665258655577022,0.0008301739507436428,0.010833881398804295,0.08849217052988165,0.735857577168452,0.0006122706075866182,0.01751854139083983,0.4208441593269171,0.3957360528828199,0.5369493193149831,0.8065007103245835,0.16266059737496413,0.016354548061972667,0.14298354915839057,0.30575373786840815,0.5385142834887491,0.19767699801058397,0.07551394266184304,0.022880094678329837,1.8896308379706753e-05,0.017108589254961407,0.004411497215309882,0.015839513614853022,0.846102807087285,0.07387127107695332,0.48500532654376516,0.001802245313749065,0.18120976308336947,0.32270819796942873,0.2609589960283657,0.048202791207354684,0.19756524654339971,0.5439205772430704,0.05684387170582582,0.010227832467914238,0.1671253580339118,0.5972185762643507,0.0460652085017461,0.2092317219255826,0.6872871877462844,0.43003199359892064,0.7149501178746467,0.03237439415939988,0.0015510713180732188,0.08514703160232139,0.6696782632589419,0.058494628321138345,0.36664829117376563,0.00520241519449881,0.24732328007764529,0.07342014029453837,0.8805108787879122,0.3089604177806278,0.002311215971202245,0.006622853702869079,0.3319670186623408,0.842191804989499,0.7398264220074129,0.011551986200569514,0.0043891312529463255,0.07098065431847743,0.07686663199465489,0.00018013561753247158,0.2850968820308488,0.037567114123233665,0.5605185231519677,0.9668184199444951,0.5615533660514471,0.004989910808779509,0.025629210822295297,0.04428749594178402,0.4002768232559929,0.8443150720916653,0.009320980424003764,0.15777317766053248,0.012232260061531766,0.08225297260519303
ctx-lh-fusiform_1, nan,nan,nan,nan,nan,nan,0.5882246496061011,0.10409980197516874,0.5249875305261338,0.7209678082358946,0.9728061524363718,0.07913212937763542,0.23600842577045247,0.5097918653843416,0.17645774978153625,0.11685729763901632,0.20581087942232107,0.7797239975318646,0.4245006166842874,0.322744013477802,0.48852454123454514,0.6047905955732895,0.19005894142661442,0.3101857037341569,0.49761636786786223,0.680585736914737,0.6433759487412829,0.17830572687610827,0.9752954587717702,0.1869180099313923,0.30786990673827136,0.2843378612014478,0.48096024724250197,0.6657504771164049,0.7319974215183433,0.1405308340009963,0.4085926757302789,0.5175483692332694,0.5867882378016589,0.07957028163770437,0.7930593547515479,0.2427543188883176,0.9615891622356976,0.9022369096193117,0.5941763922789494,0.9208837709618494,0.29272175659819816,0.885837122547291,0.5445116207426097,0.2363176734970816,0.7970454106115594,0.4896925520796793,0.9732189289005049,0.48305585482159796,0.8737895917995445,0.9215387829503654,0.7403154574650278,0.2815675838129106,0.39105627980735813,0.07749924320909428,0.39204805403540355,0.20964051633768288,0.44933836770616753,0.37009497956875714,0.6391405260216283,0.4649260639134274,0.45610756391202956,0.8406336384364472,0.5765545549108244,0.19833212687466062,0.05398648383961441,0.9522065691968961,0.45007922512952514,0.08424109518315673,0.03247823839413277,0.15780103557631467,0.3014909165227946,0.169192770353131,0.10782494335680423,0.930801116740871,0.6960165474954577,0.32695868340886514,0.06888165996324447,0.05689803480668351,0.4836935421406052,0.7624983129554804,0.3405201818386209,0.9459922150387133,0.24738739575229515,0.35058280149121035,0.09886311528560064,0.5860362066226431,0.12062180212817707,0.17764376452701985,0.42382643067697445,0.20571370858195398,0.16778300988470912,0.19297978216912146,0.1244704209392543,0.4297225963049285,0.010575767408848604,0.03946223247398762,0.05627935439221058,0.29765539450766626,0.32853113921999766,0.9806515274862253,0.7342720864092228,0.5168834822627673,0.28160242436557054,0.6580720605522341,0.7680677013931361,0.8072860602453013,0.4450057744189655,0.19536836025261564
ctx-lh-fusiform_2, nan,nan,nan,nan,nan,nan,nan,0.09550918324133571,0.7155221737129913,0.4542755577186667,0.23325390435294593,0.6343648532810873,0.10910496996364186,0.42472529888947375,0.04548176571937615,0.1413103736178428,0.016563438185118184,0.23442544809015217,0.36973039150342346,0.5142621806153627,0.7190845214658017,0.8312291677527112,0.024735028530951046,0.380625465452591,0.8022385963055769,0.1102917910877267,0.01794454804115821,0.5435261040751435,0.37356918752372203,0.7260491921586991,0.5538847578318338,0.2726254467966493,0.7363853642852349,0.6385099285261566,0.5462506348317655,0.9676055924730542,0.8506477342379395,0.8745265146097362,0.7687397805166882,0.261216549236701,0.9890874593901802,0.6842491868084154,0.9448304797331479,0.9461271569373997,0.32472517194060435,0.5516589539645533,0.1743485370650334,0.054473914106107774,0.7155724472651692,0.8527248506086672,0.6153246389475593,0.19286024331263574,0.5088715847104517,0.7382070195453017,0.6797614444338259,0.6667163419565809,0.8786299348305662,0.6595988002712969,0.6598005059850304,0.3163853498303444,0.0422439552261495,0.014154516115314634,0.1646252776853518,0.3311570688319204,0.9734971857462005,0.39018903756000833,0.29323050637731274,0.08052971842576426,0.2206974617580253,0.6109089007773332,0.12957025102314293,0.7241887373956669,0.3855523836891537,0.004498995690635094,0.016477611526250085,0.021072142303369044,0.10436625419904277,0.12796731177284076,0.605835044527684,0.6147252588055292,0.1404257262278436,0.6040905707556163,0.033125159809967226,0.05152785223441442,0.4199674956909272,0.6771026299984368,0.026570993299402785,0.8153314834197711,0.5606005861857193,0.8092344300032174,0.8075761439150846,0.7829087814516075,0.09601651570304591,0.999467760492236,0.6111587547775101,0.6810628564262373,0.8058669688985505,0.36092785808939165,0.6462760142773205,0.6156803778043605,0.0689790506719757,0.8967447784534761,0.512002473383447,0.08348023626710169,0.018418304737853112,0.8776735654804171,0.4167510482436274,0.6930025388711827,0.43196314671385505,0.5076971243129061,0.44710921014107086,0.9680524426513355,0.8304626742075837,0.17079018513745645
ctx-lh-inferiorparietal_1, nan,nan,nan,nan,nan,nan,nan,nan,0.9878526335376963,0.6784855792197213,0.6771721877210208,0.509273901715974,0.8089704371600357,0.8503766254294864,0.3744934929550059,0.03371709651120971,0.4142359109314353,0.34570146890847075,0.9458631077450034,0.5558411647561678,0.40412620683447087,0.020408332751889146,0.06803571823306785,0.19739766713064733,0.7733844646477512,0.5992482484873328,0.6959957404051376,0.2702321902832852,0.5714383192802257,0.12504273636020846,0.041063702926140686,0.05798059621077567,0.061179874064107985,0.6291315820090777,0.6837543605669719,0.0408921355275005,0.3164097576651731,0.826164218293094,0.841676939759572,0.056434297421563674,0.2851517577847123,0.9082140892374178,0.5796162748536766,0.8149629995570413,0.003102051866446846,0.24948688928117085,0.000365549743969607,0.057597463353390915,0.7151508187019376,0.3293901360662712,0.7010689282699336,0.19489711926190348,0.761597997177724,0.3804003082276831,0.3613460936669033,0.444077646593937,0.9711950507992442,0.6979047099148281,0.03765446556776776,0.005566693248282892,0.13240241618750176,0.4692811775019923,0.27510478302009034,0.45899596859125313,0.40166510961537905,0.9862518453438394,0.5712221935078025,0.08389572143659847,0.5172627486404355,0.44767978134297015,0.9935509397783997,0.9132820532994611,0.9112693017180848,0.04795357866572165,0.02947676067344536,0.2056280353010786,0.17586282097191755,0.21470581509556966,0.1600674183714241,0.2747840664020297,0.7687627317636732,0.4716137384130549,0.006780611779572669,0.1924074131129271,0.5492071216448331,0.7531274081028523,0.38746199653787905,0.6507689848463172,0.004061386471565831,0.0032886465759116262,0.20509420121479757,0.030689518522374594,0.036699143139395575,0.7551654034544868,0.064618539071897,0.1709292961158426,0.1183982847495963,0.3237415286087375,0.4427124059324137,0.3126595308484314,0.00010451761368080713,0.0022283360064011735,0.002236483360840809,0.0008152095939829763,0.0644207515293077,0.5901243481237358,0.7818335506782379,0.14972425744520096,0.014635766483288095,0.4952179311785113,0.8088794216166441,0.2214795412472114,0.12129280594142464,0.06590082050744947
ctx-lh-inferiorparietal_2, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4323996400026211,0.31366061027255365,0.7597575198953984,0.19086116480886847,0.9153082711079064,0.04052045602577586,0.008156703599763887,0.7648720139807474,0.5458803806894221,0.04260377900141412,0.12967391843819995,0.6374398955785945,0.26666985414652716,0.006595909205154557,0.38776642796887506,0.11928279978151873,0.6583390640514746,0.9859268330232084,0.6705809517755033,0.23571853657621483,0.8243111541020962,0.08309656385742088,0.019275092700947266,0.1013294274359516,0.6129660477281591,0.7558374631758144,0.6170162346994177,0.5352707008006532,0.08080095684856804,0.018315684910595674,0.048781622557874396,0.34989096080089643,0.6745555407437233,0.2279644830480756,0.03863242558687144,0.09826710793921091,0.9591436696249178,0.5246579232712811,0.8922223082118101,0.38153475243971113,0.4398202418716093,0.19662690987568887,0.9169706529126317,0.9792748469706204,0.7131944362221756,0.8678091958758304,0.24527643253474035,0.9248582031329236,0.7894874278226226,0.7729596768308484,0.09620751611908104,0.9931192836838132,0.8488901665653601,0.6396174675338955,0.4756459944249567,0.7234330486044029,0.8216437225541942,0.6224879659074452,0.7652985885632596,0.49010755035367704,0.9953548543633786,0.945329879004227,0.942448952576471,0.4919031655275108,0.12496910134649765,0.02945311844657422,0.711211027440628,0.7722921276859259,0.04926182468082172,0.03177962852616217,0.944487627504722,0.4563557024937154,0.7751653343186995,0.05211282878226182,0.7023897570086779,0.7623745766028722,0.9536957228562931,0.782061830233914,0.524512099145072,0.01566266888686344,0.06377406113611327,0.6742026727436647,0.9539042067800789,0.008385145571115117,0.24281395805950987,0.9017329944058196,0.36254503089051315,0.12962675504065457,0.2298163691144832,0.14784169380803028,0.11090274828572012,0.045452184744805654,0.4666724477685864,0.26031201182324515,0.5433824400450445,0.8445404969040351,0.736502923742222,0.35316752371138704,0.6282075876113435,0.3220904496497133,0.7408233581961001,0.8922464528066748,0.038057838270379084,0.12706282352769205,0.27107130094110204
ctx-lh-inferiortemporal_1, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5822363740796372,0.5613585394123712,0.07005700467279515,0.30507912340173937,0.019736819155481995,0.3458782163983726,0.593062889548736,0.14533190383963898,0.12791539109062314,0.5678592788676555,0.2626687713541883,0.7230447171147403,0.002644843978328197,0.2518152049095654,0.9256004131661979,0.12408237337089817,0.4327399111927478,0.11916998679771329,0.7535736877978887,0.08674802624507381,0.9451351534874259,0.0635162260561087,0.9542680300222236,0.6167816709387213,0.06763654498613308,0.1331996260879578,0.18140830212872874,0.20762871241562147,0.6030032997494443,0.549435040616664,0.16958206457309563,0.4313751338474042,0.7798819228584988,0.3263914749488285,0.13146715194754924,0.8745124030220339,0.707662869666664,0.7349472735776479,0.13443999712651422,0.47036126056372374,0.14559843790715374,0.30335966538858783,0.3458269134309063,0.45495316807461317,0.3899388023715553,0.015386934048751412,0.012132958942329308,0.04590879729476203,0.5482120740585901,0.2353335947976422,0.478654516387508,0.17590034178641398,0.514529771747513,0.036419943518266495,0.39750578389846414,0.700457082491486,0.5951818410262408,0.41957195331495645,0.9708408836793011,0.9048725906052184,0.7091267047418242,0.7950143264166919,0.8625572776931922,0.2184757054702506,0.10709524537575028,0.9709799010633942,0.951252710695812,0.07648742780258837,0.5305871140940617,0.5445727498907631,0.2549607931780369,0.12835972639209137,0.05910860236359713,0.7173575448795926,0.751651253785204,0.1493168523134182,0.6241299531210844,0.01103612681855774,0.9992872014750145,0.6639146530416149,0.1017821269659908,0.32510914583326234,0.12710597422208977,0.26640576159645973,0.3043867255216345,0.5027931528922427,0.3352200018026391,0.7738664083767697,0.6766732917952247,0.5047613969828132,0.02247216087277586,0.6769771986470319,0.5388931236192964,0.4165297989826403,0.776828427160899,0.10819943306208096,0.11446188683907407,0.40251594918721834,0.4715155639643711,0.14109950574080735,0.43977138168957775,0.5774300965687336,0.03204937016193682,0.14862278566895118
