,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.149,-0.289,-0.314,0.187,0.02,0.092,0.185,0.122,-0.383,0.102,0.025,-0.271,-0.197,-0.403,0.353,-0.066,-0.232,-0.108,0.075,-0.179,-0.044,-0.087,0.063,-0.046,0.208,-0.042,-0.003,-0.099,-0.282,0.22,-0.131,0.284,-0.14,-0.112,0.082,0.009,0.146,-0.283,-0.421,-0.338,-0.312,-0.296,0.253,-0.063,0.068,0.209,0.104,-0.434,0.053,-0.023,-0.217,-0.352,-0.417,0.033,-0.155,-0.405,-0.075,-0.206,-0.369,-0.109,-0.118,-0.087,-0.105,0.155,0.074,0.006,-0.097,-0.352,-0.118,-0.206,0.07,-0.076,-0.25,0.117,0.221,0.254,-0.252
ctx-lh-BA2,,,0.041,0.072,0.08,0.16,0.069,0.206,0.111,-0.046,0.046,0.124,-0.287,-0.206,-0.247,-0.039,0.121,-0.081,0.036,0.097,-0.077,0.028,-0.213,-0.078,-0.023,0.187,0.113,-0.035,-0.259,-0.221,-0.003,-0.032,-0.085,0.102,-0.101,-0.027,0.045,-0.064,-0.218,-0.307,-0.08,-0.134,0.004,0.074,-0.077,0.094,0.224,0.169,0.16,0.231,0.034,-0.159,-0.287,-0.271,-0.014,-0.065,-0.196,-0.013,0.001,-0.099,-0.025,-0.101,-0.048,-0.04,0.144,-0.141,-0.031,-0.158,-0.184,-0.134,-0.001,-0.091,0.127,-0.093,-0.136,-0.038,-0.043,-0.022
ctx-lh-BA4,,,,-0.084,0.023,-0.002,0.024,0.023,-0.009,-0.085,0.074,0.125,-0.29,-0.233,-0.436,0.092,0.005,-0.359,-0.034,0.124,0.028,0.012,-0.038,0.033,-0.194,0.194,-0.007,0.306,-0.227,-0.228,0.372,-0.227,-0.093,-0.045,-0.09,0.185,0.051,0.096,-0.118,-0.497,-0.326,-0.522,-0.168,0.091,-0.271,0.08,0.01,0.048,0.068,0.121,0.163,-0.153,-0.134,-0.507,0.177,-0.214,-0.395,-0.118,-0.005,-0.079,-0.068,-0.164,-0.085,-0.178,0.063,-0.16,-0.294,-0.032,-0.24,-0.079,-0.351,-0.088,0.118,-0.055,0.039,-0.072,-0.047,0.06
ctx-lh-BA5,,,,,0.043,0.122,-0.008,0.127,0.117,-0.219,0.264,0.105,-0.441,-0.447,-0.411,0.023,-0.071,-0.133,-0.146,-0.171,-0.109,-0.139,-0.152,-0.201,-0.279,0.087,-0.139,0.098,-0.265,-0.21,0.062,-0.144,0.095,-0.088,-0.026,0.203,0.071,0.04,-0.081,-0.316,-0.152,-0.137,0.002,0.18,-0.025,-0.039,0.007,0.226,-0.009,0.081,0.02,-0.331,-0.309,-0.386,0.222,-0.139,-0.218,0.002,-0.041,-0.043,-0.109,-0.151,-0.233,-0.198,0.133,-0.099,0.004,-0.108,-0.254,-0.162,-0.26,0.079,-0.055,-0.014,0.165,0.059,0.045,0.086
ctx-lh-BA6,,,,,,-0.081,-0.081,-0.045,0.047,0.011,0.015,-0.031,-0.043,0.007,-0.052,0.041,-0.029,-0.099,-0.09,0.19,-0.025,-0.042,-0.162,-0.016,-0.158,0.025,0.014,0.453,0.155,0.045,0.372,-0.268,-0.003,-0.103,0.022,0.159,0.116,0.011,-0.038,-0.064,0.049,0.042,0.045,-0.059,-0.082,-0.157,-0.121,0.01,0.082,0.1,-0.033,0.107,0.039,-0.007,0.153,-0.168,-0.228,-0.239,-0.103,-0.286,-0.046,-0.168,-0.039,-0.298,-0.018,0.065,-0.037,0.037,0.052,0.027,-0.404,-0.12,-0.119,0.118,-0.034,-0.113,-0.134,0.071
ctx-lh-BA7,,,,,,,-0.115,0.078,0.166,0.249,0.004,0.243,-0.114,-0.013,-0.035,-0.003,-0.099,0.022,0.167,0.326,0.211,0.178,-0.08,-0.011,0.105,0.455,0.075,0.21,0.008,-0.042,0.245,-0.238,-0.319,0.102,0.097,-0.086,-0.159,-0.232,-0.079,-0.079,0.045,-0.065,0.127,-0.115,-0.194,-0.158,0.068,0.24,0.27,0.136,0.217,0.064,0.095,0.131,0.08,0.074,0.093,0.153,0.066,0.144,0.029,0.256,0.168,0.017,0.383,0.073,-0.152,0.158,-0.036,0.198,-0.171,-0.11,0.107,0.161,-0.181,-0.277,-0.446,0.12
ctx-lh-BA8,,,,,,,,-0.072,-0.02,0.123,-0.016,-0.144,-0.091,0.037,0.056,-0.146,-0.039,-0.089,0.089,-0.016,0.037,0.164,0.197,0.189,-0.004,0.145,0.232,0.278,-0.167,0.001,0.09,-0.023,-0.158,-0.203,-0.049,-0.113,0.007,0.087,-0.16,0.076,0.108,0.064,0.018,-0.096,-0.012,-0.078,0.056,-0.014,0.024,-0.059,-0.17,0.162,0.128,-0.035,0.093,0.07,0.16,-0.053,-0.058,-0.248,0.21,-0.021,-0.036,0.026,-0.0,0.103,0.021,0.007,-0.067,0.214,0.001,-0.213,-0.054,-0.005,-0.144,-0.232,-0.104,0.117
ctx-lh-BA9,,,,,,,,,-0.156,-0.06,0.119,-0.023,-0.116,0.014,0.095,-0.102,-0.18,-0.132,-0.05,0.158,-0.073,-0.015,-0.009,0.112,-0.151,0.158,0.214,0.248,-0.013,0.088,-0.073,-0.041,0.016,-0.024,-0.029,-0.005,-0.006,0.221,-0.21,0.038,0.226,0.107,0.119,-0.047,0.102,-0.018,0.038,0.088,-0.016,0.137,-0.025,0.218,0.255,-0.02,-0.103,0.071,0.207,-0.082,-0.014,-0.345,0.01,-0.166,-0.058,-0.039,0.031,0.218,-0.102,-0.077,-0.062,0.009,-0.1,0.039,0.084,-0.074,0.022,-0.117,0.104,0.068
ctx-lh-BA10,,,,,,,,,,0.295,0.066,-0.065,0.116,0.07,-0.044,-0.079,-0.15,-0.09,0.072,0.073,-0.039,0.091,0.127,0.039,0.025,0.058,0.26,0.108,-0.158,-0.144,-0.205,0.043,0.124,0.017,0.093,0.106,0.246,0.303,0.093,0.043,0.123,0.053,0.158,-0.015,0.12,-0.088,-0.184,0.008,0.087,0.074,-0.151,0.301,0.193,0.07,-0.051,-0.219,-0.095,-0.033,0.033,-0.225,0.003,0.024,-0.056,0.125,0.114,0.118,-0.064,-0.031,0.007,-0.274,-0.001,0.068,0.079,0.089,0.077,-0.111,0.071,0.056
ctx-lh-BA11,,,,,,,,,,,-0.099,-0.218,-0.368,-0.346,-0.252,0.177,0.206,-0.105,-0.122,-0.343,0.066,-0.127,-0.121,-0.144,-0.034,-0.106,-0.133,-0.029,-0.043,-0.15,-0.061,0.201,0.25,-0.25,-0.141,0.013,0.044,0.09,0.238,-0.174,-0.025,-0.202,-0.038,-0.086,0.113,0.214,0.044,-0.044,-0.208,-0.095,-0.308,-0.2,-0.067,-0.225,0.04,-0.059,-0.266,-0.194,-0.208,-0.051,-0.067,-0.071,0.046,0.113,0.024,0.11,-0.057,0.073,0.071,-0.24,0.276,0.131,-0.134,-0.348,0.003,-0.027,0.058,0.039
