,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.031,-0.062,0.064,0.096,0.122,0.023,0.081,0.037,0.099,-0.026,-0.063,-0.067,-0.019,0.001,0.101,0.051,0.132,0.008,-0.043,-0.034,0.113,0.066,0.134,-0.189,-0.051,0.042,0.104,0.199,-0.148,0.082,0.077,-0.132,0.023,-0.032,-0.009,0.057,0.015,-0.164,0.041,-0.02,0.126,0.236,0.23,-0.053,0.182,0.11,0.046,-0.007,-0.018,-0.035,-0.034,-0.053,0.099,0.021,0.242,0.027,-0.057,-0.046,0.078,0.116,0.156,-0.13,-0.058,0.047,0.178,0.259,-0.102,0.118,0.068,-0.14,-0.151,-0.016,-0.02,-0.007,0.006
ctx-lh-FB,,,-0.169,-0.014,-0.064,-0.026,-0.029,0.003,0.016,0.123,-0.09,-0.01,-0.049,0.073,0.034,-0.17,-0.045,-0.017,0.048,0.031,0.049,0.108,0.045,0.053,-0.011,0.067,-0.003,0.058,-0.034,-0.13,0.104,0.084,-0.083,-0.044,-0.008,-0.058,0.018,-0.018,0.031,-0.134,-0.104,-0.017,-0.074,0.022,-0.039,-0.032,0.079,0.065,-0.108,0.003,0.007,-0.022,-0.051,-0.18,-0.087,0.026,0.085,0.071,0.09,0.107,0.055,0.051,-0.023,0.101,0.0,0.045,-0.042,-0.014,0.07,0.127,-0.095,-0.116,-0.019,-0.014,0.018,-0.044
ctx-lh-FBA,,,,-0.102,-0.042,-0.003,-0.042,-0.135,-0.053,-0.053,-0.126,-0.012,-0.026,-0.024,0.02,-0.069,-0.045,-0.023,-0.107,-0.099,-0.089,0.141,0.126,0.154,-0.027,0.044,-0.05,-0.055,-0.082,-0.049,-0.076,0.106,-0.028,-0.039,-0.058,-0.109,0.031,-0.01,-0.054,-0.131,-0.143,-0.059,-0.005,-0.048,-0.151,-0.094,-0.023,-0.1,-0.157,-0.029,-0.086,0.032,-0.001,-0.027,-0.018,0.064,-0.051,-0.06,-0.016,0.137,0.18,0.242,-0.007,0.017,-0.017,0.075,-0.021,-0.049,-0.034,0.101,-0.066,-0.101,-0.038,-0.126,0.034,-0.103
ctx-lh-FC,,,,,-0.061,-0.08,-0.073,-0.046,-0.001,0.098,-0.101,-0.028,0.003,0.052,0.137,-0.102,-0.014,-0.004,0.119,0.062,0.152,0.185,0.126,0.054,0.065,0.109,0.028,0.047,-0.078,-0.024,0.075,0.142,-0.013,-0.036,0.042,-0.102,-0.007,-0.036,0.083,-0.059,-0.061,-0.031,-0.094,-0.016,0.035,-0.024,0.075,0.037,-0.113,-0.016,0.029,0.022,-0.013,-0.125,-0.049,0.002,0.163,0.126,0.157,0.188,0.096,0.071,0.074,0.136,0.052,0.083,-0.054,0.08,0.071,0.205,-0.038,-0.041,0.068,-0.01,0.03,-0.068
ctx-lh-FCBm,,,,,,0.011,0.027,-0.045,-0.036,-0.038,-0.257,-0.004,-0.073,-0.008,0.017,-0.195,-0.045,-0.003,0.058,0.023,-0.012,0.117,0.146,0.083,0.105,0.154,0.116,0.025,-0.08,0.049,0.06,0.053,0.011,-0.098,0.02,-0.167,-0.04,-0.137,0.098,-0.121,-0.026,-0.067,-0.17,-0.058,-0.014,-0.095,-0.039,-0.138,-0.259,-0.105,-0.06,-0.005,-0.046,-0.227,-0.054,-0.003,0.085,0.067,0.105,0.139,0.175,0.143,0.089,0.224,0.08,0.035,-0.119,0.122,0.016,0.098,-0.074,-0.075,-0.025,-0.16,0.025,-0.119
ctx-lh-FDdelta,,,,,,,0.053,-0.052,-0.028,-0.01,-0.078,0.007,-0.12,-0.085,0.024,-0.026,0.029,0.018,0.008,-0.044,-0.011,0.161,0.131,0.057,0.082,0.144,0.042,-0.059,-0.101,0.007,-0.035,0.138,0.019,-0.044,0.038,-0.168,0.01,-0.057,0.137,0.016,0.041,0.029,0.002,-0.044,0.009,0.039,-0.033,-0.052,-0.108,-0.007,-0.107,-0.044,-0.046,-0.031,-0.056,0.012,0.0,0.047,0.068,0.12,0.089,0.107,0.137,0.215,0.096,-0.015,-0.026,0.087,-0.031,0.184,-0.024,-0.008,0.013,-0.054,-0.023,-0.098
ctx-lh-FDL,,,,,,,,-0.037,-0.017,0.017,-0.067,-0.034,-0.058,0.011,-0.011,-0.067,-0.153,-0.056,-0.1,-0.076,-0.053,0.15,0.083,0.061,0.003,-0.021,-0.071,-0.003,-0.052,-0.096,-0.069,0.087,-0.096,-0.099,-0.06,-0.014,-0.043,-0.057,0.045,-0.03,-0.042,-0.009,0.001,-0.019,-0.078,-0.007,-0.068,-0.052,-0.05,-0.015,-0.144,-0.002,-0.016,-0.034,-0.13,-0.146,-0.05,-0.123,-0.009,0.122,0.015,0.042,-0.004,0.022,-0.024,0.002,-0.071,-0.005,-0.022,0.115,-0.057,-0.046,-0.023,0.007,0.003,-0.113
ctx-lh-FDm,,,,,,,,,-0.02,0.105,-0.087,-0.014,-0.028,0.029,0.075,-0.158,-0.112,-0.026,0.116,0.065,0.13,0.148,0.08,0.034,0.069,0.1,0.062,0.055,-0.148,-0.054,0.051,0.106,-0.001,-0.092,0.016,-0.074,-0.005,-0.079,0.102,-0.089,-0.103,-0.026,-0.095,-0.047,0.021,-0.033,0.017,-0.016,-0.059,0.01,-0.002,-0.069,0.004,-0.175,-0.093,-0.049,0.134,0.105,0.148,0.133,0.058,0.06,0.087,0.16,0.065,0.023,-0.172,0.082,0.01,0.174,-0.035,-0.062,0.035,-0.051,0.018,-0.106
ctx-lh-FDp,,,,,,,,,,0.001,-0.121,-0.055,0.005,0.088,0.101,-0.12,-0.051,0.013,0.127,0.073,0.038,0.149,0.043,-0.019,0.029,0.059,0.012,0.09,-0.083,-0.007,0.061,0.087,-0.02,-0.102,0.002,-0.144,-0.008,-0.14,0.069,-0.056,-0.007,-0.04,-0.128,0.003,0.032,-0.021,0.006,-0.058,-0.144,-0.12,-0.052,0.081,-0.011,-0.113,-0.074,-0.005,0.118,0.071,0.11,0.151,0.079,0.024,0.05,0.118,-0.007,0.012,-0.099,0.095,0.007,0.142,-0.036,-0.034,0.045,-0.099,0.006,-0.15
ctx-lh-FE,,,,,,,,,,,0.043,-0.076,-0.059,0.039,-0.025,-0.013,-0.1,-0.025,0.03,-0.006,-0.018,0.074,0.003,-0.014,0.023,0.063,0.003,0.083,-0.034,-0.093,0.011,0.039,-0.038,-0.092,0.051,0.015,0.068,-0.003,0.054,0.067,-0.105,0.084,-0.072,0.102,0.114,0.063,0.064,-0.089,0.049,-0.099,-0.137,-0.037,-0.017,0.024,-0.132,0.007,0.046,0.066,-0.009,0.068,-0.017,0.008,0.024,0.096,0.018,0.034,-0.077,-0.05,0.045,0.018,0.031,-0.052,0.036,-0.046,-0.014,-0.048
