,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-callosA,,-0.095,-0.05,-0.048,-0.019,0.049,-0.002,-0.021,0.044,-0.083,-0.032,-0.081,-0.066,-0.073,-0.062,-0.202,-0.112,0.047,0.011,0.008,-0.071,0.144,0.022,-0.014,0.018,0.033,-0.082,0.037,0.027,-0.013,-0.126,-0.012,-0.081,-0.098,-0.049,0.007,-0.023,0.047,-0.131,0.032,-0.081,-0.035,0.172,-0.111,0.023,-0.089,-0.003,0.044,0.021,0.122,-0.063,-0.018,-0.028,-0.038,0.072,-0.02,-0.103,-0.036,0.002,-0.058,-0.071,0.074,0.042,-0.036,-0.065,0.044,-0.011,-0.036,0.013,0.034,-0.069,0.034,-0.038,-0.013,-0.076,-0.025,-0.031,-0.052,-0.019,-0.002,0.041,-0.043,-0.1,0.027,-0.013,-0.024,-0.067,-0.028
ctx-lh-callosB,,,-0.07,-0.174,-0.024,0.016,-0.052,-0.034,-0.01,-0.046,-0.018,-0.128,-0.036,-0.065,0.014,-0.076,-0.021,0.055,0.035,0.05,0.025,0.131,-0.057,-0.152,-0.044,0.058,0.129,0.012,-0.061,0.099,0.089,0.14,0.105,0.136,-0.119,-0.027,-0.122,0.164,-0.251,-0.008,-0.099,-0.014,0.095,-0.137,-0.07,0.062,0.04,-0.147,0.023,-0.008,-0.041,-0.014,0.038,0.004,0.099,-0.106,0.011,-0.103,0.046,-0.008,0.024,0.203,0.059,0.035,0.044,0.093,-0.065,-0.2,-0.077,0.097,0.071,0.039,-0.083,0.089,0.12,0.095,0.188,0.142,-0.121,-0.118,-0.095,0.101,-0.138,0.033,-0.067,0.111,0.135,0.086
ctx-lh-callosC,,,,-0.106,-0.091,-0.08,0.013,-0.08,-0.119,-0.119,-0.009,-0.055,-0.083,-0.107,-0.057,-0.163,-0.091,0.059,0.049,0.024,-0.112,0.091,0.008,-0.085,-0.04,-0.079,0.046,-0.07,-0.066,0.058,-0.06,-0.024,-0.018,-0.044,-0.041,-0.096,-0.072,0.059,-0.085,-0.006,-0.051,-0.07,0.089,-0.093,-0.066,-0.015,-0.093,-0.16,-0.147,-0.105,-0.11,-0.137,-0.143,-0.133,-0.053,-0.112,-0.044,-0.134,-0.045,-0.123,-0.132,0.077,0.033,-0.029,-0.107,-0.028,-0.049,-0.117,-0.117,-0.047,-0.042,-0.153,-0.161,0.021,-0.11,-0.084,-0.031,-0.057,-0.07,-0.119,-0.082,-0.057,-0.056,0.017,-0.082,-0.04,0.017,-0.024
ctx-lh-callosD,,,,,0.035,0.112,-0.045,-0.01,-0.005,-0.069,-0.017,-0.031,-0.032,0.004,-0.125,-0.27,-0.114,0.2,-0.031,0.024,-0.028,0.096,0.065,0.003,0.079,-0.054,-0.116,0.063,0.008,-0.018,-0.174,-0.064,-0.16,-0.15,0.033,0.012,0.016,-0.003,-0.067,-0.045,0.003,-0.088,-0.089,0.015,-0.091,-0.098,-0.054,0.082,-0.039,0.128,-0.054,-0.002,-0.14,-0.059,0.015,-0.034,-0.074,-0.003,0.031,-0.252,-0.031,0.017,-0.036,0.012,-0.042,-0.016,-0.031,-0.047,-0.015,-0.088,-0.186,-0.037,-0.071,-0.106,-0.226,-0.214,-0.253,-0.137,-0.03,0.053,-0.04,-0.089,0.009,-0.049,0.015,-0.154,-0.105,-0.058
ctx-lh-froB,,,,,,0.149,-0.085,0.059,0.135,-0.043,0.128,0.139,0.085,0.052,-0.067,-0.195,0.052,0.086,0.027,-0.008,-0.019,0.09,-0.037,0.002,0.066,0.135,-0.092,0.178,0.06,0.059,-0.109,-0.035,-0.066,0.001,0.025,0.116,0.021,0.076,-0.112,-0.02,0.027,-0.023,0.006,-0.001,0.007,-0.088,0.031,0.07,0.109,0.196,0.087,0.014,-0.005,0.046,0.102,0.169,-0.053,0.034,-0.066,-0.133,-0.011,0.035,0.064,0.004,0.012,-0.012,-0.035,-0.013,-0.004,-0.025,-0.087,0.149,0.066,0.101,-0.073,-0.013,0.008,-0.079,-0.011,0.033,0.03,0.01,-0.073,-0.075,0.059,-0.058,-0.022,-0.061
ctx-lh-froC,,,,,,,-0.031,0.072,0.081,0.05,0.089,0.129,0.109,0.142,0.01,-0.124,-0.029,0.118,0.004,-0.007,0.034,0.098,0.028,0.064,0.117,0.066,-0.052,0.099,0.059,0.05,-0.018,-0.007,0.011,0.008,0.041,0.119,0.169,0.072,0.053,0.036,0.188,-0.022,0.059,0.039,0.12,-0.01,0.036,0.156,0.088,0.069,0.029,-0.001,-0.02,-0.005,-0.015,0.114,0.043,0.121,0.015,-0.049,-0.032,-0.031,0.119,0.036,0.056,-0.023,-0.025,0.117,0.042,0.001,-0.006,0.119,0.065,0.103,-0.054,0.009,-0.026,-0.036,0.125,0.049,0.051,0.058,-0.023,-0.056,0.275,-0.04,0.006,-0.106
ctx-lh-froD,,,,,,,,0.009,-0.128,-0.073,0.0,-0.056,0.009,-0.035,-0.076,-0.187,0.002,0.089,0.027,0.037,-0.114,0.138,-0.017,-0.06,-0.022,0.001,0.065,0.04,0.009,0.099,-0.061,0.046,-0.045,-0.013,-0.07,-0.012,-0.069,0.094,-0.124,-0.015,0.017,-0.125,0.03,-0.077,-0.009,-0.075,0.104,-0.004,-0.176,-0.137,-0.063,-0.17,-0.206,-0.178,0.027,-0.038,-0.048,-0.114,-0.06,-0.128,-0.09,0.08,0.025,-0.021,-0.115,0.03,-0.042,-0.087,-0.077,-0.029,0.014,-0.024,-0.065,0.117,-0.035,0.046,0.02,-0.051,-0.096,-0.118,-0.112,-0.005,-0.03,-0.016,-0.005,-0.08,-0.02,-0.006
ctx-lh-froinf,,,,,,,,,0.026,0.11,-0.126,0.048,0.091,0.017,-0.041,-0.153,0.03,0.048,-0.074,-0.103,-0.019,0.007,-0.068,-0.04,-0.02,-0.016,-0.129,-0.019,-0.052,-0.023,-0.114,-0.062,-0.092,-0.071,0.122,-0.015,-0.019,-0.029,-0.005,-0.071,0.051,-0.081,0.008,-0.02,0.015,0.025,0.125,0.081,0.08,0.137,0.142,-0.007,-0.01,0.017,-0.005,0.109,0.059,0.049,0.03,-0.125,0.015,-0.034,0.02,-0.048,0.025,-0.054,-0.107,0.032,0.004,-0.035,-0.093,0.037,-0.022,0.014,-0.148,-0.052,-0.053,-0.061,-0.003,0.009,-0.009,-0.065,0.015,-0.124,0.13,-0.088,-0.025,-0.115
ctx-lh-froint,,,,,,,,,,-0.089,0.015,0.094,-0.017,-0.03,-0.106,-0.21,-0.039,0.067,-0.046,-0.091,-0.013,-0.015,0.008,0.017,0.009,0.107,-0.114,0.058,0.1,0.019,-0.19,-0.065,-0.156,-0.109,0.134,0.056,-0.036,-0.025,-0.099,-0.029,-0.061,-0.125,0.031,0.024,0.084,-0.06,-0.011,0.079,0.131,0.248,0.003,0.028,-0.055,0.007,0.125,0.232,-0.069,0.038,-0.052,-0.148,0.005,-0.016,0.034,-0.071,0.01,-0.103,-0.005,0.045,0.024,-0.013,-0.101,0.037,0.059,0.02,-0.177,-0.1,-0.101,-0.128,0.016,-0.009,-0.023,-0.075,-0.054,-0.081,0.058,-0.176,0.019,-0.069
ctx-lh-frointB,,,,,,,,,,,-0.063,0.004,-0.079,-0.097,-0.014,-0.16,-0.035,-0.074,-0.084,-0.079,0.006,-0.023,-0.097,-0.068,-0.073,-0.015,-0.118,-0.049,-0.084,-0.038,-0.142,-0.115,-0.146,-0.05,0.023,-0.008,-0.097,-0.012,-0.04,-0.124,-0.026,-0.128,-0.027,0.042,-0.106,-0.04,-0.007,-0.097,-0.078,0.027,-0.036,-0.108,-0.132,-0.143,-0.051,0.055,-0.063,-0.123,0.018,-0.113,-0.042,-0.048,-0.02,-0.046,0.035,-0.017,-0.108,-0.056,-0.1,-0.089,-0.111,-0.015,-0.115,0.012,-0.129,-0.084,-0.023,-0.107,-0.018,-0.059,-0.062,-0.095,-0.004,-0.11,0.048,-0.031,-0.044,-0.021
