,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.073,0.004,-0.026,-0.048,-0.009,0.011,-0.016,-0.09,0.003,0.029,-0.087,-0.068,-0.027,0.005,0.001,0.049,-0.017,-0.042,-0.031,-0.017,-0.009,0.011,-0.029,-0.009,0.077,-0.087,-0.059,-0.044,0.04
ctx-lh-CT1_2_fro_inf,,,0.002,-0.006,-0.089,-0.094,-0.036,-0.092,0.064,-0.001,-0.046,0.045,0.042,0.052,0.002,0.071,-0.018,0.046,-0.013,-0.114,-0.084,0.024,-0.006,0.059,-0.021,0.028,0.013,0.037,0.033,-0.034
ctx-lh-CT1_2_mof,,,,-0.046,-0.03,-0.028,-0.082,0.007,0.002,0.049,0.047,-0.044,-0.047,0.015,-0.01,-0.013,0.025,0.062,-0.039,-0.036,0.009,-0.057,0.033,0.022,-0.002,0.106,-0.025,-0.008,0.037,-0.003
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.13,0.046,0.104,0.006,-0.023,0.031,-0.013,-0.084,-0.08,0.005,-0.002,-0.017,-0.008,-0.012,-0.055,-0.092,0.023,0.066,0.093,-0.046,0.027,0.036,-0.126,-0.127,-0.029,0.029
ctx-lh-CT1_2_temp,,,,,,-0.082,-0.094,-0.078,0.011,0.105,-0.092,-0.041,-0.023,0.061,0.1,-0.036,-0.115,-0.063,-0.122,-0.125,-0.077,-0.056,-0.048,-0.01,0.089,-0.042,-0.131,-0.045,0.04,0.128
ctx-lh-CT2_fro,,,,,,,-0.094,-0.051,0.12,0.066,-0.03,0.01,0.017,-0.05,0.005,0.001,-0.029,0.013,0.056,-0.116,0.003,-0.023,0.055,0.157,0.052,0.063,-0.017,-0.037,-0.075,-0.022
ctx-lh-CT2_par,,,,,,,,-0.016,0.133,0.13,-0.029,-0.004,0.107,-0.105,0.152,0.053,-0.067,-0.07,0.072,-0.242,-0.098,-0.085,-0.013,0.057,0.129,-0.032,0.064,0.064,-0.162,0.142
ctx-lh-CT3_fro,,,,,,,,,0.139,0.044,-0.037,-0.042,0.027,0.057,0.037,-0.012,-0.03,-0.011,-0.066,-0.088,-0.014,0.038,0.04,0.081,0.048,0.028,-0.074,0.011,0.075,0.015
ctx-lh-CT3_par,,,,,,,,,,0.014,0.018,-0.066,-0.001,0.195,0.067,-0.119,-0.013,-0.014,-0.067,-0.099,0.098,-0.008,0.109,-0.181,-0.031,-0.017,-0.113,-0.001,0.058,0.061
ctx-lh-CT4_occ,,,,,,,,,,,-0.015,-0.02,0.041,0.07,0.022,-0.032,-0.002,0.047,0.022,0.07,0.05,0.044,0.03,-0.139,-0.078,-0.071,-0.001,0.046,0.066,-0.016
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.044,0.051,0.024,0.011,0.003,0.011,0.03,-0.068,-0.086,-0.012,0.024,0.009,0.038,-0.017,0.074,-0.034,0.045,0.022,-0.0
ctx-lh-CT5_cen,,,,,,,,,,,,,-0.148,-0.041,0.005,-0.07,0.056,-0.097,-0.065,-0.009,0.069,0.005,0.041,-0.046,-0.04,-0.031,-0.19,-0.12,-0.023,0.035
ctx-lh-CT5_ins,,,,,,,,,,,,,,0.029,-0.057,-0.047,-0.009,-0.012,-0.087,-0.102,-0.022,0.089,0.003,-0.037,0.035,0.037,-0.147,-0.091,-0.017,-0.042
ctx-lh-CT5_med,,,,,,,,,,,,,,,0.037,-0.096,0.02,0.031,-0.091,-0.041,-0.087,-0.087,-0.0,0.142,0.083,0.09,-0.029,-0.028,-0.11,0.04
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,-0.016,-0.039,0.048,-0.058,0.039,-0.033,0.102,-0.01,-0.077,0.0,-0.06,0.021,-0.059,0.001,-0.066
