,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,0.042,-0.06,-0.052,-0.06,-0.015,-0.05,-0.061,-0.042,-0.013,-0.063,0.014,-0.014,0.018,-0.081,0.049,-0.126,0.115,-0.037,-0.074,-0.086,-0.035,-0.13,0.065,0.078,-0.028,-0.102,0.021,0.062,-0.017,-0.059,-0.015,-0.052,-0.089,-0.003,0.021,-0.031,0.099,0.047,-0.022,-0.083,-0.008,-0.078,-0.021,-0.018,-0.005
ctx-lh-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,-0.019,-0.044,-0.072,0.049,-0.09,0.037,0.074,-0.066,0.057,0.09,0.119,0.024,-0.049,0.07,-0.107,0.009,0.042,-0.011,0.008,-0.033,-0.003,0.122,0.097,-0.007,-0.019,0.046,0.006,-0.033,-0.044,-0.021,-0.02,-0.067,0.07,0.032,-0.035,0.126,-0.002,-0.056,-0.021,-0.072,-0.033,-0.083,0.101,-0.088
ctx-lh-TF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039,-0.069,-0.106,-0.045,-0.165,-0.032,-0.009,-0.073,-0.002,0.011,0.062,-0.031,-0.097,-0.001,-0.086,0.072,-0.019,-0.006,0.015,0.022,-0.033,-0.003,0.04,-0.024,-0.068,-0.024,-0.098,-0.088,-0.121,-0.063,0.019,-0.055,-0.066,-0.153,-0.093,-0.023,-0.097,-0.05,0.054,0.024,0.004,-0.083,0.008,-0.073
ctx-lh-TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007,-0.054,-0.059,-0.09,-0.124,0.029,-0.091,0.006,-0.044,0.033,-0.029,-0.062,0.045,-0.064,0.014,0.01,0.018,-0.02,-0.041,-0.029,0.096,0.075,0.042,-0.037,0.092,0.067,0.066,0.032,0.004,-0.007,-0.1,0.036,0.034,-0.029,0.026,-0.013,0.017,-0.059,-0.048,-0.064,-0.095,0.001,-0.052
ctx-rh-FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.011,0.04,-0.048,-0.011,0.019,-0.065,-0.014,-0.025,-0.088,-0.108,0.014,-0.04,0.007,-0.008,0.05,-0.003,-0.029,-0.025,0.005,-0.072,-0.066,-0.12,-0.124,0.023,-0.04,-0.058,-0.04,0.11,-0.013,-0.03,-0.003,-0.027,0.094,0.001,0.006,0.022,-0.061,-0.096,-0.047,0.084,0.003
ctx-rh-FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013,0.016,-0.013,0.085,-0.043,0.007,-0.006,0.022,-0.036,-0.03,-0.013,-0.07,0.005,-0.07,0.038,0.046,0.0,-0.051,-0.052,-0.055,-0.023,-0.106,-0.072,0.029,-0.067,-0.079,0.019,0.071,-0.007,-0.078,-0.029,-0.117,0.023,0.062,-0.043,0.018,-0.106,-0.079,-0.072,0.075,-0.04
ctx-rh-FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,0.087,0.116,-0.033,-0.048,0.01,0.068,-0.035,-0.032,0.07,-0.067,0.002,-0.078,0.139,0.043,0.055,-0.08,-0.184,-0.146,-0.075,-0.166,-0.15,0.043,-0.061,-0.045,0.068,0.029,0.028,0.128,-0.02,0.028,-0.091,0.112,0.001,0.062,-0.043,-0.05,-0.018,0.042,-0.061
ctx-rh-FCBm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,0.195,-0.075,0.037,0.006,0.018,-0.08,-0.048,-0.022,-0.112,-0.006,-0.129,0.114,0.04,0.068,-0.026,-0.025,-0.041,0.038,-0.201,-0.06,0.002,-0.131,-0.14,0.051,0.056,0.073,0.097,0.033,-0.02,0.013,0.066,0.014,0.027,-0.068,-0.093,-0.017,0.013,-0.058
ctx-rh-FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,0.031,-0.073,0.001,0.091,-0.018,-0.069,0.01,-0.034,0.001,-0.031,0.078,0.031,0.015,-0.078,-0.096,-0.076,-0.066,-0.182,-0.104,0.03,-0.062,-0.064,-0.023,-0.055,-0.022,0.055,-0.054,-0.008,-0.052,0.053,0.049,0.037,-0.042,-0.094,0.0,0.022,-0.08
ctx-rh-FDdelta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,-0.012,0.044,0.07,-0.037,0.007,0.028,0.026,0.019,-0.001,0.08,0.073,0.116,0.072,-0.126,-0.058,-0.02,-0.146,-0.073,-0.013,-0.101,-0.074,-0.016,-0.007,0.025,0.028,-0.045,0.018,-0.017,0.03,0.129,0.085,-0.039,-0.072,0.064,0.011,0.097
