,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.094,-0.126,0.043,-0.095,0.013,0.038,0.041,-0.115,0.034,0.01,-0.02,-0.045,-0.17,0.038,-0.012,0.088,-0.117,0.039,-0.144,-0.009,0.021,0.16,-0.072,-0.006,0.094,-0.04,0.014,-0.13,0.054
ctx-lh-CT1_2_fro_inf,,,-0.018,0.122,-0.081,-0.07,-0.054,0.08,0.04,-0.132,-0.075,-0.034,-0.061,-0.027,-0.033,0.054,0.079,-0.066,0.065,-0.024,-0.034,0.003,-0.013,0.06,-0.069,0.025,-0.07,-0.013,-0.007,-0.056
ctx-lh-CT1_2_mof,,,,-0.025,-0.071,-0.165,-0.006,0.067,0.08,0.027,-0.028,-0.057,0.071,0.066,0.015,-0.026,0.029,0.066,-0.069,-0.003,-0.087,0.034,0.031,0.115,0.015,0.033,-0.036,0.063,0.045,-0.03
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.024,0.107,-0.057,0.068,-0.153,0.029,0.043,-0.116,-0.052,-0.055,0.062,-0.004,0.115,0.009,0.018,-0.073,0.1,-0.061,0.151,-0.112,-0.045,0.1,-0.068,-0.033,-0.026,0.059
ctx-lh-CT1_2_temp,,,,,,-0.097,-0.019,0.018,-0.001,0.028,-0.068,-0.074,-0.157,0.007,0.026,-0.042,-0.054,-0.137,-0.081,-0.073,-0.053,0.002,0.001,0.001,0.058,-0.023,-0.129,-0.105,-0.026,0.079
ctx-lh-CT2_fro,,,,,,,-0.066,0.1,0.065,0.041,-0.078,0.068,-0.078,-0.035,0.003,0.052,0.074,-0.029,0.069,-0.029,0.053,-0.028,0.051,0.093,0.055,0.05,0.023,-0.06,-0.015,-0.016
ctx-lh-CT2_par,,,,,,,,-0.05,-0.156,-0.003,-0.007,0.062,0.048,0.013,-0.042,0.05,0.017,0.033,0.06,0.111,0.09,0.071,0.029,0.051,-0.055,-0.035,0.087,0.066,0.042,-0.05
ctx-lh-CT3_fro,,,,,,,,,0.093,-0.022,0.067,0.025,-0.016,0.034,-0.033,0.044,0.021,0.08,0.013,0.027,0.097,-0.012,0.013,0.099,0.008,0.079,0.06,-0.029,0.119,-0.024
ctx-lh-CT3_par,,,,,,,,,,0.05,0.101,-0.055,0.036,0.007,0.003,-0.071,0.071,0.039,-0.021,-0.007,0.138,-0.046,0.163,-0.04,0.013,0.068,-0.064,0.049,-0.027,0.065
ctx-lh-CT4_occ,,,,,,,,,,,-0.012,-0.003,-0.041,-0.01,0.122,0.008,-0.086,0.109,-0.053,-0.051,-0.01,-0.002,-0.066,-0.095,0.006,-0.038,-0.075,-0.059,-0.001,0.095
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.088,-0.059,-0.088,0.025,-0.033,-0.045,-0.061,0.01,-0.062,-0.05,0.046,0.051,0.064,-0.003,0.011,-0.06,-0.069,-0.022,0.037
ctx-lh-CT5_cen,,,,,,,,,,,,,0.04,-0.037,0.146,-0.035,-0.008,-0.048,-0.096,-0.186,-0.006,0.001,0.155,-0.099,-0.008,-0.017,-0.145,0.054,0.011,0.157
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.067,-0.057,0.024,0.012,-0.028,0.021,-0.115,-0.034,0.088,0.053,0.079,-0.022,-0.044,0.005,-0.086,-0.133,-0.001
ctx-lh-CT5_med,,,,,,,,,,,,,,,-0.031,-0.204,0.007,0.093,-0.102,0.074,0.049,0.011,-0.006,0.086,0.007,-0.056,-0.004,-0.082,0.033,-0.048
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,0.007,-0.012,0.106,0.047,-0.055,-0.001,-0.076,-0.072,-0.086,0.061,0.013,0.085,-0.057,-0.065,-0.012
ctx-rh-CT1,,,,,,,,,,,,,,,,,-0.004,-0.077,-0.021,-0.117,-0.01,0.033,0.106,-0.085,-0.036,0.005,-0.028,0.033,-0.159,0.015
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.058,-0.035,-0.068,-0.103,0.004,-0.146,0.017,0.014,-0.075,0.002,-0.004,-0.023,-0.031
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,-0.126,-0.093,-0.087,0.019,-0.028,0.01,0.098,-0.085,-0.006,-0.0,0.092,0.084
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,-0.117,-0.005,0.019,0.041,-0.065,-0.06,0.021,-0.12,-0.011,-0.086,0.026
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,-0.084,0.092,-0.041,0.047,0.026,-0.042,-0.168,-0.06,0.033,-0.032
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,0.028,-0.074,0.036,0.074,-0.069,-0.003,-0.086,-0.006,-0.004
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,0.017,0.047,-0.057,0.013,0.008,0.088,0.003,-0.087
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.081,-0.038,-0.007,0.125,0.057,-0.014,-0.082
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,-0.122,0.035,-0.035,0.107,0.046,-0.049
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,-0.086,-0.005,-0.003,0.093
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,-0.011,-0.042,-0.013
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,0.005,0.091
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.117,-0.037
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.076
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
