,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.106,0.089,-0.046,-0.067,-0.099,-0.075,0.012,0.041,0.024,-0.017,-0.034,0.094,-0.025,-0.109,-0.129,0.081,-0.063,-0.003,0.074,-0.082,-0.14,-0.103,-0.133,-0.008,0.002,-0.053,-0.047,-0.11,0.058,-0.032,0.069,-0.125,0.058
ctx-lh-frontal,,,0.03,-0.051,-0.015,0.025,0.023,0.03,0.05,0.112,-0.006,-0.109,0.065,0.091,-0.006,0.102,0.009,0.156,-0.041,-0.053,-0.076,-0.068,-0.003,-0.007,0.064,0.008,-0.086,-0.11,-0.08,0.02,0.054,0.11,0.11,-0.042
ctx-lh-inter_precentral,,,,-0.014,0.022,0.07,0.029,-0.05,-0.038,-0.082,-0.12,-0.206,-0.03,0.051,-0.064,0.064,-0.027,0.201,0.121,-0.07,-0.063,-0.064,0.059,-0.049,0.002,-0.027,-0.088,-0.187,-0.211,-0.045,0.071,0.033,0.035,-0.047
ctx-lh-precentral,,,,,-0.003,0.042,0.031,-0.022,-0.037,0.028,0.004,-0.113,-0.078,-0.086,-0.057,-0.093,0.007,0.028,0.096,0.056,0.023,0.027,0.071,0.042,-0.06,-0.0,-0.037,-0.077,-0.127,-0.082,-0.042,-0.07,-0.092,-0.073
ctx-lh-postcentral,,,,,,-0.011,0.089,-0.024,-0.061,-0.005,0.073,-0.071,0.024,-0.13,-0.076,-0.153,0.003,-0.052,0.038,0.117,0.028,0.013,0.036,0.086,-0.074,-0.015,-0.055,-0.016,-0.073,0.009,-0.118,-0.108,-0.125,-0.067
ctx-lh-inter_postcentral,,,,,,,-0.073,0.018,-0.005,0.055,0.106,-0.002,0.079,-0.098,-0.013,-0.043,0.039,-0.048,0.032,0.105,0.064,0.04,-0.008,-0.114,-0.044,0.044,-0.077,0.001,-0.051,-0.003,-0.073,-0.031,-0.131,-0.023
ctx-lh-parietal,,,,,,,,0.01,-0.048,0.105,0.071,0.068,-0.004,0.026,0.081,0.005,0.089,-0.06,-0.074,0.054,0.045,0.099,-0.031,-0.11,-0.048,-0.07,-0.016,0.033,0.081,-0.015,0.023,-0.018,0.013,0.044
ctx-lh-visuopsychic,,,,,,,,,-0.001,-0.037,0.043,0.141,0.005,0.087,0.068,0.073,0.036,-0.011,0.026,0.042,0.027,0.051,-0.018,0.003,-0.046,-0.055,0.035,0.063,0.163,0.129,0.119,0.116,0.002,0.035
ctx-lh-visuosensory,,,,,,,,,,-0.031,0.015,0.016,-0.001,0.051,0.095,0.077,-0.027,0.046,0.028,-0.033,0.008,-0.049,-0.051,-0.021,0.05,-0.003,0.09,0.051,0.051,0.139,0.063,0.054,0.005,0.008
ctx-lh-temporal,,,,,,,,,,,-0.02,0.047,0.106,0.074,-0.022,0.108,-0.063,-0.015,-0.061,-0.165,-0.032,-0.024,-0.0,-0.029,-0.016,0.023,-0.089,0.003,0.018,0.03,0.022,0.015,0.134,-0.14
ctx-lh-audiopsychic,,,,,,,,,,,,-0.055,-0.059,-0.02,-0.014,0.035,-0.085,-0.086,-0.039,-0.071,0.015,0.043,0.058,0.022,0.042,0.108,-0.07,-0.069,-0.139,-0.05,-0.052,0.03,0.034,-0.136
ctx-lh-audiosensory,,,,,,,,,,,,,-0.043,-0.036,0.006,0.02,-0.147,-0.045,-0.061,-0.125,-0.044,-0.038,-0.016,0.063,0.103,0.049,0.032,-0.102,-0.073,-0.094,-0.043,-0.002,0.061,-0.137
ctx-lh-olfactory,,,,,,,,,,,,,,0.122,0.014,0.071,-0.091,0.078,0.007,-0.109,-0.056,-0.095,-0.117,-0.026,0.075,0.095,0.105,-0.071,-0.077,-0.109,0.106,0.076,0.108,-0.12
ctx-lh-limbicA,,,,,,,,,,,,,,,0.043,-0.022,-0.037,-0.108,-0.12,-0.042,-0.115,-0.112,-0.083,-0.074,0.054,0.092,-0.096,-0.032,-0.032,-0.015,-0.057,-0.02,-0.019,-0.067
ctx-lh-limbicB,,,,,,,,,,,,,,,,0.113,-0.055,-0.173,-0.116,-0.133,-0.106,-0.134,-0.109,-0.003,0.1,0.115,-0.083,0.005,0.001,0.045,-0.044,-0.066,0.049,0.025
ctx-lh-limbicC,,,,,,,,,,,,,,,,,0.039,-0.171,-0.096,-0.041,-0.073,-0.076,-0.077,0.003,0.015,0.08,-0.058,0.003,0.063,-0.039,-0.013,0.016,-0.006,-0.0
ctx-lh-insula,,,,,,,,,,,,,,,,,,0.039,0.093,-0.018,-0.013,0.028,0.131,0.07,0.041,-0.036,0.012,-0.038,-0.092,-0.104,0.007,-0.031,0.052,0.069
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.051,0.053,-0.051,-0.104,-0.055,-0.079,-0.017,-0.024,-0.124,-0.038,-0.114,0.021,-0.128,-0.021,-0.144,0.045
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,0.009,0.039,0.027,0.046,0.035,0.06,-0.026,-0.07,-0.032,0.0,0.048,-0.106,-0.045,-0.092,0.066
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.106,0.099,0.032,0.036,0.072,0.011,-0.082,-0.068,-0.123,-0.056,-0.018,-0.048,-0.02,-0.011
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,0.019,-0.013,0.072,0.003,0.014,0.034,-0.02,-0.089,-0.003,-0.093,-0.062,-0.063,-0.017
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,0.016,0.128,0.012,-0.044,0.076,0.044,-0.027,0.076,-0.093,-0.125,-0.078,-0.03
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.056,-0.052,0.013,0.012,-0.02,-0.046,0.039,-0.052,-0.069,-0.072,0.012
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.043,-0.021,0.046,0.021,0.046,-0.0,0.024,-0.114,-0.009,0.043
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.055,0.081,0.161,0.113,0.102,0.114,-0.036,0.036
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.056,0.068,0.045,0.104,0.116,0.009,0.032
