,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.05,0.038,-0.107,-0.065,-0.075,-0.04,0.084,0.016,0.001,0.006,-0.039,0.026,-0.088,-0.095,0.014,0.01,0.025,0.101,-0.016,-0.104,-0.056,-0.097,-0.037,0.072,0.007,0.026,0.017,-0.083,0.07,-0.038,-0.018,0.042,-0.039
ctx-lh-frontal,,,0.012,0.045,0.078,-0.001,-0.041,0.093,-0.006,0.011,0.102,0.053,0.04,0.041,-0.024,0.077,-0.002,0.06,0.059,-0.015,0.061,0.096,0.025,0.034,0.103,-0.009,-0.018,0.136,-0.008,0.022,0.026,-0.017,0.064,-0.069
ctx-lh-inter_precentral,,,,0.001,0.067,0.027,-0.084,-0.07,-0.008,-0.023,0.017,-0.062,-0.032,-0.099,-0.033,-0.194,0.002,0.046,0.016,0.047,0.019,-0.005,0.024,-0.059,-0.058,0.026,0.012,-0.01,-0.019,-0.06,-0.044,-0.062,-0.142,-0.004
ctx-lh-precentral,,,,,-0.086,-0.025,0.014,-0.095,0.086,-0.07,-0.121,-0.109,-0.0,-0.135,-0.08,-0.135,0.137,-0.09,-0.026,0.031,-0.151,-0.207,-0.114,-0.021,-0.125,0.081,-0.124,-0.221,-0.047,-0.053,-0.126,-0.054,-0.118,0.166
ctx-lh-postcentral,,,,,,-0.261,-0.013,-0.1,0.123,-0.087,-0.101,-0.034,0.033,-0.075,-0.062,-0.107,0.182,-0.041,0.026,0.074,-0.096,-0.222,-0.238,-0.065,-0.116,0.117,-0.197,-0.193,0.014,-0.012,-0.03,0.027,-0.095,0.207
ctx-lh-inter_postcentral,,,,,,,0.007,-0.112,0.086,-0.083,-0.163,-0.121,0.064,-0.081,0.002,-0.072,0.125,-0.013,-0.031,0.085,-0.129,-0.222,-0.113,-0.045,-0.151,0.026,-0.09,-0.192,-0.047,-0.023,-0.036,0.034,-0.053,0.16
ctx-lh-parietal,,,,,,,,-0.062,-0.004,-0.103,-0.002,0.014,-0.019,-0.025,0.028,0.009,-0.059,0.053,0.041,-0.015,0.012,-0.005,0.02,0.093,-0.058,-0.038,0.078,0.04,0.102,-0.039,0.029,0.076,0.01,0.061
ctx-lh-visuopsychic,,,,,,,,,0.097,0.011,-0.081,-0.044,0.021,0.083,0.077,-0.038,0.025,0.062,-0.001,-0.034,-0.081,-0.157,-0.124,-0.075,-0.03,0.107,-0.052,-0.142,-0.052,-0.031,0.137,0.115,0.006,-0.031
ctx-lh-visuosensory,,,,,,,,,,0.04,0.021,-0.046,-0.005,-0.031,-0.079,-0.091,-0.054,-0.043,-0.024,0.017,0.069,0.051,0.076,-0.062,0.059,0.013,-0.085,-0.049,-0.057,-0.004,-0.021,-0.005,-0.082,-0.049
ctx-lh-temporal,,,,,,,,,,,-0.047,-0.079,-0.043,-0.044,0.006,0.004,-0.026,0.003,0.076,0.042,-0.11,-0.078,-0.118,-0.03,0.024,0.075,0.022,-0.056,-0.045,0.016,-0.08,-0.018,-0.021,0.029
