,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,0.124,-0.254,0.043,-0.153,-0.015,-0.165,-0.064,0.057,0.049,0.057,-0.068,-0.121,0.043,0.11,-0.326,-0.371,-0.109,-0.001,0.033,-0.104,-0.26,-0.136,-0.341,-0.291,-0.199,0.262,0.322,0.267,-0.301,0.305,-0.144,-0.214,-0.343,0.037,0.21,0.131,0.056,-0.423,0.091,-0.246,0.097,-0.002,0.129,-0.357,0.041,0.06,0.051,-0.031,-0.159,-0.099,-0.038,0.174,-0.228,-0.148,-0.124,-0.01,-0.038,-0.108,-0.222,-0.304,-0.322,-0.257,-0.221,0.114,0.177,0.16,-0.322,0.307,-0.195,-0.217,-0.242,-0.002,0.172,0.069,0.143
ctx-lh-FB,,,-0.006,-0.149,-0.313,-0.147,-0.082,-0.134,-0.17,-0.013,-0.27,-0.103,0.008,0.189,0.142,-0.164,-0.071,0.132,-0.115,-0.175,-0.029,0.053,0.215,-0.026,0.184,0.129,0.107,-0.119,-0.201,0.053,-0.071,0.133,-0.051,-0.158,-0.158,0.051,0.09,-0.001,0.008,-0.02,-0.015,0.019,-0.08,0.16,-0.263,0.114,0.068,0.03,-0.017,-0.034,0.1,-0.092,0.174,-0.059,0.105,0.103,-0.055,-0.08,0.093,0.013,0.023,-0.078,0.072,0.148,0.098,-0.018,0.035,-0.081,-0.101,0.066,0.067,-0.202,-0.019,0.102,0.114,0.079
ctx-lh-FBA,,,,0.071,-0.199,0.104,0.228,0.137,-0.003,0.133,-0.103,0.079,0.075,-0.05,-0.006,-0.581,-0.424,-0.142,0.461,0.304,0.344,-0.003,0.095,0.045,-0.202,-0.18,0.096,0.23,-0.302,-0.088,0.421,0.085,-0.277,-0.266,0.076,-0.115,-0.115,-0.256,-0.301,-0.088,-0.568,0.176,-0.413,0.214,0.117,-0.051,0.204,0.123,-0.053,0.203,0.079,-0.009,0.027,-0.606,-0.532,-0.186,0.349,0.388,0.285,0.127,0.152,-0.037,-0.274,-0.274,-0.119,0.183,-0.22,-0.477,0.442,0.139,-0.396,-0.351,0.071,0.167,0.011,-0.113
ctx-lh-FC,,,,,-0.112,0.162,-0.062,-0.054,-0.129,-0.078,-0.331,0.058,0.018,0.183,0.23,0.012,-0.01,0.173,-0.142,-0.218,-0.045,0.01,0.22,0.11,0.05,-0.046,0.04,-0.119,-0.242,0.074,-0.173,0.056,-0.076,-0.039,-0.204,0.08,0.088,0.043,-0.085,-0.049,-0.049,0.137,0.026,0.207,-0.087,0.148,0.129,-0.002,0.046,0.103,0.166,0.001,0.247,0.033,0.113,0.238,0.034,-0.124,0.034,0.007,0.091,0.035,0.068,0.071,0.036,-0.03,-0.153,-0.109,-0.012,0.071,-0.009,-0.136,0.048,0.107,0.161,0.131
ctx-lh-FCBm,,,,,,-0.093,0.024,-0.1,-0.199,0.2,-0.255,0.032,-0.049,-0.001,0.036,-0.411,-0.144,0.06,0.213,0.064,0.16,-0.084,0.114,-0.031,-0.09,-0.081,0.176,-0.03,-0.246,-0.034,0.034,0.047,-0.306,-0.265,-0.31,0.042,0.102,-0.121,-0.182,-0.14,-0.321,0.19,-0.293,0.243,0.031,-0.025,0.1,0.166,-0.098,0.109,0.061,-0.182,0.094,-0.324,-0.313,0.067,0.322,0.258,0.198,-0.064,0.035,-0.103,-0.094,-0.081,-0.003,0.038,-0.127,-0.32,0.186,-0.001,-0.227,-0.357,-0.083,0.244,0.106,-0.025
ctx-lh-FDdelta,,,,,,,0.123,0.218,0.008,-0.012,-0.205,0.113,0.12,0.178,0.283,-0.033,-0.079,0.059,-0.004,-0.079,0.118,0.011,0.204,0.158,0.054,-0.005,-0.17,-0.194,-0.238,-0.133,-0.092,0.082,-0.124,0.051,-0.152,0.036,0.167,-0.005,-0.015,-0.087,-0.194,0.261,-0.068,0.109,0.345,0.28,0.36,0.058,-0.004,0.13,0.214,-0.015,0.273,-0.04,0.045,0.219,0.07,0.017,0.223,-0.027,0.183,0.118,-0.04,0.017,-0.062,-0.047,-0.184,-0.195,-0.014,-0.048,-0.072,-0.145,0.025,0.152,0.175,0.061
ctx-lh-FDL,,,,,,,,-0.179,0.048,-0.118,-0.124,0.063,-0.176,0.216,0.033,0.202,-0.034,-0.181,-0.196,-0.141,-0.096,0.083,-0.037,0.089,-0.161,-0.089,-0.061,0.198,0.064,-0.086,-0.07,0.152,-0.153,0.247,-0.184,0.018,0.085,-0.16,-0.085,-0.164,-0.072,0.061,0.018,0.192,-0.235,-0.071,0.256,-0.163,-0.005,0.088,0.03,0.057,0.074,0.12,0.118,-0.158,-0.095,-0.274,-0.155,0.091,-0.002,0.002,-0.128,-0.01,0.098,0.114,-0.084,-0.179,0.04,0.183,-0.213,-0.227,-0.081,0.134,0.197,0.024
ctx-lh-FDm,,,,,,,,,-0.011,-0.19,-0.322,0.066,0.056,0.112,0.263,0.061,-0.019,-0.007,-0.127,-0.064,0.123,-0.036,0.165,0.147,0.017,-0.117,-0.035,0.105,-0.173,0.109,-0.154,0.119,-0.121,0.087,-0.215,0.126,0.197,-0.06,-0.134,-0.089,-0.082,0.2,0.01,0.113,-0.101,0.101,0.074,-0.115,-0.043,0.028,0.088,-0.007,0.212,0.015,0.128,0.126,0.121,-0.174,0.196,0.033,0.133,0.094,-0.027,-0.039,0.065,0.081,-0.12,-0.111,0.059,0.067,-0.084,-0.17,0.06,0.185,0.237,0.04
ctx-lh-FDp,,,,,,,,,,0.049,-0.279,-0.057,0.006,0.176,0.027,0.088,0.186,0.303,0.136,-0.081,0.155,-0.066,0.108,0.126,0.15,0.079,0.119,0.014,-0.187,0.202,-0.056,0.061,-0.072,0.143,-0.347,-0.161,-0.063,-0.189,0.029,-0.013,-0.01,0.14,0.054,0.322,0.199,0.216,0.316,0.186,-0.094,0.059,0.128,-0.127,0.1,0.04,0.116,0.422,0.3,0.035,0.172,-0.078,0.094,-0.004,0.1,0.05,0.096,0.136,-0.043,-0.077,0.065,0.078,-0.069,-0.1,-0.034,0.083,0.057,0.003
ctx-lh-FE,,,,,,,,,,,-0.052,-0.284,-0.047,0.076,-0.179,0.431,0.222,0.052,-0.314,-0.279,-0.111,0.035,0.114,0.245,0.058,0.023,-0.05,0.075,0.092,0.033,-0.309,0.064,0.005,0.253,-0.342,-0.079,-0.17,-0.124,0.039,0.037,0.118,0.01,0.288,0.183,-0.165,0.032,0.033,-0.145,-0.031,-0.079,-0.166,-0.096,-0.112,0.375,0.23,0.141,-0.131,-0.325,-0.227,-0.008,0.069,0.095,0.003,0.104,0.189,0.162,0.139,0.059,-0.123,0.167,0.095,0.092,-0.004,-0.002,-0.039,-0.011
