,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.02,-0.018,-0.071,-0.074,-0.125,-0.092,-0.03,-0.026,-0.086,-0.062,-0.069,-0.019,-0.07,-0.131,-0.205,0.035,-0.121,-0.071,-0.006,-0.089,-0.13,-0.106,-0.083,-0.017,-0.048,-0.088,-0.064,-0.116,-0.048,-0.023,0.062,-0.218,0.043
ctx-lh-frontal,,,0.066,-0.02,-0.016,-0.005,0.023,0.008,-0.005,0.037,0.002,-0.073,-0.087,0.018,-0.083,-0.012,0.048,0.1,-0.029,-0.027,-0.029,-0.041,0.001,0.047,0.035,-0.023,-0.051,-0.042,-0.066,-0.099,0.076,0.062,-0.05,0.064
ctx-lh-inter_precentral,,,,0.011,-0.008,0.031,0.061,-0.016,-0.065,-0.051,-0.03,-0.11,-0.143,-0.014,-0.122,-0.016,0.019,0.123,0.165,-0.009,-0.037,-0.031,0.042,0.051,0.013,-0.058,-0.0,-0.048,-0.134,-0.108,0.108,0.02,-0.065,0.055
ctx-lh-precentral,,,,,-0.003,0.053,0.015,0.016,-0.037,0.018,0.059,-0.029,-0.153,-0.09,-0.087,-0.123,-0.004,-0.001,0.087,0.033,-0.008,0.023,0.09,0.029,-0.01,-0.018,0.011,0.003,-0.071,-0.087,0.007,-0.006,-0.117,-0.015
ctx-lh-postcentral,,,,,,-0.011,0.029,0.0,-0.075,0.011,0.102,-0.025,-0.067,-0.121,-0.094,-0.155,0.001,-0.052,0.034,0.056,0.01,-0.021,0.032,0.042,-0.036,-0.057,-0.034,0.023,-0.081,-0.038,-0.046,-0.052,-0.121,-0.011
ctx-lh-inter_postcentral,,,,,,,-0.061,0.028,-0.046,0.019,0.147,0.069,-0.004,-0.115,-0.085,-0.088,0.032,-0.064,0.037,0.05,0.08,0.074,0.01,-0.091,-0.004,-0.004,-0.025,0.04,-0.042,-0.037,-0.024,0.001,-0.151,0.017
ctx-lh-parietal,,,,,,,,-0.033,-0.087,0.029,0.072,0.044,-0.074,-0.05,-0.076,-0.055,0.044,-0.01,0.013,0.054,0.027,0.049,-0.03,-0.129,-0.034,-0.08,0.002,0.007,-0.032,-0.037,0.075,-0.029,-0.084,0.09
ctx-lh-visuopsychic,,,,,,,,,-0.012,-0.043,0.054,0.103,-0.051,0.006,-0.036,0.008,0.044,0.027,0.053,0.021,0.027,0.05,0.027,0.001,-0.067,-0.054,0.023,0.02,0.07,0.071,0.11,0.079,-0.04,0.068
ctx-lh-visuosensory,,,,,,,,,,-0.069,0.015,-0.022,-0.061,-0.02,-0.03,0.012,-0.034,0.051,0.037,-0.039,-0.013,-0.058,-0.032,-0.026,0.019,-0.024,0.012,-0.007,-0.029,0.058,0.052,0.033,-0.045,0.02
ctx-lh-temporal,,,,,,,,,,,0.004,0.011,-0.043,-0.045,-0.133,-0.026,-0.049,-0.002,-0.023,-0.077,-0.006,-0.036,-0.01,-0.002,-0.018,-0.045,-0.087,-0.037,-0.075,-0.069,0.045,-0.032,-0.028,-0.042
ctx-lh-audiopsychic,,,,,,,,,,,,0.011,-0.088,-0.003,-0.081,0.013,-0.024,-0.036,0.051,0.011,0.06,0.039,0.097,0.086,0.053,0.064,0.012,-0.031,-0.111,-0.035,0.056,0.038,-0.004,-0.045
ctx-lh-audiosensory,,,,,,,,,,,,,-0.05,-0.034,-0.066,-0.011,-0.119,-0.029,-0.021,-0.059,0.005,-0.028,0.062,0.064,0.098,-0.012,0.024,-0.052,-0.086,-0.075,0.014,0.018,0.008,-0.106
ctx-lh-olfactory,,,,,,,,,,,,,,0.015,-0.068,-0.016,-0.116,-0.01,-0.1,-0.167,-0.147,-0.13,-0.154,-0.098,-0.021,0.034,-0.037,-0.072,-0.092,-0.102,0.018,0.016,0.046,-0.13
