,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.03,-0.012,0.04,-0.031,-0.084,0.042,0.005,-0.047,0.02,0.044,-0.029,-0.073,-0.12,-0.063,-0.086,0.019,0.113,0.01,-0.047,0.014,0.03,0.116,-0.074,0.014,0.094,-0.021,-0.162,-0.141,-0.042
ctx-lh-CT1_2_fro_inf,,,-0.095,0.034,0.04,0.024,0.084,-0.012,0.043,0.07,-0.045,-0.001,-0.045,-0.07,-0.012,-0.01,0.09,0.004,-0.056,0.008,0.035,0.024,0.028,0.033,0.114,0.052,0.029,-0.06,-0.088,0.037
ctx-lh-CT1_2_mof,,,,0.02,-0.081,-0.02,-0.007,-0.054,-0.033,-0.009,-0.003,0.101,0.084,-0.085,0.013,0.005,-0.115,0.015,-0.058,-0.049,-0.112,0.01,-0.069,-0.054,0.03,-0.088,0.102,0.021,-0.025,0.071
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.008,-0.07,0.015,0.045,-0.013,0.064,0.082,-0.01,-0.062,-0.125,-0.033,-0.06,0.051,0.128,-0.067,-0.044,0.018,-0.009,0.11,-0.082,0.072,0.141,-0.014,-0.168,-0.144,-0.001
ctx-lh-CT1_2_temp,,,,,,-0.007,0.052,0.043,-0.033,0.039,0.044,-0.013,-0.028,-0.007,-0.017,-0.077,0.029,0.108,-0.104,-0.021,-0.019,-0.002,0.053,-0.022,0.065,0.083,0.016,-0.048,-0.012,0.043
ctx-lh-CT2_fro,,,,,,,0.011,0.009,-0.074,-0.018,0.021,-0.104,-0.115,-0.088,-0.072,-0.124,0.041,0.11,-0.128,-0.059,-0.009,-0.059,0.037,-0.065,0.015,0.098,-0.094,-0.136,-0.086,-0.062
ctx-lh-CT2_par,,,,,,,,0.011,0.069,0.003,0.052,0.024,0.075,-0.056,-0.051,0.0,0.078,0.073,-0.021,0.02,0.02,-0.159,0.007,0.005,-0.033,0.106,0.07,0.002,-0.068,-0.069
ctx-lh-CT3_fro,,,,,,,,,0.011,-0.012,-0.013,-0.03,-0.02,-0.123,-0.003,-0.07,0.004,0.04,-0.061,-0.038,-0.082,-0.042,-0.103,-0.05,0.019,0.048,-0.027,-0.077,-0.155,-0.062
ctx-lh-CT3_par,,,,,,,,,,-0.011,0.047,0.008,0.109,-0.062,-0.07,-0.065,0.064,0.102,-0.053,0.007,0.026,0.057,0.077,-0.052,-0.009,0.163,0.043,0.01,-0.058,-0.044
ctx-lh-CT4_occ,,,,,,,,,,,0.035,0.041,0.135,0.027,0.028,0.068,0.004,-0.02,0.068,0.023,0.046,0.037,0.043,0.117,-0.013,0.134,0.084,0.099,0.009,0.01
