,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,0.051,-0.272,-0.318,0.136,-0.344,-0.264,0.159,-0.131,0.003,-0.071,-0.059
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.012,-0.066,0.13,0.036,-0.039,0.042,-0.033,0.033,0.031,-0.144
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,-0.146,0.427,-0.164,-0.004,0.241,-0.049,0.103,0.052,0.106
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376,-0.112,-0.024,0.232,0.084,0.176,0.096,0.192
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.145,0.184,-0.174,-0.097,0.188,-0.05,-0.095
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.141,0.124,-0.127,0.08,-0.11,-0.09
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,-0.165,0.022,-0.105,-0.379
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.209,-0.345,-0.234,-0.166
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.212,-0.211,-0.154
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.214,-0.078
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
