,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.055,0.032,-0.03,0.067,-0.01,-0.006,0.014,-0.055,-0.062,0.03,-0.016,-0.064,-0.011,-0.032,0.097,0.086,0.088,-0.055,-0.096,-0.05,-0.051,-0.001,0.025,-0.104,-0.034,0.006,-0.004,0.014,-0.002,-0.104,-0.071,-0.128,-0.059,-0.116,-0.067,-0.053,0.072,-0.13,0.041,0.021,0.009,0.073,0.027,-0.039,0.054,-0.028,-0.009,0.083,-0.011,-0.028,-0.046,0.029,0.085,0.043,0.112,-0.073,-0.041,-0.052,-0.047,0.014,0.048,-0.112,-0.04,0.008,0.027,0.078,-0.042,-0.029,-0.05,-0.12,-0.08,-0.1,0.028,-0.044,0.07
ctx-lh-FB,,,-0.057,0.055,0.031,0.051,0.103,0.102,-0.015,0.045,0.039,0.027,-0.027,0.018,-0.062,0.03,0.066,0.148,-0.01,-0.038,0.02,0.019,-0.012,-0.026,0.0,-0.007,0.031,-0.021,-0.029,-0.011,-0.043,-0.011,-0.059,-0.027,-0.027,-0.124,-0.087,0.056,-0.05,-0.043,-0.033,0.021,-0.025,0.086,0.071,0.071,0.05,0.054,0.044,-0.028,-0.02,-0.031,0.01,0.031,0.058,0.118,-0.075,-0.051,-0.039,0.013,0.015,-0.025,-0.017,0.031,-0.016,-0.009,0.066,-0.008,-0.08,-0.002,-0.066,-0.044,-0.022,-0.054,-0.034,0.067
ctx-lh-FBA,,,,-0.025,-0.049,-0.016,0.038,0.022,-0.002,0.063,0.033,0.04,0.016,0.056,-0.011,-0.068,0.001,0.094,-0.032,-0.013,0.014,0.004,-0.013,-0.036,-0.028,0.025,0.091,0.045,-0.094,-0.053,-0.056,-0.015,-0.056,-0.024,-0.041,-0.088,-0.072,0.105,0.017,-0.069,-0.131,-0.043,-0.076,0.058,0.014,-0.042,0.053,0.052,0.011,0.055,0.083,0.028,-0.024,-0.086,-0.07,0.071,-0.033,0.041,0.031,-0.023,-0.012,-0.009,-0.041,0.041,0.036,0.062,-0.073,-0.037,-0.001,0.048,-0.057,-0.035,-0.057,-0.015,-0.055,0.085
ctx-lh-FC,,,,,0.038,0.074,0.036,0.049,-0.008,-0.068,-0.058,-0.072,-0.046,-0.018,-0.092,0.058,0.055,0.068,-0.049,-0.049,0.007,0.124,0.031,0.002,0.03,-0.007,-0.028,0.018,0.002,0.051,-0.017,0.111,-0.02,-0.019,-0.05,-0.035,-0.009,-0.099,-0.029,-0.009,-0.03,0.0,0.046,0.076,0.013,0.037,0.029,-0.035,-0.022,-0.032,-0.014,-0.041,-0.058,0.046,0.06,0.036,-0.068,-0.087,-0.052,0.102,0.035,0.014,-0.009,0.01,-0.002,0.038,0.072,0.041,-0.058,0.062,0.018,-0.013,-0.022,-0.029,0.055,-0.082
ctx-lh-FCBm,,,,,,-0.019,0.093,0.042,0.002,0.123,-0.017,0.042,0.053,0.074,-0.036,-0.054,0.051,0.147,0.066,0.032,0.074,-0.001,-0.05,-0.076,0.081,0.055,0.095,0.037,-0.13,0.079,-0.009,0.007,-0.029,0.013,-0.073,-0.118,-0.084,0.03,0.041,-0.055,-0.058,-0.045,-0.093,0.008,0.059,-0.046,0.07,0.124,-0.036,0.064,0.068,0.016,0.015,-0.088,0.02,0.095,0.003,0.05,0.089,0.014,-0.022,-0.08,0.039,0.072,0.011,0.021,-0.055,0.031,-0.019,0.035,-0.021,-0.001,-0.078,-0.08,-0.034,0.017
ctx-lh-FDdelta,,,,,,,0.066,0.018,0.029,-0.039,-0.023,-0.006,0.0,0.044,0.023,0.028,0.044,0.075,0.014,0.037,0.111,-0.006,-0.009,0.001,0.029,0.026,0.082,0.136,0.017,0.075,0.061,-0.006,-0.009,0.037,-0.059,-0.057,0.02,-0.083,-0.035,-0.034,-0.01,0.02,-0.019,0.07,0.037,0.001,0.037,-0.014,-0.014,0.031,0.013,0.018,0.03,0.001,0.03,0.054,0.001,-0.028,0.095,0.017,-0.036,-0.008,0.022,0.015,0.025,0.088,0.026,0.03,0.014,-0.03,0.033,0.062,-0.04,-0.079,0.009,-0.054
ctx-lh-FDL,,,,,,,,-0.005,0.089,-0.115,0.035,-0.092,-0.119,-0.063,-0.091,0.074,0.002,-0.044,-0.144,-0.127,-0.114,0.104,0.041,0.019,-0.02,-0.019,-0.068,-0.05,0.03,-0.003,-0.055,0.049,-0.004,0.036,0.01,0.098,-0.006,-0.103,-0.016,0.059,-0.054,0.014,0.07,0.079,-0.177,-0.006,-0.016,-0.106,0.035,-0.064,-0.089,-0.027,-0.063,0.057,0.021,-0.053,-0.178,-0.191,-0.149,0.086,0.023,0.017,-0.028,-0.042,-0.032,-0.062,0.046,0.004,-0.054,0.017,0.028,-0.04,-0.026,0.041,0.012,-0.117
ctx-lh-FDm,,,,,,,,,0.017,-0.104,-0.055,-0.083,-0.029,-0.014,-0.05,0.032,0.065,0.013,-0.051,-0.064,0.002,0.08,0.029,0.027,0.004,0.024,-0.041,0.032,-0.004,0.075,0.051,0.078,0.013,0.005,-0.025,-0.012,0.022,-0.122,0.015,0.031,-0.024,0.033,0.039,0.059,-0.017,-0.066,-0.003,-0.074,-0.036,-0.031,-0.019,-0.024,-0.06,0.02,0.056,-0.0,-0.071,-0.093,-0.019,0.08,0.009,0.012,0.003,0.031,-0.043,0.01,0.014,0.05,-0.007,0.017,0.071,0.004,-0.011,-0.049,0.052,-0.126
ctx-lh-FDp,,,,,,,,,,0.034,-0.08,-0.04,-0.002,-0.008,-0.053,0.054,0.051,0.091,-0.008,0.008,0.064,0.042,0.01,0.001,-0.066,-0.07,-0.078,-0.003,-0.068,0.069,-0.019,0.007,-0.05,-0.024,-0.08,-0.107,-0.01,-0.091,-0.081,-0.003,-0.009,0.03,0.054,0.057,0.061,0.004,0.097,0.026,0.009,-0.024,-0.012,-0.038,0.002,0.046,0.044,0.064,0.032,-0.03,0.059,0.04,-0.003,-0.002,-0.078,-0.068,-0.038,0.023,0.039,0.038,0.017,-0.027,-0.03,-0.06,-0.037,-0.039,0.023,-0.051
ctx-lh-FE,,,,,,,,,,,-0.002,-0.095,-0.101,-0.044,-0.015,0.155,0.02,-0.104,-0.173,-0.143,-0.078,0.105,0.058,0.072,-0.078,-0.089,-0.121,0.004,0.058,-0.03,-0.044,0.067,-0.023,0.023,-0.031,0.059,0.086,-0.05,-0.083,0.044,-0.018,-0.039,0.114,-0.025,-0.179,-0.064,0.016,-0.049,0.031,-0.088,-0.165,-0.056,0.059,0.122,0.058,-0.089,-0.109,-0.183,-0.082,0.11,0.052,0.078,-0.057,-0.121,-0.036,0.003,0.068,-0.04,-0.04,0.041,0.022,-0.026,0.0,0.065,0.115,-0.09
