,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-lh-F2,,-0.031,-0.062,0.064,-0.103,-0.104,0.038,0.018,-0.014,-0.138,-0.086,0.015,-0.043,-0.048,0.052,-0.075,-0.057,-0.002,0.021,-0.069,-0.086,-0.037,0.051,-0.085,-0.095,-0.081,-0.013,-0.038,-0.01,-0.113,-0.046,0.053,0.001,0.024,-0.058,0.004,-0.031,-0.074,0.032,-0.011,0.038,0.042,-0.022,-0.015,-0.085,-0.025,0.063,-0.043,-0.077,-0.004,-0.051,-0.113,0.083,0.062,-0.066,-0.105,-0.086,-0.114,0.013,0.003,0.067,0.029,-0.114,0.021,-0.035,-0.096,-0.117,-0.102,0.077,-0.122,-0.073,-0.102,-0.022,0.003,-0.064,-0.095,-0.025,0.017,0.043,0.015,-0.065,-0.06,-0.158,-0.127,-0.056,-0.092,0.032,0.014,-0.005,-0.004,-0.174,0.044
ctx-lh-F3,,,0.036,0.008,0.051,0.076,-0.081,-0.127,0.07,0.058,-0.067,-0.128,0.097,0.057,-0.033,0.025,0.073,0.096,0.054,-0.007,-0.026,0.03,0.008,-0.068,0.022,0.055,0.059,0.022,0.029,0.03,0.001,0.056,-0.112,-0.011,0.095,-0.092,0.084,0.061,-0.035,0.091,-0.105,0.05,-0.098,0.003,-0.01,-0.027,-0.026,0.009,0.071,-0.099,0.013,0.008,-0.064,-0.082,-0.041,0.067,0.04,-0.051,0.006,0.028,-0.031,0.014,0.024,0.011,0.049,0.012,0.022,0.028,-0.02,0.069,0.055,-0.077,0.045,-0.002,0.003,0.036,0.087,0.013,-0.089,0.018,0.035,-0.035,-0.012,0.033,-0.063,-0.043,-0.067,0.06,-0.056,-0.028,0.017,0.057
ctx-lh-F4,,,,-0.071,0.043,0.028,-0.095,-0.119,0.01,0.066,-0.113,-0.11,0.085,0.01,-0.072,-0.004,0.02,0.043,0.008,-0.014,-0.088,0.014,-0.02,-0.061,0.004,0.02,0.074,-0.022,0.028,-0.013,-0.026,0.061,-0.121,-0.034,0.126,-0.052,0.082,0.093,-0.001,0.061,-0.085,0.099,-0.119,0.008,0.005,-0.065,-0.049,0.048,0.031,-0.185,-0.004,-0.03,-0.093,-0.064,-0.08,0.018,-0.021,-0.029,-0.013,-0.0,-0.053,0.013,-0.006,-0.024,-0.007,0.016,0.035,0.052,-0.027,0.039,0.034,-0.04,0.039,-0.026,0.011,0.045,-0.002,0.017,-0.101,0.011,0.08,-0.003,0.018,0.075,-0.06,-0.041,-0.042,0.086,-0.05,-0.039,0.069,0.058
ctx-lh-F5,,,,,-0.107,-0.15,-0.057,-0.043,-0.139,-0.002,-0.077,-0.018,-0.011,-0.071,-0.033,-0.001,-0.058,0.03,-0.025,-0.095,-0.003,-0.039,-0.021,-0.038,-0.053,-0.158,0.108,-0.047,-0.068,-0.082,-0.032,0.044,-0.003,-0.057,0.022,0.065,-0.076,0.0,-0.042,-0.053,-0.008,0.075,-0.03,0.043,-0.022,-0.02,-0.007,-0.045,-0.066,-0.163,-0.132,-0.132,-0.039,0.002,-0.08,-0.057,-0.041,-0.028,0.024,-0.046,0.026,0.015,-0.052,0.043,-0.059,-0.038,-0.04,-0.089,0.018,-0.076,-0.172,-0.11,0.054,-0.029,-0.113,-0.104,-0.037,0.035,0.0,0.033,-0.038,0.014,-0.153,-0.073,-0.046,-0.065,0.04,0.044,-0.011,0.03,-0.091,0.056
ctx-lh-F6,,,,,,0.055,-0.05,-0.118,-0.075,-0.074,-0.011,-0.109,0.013,-0.004,0.041,-0.027,0.046,-0.0,-0.026,0.012,-0.07,0.023,0.025,-0.097,0.009,-0.034,-0.018,0.016,0.028,0.007,-0.055,0.069,-0.084,-0.044,0.001,-0.102,-0.028,0.009,-0.087,0.027,-0.084,-0.02,-0.117,-0.078,-0.012,-0.053,-0.115,-0.065,0.021,-0.131,-0.154,0.008,-0.04,-0.019,-0.106,-0.023,0.071,-0.07,0.002,0.0,0.029,-0.014,0.019,-0.022,-0.017,0.04,0.014,0.016,0.037,0.17,0.093,-0.067,0.001,0.034,0.041,0.038,0.043,0.077,-0.065,-0.002,0.032,-0.025,0.01,0.11,-0.053,-0.095,-0.023,0.042,-0.08,-0.073,0.046,0.018
ctx-lh-F7,,,,,,,-0.021,-0.05,-0.053,-0.073,-0.033,-0.097,-0.014,0.019,0.02,0.02,-0.009,0.019,-0.019,0.026,-0.049,0.081,0.067,-0.104,0.042,-0.032,-0.076,0.084,0.058,-0.001,-0.028,0.151,-0.044,-0.019,-0.004,-0.018,-0.007,0.028,-0.059,0.056,-0.045,0.023,-0.075,-0.071,-0.016,-0.085,-0.162,0.054,0.009,-0.132,-0.012,-0.03,-0.027,0.005,-0.063,-0.049,-0.024,-0.046,-0.031,0.04,0.016,0.065,0.045,-0.037,0.002,0.05,0.055,0.059,0.087,0.085,0.066,-0.029,0.018,0.08,0.06,0.036,0.053,0.168,-0.023,0.085,0.079,0.068,0.0,0.1,0.006,0.008,0.001,0.061,-0.002,-0.031,0.101,0.011
ctx-lh-F8,,,,,,,,0.015,-0.013,-0.016,-0.039,0.074,0.077,0.02,0.001,0.047,-0.043,0.006,0.075,-0.044,0.012,-0.085,-0.034,-0.08,-0.046,-0.027,0.047,-0.036,-0.043,-0.021,-0.135,-0.018,-0.036,0.005,-0.022,-0.025,0.012,0.009,-0.026,0.025,-0.014,0.048,0.004,-0.023,-0.017,-0.036,-0.096,-0.034,-0.034,0.041,-0.045,-0.029,-0.022,-0.009,-0.012,-0.081,-0.057,0.012,0.099,0.06,0.048,0.062,0.089,0.035,0.047,0.04,0.025,-0.02,-0.02,-0.068,-0.049,-0.045,0.042,0.042,-0.006,0.054,-0.012,0.038,-0.063,0.117,-0.034,-0.023,0.004,0.014,0.02,0.053,-0.041,0.086,0.069,0.015,0.054,0.045
ctx-lh-F9,,,,,,,,,-0.015,-0.06,-0.107,0.004,0.027,-0.061,0.012,0.047,-0.073,-0.091,0.046,-0.006,-0.018,-0.107,0.023,-0.068,-0.011,0.001,0.033,0.009,-0.011,0.026,-0.041,0.011,-0.073,-0.126,0.005,-0.137,0.022,-0.04,0.082,-0.024,-0.107,-0.084,-0.104,-0.06,-0.025,-0.096,0.005,-0.127,-0.084,-0.126,-0.098,-0.046,0.019,-0.081,-0.013,-0.012,-0.046,-0.012,0.012,-0.088,0.015,0.017,-0.064,0.021,-0.019,0.053,-0.144,-0.08,-0.011,-0.057,-0.011,0.009,-0.005,0.025,-0.015,0.054,-0.026,0.025,-0.093,-0.1,-0.052,-0.157,0.016,-0.136,-0.053,0.032,-0.142,-0.064,-0.172,-0.127,-0.042,-0.018
ctx-lh-F10,,,,,,,,,,-0.03,-0.089,-0.09,-0.002,0.006,0.08,0.059,0.033,-0.01,-0.037,-0.073,-0.052,0.037,0.102,-0.059,-0.046,-0.025,0.026,0.095,0.066,-0.074,0.022,0.168,-0.067,0.009,-0.021,-0.099,0.022,0.042,-0.043,-0.026,-0.036,0.088,-0.026,-0.009,-0.028,0.03,-0.06,0.034,0.016,-0.147,-0.108,-0.074,-0.023,0.033,-0.082,0.021,0.008,-0.06,-0.042,0.035,0.045,0.058,0.048,-0.079,-0.011,-0.053,-0.009,0.04,0.117,-0.002,-0.009,-0.007,0.038,0.066,0.038,-0.019,0.044,0.184,-0.056,0.072,0.01,-0.0,-0.024,0.033,-0.012,-0.107,-0.028,0.097,0.028,-0.014,-0.012,0.043
ctx-lh-F10x,,,,,,,,,,,-0.075,-0.056,0.076,0.075,0.052,0.066,0.037,0.074,-0.004,-0.032,-0.034,0.044,0.059,-0.089,0.008,-0.039,0.033,0.067,0.062,-0.073,0.055,0.14,-0.05,0.089,0.044,-0.016,-0.031,0.026,-0.057,0.068,0.023,0.058,-0.001,0.027,0.005,-0.017,-0.107,0.012,0.036,-0.115,-0.151,-0.104,-0.017,-0.027,-0.051,0.024,-0.02,-0.052,0.047,0.047,0.015,0.072,-0.024,0.019,0.004,-0.032,-0.004,-0.039,0.049,0.044,-0.044,-0.122,-0.032,0.015,-0.027,-0.054,0.092,0.111,-0.064,0.091,0.015,0.034,-0.095,0.004,-0.002,-0.119,0.002,0.029,0.012,0.04,-0.023,0.079
