,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-callosA,,0.12,-0.083,0.011,0.097,0.052,0.06,0.298,0.066,0.149,0.043,0.111,0.133,-0.027,0.106,0.134,0.049,0.067,0.18,0.073,0.124,0.114,-0.214,-0.066,-0.054,-0.045,0.223,0.151,-0.063,0.243,0.371,0.205,0.242,0.275,-0.024,0.01,-0.043,-0.081,-0.049,0.2,0.09,0.177,-0.075,-0.05,-0.12,0.108,-0.088,0.046,-0.016,0.005,-0.016,0.044,0.023,0.025,0.078,0.01,0.214,0.061,-0.011,0.126,-0.079,0.107,0.192,0.126,0.143,0.06,-0.013,-0.004,0.083,0.083,0.033,0.051,0.073,0.179,0.456,0.119,0.156,0.269,-0.064,0.031,-0.09,0.073,-0.046,0.129,-0.008,0.294,0.049,0.075
ctx-lh-callosB,,,-0.004,0.015,0.023,0.064,-0.022,0.153,0.17,0.034,-0.056,-0.012,-0.051,0.12,-0.006,-0.105,-0.063,0.069,0.044,0.005,0.044,0.049,-0.076,0.2,0.162,0.111,-0.155,0.032,0.137,0.046,0.081,-0.165,-0.148,-0.035,0.0,0.228,0.146,0.016,-0.012,0.212,0.081,0.023,0.057,0.053,-0.02,-0.155,-0.006,-0.02,0.201,-0.069,0.045,0.112,0.147,0.247,0.081,0.023,-0.059,0.193,0.002,-0.148,-0.046,-0.036,0.016,-0.064,-0.014,-0.059,-0.036,0.139,0.208,-0.028,-0.009,-0.087,0.053,-0.028,0.013,-0.132,0.007,-0.026,-0.063,0.234,0.079,0.058,0.008,0.006,0.163,0.067,0.132,0.02
ctx-lh-callosC,,,,0.163,-0.006,0.173,0.003,0.217,0.022,-0.022,0.034,0.038,-0.035,0.118,0.1,0.014,0.136,-0.187,0.019,-0.168,-0.098,-0.126,-0.162,-0.046,-0.07,-0.077,0.055,-0.08,-0.046,-0.032,0.091,-0.134,-0.136,0.069,-0.204,-0.048,-0.042,-0.104,-0.081,0.011,0.155,0.013,-0.092,-0.062,-0.126,0.054,-0.004,-0.063,0.109,0.296,-0.106,0.172,0.019,0.135,0.236,0.009,-0.052,0.165,0.057,-0.055,0.093,-0.169,-0.063,-0.185,-0.147,-0.136,-0.031,-0.031,-0.072,-0.144,-0.006,-0.018,-0.1,0.073,0.086,-0.057,-0.109,0.023,-0.154,-0.045,0.008,-0.105,-0.036,-0.001,0.169,-0.157,-0.039,0.232
ctx-lh-callosD,,,,,0.131,-0.007,0.026,-0.074,0.071,0.083,-0.012,-0.152,0.082,-0.026,0.069,0.054,0.043,0.027,-0.15,0.074,-0.018,-0.024,-0.2,-0.078,-0.061,0.079,0.015,-0.052,-0.106,0.004,-0.054,-0.093,-0.123,0.024,-0.09,-0.149,-0.101,0.005,-0.14,-0.11,-0.037,0.077,0.017,-0.055,-0.066,0.009,0.063,-0.061,0.233,0.099,0.082,0.166,0.105,0.045,0.044,-0.151,-0.079,0.085,0.013,0.152,0.229,-0.126,-0.111,-0.087,0.003,0.062,-0.126,-0.072,-0.135,0.003,0.203,-0.053,-0.047,-0.096,-0.183,0.024,-0.071,-0.087,-0.028,-0.167,-0.242,-0.169,-0.036,-0.064,0.01,-0.078,-0.138,-0.071
ctx-lh-froB,,,,,,-0.047,0.094,0.076,-0.051,0.021,-0.07,-0.008,-0.16,0.093,0.049,0.126,0.025,0.027,0.198,0.049,0.096,0.13,-0.109,0.056,-0.079,-0.056,0.189,-0.05,0.045,0.132,0.045,0.029,0.081,-0.0,-0.009,0.049,0.046,0.265,0.142,0.132,-0.048,0.01,0.018,-0.176,0.138,0.021,0.015,0.153,0.014,-0.026,-0.051,0.051,0.024,0.049,0.028,-0.031,0.02,0.084,0.112,0.075,0.032,0.053,0.214,0.081,0.003,0.009,-0.049,0.088,0.008,0.082,0.138,0.048,0.032,0.16,0.017,0.019,0.047,0.057,-0.011,0.117,-0.003,0.127,0.1,0.053,-0.059,-0.037,0.125,0.04
ctx-lh-froC,,,,,,,0.197,0.07,-0.028,0.032,-0.092,0.088,-0.071,-0.041,0.104,0.126,0.092,0.135,0.033,0.114,0.007,0.07,0.063,-0.224,-0.156,-0.237,0.133,-0.088,-0.089,0.075,0.093,0.025,0.068,-0.022,-0.003,-0.069,-0.054,0.05,0.039,0.032,0.152,0.242,-0.044,-0.127,0.072,0.031,0.07,0.019,-0.068,0.11,0.1,0.216,-0.011,0.107,0.061,0.069,-0.05,-0.116,0.148,0.183,0.222,0.06,0.038,0.013,0.025,0.059,0.039,-0.109,-0.157,-0.003,0.026,-0.038,-0.003,0.193,0.088,0.167,0.192,-0.052,-0.065,0.032,-0.088,-0.044,0.158,0.129,0.053,0.186,0.039,0.029
ctx-lh-froD,,,,,,,,0.145,0.044,0.047,0.125,0.094,-0.025,0.135,0.039,0.053,-0.022,0.033,-0.012,-0.212,-0.069,-0.13,-0.171,0.096,0.149,-0.034,-0.021,-0.112,0.095,0.119,0.142,-0.052,-0.093,0.033,-0.115,-0.066,-0.074,0.007,-0.111,0.063,0.082,0.009,0.203,-0.031,0.003,-0.024,0.009,0.059,0.308,0.248,0.018,0.153,0.161,0.118,0.096,0.086,0.007,0.168,0.077,0.004,-0.009,-0.011,-0.109,-0.146,-0.152,0.016,0.049,0.159,0.119,-0.091,-0.124,-0.062,0.155,0.079,0.06,-0.166,-0.096,0.051,-0.1,0.105,0.078,-0.004,0.014,-0.03,0.233,-0.086,-0.029,0.07
ctx-lh-froinf,,,,,,,,,-0.039,-0.099,0.05,-0.016,-0.114,0.061,0.03,0.059,0.115,0.198,0.088,0.052,0.109,-0.023,0.079,0.013,-0.048,0.005,0.139,0.037,0.244,0.253,0.08,0.079,-0.0,-0.047,-0.049,0.026,-0.065,0.045,-0.021,-0.121,-0.026,0.004,-0.028,-0.057,0.251,0.03,0.092,0.022,0.088,0.151,0.066,0.101,0.054,0.031,0.094,-0.049,-0.006,-0.017,0.027,0.059,0.142,0.1,0.05,-0.032,0.102,-0.079,-0.023,0.158,-0.053,0.266,0.075,0.137,0.273,0.315,0.035,0.045,-0.009,-0.024,-0.043,0.076,0.026,-0.006,0.066,-0.033,0.004,-0.044,0.065,-0.046
ctx-lh-froint,,,,,,,,,,0.087,0.014,-0.009,-0.068,-0.008,0.328,0.162,0.207,-0.002,0.027,0.082,0.141,0.148,-0.139,-0.121,-0.239,-0.134,0.326,-0.192,-0.103,0.195,0.132,0.237,0.25,-0.097,0.037,-0.057,-0.146,0.112,-0.007,0.127,-0.171,0.164,0.093,-0.11,0.205,0.235,0.107,0.16,0.076,0.096,-0.101,0.158,0.207,0.012,0.03,0.051,0.152,-0.023,0.203,0.051,-0.002,0.053,0.062,-0.035,0.064,0.028,0.025,0.016,-0.123,0.208,0.128,-0.106,0.016,0.223,0.028,0.005,0.071,0.109,0.033,0.141,0.094,0.186,0.009,0.141,0.03,0.083,0.007,0.083
ctx-lh-frointB,,,,,,,,,,,-0.117,0.035,-0.116,0.072,0.066,0.056,-0.058,0.046,-0.069,0.019,0.083,-0.069,-0.0,0.13,0.055,0.02,0.006,-0.011,0.141,0.161,0.08,0.114,0.113,-0.082,-0.2,0.082,0.05,-0.003,-0.072,-0.017,-0.019,-0.022,0.02,-0.199,0.079,-0.062,0.063,0.081,0.071,0.078,0.018,0.026,0.103,-0.059,0.079,0.047,0.069,0.089,0.02,-0.039,-0.0,-0.077,-0.122,-0.171,-0.084,-0.057,-0.111,0.247,-0.025,0.086,-0.007,-0.063,0.063,0.117,0.113,-0.112,0.002,-0.014,-0.205,0.061,0.011,-0.046,-0.095,-0.157,0.073,-0.213,-0.052,0.109
