,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,-0.026,-0.03,-0.026,-0.007,-0.008,0.008,0.138,0.004,0.025,-0.044,-0.111,-0.072,0.021,0.017,-0.092,-0.093,-0.062,0.009,-0.006,0.044,0.013,0.088,0.015,0.051,-0.077,-0.084,-0.156,-0.027,0.063
ctx-lh-CT1_2_fro_inf,,,0.135,-0.104,-0.074,-0.128,-0.028,-0.035,-0.094,0.075,-0.037,-0.064,-0.161,0.023,0.005,-0.104,-0.131,-0.043,-0.114,0.01,-0.142,-0.058,-0.094,-0.114,0.089,-0.088,-0.002,-0.069,0.012,0.084
ctx-lh-CT1_2_mof,,,,-0.044,0.044,-0.017,0.068,-0.005,0.027,0.07,0.127,-0.031,-0.064,0.03,-0.015,-0.005,0.125,0.111,-0.067,0.093,0.007,0.03,0.06,0.015,0.06,0.1,-0.036,-0.056,0.042,0.049
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.075,-0.064,-0.001,0.126,-0.005,0.073,-0.113,-0.088,-0.059,0.028,0.098,-0.045,-0.14,-0.046,-0.053,-0.038,0.021,0.045,0.073,0.008,0.093,-0.164,-0.026,-0.149,-0.011,0.139
ctx-lh-CT1_2_temp,,,,,,-0.1,-0.021,-0.065,-0.074,0.106,-0.039,-0.042,-0.13,0.075,0.037,-0.041,-0.011,-0.149,-0.063,-0.081,-0.063,-0.062,-0.03,-0.098,0.132,-0.053,0.023,-0.067,0.073,0.08
ctx-lh-CT2_fro,,,,,,,0.06,0.049,-0.021,0.08,-0.191,0.044,-0.122,0.075,-0.012,-0.078,-0.107,-0.102,-0.066,-0.059,-0.036,0.005,-0.054,-0.056,0.11,-0.131,0.107,-0.13,0.018,0.026
ctx-lh-CT2_par,,,,,,,,0.095,0.047,0.087,-0.074,0.092,-0.019,-0.019,0.079,0.008,-0.006,-0.14,0.008,0.002,0.07,0.017,0.083,0.069,0.114,-0.066,0.105,-0.066,-0.035,0.067
ctx-lh-CT3_fro,,,,,,,,,0.075,0.101,-0.141,0.193,0.01,0.032,0.042,0.118,-0.106,-0.106,0.111,-0.037,0.016,0.045,-0.013,0.003,0.083,-0.161,0.252,-0.017,-0.012,0.05
ctx-lh-CT3_par,,,,,,,,,,0.032,-0.062,0.059,0.012,0.082,0.109,0.025,-0.052,-0.127,0.01,0.012,0.046,0.057,0.097,-0.037,0.095,-0.071,0.078,-0.02,0.086,0.168
ctx-lh-CT4_occ,,,,,,,,,,,0.028,-0.029,0.035,0.095,0.083,0.103,0.086,-0.093,0.102,0.163,0.182,0.048,0.238,0.032,-0.029,0.031,0.025,0.069,0.104,0.13
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.053,-0.073,-0.058,-0.012,-0.038,-0.06,-0.085,-0.044,0.021,-0.095,-0.044,-0.04,-0.052,0.015,-0.116,-0.029,-0.024,-0.023,-0.009
ctx-lh-CT5_cen,,,,,,,,,,,,,0.025,-0.073,0.052,-0.037,-0.06,-0.045,-0.01,-0.052,0.09,0.098,0.244,0.075,0.002,-0.12,-0.167,-0.085,-0.045,0.093
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.021,0.038,-0.045,-0.111,-0.14,0.015,-0.061,-0.08,-0.023,0.029,0.026,0.083,-0.17,0.004,-0.227,-0.014,0.063
ctx-lh-CT5_med,,,,,,,,,,,,,,,0.03,-0.013,0.099,-0.089,0.01,0.095,0.143,-0.009,0.034,0.061,0.135,-0.035,-0.017,-0.013,-0.039,0.012
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,0.081,-0.03,-0.107,0.064,0.1,0.062,0.064,0.133,0.119,0.113,-0.035,0.035,0.034,0.077,-0.064
ctx-rh-CT1,,,,,,,,,,,,,,,,,-0.098,-0.048,0.071,-0.015,0.045,0.052,0.153,0.087,0.086,-0.065,-0.058,-0.191,-0.049,0.12
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.064,-0.087,0.103,-0.134,-0.069,-0.046,-0.05,0.049,-0.135,0.024,-0.023,0.026,0.029
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,-0.1,-0.091,-0.076,-0.122,-0.049,-0.105,-0.06,-0.022,0.001,-0.025,-0.091,-0.052
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,-0.037,0.017,0.013,0.113,0.023,0.087,-0.092,-0.006,-0.112,-0.043,0.109
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,-0.072,-0.045,0.016,-0.003,0.148,-0.01,0.03,0.036,0.014,0.123
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,0.033,0.039,0.012,0.147,-0.079,0.132,-0.078,0.024,0.059
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,0.062,0.08,0.048,-0.035,0.125,-0.085,-0.103,0.05
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.187,-0.077,0.315,-0.035,0.017,0.119
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,0.058,-0.076,0.118,-0.026,0.035,0.129
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,0.039,0.121,0.127,0.15
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015,-0.163,-0.065,-0.015
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.076,0.002,0.073
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.074
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
