,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,-0.034,-0.018,-0.079,-0.092,-0.12,-0.144,0.023,0.007,-0.093,-0.094,-0.102,-0.082,-0.135,-0.017,-0.126,0.035,-0.107,0.008,-0.017,-0.124,-0.11,-0.171,-0.077,0.016,0.003,-0.084,-0.08,-0.116,-0.045,-0.093,-0.046,-0.12,0.045
ctx-lh-frontal,,,-0.057,-0.015,0.009,-0.043,-0.01,0.033,-0.021,-0.062,-0.075,-0.046,-0.091,0.057,0.03,0.017,0.032,-0.03,-0.018,-0.041,-0.036,-0.008,-0.038,0.025,0.039,0.007,-0.088,-0.064,-0.059,-0.079,0.067,0.01,0.004,0.037
ctx-lh-inter_precentral,,,,0.02,0.036,0.006,0.001,-0.002,-0.036,-0.049,-0.072,-0.062,-0.066,0.084,0.072,0.033,0.015,0.013,-0.021,-0.05,-0.005,-0.001,0.042,0.012,-0.001,-0.001,-0.052,-0.045,-0.067,-0.032,0.085,0.05,0.034,0.022
ctx-lh-precentral,,,,,-0.102,-0.076,-0.002,-0.04,-0.023,-0.046,-0.159,-0.142,-0.042,0.003,0.034,-0.013,0.104,-0.008,0.04,0.076,-0.114,-0.129,-0.064,0.014,-0.025,0.018,-0.017,-0.124,-0.117,-0.002,0.058,0.029,0.0,0.108
ctx-lh-postcentral,,,,,,-0.107,-0.02,-0.051,-0.033,-0.054,-0.143,-0.165,-0.047,-0.024,0.031,-0.032,0.079,-0.005,0.056,0.058,-0.199,-0.205,-0.151,-0.015,-0.037,-0.007,-0.029,-0.143,-0.146,-0.026,0.029,0.031,-0.032,0.073
ctx-lh-inter_postcentral,,,,,,,-0.011,-0.059,-0.051,-0.058,-0.137,-0.11,-0.049,-0.026,-0.005,-0.022,0.106,-0.034,0.008,0.068,-0.044,-0.127,-0.104,-0.03,-0.068,-0.024,-0.072,-0.13,-0.118,-0.026,0.049,0.03,-0.019,0.12
ctx-lh-parietal,,,,,,,,0.064,0.055,-0.117,-0.055,0.017,-0.094,-0.045,-0.021,-0.05,0.059,-0.101,-0.019,-0.02,0.005,-0.003,0.049,-0.037,0.065,0.073,-0.194,-0.095,-0.038,-0.087,-0.017,0.009,-0.071,0.073
ctx-lh-visuopsychic,,,,,,,,,0.011,-0.025,-0.064,0.014,-0.039,0.102,0.034,0.06,0.01,0.009,0.02,-0.039,-0.068,-0.047,-0.055,-0.014,-0.145,-0.015,-0.11,-0.081,-0.015,-0.057,0.122,0.03,0.056,-0.002
ctx-lh-visuosensory,,,,,,,,,,-0.007,-0.037,-0.048,-0.025,0.048,-0.013,0.009,-0.078,0.0,-0.021,-0.071,-0.023,-0.021,-0.015,0.011,-0.011,-0.077,-0.079,-0.072,-0.07,-0.032,0.073,0.008,0.002,-0.065
ctx-lh-temporal,,,,,,,,,,,-0.07,-0.059,-0.067,0.035,0.022,0.012,0.003,-0.058,-0.057,-0.059,-0.088,-0.081,-0.099,-0.076,-0.042,0.029,-0.206,-0.113,-0.093,-0.063,0.038,0.015,-0.032,0.011
ctx-lh-audiopsychic,,,,,,,,,,,,-0.144,-0.112,0.011,0.021,0.027,-0.01,-0.034,-0.053,-0.068,-0.165,-0.2,-0.168,-0.041,-0.067,0.002,-0.082,-0.202,-0.176,-0.059,0.042,0.026,0.015,-0.021
ctx-lh-audiosensory,,,,,,,,,,,,,-0.088,-0.032,0.03,0.011,0.017,-0.074,-0.043,-0.036,-0.127,-0.193,-0.081,0.035,0.016,0.002,-0.095,-0.212,-0.138,-0.042,-0.008,0.009,-0.023,0.016
ctx-lh-olfactory,,,,,,,,,,,,,,-0.085,0.026,-0.087,-0.053,-0.087,-0.114,-0.08,-0.067,-0.074,-0.084,-0.071,-0.024,-0.0,-0.065,-0.104,-0.083,0.034,-0.112,-0.028,-0.077,-0.065
