,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.013,-0.12,-0.015,-0.036,0.062,0.031,0.147,0.011,-0.067,-0.013,-0.186,-0.099,-0.028,-0.001,-0.071,-0.096,-0.057,0.001,-0.115,0.057,-0.005,0.067,-0.046,-0.094,-0.086,-0.198,-0.198,-0.073,0.005
ctx-lh-CT1_2_fro_inf,,,0.142,-0.085,0.001,-0.105,0.102,-0.029,0.006,0.134,0.017,-0.119,-0.116,0.06,0.042,-0.11,-0.063,-0.04,-0.106,0.087,-0.114,0.055,-0.062,-0.045,0.113,-0.045,-0.106,-0.002,0.06,0.132
ctx-lh-CT1_2_mof,,,,-0.105,0.01,-0.022,0.021,-0.027,-0.012,0.05,0.103,-0.008,-0.055,-0.008,-0.005,-0.113,0.084,0.061,-0.201,0.033,-0.023,-0.017,0.044,-0.05,-0.002,0.059,-0.078,-0.062,0.003,0.05
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.124,-0.01,0.022,0.138,0.07,0.068,-0.07,-0.114,-0.047,-0.017,0.176,-0.023,-0.148,-0.009,-0.021,-0.147,0.024,0.068,0.046,0.018,0.059,-0.186,-0.092,-0.159,-0.005,0.198
ctx-lh-CT1_2_temp,,,,,,-0.095,-0.027,-0.082,-0.042,0.083,-0.003,-0.164,-0.104,0.122,0.031,-0.102,0.018,-0.123,-0.178,-0.082,-0.111,-0.08,-0.111,-0.12,0.094,-0.011,-0.127,-0.012,0.119,0.103
ctx-lh-CT2_fro,,,,,,,0.169,0.068,0.093,0.068,-0.161,0.067,-0.088,0.105,0.021,-0.031,-0.023,-0.056,0.001,-0.036,-0.004,0.091,-0.054,0.004,0.059,-0.103,0.083,-0.07,0.106,0.01
ctx-lh-CT2_par,,,,,,,,0.076,0.015,0.016,-0.026,0.146,0.008,-0.058,0.061,-0.022,0.07,-0.086,-0.02,-0.032,0.075,-0.021,-0.022,0.054,0.027,0.014,0.098,-0.03,-0.028,0.008
ctx-lh-CT3_fro,,,,,,,,,0.058,-0.008,-0.057,0.239,0.076,-0.0,-0.033,0.157,-0.065,-0.028,0.107,-0.139,-0.009,0.009,0.017,-0.056,-0.057,-0.066,0.207,0.061,-0.059,-0.048
ctx-lh-CT3_par,,,,,,,,,,-0.156,0.023,0.056,0.087,0.07,0.03,0.006,-0.044,-0.117,-0.046,-0.029,0.031,-0.016,0.016,-0.118,-0.122,-0.041,0.008,0.099,0.142,0.078
ctx-lh-CT4_occ,,,,,,,,,,,0.067,-0.085,0.013,-0.014,0.01,-0.01,0.052,-0.052,0.012,0.097,0.134,-0.039,0.137,-0.142,-0.13,0.05,-0.047,0.07,0.043,0.037
