,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.014,-0.024,0.096,-0.018,0.004,0.033,-0.072,0.061,-0.089,-0.117,0.002,-0.118,0.035,0.015,-0.032,0.139,0.072,0.1,0.02,-0.103,-0.162,0.061,-0.033,-0.137,-0.038,0.097,0.053,-0.1,-0.193,-0.023,-0.053,0.01,0.105,-0.094,-0.078,-0.052,-0.018,0.055,-0.066,-0.103,-0.105,0.021,-0.105,-0.003,-0.047,0.123,-0.048,0.053,0.101,-0.01,0.062,-0.058,-0.132,0.016,-0.057,-0.028,-0.012,-0.047,0.147,0.056,0.074,0.077,-0.039,-0.131,0.107,-0.035,-0.059,-0.06,0.077,0.06,-0.122,-0.17,-0.182,-0.114,-0.035,0.11,-0.164,-0.063,-0.136,0.019,0.057,-0.008,-0.204,-0.074,-0.019
ctx-lh-FB,,,-0.012,0.079,0.054,0.142,0.146,-0.012,0.098,0.011,-0.074,0.019,-0.093,-0.044,-0.031,-0.18,0.03,-0.059,0.042,0.03,-0.134,-0.182,0.036,-0.117,-0.176,-0.015,0.006,-0.073,0.014,-0.037,0.039,-0.094,0.021,0.128,-0.073,-0.042,0.035,0.024,0.001,-0.115,-0.015,-0.067,0.027,-0.015,-0.017,0.038,0.092,0.086,0.145,0.132,-0.012,0.111,-0.012,-0.088,0.063,-0.107,-0.109,-0.032,-0.135,0.045,-0.008,0.053,0.043,-0.087,-0.166,0.1,-0.188,-0.17,-0.064,-0.048,-0.094,-0.014,-0.05,-0.017,-0.083,-0.007,0.076,-0.127,-0.049,0.03,0.006,0.022,-0.084,-0.034,-0.098,0.056
ctx-lh-FC,,,,-0.061,0.0,0.027,0.001,0.059,0.019,0.035,0.016,0.024,0.004,0.046,0.054,-0.034,-0.052,-0.121,-0.08,0.031,0.022,0.053,0.004,0.075,0.056,0.103,0.038,-0.007,-0.017,0.036,0.017,-0.108,-0.054,-0.029,0.01,0.041,0.064,0.137,-0.019,-0.099,0.02,-0.026,0.03,-0.014,-0.007,0.177,-0.035,0.142,-0.001,0.013,0.063,0.091,0.034,-0.004,-0.017,0.028,0.048,0.063,-0.038,-0.061,-0.043,-0.01,0.011,0.085,0.038,0.094,0.084,0.109,0.071,0.05,-0.006,-0.047,0.068,0.004,0.016,-0.011,-0.042,0.007,0.004,0.145,-0.001,-0.033,-0.042,0.069,-0.053,0.013
ctx-lh-FCBm,,,,,0.002,-0.028,0.116,0.018,0.036,0.058,0.033,0.013,0.08,0.013,-0.007,-0.092,-0.065,-0.006,-0.069,-0.059,-0.038,-0.005,-0.073,-0.086,-0.085,-0.087,-0.12,-0.13,0.038,0.131,0.13,-0.059,-0.051,0.044,-0.022,-0.07,0.063,0.019,-0.032,-0.05,0.085,-0.036,0.092,0.081,0.011,-0.041,0.022,0.015,-0.052,0.095,0.058,0.076,0.115,0.02,-0.053,0.04,-0.012,0.04,-0.064,-0.11,0.015,-0.029,-0.094,-0.032,-0.012,0.014,-0.128,-0.032,-0.044,-0.048,-0.082,0.059,0.13,0.084,-0.063,-0.05,-0.024,-0.003,0.009,0.085,0.038,0.038,-0.071,0.105,0.006,0.085
ctx-lh-FD,,,,,,0.01,0.005,0.01,-0.041,-0.011,-0.048,-0.007,-0.056,0.022,0.072,-0.011,0.016,-0.012,-0.104,0.02,-0.065,-0.016,-0.001,0.041,0.006,0.082,0.008,-0.015,0.018,0.05,-0.014,-0.039,-0.025,0.004,-0.023,0.105,0.001,0.171,-0.087,-0.062,0.002,0.061,0.003,-0.008,0.03,0.053,-0.031,0.037,-0.048,0.02,0.018,0.027,0.031,-0.094,-0.062,0.009,0.097,0.092,-0.085,-0.007,-0.017,-0.05,-0.034,-0.019,-0.066,0.001,0.023,0.04,0.094,0.041,0.013,-0.032,0.035,-0.016,0.016,-0.037,-0.057,-0.046,0.046,0.092,0.004,-0.028,-0.101,0.01,0.084,0.01
ctx-lh-FDdelta,,,,,,,0.072,0.04,0.098,0.078,0.035,0.106,-0.024,0.049,0.105,-0.011,0.041,0.04,0.058,0.102,-0.001,-0.003,-0.076,0.102,0.036,-0.002,-0.115,-0.047,0.05,0.065,0.026,-0.064,-0.008,0.083,0.02,0.061,0.091,0.147,0.005,-0.069,0.066,0.066,0.084,0.048,0.075,-0.001,-0.067,0.04,-0.045,0.072,-0.03,0.098,0.108,0.03,0.087,0.088,0.042,0.157,-0.008,0.039,0.081,0.051,0.067,-0.017,0.013,0.021,0.085,-0.035,0.014,-0.038,-0.019,0.11,0.115,0.085,-0.039,-0.04,-0.031,-0.011,-0.039,0.155,0.085,0.062,-0.036,0.057,0.049,0.112
ctx-lh-FDT,,,,,,,,-0.025,0.037,-0.09,-0.065,0.015,-0.028,0.046,0.004,-0.087,0.051,0.053,-0.043,-0.036,-0.13,-0.086,0.015,-0.113,-0.096,-0.052,-0.111,-0.088,-0.013,0.082,0.039,0.032,-0.023,0.018,-0.065,-0.036,-0.019,0.104,-0.042,-0.009,-0.034,-0.065,0.032,0.019,0.067,-0.015,0.093,-0.025,-0.048,0.107,0.006,-0.002,-0.026,-0.133,-0.095,-0.028,0.055,0.043,-0.108,0.009,0.024,0.002,-0.007,-0.069,-0.078,0.024,-0.111,-0.017,0.012,-0.048,-0.029,-0.064,0.066,-0.017,0.034,-0.054,0.019,-0.033,-0.0,0.012,0.024,0.014,-0.029,0.009,0.009,0.046
ctx-lh-FE,,,,,,,,,0.003,-0.078,-0.098,-0.044,-0.011,0.036,-0.069,0.028,0.034,-0.041,-0.076,-0.001,-0.075,-0.064,-0.036,0.001,-0.052,0.01,-0.007,-0.014,-0.009,-0.038,-0.017,0.02,-0.014,0.034,-0.002,0.052,-0.077,-0.002,-0.106,-0.081,0.032,0.046,-0.037,-0.059,-0.013,0.083,-0.017,0.039,0.007,-0.026,-0.014,0.034,-0.042,-0.11,-0.046,-0.02,0.125,-0.024,-0.016,-0.038,-0.013,-0.05,-0.028,-0.009,-0.042,-0.048,0.017,-0.005,0.063,0.007,-0.005,-0.094,-0.058,-0.107,0.022,-0.012,0.003,0.023,-0.005,-0.004,0.02,-0.039,-0.1,0.033,0.047,-0.025
ctx-lh-FF,,,,,,,,,,-0.101,-0.07,0.046,-0.008,-0.001,0.001,0.009,0.088,0.036,-0.056,-0.063,-0.159,-0.146,-0.056,-0.07,-0.144,-0.07,-0.044,-0.034,-0.008,-0.044,0.085,0.094,-0.048,0.038,-0.078,-0.026,0.066,0.101,-0.027,-0.005,-0.0,0.047,0.028,-0.015,0.1,0.068,0.075,-0.028,0.014,0.054,-0.023,-0.003,0.018,-0.115,-0.03,-0.095,0.061,0.049,-0.004,0.042,0.088,-0.04,-0.047,-0.095,-0.075,-0.136,-0.048,-0.109,-0.04,-0.067,-0.023,0.002,-0.051,0.008,0.115,-0.038,0.009,-0.007,-0.041,0.083,0.034,0.07,-0.088,0.018,0.022,0.0
ctx-lh-FG,,,,,,,,,,,-0.118,-0.045,-0.078,-0.013,-0.04,0.053,0.032,0.009,-0.052,-0.05,-0.081,-0.044,0.035,-0.033,-0.038,0.019,0.013,0.001,-0.145,-0.103,-0.013,0.043,0.002,0.032,-0.007,0.027,-0.065,0.075,-0.045,-0.015,-0.026,-0.025,-0.032,-0.128,0.01,0.116,0.102,0.027,-0.012,0.019,-0.063,-0.073,-0.081,-0.117,-0.043,-0.136,-0.02,-0.053,-0.046,-0.004,-0.053,-0.014,-0.015,0.032,-0.023,0.033,-0.004,-0.002,0.036,-0.018,0.008,-0.259,-0.187,-0.13,-0.038,-0.031,0.043,0.061,0.011,-0.036,-0.053,-0.023,-0.064,0.016,-0.003,-0.073
