,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-rh-FLMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.062,0.023,-0.109,-0.074,-0.098,-0.063,-0.032,-0.079,-0.078,-0.053,-0.089,-0.008,0.014,0.061,0.007,0.003,-0.097,-0.062,-0.075,-0.105,-0.067,-0.02,0.082,0.101,0.038,-0.076,-0.061,-0.013,0.097
ctx-rh-HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,-0.023,-0.007,0.045,0.045,-0.147,-0.048,-0.014,-0.023,-0.085,-0.054,0.062,0.011,-0.075,0.115,0.082,0.065,0.031,0.007,-0.007,-0.015,0.007,-0.058,0.004,-0.097,0.043,-0.101,-0.061,0.014
ctx-rh-HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,-0.039,0.056,-0.048,0.011,-0.04,0.041,0.017,-0.016,-0.046,0.032,0.062,0.017,-0.057,-0.018,0.015,0.039,-0.024,-0.05,-0.019,-0.015,-0.007,0.076,-0.015,-0.135,-0.005,0.03,0.062
ctx-rh-HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.105,-0.013,0.044,-0.021,0.073,0.06,0.039,-0.011,0.075,0.034,-0.013,0.003,0.08,0.016,0.093,-0.001,-0.028,0.06,0.043,0.092,-0.023,0.009,-0.042,0.054,0.034,0.032,0.034
ctx-rh-IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,-0.045,-0.127,-0.019,0.056,0.036,-0.044,0.045,0.042,-0.016,-0.034,-0.022,-0.018,0.011,0.04,0.012,-0.102,0.034,0.053,-0.001,0.0,-0.019,-0.068,0.032,0.026,0.007
ctx-rh-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.092,-0.143,0.026,0.051,0.005,0.007,-0.011,0.045,-0.028,-0.068,-0.061,-0.028,0.029,-0.023,-0.002,-0.069,0.003,0.042,0.045,0.01,0.022,-0.054,0.007,0.088,0.057
ctx-rh-LA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.102,-0.01,0.053,-0.023,0.015,0.111,0.093,0.052,0.048,-0.049,-0.08,-0.061,-0.065,0.033,-0.06,0.03,0.082,0.026,-0.121,-0.125,-0.128,-0.012,0.072,-0.005
ctx-rh-LA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.067,0.039,-0.084,-0.017,0.013,0.137,0.067,0.05,-0.103,-0.069,0.008,-0.013,-0.043,-0.056,-0.034,0.144,0.056,-0.121,-0.079,-0.141,0.032,0.002,0.021
ctx-rh-LC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,-0.025,0.046,-0.055,0.104,0.059,0.062,0.042,0.016,0.016,-0.075,-0.012,0.023,-0.089,0.084,0.079,-0.028,0.02,0.068,0.044,0.033,0.125
ctx-rh-LC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,-0.022,0.017,0.006,0.04,0.071,-0.034,-0.094,-0.048,-0.076,-0.026,0.008,-0.05,0.004,0.091,0.006,0.01,0.063,0.05,0.033,0.126
