,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.234,0.15,-0.067,0.178,-0.24,-0.221,0.132,-0.012,-0.095,-0.019,-0.063,-0.219,-0.073,0.172,0.052,-0.22,-0.074,-0.21,-0.211,-0.273,-0.396,0.013,-0.202,0.063,-0.088,-0.118,0.118,0.057,-0.1,0.048,0.08,0.048,-0.093,-0.072,-0.142,-0.159,0.066,-0.282,-0.174,0.111,0.155,0.147,-0.055,-0.162,0.256
ctx-lh-PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.102,-0.153,-0.211,0.163,-0.059,-0.064,-0.052,-0.098,-0.28,-0.253,-0.193,-0.2,-0.165,-0.193,-0.242,-0.395,-0.314,-0.324,-0.166,0.217,-0.046,-0.088,-0.097,-0.137,-0.045,0.145,0.192,0.188,0.225,0.023,-0.172,0.074,0.102,-0.287,-0.116,-0.35,-0.028,-0.015,0.129,-0.356,-0.013,0.017,-0.138
ctx-lh-TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.147,-0.16,-0.049,-0.098,-0.019,0.084,-0.059,-0.026,-0.127,-0.173,0.032,-0.09,-0.023,-0.008,-0.074,-0.085,0.057,0.204,-0.037,-0.247,-0.32,-0.408,-0.273,-0.077,0.071,0.101,0.006,0.083,0.081,-0.022,-0.056,0.04,0.128,-0.127,-0.178,0.117,0.024,-0.191,-0.207,-0.222,0.225,-0.15,-0.147
ctx-lh-TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.204,-0.005,-0.086,-0.138,-0.043,-0.01,-0.041,-0.066,-0.065,0.065,-0.067,-0.137,-0.091,-0.109,-0.153,-0.126,0.032,-0.057,-0.344,-0.08,-0.368,-0.113,-0.034,-0.011,-0.069,0.062,0.04,-0.084,0.039,-0.132,0.025,0.087,0.036,-0.213,0.07,0.114,-0.148,-0.271,-0.028,0.177,-0.169,-0.261
ctx-lh-TE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,-0.137,-0.143,-0.043,-0.121,-0.215,-0.197,-0.178,-0.073,-0.141,-0.137,-0.064,-0.153,-0.149,-0.247,0.037,-0.238,-0.156,-0.258,-0.152,-0.192,-0.063,-0.086,-0.085,-0.036,-0.089,-0.032,-0.126,-0.26,-0.049,0.046,-0.232,-0.167,0.007,-0.128,-0.127,-0.092,-0.209,0.091,-0.265,-0.128
ctx-lh-TE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,-0.141,0.07,0.158,-0.137,-0.138,-0.121,-0.017,-0.139,-0.117,-0.022,-0.249,-0.242,-0.406,-0.21,-0.272,0.15,0.119,-0.074,-0.184,-0.07,-0.006,0.027,-0.078,0.096,0.051,-0.073,-0.133,-0.056,-0.007,-0.188,0.012,-0.143,-0.225,-0.082,0.059,-0.157,0.064,0.082,-0.352
ctx-lh-TF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.276,0.101,0.018,-0.107,-0.32,-0.177,-0.283,-0.309,-0.282,-0.287,-0.179,-0.294,-0.218,-0.056,0.048,-0.259,-0.154,-0.067,-0.179,-0.174,0.028,0.07,0.091,0.123,-0.005,-0.092,-0.203,-0.031,-0.048,-0.352,-0.139,-0.286,0.049,-0.022,0.017,-0.262,0.255,-0.124,-0.416
ctx-lh-TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.084,-0.192,0.015,-0.062,-0.134,-0.075,-0.055,-0.135,-0.046,0.142,0.071,0.135,0.135,0.172,-0.088,-0.159,-0.29,-0.034,0.037,0.293,0.066,-0.034,-0.085,0.031,-0.179,-0.126,-0.111,0.017,-0.159,-0.136,-0.028,-0.144,-0.016,-0.0,-0.206,-0.031,-0.122,-0.33
ctx-rh-FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.062,-0.094,-0.133,-0.062,-0.091,-0.154,-0.169,-0.162,-0.195,-0.179,-0.051,0.094,-0.015,-0.192,0.141,0.151,-0.139,-0.025,-0.131,-0.106,-0.127,-0.132,0.065,-0.088,-0.074,0.06,-0.03,0.059,0.034,-0.017,-0.096,0.054,0.156,-0.012,0.078,-0.006,-0.032
ctx-rh-FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.154,-0.206,-0.085,-0.086,-0.282,-0.181,-0.124,-0.205,-0.168,-0.147,0.032,0.141,-0.192,0.202,-0.052,-0.02,0.01,-0.142,0.065,-0.025,0.07,0.091,-0.084,-0.091,0.324,0.34,0.209,-0.076,0.077,-0.044,-0.054,0.104,-0.09,0.288,-0.171,-0.252
