,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-lh-F37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,-0.036,-0.009,0.079,0.026,0.049,-0.062,-0.042,0.036,-0.036,-0.045,-0.047,-0.042,-0.05,-0.061,0.058,0.048,-0.05,-0.109,-0.056,0.032,-0.089,-0.058,0.064,0.031,-0.011,-0.151,-0.093,0.028,-0.052,-0.008,0.091,-0.046,-0.094,-0.051,-0.197,0.029,0.077,-0.02,-0.068,0.051,-0.055,-0.016,-0.104,-0.032,-0.019,-0.048,-0.107,-0.026,0.036,-0.041,0.026,-0.117,-0.005,-0.071
ctx-lh-F38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.042,0.064,0.018,-0.019,0.014,-0.08,-0.023,0.047,-0.017,-0.001,-0.016,-0.043,-0.013,-0.019,0.002,-0.053,-0.022,-0.037,-0.011,0.016,-0.085,-0.021,0.034,-0.042,0.036,-0.085,-0.009,0.044,-0.014,-0.01,0.016,-0.011,0.037,-0.019,-0.117,0.014,0.012,0.08,-0.095,-0.023,-0.071,-0.032,-0.019,-0.052,0.032,-0.077,-0.08,0.009,-0.039,-0.05,-0.021,-0.108,0.024,-0.068
ctx-lh-F39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.051,0.064,0.024,0.017,-0.017,-0.102,0.02,-0.029,-0.095,-0.088,-0.092,-0.066,-0.085,-0.026,0.006,-0.097,-0.123,-0.078,0.02,-0.033,-0.061,-0.092,-0.03,-0.075,-0.165,-0.182,-0.001,-0.039,-0.107,-0.064,-0.009,-0.083,-0.095,-0.109,-0.123,-0.042,-0.027,-0.143,-0.048,-0.113,-0.012,-0.077,0.027,-0.076,-0.052,-0.131,-0.047,0.01,-0.034,0.022,-0.069,-0.035,-0.044
ctx-lh-F40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005,0.05,-0.038,0.003,0.027,0.022,-0.034,0.075,0.079,-0.071,0.042,0.044,-0.093,-0.071,-0.011,-0.018,0.021,-0.071,-0.047,-0.098,0.026,0.042,0.051,-0.02,-0.034,-0.059,-0.088,0.068,0.003,0.012,-0.098,0.03,-0.09,0.012,0.017,0.003,-0.034,0.005,-0.037,-0.006,-0.032,-0.111,-0.015,0.01,-0.124,-0.075,-0.075,0.002,-0.044,-0.047,-0.026,-0.011
ctx-lh-F41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,-0.191,-0.007,0.052,0.021,-0.007,-0.037,-0.043,-0.063,-0.03,0.015,0.121,-0.183,-0.007,-0.062,-0.021,-0.057,-0.111,0.032,0.118,-0.024,0.008,-0.076,0.017,0.021,-0.039,-0.028,0.11,0.093,0.079,-0.021,0.029,0.077,0.021,0.089,0.033,0.095,-0.081,-0.09,0.111,-0.087,0.092,0.033,0.07,0.031,-0.257,0.014,-0.178,-0.12,0.042,-0.054
ctx-lh-F42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037,-0.07,0.042,0.036,-0.038,-0.029,-0.03,-0.057,-0.023,-0.001,0.101,-0.032,-0.0,-0.067,-0.006,0.02,-0.096,0.032,0.111,0.006,0.022,-0.103,-0.017,0.049,-0.017,-0.004,0.111,0.034,0.064,0.002,-0.065,0.06,0.001,0.079,-0.002,0.074,-0.08,-0.041,0.067,-0.046,0.083,-0.016,0.029,0.039,-0.072,-0.085,-0.034,-0.141,0.062,-0.052
ctx-lh-F43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095,0.067,-0.015,-0.041,-0.076,-0.065,-0.061,-0.072,0.005,0.019,-0.205,-0.052,-0.071,-0.023,-0.112,-0.132,0.04,0.098,-0.019,-0.015,-0.12,0.016,-0.005,-0.033,-0.078,0.048,0.09,0.085,-0.024,0.006,0.062,-0.008,0.082,-0.007,0.064,-0.144,-0.08,0.067,-0.117,0.063,0.048,-0.018,-0.042,-0.219,-0.035,-0.151,-0.111,0.05,-0.097
ctx-lh-F44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.113,-0.028,-0.027,-0.084,-0.075,-0.023,-0.024,0.002,0.021,-0.015,-0.018,-0.053,-0.015,-0.109,-0.091,-0.089,-0.007,-0.047,-0.025,-0.12,-0.009,-0.053,-0.121,-0.07,-0.016,-0.031,-0.038,-0.013,-0.059,-0.043,-0.062,0.018,-0.018,-0.025,-0.073,-0.081,-0.112,-0.116,-0.011,-0.073,0.008,-0.033,-0.031,-0.078,-0.112,-0.168,-0.091,-0.068
ctx-lh-F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,-0.02,-0.052,-0.069,-0.02,-0.058,-0.058,-0.02,0.032,-0.055,-0.097,-0.095,-0.057,-0.064,-0.041,0.055,-0.081,-0.029,-0.142,-0.088,-0.017,-0.047,-0.066,0.025,-0.02,-0.04,-0.08,-0.117,-0.009,0.023,0.007,-0.107,-0.017,-0.023,-0.016,-0.019,-0.077,-0.029,-0.027,-0.119,-0.067,0.011,0.016,0.043,-0.085,-0.002,-0.071
ctx-lh-F2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009,-0.013,-0.023,0.01,0.047,0.055,-0.026,0.013,0.053,0.026,-0.004,-0.042,0.014,0.052,-0.009,-0.015,0.011,0.018,0.041,0.014,-0.003,-0.004,0.0,-0.025,0.033,0.022,0.035,0.011,-0.008,0.045,0.02,-0.01,-0.044,0.052,0.033,0.018,0.014,0.006,0.018,0.001,0.012,0.005,0.01,0.001,0.022,-0.013
