,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,-0.279,0.071,-0.153,-0.01,-0.237,0.248,0.025,-0.085,0.059,-0.015,-0.085,-0.32,-0.092,-0.04,-0.117,-0.042,-0.065,-0.065,0.167,-0.031,0.203,0.223,-0.023,0.036,0.051,-0.217,-0.277,0.104,-0.043
ctx-lh-CT1_2_fro_inf,,,0.028,-0.237,-0.343,-0.49,0.346,-0.12,0.031,0.169,0.117,0.06,0.002,-0.105,0.036,-0.016,-0.154,-0.08,-0.023,-0.029,-0.124,0.568,0.199,0.223,0.081,-0.004,0.023,-0.075,0.085,0.046
ctx-lh-CT1_2_mof,,,,0.067,-0.056,0.097,0.145,0.147,0.097,0.029,-0.217,-0.059,-0.013,0.011,0.074,-0.021,-0.014,-0.132,0.152,0.168,0.185,0.137,0.163,-0.042,-0.005,-0.122,-0.067,-0.033,-0.011,0.028
ctx-lh-CT1_2_pref_ins_postc,,,,,0.078,-0.109,0.061,0.149,-0.272,-0.144,0.044,-0.316,-0.349,-0.042,-0.111,-0.151,-0.031,0.091,-0.183,0.278,0.061,0.003,0.195,-0.142,-0.127,0.024,-0.409,-0.424,0.087,-0.166
ctx-lh-CT1_2_temp,,,,,,-0.324,0.26,-0.242,0.112,0.29,-0.01,0.224,0.171,0.035,0.196,0.187,-0.047,0.041,0.123,-0.211,-0.053,0.365,-0.002,0.165,0.144,-0.025,0.144,0.105,0.121,0.17
ctx-lh-CT2_fro,,,,,,,0.065,0.179,-0.16,0.01,-0.087,-0.081,0.04,-0.004,0.088,-0.041,-0.102,-0.026,0.079,-0.039,0.18,0.237,0.326,0.026,0.006,-0.091,-0.152,-0.213,0.042,0.091
ctx-lh-CT2_par,,,,,,,,-0.068,0.205,-0.03,0.154,0.304,-0.094,-0.131,-0.033,0.278,0.231,0.065,0.229,0.151,0.003,-0.062,-0.156,0.201,-0.007,0.058,0.352,0.023,-0.05,-0.093
ctx-lh-CT3_fro,,,,,,,,,-0.15,0.086,-0.065,0.2,0.131,-0.001,0.261,0.201,0.053,-0.003,0.218,0.153,0.349,0.125,0.193,0.116,0.047,0.1,0.084,0.09,0.14,0.187
ctx-lh-CT3_par,,,,,,,,,,0.162,0.088,0.208,-0.142,0.088,0.135,0.097,0.036,0.183,-0.019,0.231,-0.01,0.115,-0.042,0.085,0.131,-0.019,0.216,-0.079,0.237,0.153
ctx-lh-CT4_occ,,,,,,,,,,,0.022,-0.263,-0.09,0.043,-0.108,0.094,0.202,-0.055,-0.013,0.311,0.121,0.003,0.089,0.177,-0.215,-0.04,-0.218,-0.135,0.095,-0.108
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.006,0.054,-0.143,0.121,0.029,-0.037,-0.144,0.044,0.135,0.026,0.26,-0.045,0.105,0.022,-0.203,-0.035,0.05,-0.116,0.078
ctx-lh-CT5_cen,,,,,,,,,,,,,-0.366,0.039,-0.32,-0.078,0.108,-0.023,-0.256,0.264,-0.007,0.224,0.234,0.049,-0.279,-0.038,-0.48,-0.198,0.09,-0.298
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.062,-0.168,-0.412,-0.01,0.165,-0.379,0.232,-0.043,-0.117,0.048,-0.2,-0.031,-0.033,-0.316,-0.23,-0.032,-0.115
ctx-lh-CT5_med,,,,,,,,,,,,,,,0.097,0.035,-0.048,-0.044,0.073,-0.066,-0.038,0.007,-0.191,0.173,0.169,-0.075,0.041,-0.153,-0.221,0.023
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,0.086,0.156,0.201,-0.021,0.185,0.231,-0.079,0.205,0.144,-0.037,0.138,-0.273,-0.075,0.181,-0.25
ctx-rh-CT1,,,,,,,,,,,,,,,,,-0.066,-0.028,-0.308,0.198,-0.244,-0.029,-0.058,-0.081,0.109,-0.035,-0.134,-0.246,0.013,0.093
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.084,-0.096,-0.092,-0.248,0.129,0.013,0.029,0.073,0.022,0.099,0.091,-0.038,0.136
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,0.116,0.059,-0.08,0.114,-0.108,0.09,-0.104,-0.193,0.025,0.052,0.089,0.032
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,0.05,-0.138,-0.062,-0.016,-0.189,0.03,0.031,-0.185,-0.331,-0.012,0.026
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,-0.209,0.14,0.09,-0.0,0.186,0.195,0.248,0.294,-0.123,0.123
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,-0.161,0.202,-0.174,0.157,-0.045,-0.123,-0.065,-0.099,0.23
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,-0.233,0.086,0.033,0.034,0.272,0.008,0.053,-0.079
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,-0.134,0.141,-0.153,0.024,0.076,-0.19,0.217
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,0.151,-0.012,0.093,-0.037,0.091,0.159
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,-0.064,-0.303,-0.047,0.149,-0.086
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.163,0.178,-0.109,0.043
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.118,0.042,-0.309
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,-0.03
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
