,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,-0.085,-0.081,-0.239,-0.121,-0.125,-0.08,-0.031,-0.068,0.087,0.002,-0.244,-0.302,0.04,0.121,-0.062,-0.03,-0.055,-0.213,-0.102,-0.055,-0.075,0.044,-0.074,0.106,-0.022,-0.291,-0.173,0.014,0.195
ctx-lh-CT1_2_fro_inf,,,0.029,-0.078,-0.09,-0.05,0.092,-0.031,0.047,0.069,-0.013,-0.077,-0.205,0.183,0.012,-0.096,-0.027,-0.105,-0.04,0.052,0.025,0.057,-0.103,-0.04,0.032,-0.058,-0.099,-0.16,0.081,0.004
ctx-lh-CT1_2_mof,,,,-0.054,-0.037,0.003,0.055,0.059,0.065,0.035,0.027,-0.087,0.002,0.086,-0.032,0.001,-0.015,-0.021,-0.018,0.001,-0.012,0.009,0.058,0.03,-0.025,0.015,-0.176,0.017,-0.023,-0.056
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.137,-0.03,-0.03,0.018,-0.045,0.063,0.04,-0.198,-0.332,-0.014,0.151,-0.133,0.019,-0.107,-0.152,-0.18,0.017,-0.045,0.078,-0.096,0.097,-0.05,-0.224,-0.226,-0.046,0.215
ctx-lh-CT1_2_temp,,,,,,-0.014,-0.094,-0.062,-0.065,0.159,-0.058,-0.221,-0.131,0.112,0.058,-0.167,-0.074,-0.138,-0.193,-0.055,-0.003,-0.197,-0.149,-0.236,0.111,-0.077,-0.172,-0.062,0.076,0.098
ctx-lh-CT2_fro,,,,,,,0.073,0.047,0.115,0.055,-0.054,-0.044,-0.22,0.112,0.068,-0.086,0.053,-0.054,0.027,0.071,0.052,-0.03,-0.015,-0.051,0.039,-0.079,-0.003,-0.166,0.081,0.062
ctx-lh-CT2_par,,,,,,,,0.15,0.265,-0.02,0.09,-0.047,-0.127,-0.13,-0.002,-0.075,0.087,0.018,-0.118,-0.095,0.053,-0.092,0.106,0.106,0.03,0.032,-0.102,-0.132,-0.048,0.048
ctx-lh-CT3_fro,,,,,,,,,0.176,-0.01,0.021,0.125,0.021,0.055,0.093,0.123,-0.033,0.034,0.118,-0.056,0.062,0.138,-0.03,0.064,-0.027,-0.024,0.123,0.044,0.016,0.007
ctx-lh-CT3_par,,,,,,,,,,-0.238,0.086,-0.178,-0.137,0.101,-0.062,-0.05,0.005,-0.065,-0.063,-0.003,0.154,0.171,0.125,-0.189,-0.266,0.092,-0.14,-0.018,0.114,-0.013
ctx-lh-CT4_occ,,,,,,,,,,,0.046,0.023,0.105,-0.07,-0.021,0.112,-0.023,0.066,0.023,0.144,0.068,-0.029,0.045,-0.226,-0.205,0.061,0.021,0.136,-0.035,-0.05
ctx-lh-CT4_dmpf,,,,,,,,,,,,0.031,0.009,-0.044,0.028,0.007,-0.037,-0.101,0.072,-0.08,-0.006,0.093,-0.014,0.01,-0.04,0.01,-0.086,-0.044,0.023,-0.019
ctx-lh-CT5_cen,,,,,,,,,,,,,-0.148,-0.214,0.052,-0.107,0.097,-0.041,-0.144,-0.087,0.158,0.008,0.242,-0.034,-0.045,0.005,-0.243,-0.089,-0.104,0.129
