,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K1_3a_3b,,0.002,-0.056,-0.014,-0.033,-0.116,0.049,0.051,-0.048,0.004,0.006,0.001,-0.011,-0.019,-0.038,0.07,-0.064,-0.03,0.042,-0.063,-0.008,-0.034,-0.024,0.005,0.097,-0.029,0.031,0.049,-0.105,-0.06,-0.109,0.059,-0.088,0.067,0.052,0.001,0.058,0.034,-0.081,0.043,0.009,-0.024,-0.031,-0.092,0.038,0.076,0.032,0.075,0.054,-0.058,-0.03,0.023,0.01,0.052,0.059,0.147,0.067,-0.03,0.071,0.002,-0.044,-0.042,-0.001,-0.06,0.044,-0.016,0.03,-0.045,0.008,0.026,-0.061,-0.065,-0.029,-0.085,-0.111,-0.001,0.081,-0.071,-0.032,-0.059,0.026,-0.048,0.018,0.008,-0.001,-0.023,0.013,-0.082,0.012,-0.129,-0.012,-0.095,0.015,0.093,0.01,0.023,-0.008,0.001
ctx-lh-K2,,,-0.01,0.02,-0.031,-0.102,-0.046,-0.046,-0.026,0.03,0.026,0.012,-0.022,0.089,-0.002,0.086,-0.012,0.018,0.129,0.003,0.022,0.052,0.004,0.086,0.092,0.025,0.004,0.108,-0.007,-0.04,-0.103,0.09,-0.083,-0.004,-0.045,-0.061,0.075,0.029,0.011,0.005,0.021,-0.103,-0.021,-0.008,0.07,0.081,0.085,0.059,0.083,0.036,-0.054,0.064,-0.022,0.009,0.006,0.053,-0.085,-0.025,-0.021,0.037,-0.053,-0.06,0.036,-0.009,0.134,0.013,0.061,0.078,0.085,0.052,0.02,-0.001,0.055,-0.038,-0.025,0.028,0.041,0.003,-0.002,-0.082,0.062,-0.053,-0.045,-0.017,-0.021,-0.049,-0.085,-0.077,-0.118,-0.193,-0.075,-0.019,0.081,0.098,0.046,0.107,0.003,0.031
ctx-lh-K4,,,,-0.02,-0.075,-0.104,-0.018,-0.0,-0.069,0.061,0.028,0.037,-0.001,0.007,-0.017,0.067,-0.039,-0.023,0.049,-0.078,-0.013,-0.025,-0.076,-0.024,0.117,0.078,-0.033,0.013,-0.137,-0.061,-0.095,0.065,-0.099,-0.009,-0.023,-0.032,0.045,0.041,-0.012,0.017,-0.012,-0.056,-0.092,-0.078,-0.016,0.028,0.024,0.033,0.092,-0.076,-0.006,0.018,0.043,0.02,0.095,0.1,0.007,0.059,0.09,0.086,0.03,-0.055,-0.022,-0.107,0.083,-0.025,0.01,-0.025,-0.039,-0.027,-0.064,-0.068,-0.058,-0.096,-0.006,-0.01,0.009,-0.095,-0.013,-0.036,0.052,-0.079,-0.094,-0.063,-0.036,-0.046,0.024,-0.026,-0.047,-0.141,-0.022,-0.123,-0.039,0.058,0.037,0.069,0.035,0.056
ctx-lh-K5,,,,,-0.066,-0.086,-0.027,0.011,-0.024,0.007,-0.032,-0.047,-0.011,0.026,-0.042,0.099,-0.013,-0.004,0.063,-0.006,0.026,-0.027,-0.028,-0.001,0.006,-0.023,-0.052,0.031,-0.05,-0.099,-0.09,0.063,0.033,0.002,0.021,-0.092,0.07,0.038,0.046,0.068,0.04,-0.004,-0.015,0.008,-0.019,0.025,0.032,0.028,-0.004,-0.079,-0.014,-0.037,-0.051,-0.004,0.043,0.107,-0.005,0.073,0.059,0.034,-0.111,-0.085,-0.06,-0.063,0.071,-0.032,0.007,-0.067,0.027,-0.013,-0.107,-0.042,-0.043,-0.01,0.048,0.013,-0.0,-0.035,0.001,0.006,0.001,0.014,0.011,0.054,-0.056,0.048,0.062,0.033,0.007,-0.082,-0.022,-0.063,0.043,0.061,-0.009,0.029,0.0,0.06
ctx-lh-K6aa,,,,,,-0.087,-0.103,-0.036,-0.033,0.057,0.03,0.084,0.023,0.0,-0.081,-0.091,-0.063,-0.019,0.052,-0.105,0.03,-0.021,-0.142,-0.035,-0.007,-0.027,-0.073,-0.04,-0.149,-0.04,0.017,-0.023,-0.115,0.024,-0.025,-0.086,0.022,0.005,0.027,-0.044,-0.072,-0.127,-0.146,-0.03,-0.07,-0.026,0.001,-0.035,0.082,-0.065,0.023,-0.083,-0.025,-0.138,-0.023,-0.04,-0.057,0.116,-0.018,0.183,0.149,0.025,-0.011,-0.154,-0.006,-0.041,0.012,0.017,-0.122,-0.114,-0.04,-0.139,-0.057,-0.028,-0.031,-0.012,-0.1,-0.146,-0.025,0.024,0.052,-0.031,-0.094,-0.023,-0.036,-0.076,-0.024,0.087,-0.109,-0.175,-0.081,-0.154,-0.06,-0.068,0.06,0.064,0.061,0.099
ctx-lh-K6ab_1,,,,,,,0.024,0.008,-0.032,0.013,0.029,0.056,0.045,-0.069,-0.085,0.012,0.037,0.079,0.048,-0.027,0.084,-0.0,-0.046,-0.015,-0.03,-0.008,-0.025,-0.099,-0.17,-0.093,0.089,0.007,0.13,0.113,0.068,-0.018,0.019,0.031,-0.067,-0.04,-0.154,-0.157,-0.126,-0.12,-0.107,-0.081,-0.163,-0.067,-0.023,-0.133,-0.063,-0.148,-0.089,-0.121,-0.124,-0.055,-0.009,0.126,0.001,0.082,0.199,0.076,-0.032,-0.08,0.007,0.051,0.081,0.006,0.032,-0.036,-0.009,0.004,0.015,0.012,-0.071,-0.015,-0.148,-0.223,-0.107,0.049,0.048,0.052,0.005,0.071,-0.028,-0.052,0.073,-0.025,-0.039,-0.175,-0.141,-0.143,-0.12,-0.128,-0.07,-0.114,0.012,0.074
ctx-lh-K6ab_2,,,,,,,,-0.161,0.108,0.128,0.089,0.081,0.112,-0.002,0.011,-0.18,-0.042,-0.007,-0.123,-0.079,-0.037,-0.107,-0.096,-0.107,0.018,0.084,-0.083,0.02,0.058,0.067,0.058,-0.014,0.034,0.047,0.019,-0.047,0.081,0.057,0.076,0.03,-0.129,-0.178,-0.02,0.106,-0.077,0.047,0.051,0.009,0.046,0.02,-0.013,-0.053,-0.074,-0.174,-0.085,-0.154,-0.158,0.131,-0.068,0.177,0.141,0.125,-0.041,-0.0,-0.097,-0.073,-0.054,-0.043,-0.076,-0.103,-0.11,-0.064,-0.071,0.069,0.178,-0.032,0.021,-0.024,-0.028,0.045,0.146,-0.028,-0.052,0.055,-0.143,0.091,-0.024,-0.006,-0.11,-0.162,-0.216,0.015,0.015,-0.15,0.05,0.019,-0.057,0.11
ctx-lh-K7,,,,,,,,,0.015,-0.015,-0.05,-0.036,0.043,0.079,0.053,-0.066,0.021,-0.037,-0.017,-0.008,-0.071,-0.038,-0.036,-0.039,0.019,-0.004,0.067,0.026,0.056,0.074,0.011,0.088,-0.041,0.013,-0.073,-0.081,0.081,0.064,0.107,0.131,0.112,-0.037,0.107,0.076,0.043,0.019,0.041,-0.012,0.051,0.103,0.034,0.046,-0.003,-0.031,-0.02,-0.021,-0.117,0.117,-0.097,0.036,-0.028,0.003,0.032,0.049,-0.076,-0.072,-0.077,-0.113,-0.058,-0.161,-0.097,-0.029,-0.113,0.059,0.135,-0.033,0.016,0.056,0.003,0.038,0.026,0.01,-0.001,-0.025,-0.029,-0.029,0.04,0.104,-0.083,0.003,-0.039,0.129,0.111,0.062,0.047,0.081,0.005,0.102
ctx-lh-K8_1,,,,,,,,,,0.005,0.065,0.052,0.017,-0.035,-0.028,-0.01,0.019,0.083,0.036,0.016,0.078,0.04,0.015,0.048,-0.012,0.082,-0.032,-0.036,0.008,0.015,0.097,-0.027,0.131,0.11,0.02,0.179,-0.024,0.023,-0.009,-0.037,-0.081,-0.009,-0.082,-0.02,-0.104,-0.041,-0.055,0.006,0.001,-0.116,-0.04,-0.147,-0.067,-0.039,-0.146,-0.143,-0.035,-0.061,-0.063,0.023,0.089,0.074,0.002,-0.026,-0.041,0.051,0.051,0.06,0.015,0.049,-0.015,0.003,0.049,-0.078,-0.006,-0.004,-0.052,-0.132,-0.052,0.047,0.107,-0.001,-0.066,0.005,0.014,-0.027,-0.037,-0.079,-0.079,-0.036,-0.014,-0.105,-0.08,-0.111,-0.062,-0.1,-0.024,-0.021
ctx-lh-K8_2,,,,,,,,,,,0.061,0.035,0.009,0.07,-0.045,-0.108,0.03,0.046,-0.037,-0.005,-0.065,0.013,0.015,-0.042,-0.071,-0.009,-0.108,-0.035,0.032,-0.003,-0.025,-0.097,0.096,0.051,0.006,0.084,-0.019,-0.039,-0.104,-0.102,-0.048,0.021,0.014,0.054,0.004,0.075,-0.003,-0.03,-0.001,-0.068,0.011,0.006,-0.054,0.028,0.031,-0.031,0.026,0.033,-0.049,0.043,0.133,0.005,0.033,0.077,-0.049,0.048,0.017,0.008,-0.008,-0.01,-0.015,-0.004,0.025,-0.167,-0.019,0.019,-0.045,-0.078,-0.065,-0.005,0.042,-0.084,-0.009,-0.005,-0.091,-0.072,-0.043,-0.124,-0.03,0.016,-0.029,-0.025,-0.016,0.012,0.029,0.043,0.012,-0.009
