,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.083,0.141,-0.028,-0.055,-0.061,0.133,0.055,0.134,-0.1,0.279,-0.245,-0.223,-0.256,0.0,-0.197,-0.092,-0.067,-0.245,-0.237,-0.26,0.25,-0.06,0.061,-0.008,0.039,-0.085,-0.281,-0.237,-0.182
ctx-lh-CT1_2_fro_inf,,,0.111,0.199,-0.051,0.021,-0.017,-0.079,0.107,0.011,0.178,0.001,-0.091,-0.092,0.067,-0.125,0.012,-0.052,0.001,-0.019,-0.301,-0.005,-0.2,0.129,0.097,-0.096,-0.11,0.014,0.036,-0.043
ctx-lh-CT1_2_mof,,,,0.067,0.016,-0.062,-0.145,0.128,-0.064,-0.029,0.139,-0.129,0.062,0.007,-0.099,0.008,0.161,-0.184,0.001,0.123,-0.059,-0.159,0.047,-0.15,-0.19,0.156,0.011,0.242,0.097,-0.108
ctx-lh-CT1_2_pref_ins_postc,,,,,0.129,0.087,0.155,0.194,0.172,-0.14,0.24,-0.351,-0.226,-0.117,-0.16,-0.429,-0.031,-0.0,-0.21,0.01,-0.166,0.089,0.076,-0.073,-0.077,0.078,-0.202,-0.373,-0.125,-0.269
ctx-lh-CT1_2_temp,,,,,,0.055,0.098,0.167,0.064,0.03,-0.01,0.042,-0.075,-0.072,0.087,-0.185,0.136,-0.103,0.104,-0.126,-0.034,0.074,0.084,-0.087,0.105,-0.056,0.019,-0.149,0.014,0.064
ctx-lh-CT2_fro,,,,,,,0.148,-0.078,0.231,0.034,-0.05,-0.132,-0.162,0.049,0.089,-0.345,-0.056,-0.185,-0.241,0.103,-0.444,0.126,-0.238,0.15,0.171,-0.249,-0.011,-0.02,0.151,0.013
ctx-lh-CT2_par,,,,,,,,-0.059,0.197,-0.133,-0.324,-0.207,0.151,0.158,-0.089,0.156,0.043,-0.142,0.241,0.214,0.172,0.012,0.09,0.196,-0.058,-0.174,-0.028,0.079,0.165,0.001
ctx-lh-CT3_fro,,,,,,,,,0.26,0.069,0.006,-0.002,-0.008,-0.221,-0.0,-0.129,-0.177,-0.028,-0.023,-0.093,-0.194,-0.09,-0.131,-0.029,0.022,-0.023,0.075,-0.017,-0.335,-0.105
ctx-lh-CT3_par,,,,,,,,,,-0.197,-0.176,0.041,-0.116,0.265,-0.132,0.011,0.02,-0.017,-0.016,0.084,0.19,0.033,0.144,-0.038,-0.126,-0.232,-0.035,-0.091,0.305,0.038
ctx-lh-CT4_occ,,,,,,,,,,,-0.155,-0.011,0.147,0.328,0.159,-0.148,-0.135,0.183,-0.405,-0.009,-0.001,-0.065,0.053,-0.127,-0.027,0.018,-0.094,0.283,0.356,0.259
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.256,-0.02,0.169,-0.11,0.109,0.225,-0.115,0.054,-0.051,-0.111,-0.328,-0.025,-0.196,-0.258,0.043,-0.089,0.057,0.09,-0.055
ctx-lh-CT5_cen,,,,,,,,,,,,,-0.009,-0.065,0.074,-0.14,-0.091,-0.297,-0.263,0.104,-0.17,-0.134,-0.156,0.014,0.027,-0.095,0.091,0.098,-0.013,-0.004
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.263,-0.106,-0.021,-0.087,0.028,-0.097,0.162,0.031,0.082,0.131,0.09,-0.031,0.007,0.058,-0.258,-0.178,-0.21
ctx-lh-CT5_med,,,,,,,,,,,,,,,0.203,-0.261,-0.101,0.013,-0.13,0.083,-0.061,0.215,-0.07,-0.035,0.077,-0.019,-0.112,-0.17,0.06,-0.032
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,0.03,-0.046,0.155,-0.363,-0.062,-0.188,0.045,-0.094,-0.126,0.187,-0.024,-0.084,0.03,0.082,0.138
ctx-rh-CT1,,,,,,,,,,,,,,,,,-0.102,0.086,-0.166,0.002,-0.194,0.246,-0.091,0.257,-0.043,0.11,-0.151,-0.072,-0.11,-0.164
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,0.064,0.095,0.198,-0.007,0.049,-0.088,0.078,0.021,0.095,-0.063,-0.133,0.057,-0.094
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,0.101,-0.019,0.038,0.088,0.047,-0.056,0.086,0.053,-0.173,-0.152,0.075,0.173
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,0.359,-0.058,0.255,-0.055,0.192,-0.342,0.111,-0.094,-0.052,-0.077,-0.579
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,0.145,0.241,0.005,0.036,0.017,-0.126,0.09,0.036,0.07,-0.12
