,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.128,0.066,-0.092,-0.057,-0.056,-0.118,-0.11,-0.075,-0.077,0.015,0.022,-0.081,-0.084,-0.09,0.072,-0.023,0.017,-0.169,-0.095,-0.133,-0.16,-0.004,0.041,-0.047,0.009,0.004,-0.109,0.042,0.014,-0.078,-0.081,-0.042,0.023,-0.115,-0.054,-0.071,-0.175,-0.032,-0.14,-0.015,-0.052,0.028,0.13,-0.189,-0.059,-0.052,0.089,0.1,0.011,-0.135,-0.049,-0.078,0.115,0.032,-0.011,-0.174,-0.067,-0.104,-0.162,0.018,0.055,-0.111,-0.084,-0.095,-0.115,0.032,-0.088,-0.176,-0.101,-0.104,0.047,-0.106,-0.159,-0.18,-0.043
ctx-lh-FB,,,-0.143,-0.035,-0.04,0.151,-0.069,-0.039,0.02,0.005,0.123,0.072,-0.054,-0.149,-0.047,-0.016,-0.225,-0.028,-0.067,-0.107,-0.074,-0.051,0.002,-0.014,-0.103,-0.061,0.043,0.04,0.091,-0.136,-0.03,-0.03,-0.051,-0.112,-0.081,-0.024,-0.055,-0.195,-0.087,-0.002,-0.174,0.075,-0.007,0.279,-0.116,0.122,0.163,0.181,0.229,0.026,-0.095,0.001,-0.112,0.069,-0.115,0.007,-0.069,-0.039,-0.012,-0.073,0.045,0.021,-0.096,-0.072,0.001,-0.055,0.043,-0.146,-0.108,-0.041,-0.102,-0.069,-0.005,-0.117,-0.169,-0.02
ctx-lh-FBA,,,,-0.128,-0.062,-0.039,-0.049,-0.115,-0.122,-0.062,0.038,0.016,-0.115,-0.085,-0.176,-0.014,-0.05,-0.056,-0.229,-0.185,-0.181,-0.117,-0.007,-0.02,-0.007,0.064,-0.083,-0.191,-0.023,0.035,-0.13,-0.088,-0.047,0.02,-0.153,-0.099,-0.07,-0.255,0.026,-0.172,-0.07,-0.107,-0.041,0.136,-0.184,-0.157,-0.092,-0.011,-0.02,-0.087,-0.135,-0.049,-0.181,0.105,0.033,-0.031,-0.266,-0.121,-0.167,-0.14,-0.025,-0.006,-0.02,0.05,-0.16,-0.166,-0.066,-0.111,-0.198,-0.113,-0.053,0.035,-0.123,-0.174,-0.173,-0.107
ctx-lh-FC,,,,,-0.019,0.099,-0.104,-0.05,-0.004,0.001,0.093,0.079,-0.031,-0.088,0.017,-0.024,-0.239,-0.041,0.024,-0.021,0.006,-0.001,-0.009,0.001,-0.12,-0.117,0.021,0.059,0.013,-0.139,-0.0,0.002,-0.038,-0.14,0.028,0.039,-0.021,-0.096,-0.078,-0.032,-0.169,0.067,-0.044,0.104,-0.069,0.063,0.156,0.11,0.18,0.016,-0.03,0.011,-0.011,0.003,-0.117,-0.02,0.036,0.064,0.071,-0.013,0.02,0.009,-0.089,-0.091,0.073,-0.003,-0.005,-0.138,-0.028,-0.005,-0.094,-0.106,0.003,-0.012,-0.106,0.002
ctx-lh-FCBm,,,,,,0.1,-0.01,-0.082,0.011,-0.003,0.063,0.005,-0.039,-0.088,-0.016,-0.003,-0.047,-0.06,-0.068,-0.047,-0.048,-0.089,-0.009,-0.01,-0.099,-0.044,0.02,-0.026,-0.027,-0.077,-0.041,-0.075,-0.028,-0.057,-0.122,0.052,-0.019,-0.166,-0.071,-0.065,-0.141,-0.023,-0.11,0.191,-0.093,-0.006,0.056,0.096,0.008,-0.023,-0.108,-0.006,-0.056,0.02,-0.08,-0.005,-0.038,0.0,-0.015,-0.067,0.027,0.023,-0.046,-0.044,-0.01,-0.079,-0.021,-0.103,-0.035,-0.101,-0.086,-0.032,-0.067,-0.026,-0.144,-0.045
ctx-lh-FDdelta,,,,,,,0.082,0.042,0.114,0.083,0.198,0.105,0.123,0.025,0.013,0.083,-0.124,0.083,-0.026,0.009,-0.039,0.03,-0.011,-0.058,-0.116,-0.031,0.166,0.127,0.224,-0.085,0.106,0.162,0.047,-0.021,0.034,0.123,0.109,-0.041,-0.027,0.087,-0.119,0.026,-0.02,0.172,0.031,0.086,0.033,0.116,0.164,0.024,0.039,0.022,-0.008,0.03,-0.135,0.051,0.001,0.055,0.088,0.041,-0.0,-0.01,-0.008,0.008,0.163,0.04,0.025,-0.085,0.078,0.064,0.016,-0.04,0.102,0.032,0.026,0.059
ctx-lh-FDL,,,,,,,,0.058,-0.007,-0.045,0.006,0.044,-0.132,-0.104,-0.058,-0.044,-0.123,-0.064,-0.241,-0.266,-0.262,-0.033,-0.027,-0.058,-0.114,-0.069,0.005,-0.118,-0.034,-0.133,-0.109,0.007,-0.149,-0.121,-0.037,-0.056,-0.074,-0.022,-0.112,-0.058,-0.032,-0.048,-0.022,0.011,0.09,0.035,-0.013,0.002,-0.023,0.097,-0.062,-0.089,-0.109,-0.051,-0.112,-0.059,-0.269,-0.208,-0.202,-0.009,-0.071,-0.031,-0.145,-0.076,-0.063,-0.138,-0.035,-0.165,-0.175,0.01,-0.048,-0.14,-0.12,-0.107,-0.058,0.061
ctx-lh-FDm,,,,,,,,,0.097,0.065,0.126,0.146,0.052,-0.012,-0.017,-0.058,-0.203,-0.063,-0.064,-0.085,-0.094,-0.024,-0.001,0.021,-0.136,-0.092,-0.001,-0.014,-0.058,-0.118,0.04,0.001,-0.064,-0.114,0.02,-0.002,-0.061,-0.048,-0.113,-0.077,-0.154,-0.079,-0.074,0.046,0.003,-0.038,0.109,0.109,0.087,0.024,-0.072,-0.058,-0.09,-0.044,-0.126,-0.042,-0.086,-0.037,-0.049,-0.041,-0.009,0.026,-0.106,-0.074,0.019,-0.074,-0.069,-0.141,-0.085,-0.055,-0.122,-0.08,-0.055,-0.081,-0.124,-0.028
ctx-lh-FDp,,,,,,,,,,-0.048,0.02,0.045,0.011,-0.075,-0.03,-0.029,-0.197,-0.065,-0.093,-0.134,-0.071,-0.064,-0.061,-0.033,-0.156,-0.091,-0.024,0.026,-0.066,-0.147,0.012,-0.058,-0.062,-0.123,0.067,-0.013,-0.061,-0.092,-0.133,-0.025,-0.133,0.036,-0.037,0.073,-0.006,0.107,0.21,-0.026,0.085,-0.029,-0.091,-0.049,-0.081,-0.055,-0.168,-0.024,0.002,0.021,0.033,-0.033,-0.015,-0.01,-0.132,-0.111,0.028,-0.023,-0.086,-0.137,-0.027,-0.076,-0.126,-0.135,-0.037,-0.004,-0.113,-0.029
ctx-lh-FE,,,,,,,,,,,0.039,0.023,-0.095,-0.025,-0.042,-0.019,-0.162,-0.103,-0.153,-0.072,-0.135,-0.01,-0.005,0.041,-0.117,-0.08,-0.076,0.016,0.015,-0.135,0.028,0.015,-0.132,-0.148,0.032,0.048,0.009,-0.075,-0.045,0.007,-0.096,-0.021,-0.02,0.028,-0.065,0.018,0.07,-0.028,0.064,-0.048,-0.141,-0.087,-0.108,-0.043,-0.042,-0.054,-0.05,-0.067,-0.055,-0.003,0.026,0.045,-0.091,-0.092,-0.045,-0.055,-0.026,-0.089,-0.032,-0.011,-0.119,-0.074,-0.087,-0.044,-0.025,-0.072
