,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA17,,,,,,,,,,,,,,0.18,0.209,0.048,0.014,0.045,-0.052,0.004,-0.014,-0.043,-0.021,0.051,-0.102,-0.07,-0.113,0.071,0.078,0.219,-0.124,-0.005,0.03,0.016,-0.094,0.038,0.018,0.027,0.063,0.038,0.109,0.068,0.014,0.068,0.023,-0.024,-0.011,0.01,0.161,-0.033,-0.042,-0.018,0.134,0.239,0.023,0.01,0.035,-0.09,0.008,0.029,-0.043,0.103,0.119,-0.132,0.003,0.032,-0.193,0.113,0.168,-0.086,-0.017,0.055,-0.08,-0.083,0.06,0.046,0.044,0.072
ctx-lh-BA18,,,,,,,,,,,,,,,-0.036,0.02,-0.042,-0.1,-0.034,0.016,-0.007,-0.025,-0.087,-0.034,-0.081,-0.022,-0.082,0.039,-0.041,0.055,-0.243,-0.013,0.004,-0.102,-0.234,-0.106,-0.106,-0.05,-0.037,-0.206,-0.128,-0.147,-0.158,-0.063,-0.06,0.021,-0.03,0.048,0.118,-0.07,-0.059,0.234,-0.021,0.009,0.029,-0.055,-0.155,-0.018,0.053,-0.037,-0.001,-0.039,-0.036,-0.01,0.107,0.194,-0.193,-0.044,-0.027,-0.186,-0.009,-0.017,-0.214,-0.228,-0.041,-0.088,0.019,0.044
ctx-lh-BA19,,,,,,,,,,,,,,,,-0.042,-0.106,-0.118,-0.096,0.062,-0.009,-0.053,-0.148,-0.145,-0.095,-0.027,0.038,0.002,-0.18,-0.158,-0.255,-0.072,0.032,-0.027,-0.211,-0.12,-0.032,0.022,0.055,-0.235,-0.173,-0.159,-0.171,-0.065,-0.098,0.069,0.053,0.143,0.14,-0.045,-0.008,0.259,0.023,0.039,-0.001,-0.09,-0.174,-0.075,0.135,-0.08,-0.062,-0.086,-0.106,-0.012,0.147,0.262,-0.259,-0.146,-0.115,-0.192,-0.056,-0.016,-0.207,-0.211,0.024,-0.006,0.096,0.165
ctx-lh-BA20,,,,,,,,,,,,,,,,,0.036,0.005,-0.006,0.019,-0.086,-0.01,-0.112,0.001,-0.026,-0.008,0.025,-0.015,-0.014,-0.035,0.074,0.05,-0.026,-0.061,-0.062,-0.005,0.013,0.127,0.002,-0.038,-0.055,0.01,-0.038,-0.069,-0.107,0.017,0.036,0.025,-0.005,-0.01,0.032,0.09,-0.007,-0.023,-0.038,-0.024,-0.091,-0.057,0.002,-0.071,-0.006,-0.0,-0.055,0.02,-0.038,0.022,0.002,-0.045,-0.068,-0.103,0.021,-0.029,-0.136,-0.041,-0.031,-0.028,0.016,-0.055
ctx-lh-BA21,,,,,,,,,,,,,,,,,,-0.135,0.017,-0.07,-0.101,0.002,-0.083,-0.103,-0.051,-0.045,-0.03,-0.052,-0.166,-0.185,-0.079,0.008,-0.051,-0.223,-0.107,-0.108,-0.076,0.106,-0.028,-0.167,-0.206,-0.1,-0.158,-0.144,-0.171,0.004,-0.008,0.074,0.083,-0.171,-0.133,0.042,-0.088,-0.125,0.107,-0.046,-0.235,-0.005,-0.017,-0.104,0.038,-0.127,-0.22,0.004,-0.044,0.046,-0.081,-0.232,-0.192,-0.137,-0.018,-0.104,-0.301,-0.157,-0.072,-0.066,0.005,0.011
ctx-lh-BA22,,,,,,,,,,,,,,,,,,,-0.074,-0.024,-0.177,-0.056,-0.037,-0.106,-0.035,-0.074,-0.041,0.002,-0.118,-0.065,-0.282,-0.027,-0.036,-0.147,-0.133,-0.099,-0.014,0.066,-0.025,-0.194,-0.14,-0.112,-0.099,-0.109,-0.112,0.032,-0.054,0.034,0.036,-0.056,-0.017,0.081,-0.137,-0.145,0.02,-0.122,-0.287,-0.024,0.046,-0.087,-0.044,-0.149,-0.216,0.019,-0.017,0.035,-0.003,-0.192,-0.159,-0.165,-0.073,-0.071,-0.293,-0.112,0.005,-0.022,0.066,0.079
ctx-lh-BA23,,,,,,,,,,,,,,,,,,,,-0.111,-0.024,0.012,-0.041,-0.062,-0.058,-0.074,-0.021,-0.029,-0.157,-0.12,-0.172,0.039,-0.081,-0.106,-0.222,-0.096,-0.127,0.064,-0.053,-0.178,-0.227,-0.168,-0.237,-0.171,-0.18,0.036,0.07,0.076,0.202,-0.219,-0.144,0.007,-0.055,-0.1,0.181,0.06,-0.057,0.067,0.009,-0.068,0.005,-0.146,-0.182,0.099,-0.022,0.11,-0.11,-0.168,-0.166,-0.064,0.067,-0.113,-0.178,-0.242,-0.072,-0.066,0.021,0.094
ctx-lh-BA24,,,,,,,,,,,,,,,,,,,,,-0.017,-0.095,-0.108,-0.148,-0.07,-0.064,-0.047,-0.081,-0.014,0.082,-0.171,0.006,0.01,-0.02,-0.099,-0.055,-0.046,0.025,0.018,-0.04,-0.037,0.051,0.046,-0.035,-0.07,-0.058,-0.156,-0.021,0.022,-0.059,0.029,0.007,-0.058,0.031,0.058,-0.098,0.018,-0.154,-0.009,-0.094,-0.132,-0.126,-0.156,-0.182,0.068,0.018,-0.138,-0.083,0.018,-0.036,-0.112,0.025,-0.031,-0.176,-0.018,-0.039,-0.01,0.035
ctx-lh-BA25,,,,,,,,,,,,,,,,,,,,,,-0.056,-0.028,0.162,-0.105,0.023,-0.031,0.139,0.081,-0.073,-0.022,-0.009,-0.027,-0.185,-0.09,-0.064,-0.039,-0.062,-0.075,-0.147,-0.121,-0.089,-0.058,-0.076,-0.095,-0.131,-0.07,-0.083,-0.107,-0.054,0.007,0.055,0.061,0.012,-0.004,-0.126,-0.152,-0.105,-0.082,0.032,-0.044,-0.045,-0.013,-0.093,-0.035,-0.028,0.041,-0.042,-0.084,0.041,-0.014,-0.061,-0.189,-0.095,-0.088,-0.114,-0.072,-0.125
ctx-lh-BA26_29_30,,,,,,,,,,,,,,,,,,,,,,,-0.062,-0.05,-0.009,-0.059,-0.026,-0.092,-0.093,-0.069,-0.195,0.061,-0.061,-0.085,-0.193,-0.074,-0.086,0.084,-0.113,-0.171,-0.209,-0.163,-0.175,-0.148,-0.118,-0.032,-0.031,-0.017,0.095,-0.211,-0.187,-0.013,-0.059,-0.07,0.117,-0.012,-0.037,0.047,0.008,-0.082,-0.053,-0.14,-0.091,0.053,-0.041,0.142,-0.062,-0.158,-0.114,-0.116,0.06,-0.069,-0.172,-0.186,-0.079,-0.057,-0.002,0.018
