,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,-0.012,-0.058,-0.122,-0.002,-0.036,-0.05,-0.002,-0.015,0.071,0.142,0.113,-0.056,-0.021,-0.062,-0.162,0.2,-0.061,0.144,0.135,-0.068,-0.142,-0.034,-0.048,-0.108,-0.07,0.045,0.108,0.092,0.014,0.046,-0.001,-0.047,0.096
ctx-lh-frontal,,,-0.013,-0.004,0.062,-0.032,-0.024,-0.007,-0.056,0.053,0.124,0.125,-0.148,0.167,0.12,-0.13,0.108,-0.043,0.027,0.136,0.062,-0.033,0.082,0.009,-0.051,-0.079,0.066,0.126,0.04,0.021,0.127,0.075,-0.031,0.067
ctx-lh-inter_precentral,,,,0.009,0.156,0.052,0.09,-0.015,-0.004,0.034,0.114,0.058,-0.197,0.161,0.049,0.034,0.089,0.012,0.039,0.073,0.063,0.026,0.033,0.056,-0.061,-0.055,0.129,0.163,0.11,0.006,0.198,-0.027,0.089,0.091
ctx-lh-precentral,,,,,-0.013,-0.059,0.047,-0.16,-0.1,0.0,0.036,-0.034,-0.071,-0.031,-0.083,-0.079,-0.138,-0.097,0.024,-0.018,-0.159,-0.103,-0.082,0.019,-0.159,-0.158,0.042,-0.007,0.121,0.054,0.045,0.04,-0.057,-0.016
ctx-lh-postcentral,,,,,,-0.111,0.122,-0.178,-0.164,-0.036,-0.056,-0.122,-0.099,0.159,-0.028,0.023,-0.045,-0.033,0.129,0.059,0.027,-0.069,-0.054,0.062,-0.186,-0.189,0.003,-0.015,-0.003,-0.026,0.079,0.05,0.025,0.105
ctx-lh-inter_postcentral,,,,,,,0.044,-0.15,-0.12,-0.067,-0.01,-0.165,0.089,-0.046,-0.011,0.035,0.037,0.019,0.061,-0.013,-0.091,-0.135,-0.03,-0.039,-0.134,-0.153,0.092,0.015,0.045,0.189,-0.043,0.067,-0.11,0.012
ctx-lh-parietal,,,,,,,,-0.23,-0.276,-0.129,0.061,-0.105,-0.06,-0.169,0.068,-0.319,0.023,-0.098,0.011,0.078,0.118,0.145,-0.037,-0.074,-0.072,-0.228,0.029,0.014,0.018,0.011,-0.16,0.076,-0.279,0.001
ctx-lh-visuopsychic,,,,,,,,,-0.176,0.007,-0.217,-0.184,0.023,-0.167,0.156,-0.041,-0.175,-0.098,-0.032,-0.039,-0.179,-0.182,-0.098,-0.087,-0.035,0.076,0.045,-0.145,-0.093,0.024,-0.069,0.008,-0.118,-0.179
ctx-lh-visuosensory,,,,,,,,,,0.018,-0.175,-0.162,0.006,-0.095,0.051,-0.013,-0.09,-0.137,-0.02,-0.044,-0.104,-0.141,-0.117,-0.189,-0.103,-0.066,0.037,-0.167,-0.047,0.077,-0.045,0.065,-0.137,-0.1
ctx-lh-temporal,,,,,,,,,,,-0.002,-0.068,-0.084,-0.108,0.048,-0.06,0.059,-0.085,0.009,0.098,-0.007,-0.053,0.028,0.002,0.022,0.121,0.065,0.064,-0.002,0.044,-0.075,-0.036,0.009,-0.008
ctx-lh-audiopsychic,,,,,,,,,,,,-0.133,-0.048,0.05,-0.056,0.006,-0.075,0.054,0.155,0.129,0.028,-0.03,0.046,0.051,-0.118,-0.098,0.139,0.049,-0.055,0.046,0.03,-0.035,0.007,0.038
ctx-lh-audiosensory,,,,,,,,,,,,,-0.012,0.009,0.063,0.035,-0.181,-0.038,0.033,-0.049,-0.065,-0.045,-0.09,-0.104,-0.097,-0.096,0.057,-0.02,-0.007,0.152,0.003,0.094,0.074,-0.144
ctx-lh-olfactory,,,,,,,,,,,,,,-0.123,-0.156,-0.07,-0.241,-0.077,-0.187,-0.172,-0.003,-0.273,0.14,-0.049,-0.09,0.054,-0.194,-0.34,-0.104,-0.122,-0.166,-0.077,-0.031,-0.159
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.008,-0.274,0.232,-0.043,0.288,0.227,0.059,0.108,0.059,-0.129,-0.148,-0.144,-0.041,0.1,0.03,-0.139,-0.037,-0.009,-0.206,0.075
ctx-lh-limbicB,,,,,,,,,,,,,,,,0.167,0.235,-0.061,0.071,0.065,-0.164,-0.102,-0.052,0.047,-0.007,0.057,0.007,-0.007,-0.0,-0.101,0.068,0.012,0.026,0.112
ctx-lh-limbicC,,,,,,,,,,,,,,,,,0.019,-0.194,-0.019,0.08,-0.03,0.026,-0.001,-0.196,-0.06,-0.013,-0.065,-0.125,0.004,-0.029,-0.293,0.072,-0.149,-0.037
ctx-lh-insula,,,,,,,,,,,,,,,,,,0.238,0.235,0.058,-0.105,0.035,-0.203,-0.123,-0.208,-0.153,-0.015,-0.052,-0.114,-0.082,0.218,0.073,-0.157,-0.153
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,-0.047,0.078,-0.17,-0.076,-0.128,-0.166,-0.184,-0.195,-0.027,0.107,0.092,-0.014,0.012,-0.008,-0.123,0.178
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,0.07,0.063,0.14,-0.063,0.045,0.02,-0.031,0.115,0.08,0.154,-0.047,0.277,0.049,0.086,0.17
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,-0.021,0.056,-0.074,0.0,-0.041,-0.081,0.038,0.052,0.012,-0.029,0.277,0.097,0.111,0.025
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.064,-0.172,0.124,-0.189,-0.149,0.048,-0.063,-0.025,0.049,0.076,-0.078,-0.049,-0.022
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.157,0.042,-0.195,-0.188,-0.036,-0.088,-0.017,-0.105,0.13,-0.04,-0.068,-0.004
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.101,-0.186,-0.129,0.0,-0.047,-0.064,0.007,-0.005,0.074,0.043,-0.055
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.096,-0.154,-0.086,-0.167,-0.08,-0.109,-0.127,-0.046,-0.237,-0.097
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,-0.161,-0.011,-0.308,-0.132,-0.016,-0.043,-0.063,-0.144,-0.104
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,-0.171,-0.077,0.2,-0.008,-0.025,-0.083,-0.065
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.105,0.002,-0.062,-0.022,-0.077,-0.144,0.018
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.125,-0.038,0.086,-0.135,-0.127,0.038
