,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.027,0.03,-0.037,0.062,-0.042,-0.005,0.002,-0.048,-0.097,0.018,-0.02,-0.065,-0.012,-0.063,0.094,0.056,0.061,0.0,-0.061,-0.053,-0.032,-0.019,0.003,-0.098,-0.045,0.003,0.007,0.043,-0.022,-0.036,-0.06,-0.131,-0.051,-0.093,-0.06,-0.075,0.021,-0.116,0.053,0.019,0.001,0.086,0.025,-0.002,0.048,-0.026,-0.038,0.035,-0.018,-0.015,-0.04,-0.008,0.104,0.022,0.089,-0.02,0.001,-0.024,-0.005,-0.012,0.026,-0.115,-0.046,0.011,0.04,0.07,-0.076,-0.001,-0.028,-0.083,-0.064,-0.103,-0.016,-0.069,0.021
ctx-lh-FB,,,-0.042,0.034,0.035,0.011,0.058,0.046,-0.029,-0.017,0.021,0.009,-0.03,0.009,-0.085,0.036,0.035,0.097,0.039,-0.022,0.001,0.03,-0.018,-0.027,-0.003,0.009,0.023,-0.01,0.013,-0.011,-0.013,-0.013,-0.091,-0.026,-0.05,-0.117,-0.098,-0.005,-0.026,-0.032,-0.023,-0.001,0.013,0.057,0.058,0.044,0.027,0.015,0.015,-0.016,-0.017,-0.028,-0.029,0.052,0.017,0.093,-0.013,0.003,-0.002,0.048,-0.004,-0.015,-0.007,0.038,0.003,0.027,0.072,-0.062,-0.045,0.002,-0.063,-0.044,-0.089,-0.091,-0.074,0.002
ctx-lh-FBA,,,,-0.048,-0.042,-0.062,0.011,-0.017,-0.033,-0.015,0.008,0.014,-0.013,0.045,-0.047,-0.05,0.004,0.056,0.016,-0.002,-0.005,0.011,-0.019,-0.043,-0.018,0.047,0.058,0.038,-0.065,-0.03,-0.018,-0.025,-0.081,-0.019,-0.047,-0.09,-0.097,0.051,0.023,-0.052,-0.115,-0.051,-0.065,0.019,0.015,-0.049,0.009,0.006,-0.008,0.05,0.067,0.023,-0.04,-0.045,-0.06,0.037,0.001,0.055,0.026,0.01,-0.031,-0.007,-0.035,0.057,0.036,0.065,-0.052,-0.048,0.004,0.035,-0.03,-0.04,-0.072,-0.042,-0.08,0.044
ctx-lh-FC,,,,,0.009,0.033,0.012,0.008,-0.033,-0.081,-0.051,-0.049,-0.044,-0.004,-0.139,0.028,-0.008,0.035,-0.022,-0.061,-0.045,0.042,-0.017,-0.044,-0.021,-0.026,-0.037,-0.021,0.0,-0.012,-0.027,0.008,-0.09,-0.056,-0.077,-0.094,-0.089,-0.111,-0.047,-0.041,-0.056,-0.031,0.026,0.053,0.017,0.0,0.009,-0.054,-0.043,-0.019,-0.024,-0.045,-0.094,0.023,-0.029,0.017,-0.051,-0.053,-0.053,0.05,-0.021,-0.028,-0.043,-0.021,-0.027,0.016,0.036,-0.066,-0.073,0.002,-0.052,-0.051,-0.117,-0.098,-0.063,-0.097
ctx-lh-FCBm,,,,,,-0.059,0.06,0.016,-0.026,0.067,0.008,0.048,0.051,0.074,-0.056,-0.04,0.042,0.105,0.08,0.034,0.046,0.035,-0.024,-0.056,0.058,0.053,0.08,0.033,-0.09,0.06,0.016,0.011,-0.045,0.004,-0.061,-0.111,-0.096,0.009,0.038,-0.027,-0.043,-0.038,-0.085,0.004,0.054,-0.041,0.041,0.079,-0.009,0.088,0.063,0.026,-0.005,-0.064,-0.003,0.066,0.026,0.067,0.071,0.055,-0.006,-0.045,0.029,0.071,0.031,0.052,-0.031,-0.02,0.007,0.046,-0.019,-0.017,-0.08,-0.087,-0.062,0.004
ctx-lh-FDdelta,,,,,,,0.05,-0.03,-0.008,-0.059,-0.049,-0.01,-0.005,0.043,-0.055,-0.005,-0.037,0.023,0.006,0.03,0.05,-0.023,-0.045,-0.058,-0.018,-0.021,0.023,0.073,-0.004,-0.019,0.032,-0.045,-0.101,-0.032,-0.112,-0.105,-0.078,-0.115,-0.069,-0.051,-0.066,-0.006,-0.04,0.049,0.032,-0.031,-0.003,-0.041,-0.047,0.036,-0.0,-0.003,-0.028,-0.02,-0.051,0.002,-0.004,-0.008,0.042,-0.003,-0.072,-0.051,-0.028,-0.037,-0.012,0.051,-0.005,-0.099,-0.015,-0.043,-0.05,-0.021,-0.114,-0.121,-0.076,-0.086
ctx-lh-FDL,,,,,,,,-0.009,0.043,-0.116,0.015,-0.098,-0.093,-0.062,-0.109,0.05,-0.019,-0.041,-0.133,-0.114,-0.116,0.064,0.005,-0.003,-0.019,0.001,-0.046,-0.046,0.035,-0.018,-0.052,0.012,-0.048,0.011,-0.018,0.031,-0.045,-0.092,-0.026,0.021,-0.053,0.003,0.049,0.061,-0.166,-0.002,-0.033,-0.107,0.01,-0.041,-0.075,-0.028,-0.069,0.046,-0.02,-0.045,-0.159,-0.151,-0.128,0.064,0.002,0.003,-0.035,-0.036,-0.022,-0.04,0.026,-0.043,-0.059,0.005,-0.014,-0.057,-0.075,-0.02,-0.036,-0.109
ctx-lh-FDm,,,,,,,,,-0.032,-0.117,-0.066,-0.07,-0.014,-0.019,-0.118,0.0,-0.013,-0.006,-0.047,-0.063,-0.047,0.025,-0.02,-0.038,-0.031,0.005,-0.053,-0.025,-0.003,0.003,0.018,-0.007,-0.081,-0.035,-0.07,-0.089,-0.091,-0.132,-0.025,-0.018,-0.054,-0.004,0.015,0.007,-0.025,-0.079,-0.042,-0.087,-0.061,-0.01,-0.019,-0.036,-0.096,0.002,-0.029,-0.015,-0.065,-0.05,-0.042,0.035,-0.042,-0.036,-0.036,-0.002,-0.056,-0.008,-0.006,-0.059,-0.04,-0.019,-0.018,-0.042,-0.101,-0.107,-0.063,-0.128
ctx-lh-FDp,,,,,,,,,,-0.012,-0.109,-0.03,-0.003,-0.003,-0.12,0.011,-0.02,0.029,-0.014,-0.001,-0.001,0.007,-0.033,-0.061,-0.077,-0.066,-0.091,-0.035,-0.062,-0.01,-0.038,-0.043,-0.128,-0.064,-0.124,-0.141,-0.109,-0.117,-0.08,-0.044,-0.056,-0.007,0.022,0.036,0.041,-0.018,0.054,-0.015,-0.048,-0.012,-0.017,-0.048,-0.063,0.008,-0.048,0.012,0.007,-0.004,0.006,0.023,-0.048,-0.047,-0.09,-0.07,-0.06,-0.004,-0.006,-0.085,-0.014,-0.036,-0.092,-0.095,-0.124,-0.089,-0.078,-0.095
ctx-lh-FE,,,,,,,,,,,-0.054,-0.089,-0.115,-0.061,-0.117,0.085,-0.051,-0.11,-0.152,-0.145,-0.114,0.021,-0.015,0.004,-0.144,-0.129,-0.152,-0.041,0.004,-0.089,-0.062,-0.059,-0.131,-0.052,-0.118,-0.068,-0.075,-0.115,-0.14,-0.046,-0.063,-0.075,0.052,-0.046,-0.153,-0.078,-0.004,-0.109,-0.061,-0.082,-0.173,-0.077,-0.028,0.067,-0.057,-0.094,-0.098,-0.154,-0.108,0.044,-0.023,0.022,-0.119,-0.163,-0.082,-0.027,0.004,-0.138,-0.067,-0.04,-0.097,-0.092,-0.129,-0.055,-0.044,-0.172
