,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.042,0.111,0.01,-0.039,0.019,-0.036,0.052,0.037,0.08,-0.061,-0.072,0.101,-0.058,-0.046,-0.038,0.11,-0.047,-0.061,0.044,-0.088,-0.112,-0.106,-0.105,0.057,0.031,-0.123,-0.092,-0.157,0.043,-0.061,-0.048,-0.014,0.08
ctx-lh-frontal,,,0.036,-0.048,-0.143,-0.07,0.031,0.103,-0.023,0.082,0.049,-0.061,0.114,-0.023,-0.023,0.081,0.061,0.092,-0.027,-0.068,-0.12,-0.137,-0.12,0.103,0.146,-0.003,-0.073,-0.027,-0.195,0.1,-0.017,-0.109,0.125,-0.047
ctx-lh-inter_precentral,,,,-0.007,-0.038,-0.003,-0.054,-0.024,0.072,-0.07,-0.084,-0.093,0.089,-0.072,-0.003,-0.018,0.168,0.127,-0.03,0.025,-0.032,-0.006,-0.033,-0.028,-0.022,0.054,-0.114,-0.065,-0.028,-0.005,-0.032,-0.045,-0.007,0.152
ctx-lh-precentral,,,,,-0.001,-0.036,-0.026,-0.129,0.046,-0.024,-0.013,-0.039,0.052,-0.049,0.065,-0.086,0.104,-0.121,-0.109,0.029,-0.068,-0.071,-0.154,-0.09,-0.137,0.007,-0.017,-0.017,0.067,0.065,-0.119,0.038,-0.105,0.142
ctx-lh-postcentral,,,,,,-0.193,-0.02,-0.163,0.058,-0.031,-0.022,0.015,0.133,-0.073,0.076,-0.098,0.057,-0.05,-0.129,0.041,0.037,-0.048,-0.201,-0.093,-0.176,0.017,0.029,-0.038,0.116,0.093,-0.077,0.08,-0.05,0.104
ctx-lh-inter_postcentral,,,,,,,-0.003,-0.227,0.023,0.051,-0.056,0.022,0.133,-0.004,0.072,-0.077,0.103,-0.0,-0.02,0.045,-0.072,-0.082,-0.084,-0.12,-0.241,-0.013,0.024,-0.038,0.083,-0.011,0.03,0.149,-0.088,0.103
ctx-lh-parietal,,,,,,,,-0.201,-0.084,-0.121,0.007,0.123,-0.114,0.036,0.045,-0.072,0.062,0.036,0.132,0.036,0.003,0.009,0.027,-0.065,-0.168,-0.111,0.048,0.046,0.132,-0.034,0.131,0.195,-0.06,0.078
ctx-lh-visuopsychic,,,,,,,,,0.14,-0.049,-0.005,0.051,-0.079,0.214,0.201,0.067,0.004,0.121,0.178,0.019,-0.155,-0.181,-0.202,-0.159,0.071,0.235,-0.044,-0.084,0.024,-0.176,0.266,0.287,0.065,0.04
ctx-lh-visuosensory,,,,,,,,,,0.081,0.041,-0.032,-0.105,-0.003,0.018,-0.132,-0.172,0.016,0.0,0.01,0.044,0.033,0.057,-0.099,0.115,0.027,0.051,0.055,-0.044,-0.162,-0.029,0.003,-0.129,-0.08
ctx-lh-temporal,,,,,,,,,,,-0.103,-0.039,0.012,0.165,0.171,0.179,0.103,0.076,0.047,-0.002,-0.066,-0.03,-0.122,-0.142,-0.096,0.042,-0.118,-0.164,-0.005,0.037,0.136,0.115,0.124,0.05
ctx-lh-audiopsychic,,,,,,,,,,,,0.041,0.156,0.01,-0.002,0.055,0.115,-0.062,0.062,0.112,-0.026,-0.074,-0.06,0.035,-0.068,0.032,-0.175,-0.232,0.048,0.041,0.043,0.069,-0.018,0.128
ctx-lh-audiosensory,,,,,,,,,,,,,-0.001,-0.065,0.056,-0.069,-0.048,-0.121,-0.089,0.072,0.043,-0.028,0.047,0.162,0.039,-0.016,0.032,0.047,-0.185,-0.004,-0.157,-0.05,-0.007,0.029
ctx-lh-olfactory,,,,,,,,,,,,,,0.004,0.179,-0.029,0.061,0.054,0.091,-0.003,0.074,0.099,0.084,-0.143,-0.102,-0.089,-0.018,0.032,0.07,0.062,0.004,0.058,-0.024,-0.136
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.019,0.072,-0.11,0.025,-0.081,-0.086,-0.085,-0.1,-0.158,-0.13,0.184,0.027,0.121,0.065,-0.027,0.007,0.012,0.025,-0.012,-0.128
ctx-lh-limbicB,,,,,,,,,,,,,,,,0.018,0.016,-0.044,-0.1,0.048,0.037,-0.052,-0.012,-0.012,0.212,0.077,0.041,0.085,0.057,0.002,-0.078,-0.026,-0.006,0.016
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.169,0.06,0.03,-0.14,-0.061,-0.098,-0.18,-0.205,0.053,-0.066,0.091,0.066,-0.037,-0.014,0.04,0.162,-0.027,-0.214
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.049,-0.129,-0.029,0.126,0.112,0.217,0.086,-0.008,-0.134,-0.084,0.146,0.054,-0.021,-0.141,-0.073,-0.149,0.054
