,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K35_36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056,0.001,0.008,-0.062,-0.024,-0.042,-0.076,0.03,-0.021,-0.045,-0.117,-0.022,0.062,0.058,-0.021,-0.099,-0.053,-0.005,-0.078,-0.12,-0.092,-0.122,-0.085,-0.05,-0.061,-0.025,0.035,-0.025,0.006,-0.003,-0.067,-0.048,-0.044,-0.031,-0.075,-0.018,-0.072,-0.143,-0.031,-0.069,-0.005,0.005,-0.052,-0.062,-0.043,0.005,-0.106,-0.065,0.035,-0.082,-0.057,-0.041,-0.066,-0.078,-0.093,-0.089,-0.05,-0.0,-0.093,-0.131,-0.126,0.019,-0.033
ctx-lh-K37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019,0.135,0.106,0.143,0.081,-0.117,0.034,-0.018,0.027,-0.042,0.058,0.131,0.141,0.026,-0.096,-0.036,-0.013,-0.144,-0.124,-0.035,-0.111,0.059,0.06,0.054,0.091,0.048,-0.022,-0.016,-0.061,-0.089,-0.062,-0.049,-0.149,-0.155,-0.034,-0.068,-0.126,0.01,0.013,0.01,-0.048,-0.034,-0.054,0.042,0.039,-0.133,0.006,0.099,-0.137,-0.057,0.104,0.041,0.016,-0.124,-0.074,-0.001,0.011,-0.044,-0.0,-0.03,0.126,0.078
ctx-lh-K38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,-0.035,-0.058,-0.027,0.001,-0.087,-0.047,-0.005,-0.077,-0.07,-0.0,0.028,-0.04,-0.07,-0.017,0.002,-0.055,-0.03,0.005,-0.009,-0.1,0.008,-0.079,-0.02,-0.054,0.017,-0.067,0.069,0.056,0.077,0.044,0.088,-0.004,0.022,0.023,-0.021,-0.048,-0.096,0.019,0.039,-0.051,-0.011,-0.002,0.006,-0.136,0.018,0.019,-0.05,-0.085,0.012,-0.021,0.031,-0.033,-0.032,-0.111,-0.056,-0.049,-0.083,-0.107,-0.037,-0.069
ctx-lh-K39_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.077,0.049,0.017,0.084,0.077,0.008,0.038,0.017,0.059,0.053,0.053,0.107,0.066,0.073,0.015,-0.043,-0.068,0.077,-0.075,-0.124,-0.086,0.004,0.16,0.043,0.066,-0.032,0.041,0.032,0.073,0.009,-0.023,0.093,0.071,0.049,0.01,0.007,0.043,0.004,-0.021,-0.104,-0.008,0.039,-0.067,0.065,0.096,0.047,0.058,-0.084,-0.094,-0.009,0.033,0.002,0.084,0.111,0.005,-0.0,-0.032,-0.044,0.057
ctx-lh-K39_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,0.085,0.046,0.004,-0.013,0.058,-0.005,0.001,0.105,-0.014,-0.056,-0.045,-0.002,0.075,0.003,0.004,0.035,0.039,-0.151,-0.012,-0.1,0.005,0.072,0.015,0.036,0.011,0.024,0.019,0.1,-0.005,-0.013,0.06,0.023,0.002,-0.025,-0.057,0.069,-0.034,-0.008,0.008,-0.018,-0.042,-0.148,-0.03,0.087,0.012,-0.035,0.019,0.002,0.096,0.053,0.045,-0.039,-0.035,0.029,-0.063,0.029,0.051,0.006
ctx-lh-K40_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.011,0.027,0.02,-0.02,0.072,0.01,-0.103,0.009,0.024,0.07,0.026,0.058,-0.016,-0.033,-0.049,0.126,-0.045,-0.081,0.021,0.021,0.125,0.039,0.024,0.019,0.068,0.075,0.117,0.039,0.039,0.157,0.089,0.096,0.042,0.064,0.045,-0.04,-0.018,0.03,0.007,0.02,-0.109,0.04,0.07,0.096,-0.028,0.084,0.019,-0.01,0.007,0.007,0.046,0.012,-0.005,0.075,0.064,-0.059,0.023
ctx-lh-K40_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.011,0.02,0.008,-0.058,-0.092,-0.115,-0.024,0.053,0.087,0.06,0.083,-0.03,-0.043,0.023,0.134,0.075,0.044,0.108,0.072,0.044,-0.007,-0.038,0.041,-0.019,-0.028,0.139,0.026,-0.016,0.165,0.065,0.106,0.044,0.033,0.073,-0.049,0.016,0.043,0.06,-0.012,-0.07,0.016,0.054,0.118,-0.041,0.12,0.123,0.05,0.044,0.052,0.016,-0.035,-0.11,0.061,0.067,0.044,0.041
ctx-lh-K40_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.043,-0.009,0.025,-0.018,0.007,-0.048,0.034,-0.035,-0.101,-0.04,-0.02,-0.148,-0.029,0.054,-0.089,0.032,0.084,0.035,0.003,0.009,-0.025,-0.046,0.073,-0.056,-0.04,0.08,-0.017,-0.05,0.048,-0.034,-0.016,0.031,0.052,0.036,-0.057,-0.029,0.001,-0.02,-0.028,-0.162,-0.05,0.06,-0.008,-0.032,0.042,0.039,-0.045,-0.205,-0.127,-0.054,-0.084,-0.019,0.099,0.046,0.023,0.04
ctx-lh-K41_42_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078,-0.084,-0.157,-0.117,-0.075,-0.008,-0.044,-0.021,-0.014,0.089,-0.073,-0.059,-0.031,0.035,-0.053,0.035,-0.007,-0.019,0.031,-0.054,-0.06,0.096,-0.06,-0.086,0.12,0.049,0.009,0.159,-0.006,0.036,-0.06,-0.018,-0.045,-0.072,-0.032,0.025,-0.003,0.014,-0.15,-0.033,0.095,0.053,-0.084,0.087,0.031,-0.007,-0.065,-0.008,-0.032,-0.02,-0.054,-0.048,-0.058,0.002,-0.066
ctx-lh-K43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007,-0.009,-0.023,0.022,0.049,-0.119,-0.091,-0.044,-0.004,-0.019,-0.007,0.054,0.018,0.005,0.015,0.042,-0.04,0.003,-0.056,-0.133,0.09,-0.111,-0.121,0.069,-0.01,-0.055,0.086,-0.077,-0.049,-0.026,-0.03,-0.003,0.002,-0.052,-0.012,-0.032,0.04,-0.18,-0.046,0.031,0.011,-0.058,0.076,0.008,-0.018,-0.132,-0.089,-0.106,-0.116,0.01,0.004,-0.002,0.037,-0.01
