,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-lh-F2,,0.004,0.0,0.11,-0.046,-0.055,0.056,0.095,0.079,-0.105,-0.057,0.085,-0.001,0.022,0.072,-0.086,-0.006,0.059,0.067,-0.015,-0.011,0.02,0.061,0.002,-0.019,-0.073,0.03,-0.013,0.038,-0.079,0.02,0.036,0.077,0.077,-0.038,0.106,0.03,-0.041,0.084,0.049,0.104,0.079,0.068,0.036,-0.038,0.004,0.089,-0.011,-0.027,0.004,0.017,-0.055,0.118,0.116,-0.027,-0.073,-0.056,-0.075,0.07,0.058,0.076,0.061,-0.087,0.044,-0.045,-0.045,-0.108,-0.059,0.101,-0.1,-0.03,-0.044,-0.017,0.024,-0.031,-0.07,0.035,0.004,0.111,0.061,-0.036,0.001,-0.157,-0.122,-0.041,-0.041,0.08,0.013,0.038,0.021,-0.198,0.02
ctx-lh-F3,,,0.019,0.047,0.06,0.066,-0.037,-0.091,0.024,0.069,-0.106,-0.142,0.092,0.061,-0.044,-0.014,0.067,0.107,-0.003,0.037,-0.034,0.006,-0.009,-0.044,0.044,0.013,0.006,-0.006,-0.01,0.016,-0.013,-0.014,-0.066,-0.041,0.091,-0.064,0.067,0.076,-0.125,0.126,-0.041,-0.043,-0.064,-0.003,-0.004,0.035,0.084,-0.026,0.026,-0.044,0.003,0.03,-0.005,-0.07,-0.078,0.081,0.02,-0.055,0.043,0.02,-0.07,-0.089,-0.029,0.004,0.01,0.005,0.019,-0.001,-0.039,0.09,0.061,-0.123,0.002,-0.059,-0.009,0.01,0.021,-0.115,-0.051,-0.05,0.054,-0.019,-0.054,0.017,-0.127,-0.082,-0.012,0.022,-0.071,-0.021,-0.026,0.059
ctx-lh-F4,,,,-0.039,0.056,0.013,-0.086,-0.076,-0.045,0.068,-0.121,-0.088,0.09,0.022,-0.089,-0.046,0.021,0.054,-0.085,0.058,-0.102,0.029,-0.078,-0.031,0.011,-0.009,0.01,-0.061,0.02,-0.011,-0.031,-0.005,-0.082,-0.065,0.135,0.007,0.052,0.138,-0.064,0.12,-0.049,0.044,-0.105,0.01,0.064,-0.018,0.068,0.026,-0.002,-0.163,-0.02,-0.033,-0.079,-0.08,-0.12,0.036,-0.016,0.001,-0.001,-0.012,-0.117,-0.052,-0.044,-0.054,-0.053,0.028,0.067,0.043,-0.065,0.061,0.066,-0.086,-0.022,-0.09,-0.005,0.024,-0.082,-0.133,-0.074,-0.083,0.128,0.052,-0.028,0.09,-0.126,-0.061,-0.002,0.037,-0.055,-0.024,0.079,0.032
ctx-lh-F5,,,,,-0.082,-0.148,0.001,0.005,-0.142,0.019,-0.049,0.01,0.033,-0.013,0.024,-0.007,-0.06,0.057,-0.021,-0.046,0.069,0.007,-0.0,0.027,0.0,-0.194,0.171,-0.022,-0.056,-0.087,0.024,0.065,0.026,0.008,0.064,0.11,-0.056,0.055,-0.036,-0.042,0.055,0.105,0.011,0.097,0.058,0.074,0.011,-0.002,-0.015,-0.12,-0.134,-0.094,0.011,0.051,-0.066,-0.047,-0.004,0.016,0.07,0.002,0.058,0.034,-0.068,0.071,-0.054,-0.015,0.016,-0.056,0.079,-0.04,-0.18,-0.11,0.074,0.012,-0.074,-0.143,0.025,0.05,0.043,0.069,0.025,0.075,-0.168,-0.043,-0.031,-0.048,0.086,0.056,0.016,0.08,-0.072,0.067
ctx-lh-F6,,,,,,0.045,-0.031,-0.09,-0.106,-0.085,-0.041,-0.092,-0.006,-0.021,0.057,-0.053,0.068,0.004,-0.049,0.032,-0.099,0.0,0.027,-0.059,0.008,-0.066,-0.022,0.037,0.023,-0.007,-0.027,0.048,-0.046,-0.066,-0.02,-0.07,-0.086,0.03,-0.142,0.064,-0.021,-0.067,-0.131,-0.047,-0.011,-0.01,-0.067,-0.066,0.033,-0.063,-0.127,-0.016,0.004,0.001,-0.13,0.002,0.044,-0.061,-0.012,-0.015,-0.006,-0.067,-0.028,-0.003,-0.038,-0.006,0.013,0.013,0.064,0.183,0.096,-0.107,-0.035,0.034,0.052,0.008,0.062,0.008,-0.024,-0.075,0.025,-0.0,-0.035,0.128,-0.061,-0.097,0.037,-0.006,-0.102,-0.024,0.051,-0.004
ctx-lh-F7,,,,,,,-0.033,-0.034,-0.114,-0.099,-0.074,-0.119,-0.053,-0.024,-0.007,-0.014,-0.017,-0.008,-0.08,0.059,-0.09,0.001,0.044,-0.105,0.018,-0.087,-0.127,0.076,0.036,-0.073,-0.002,0.095,0.02,-0.024,-0.079,0.025,-0.081,0.003,-0.107,0.056,0.022,-0.052,-0.056,-0.081,-0.043,-0.062,-0.14,0.037,-0.017,-0.059,-0.031,-0.048,-0.025,0.029,-0.124,-0.047,-0.047,-0.077,-0.043,-0.017,-0.058,0.023,-0.01,-0.067,-0.035,-0.001,0.036,0.019,0.087,0.062,0.019,-0.075,-0.038,0.039,0.039,-0.044,-0.003,0.086,0.047,0.063,0.035,0.116,-0.077,0.089,-0.005,-0.048,0.056,-0.018,0.002,-0.018,0.093,-0.02
ctx-lh-F8,,,,,,,,0.08,-0.016,-0.009,-0.002,0.126,0.05,0.056,0.044,0.063,-0.022,-0.001,0.063,-0.045,0.065,-0.028,-0.014,-0.032,-0.027,-0.01,0.052,-0.01,-0.053,-0.054,-0.123,0.001,0.046,0.034,-0.049,0.031,0.044,0.003,-0.058,0.024,0.065,0.073,0.106,-0.003,0.05,0.076,-0.089,-0.012,0.001,0.178,-0.027,-0.012,0.011,0.017,0.006,-0.095,-0.056,0.055,0.101,0.048,0.074,0.059,0.078,0.062,0.068,0.021,0.045,0.03,0.003,-0.066,-0.071,-0.017,0.038,0.067,0.026,0.011,-0.014,0.028,-0.007,0.06,-0.066,0.033,-0.004,-0.014,0.041,0.03,-0.005,0.093,0.111,0.077,0.066,0.021
ctx-lh-F9,,,,,,,,,0.073,-0.011,-0.03,0.076,0.055,-0.007,0.064,0.112,-0.037,-0.025,0.095,0.083,0.039,-0.026,0.068,0.006,0.058,0.085,0.072,0.066,0.041,0.069,0.066,0.059,-0.006,-0.121,0.025,-0.119,0.089,-0.007,0.146,0.008,-0.053,-0.042,-0.029,-0.02,0.067,0.011,0.053,-0.087,-0.01,-0.083,-0.081,-0.004,0.087,-0.042,0.076,0.071,0.037,0.06,0.037,-0.11,0.051,0.065,-0.061,0.081,0.006,0.095,-0.133,-0.02,0.044,-0.01,0.011,0.107,-0.002,0.084,0.066,0.066,0.043,0.047,-0.018,-0.158,-0.067,-0.128,0.09,-0.14,0.006,0.072,-0.078,-0.046,-0.135,-0.098,-0.031,-0.002
ctx-lh-F10,,,,,,,,,,-0.016,-0.157,-0.133,-0.046,-0.04,0.069,0.05,0.036,-0.05,-0.098,-0.073,-0.106,0.016,0.08,-0.076,-0.114,-0.07,-0.01,0.128,0.094,-0.097,0.028,0.183,0.004,0.027,-0.138,-0.099,-0.028,0.034,-0.12,-0.04,0.055,0.065,0.001,-0.026,-0.039,0.145,0.004,0.015,-0.023,-0.108,-0.137,-0.105,-0.008,0.09,-0.09,0.034,-0.037,-0.06,-0.064,-0.014,-0.015,-0.013,-0.004,-0.126,-0.064,-0.099,-0.054,0.024,0.124,0.01,-0.066,-0.057,-0.038,0.038,0.058,-0.077,0.02,0.145,-0.013,-0.023,-0.055,-0.003,-0.116,-0.01,-0.043,-0.151,0.043,0.045,0.006,-0.035,-0.097,0.049
ctx-lh-F10x,,,,,,,,,,,-0.116,-0.074,0.057,0.054,0.061,0.056,0.051,0.068,-0.03,-0.045,-0.059,0.044,0.055,-0.09,0.016,-0.073,0.041,0.093,0.056,-0.095,0.104,0.133,-0.008,0.077,0.03,0.024,-0.072,0.022,-0.124,0.075,0.101,0.028,-0.006,0.067,-0.008,0.043,-0.056,0.023,0.036,-0.066,-0.15,-0.125,0.019,-0.019,-0.056,0.039,-0.055,-0.05,0.013,0.027,-0.019,-0.001,-0.071,0.011,-0.027,-0.066,-0.036,-0.024,0.076,0.051,-0.064,-0.151,-0.068,-0.003,-0.03,-0.065,0.068,0.036,-0.031,0.035,0.0,0.036,-0.152,-0.046,-0.016,-0.128,0.065,-0.021,-0.01,0.066,-0.079,0.066
