,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.066,0.032,0.123,-0.001,0.027,0.262,0.194,0.141,-0.025,0.353,-0.072,-0.117,-0.013,0.03,-0.156,-0.298,-0.07,-0.209,-0.24,-0.147,0.161,0.042,0.038,0.035,0.029,-0.16,0.028,-0.133,0.028
ctx-lh-CT1_2_fro_inf,,,0.009,0.107,-0.025,0.061,0.034,0.124,-0.079,0.03,0.277,-0.044,-0.133,-0.027,0.013,-0.201,-0.038,-0.053,-0.134,-0.134,-0.172,-0.05,-0.137,-0.034,0.104,-0.067,-0.143,-0.008,-0.085,0.039
ctx-lh-CT1_2_mof,,,,0.026,-0.08,-0.08,-0.2,-0.006,-0.152,-0.134,-0.033,-0.147,0.022,-0.032,-0.195,-0.077,-0.058,-0.17,-0.114,-0.163,-0.069,-0.24,-0.01,-0.226,-0.198,-0.011,-0.054,0.224,0.017,-0.109
ctx-lh-CT1_2_pref_ins_postc,,,,,0.04,0.161,0.262,0.179,0.128,0.031,0.315,-0.174,-0.13,0.046,-0.002,-0.303,-0.285,-0.002,-0.28,-0.167,-0.113,0.088,0.077,-0.024,0.059,-0.005,-0.234,-0.09,-0.157,0.019
ctx-lh-CT1_2_temp,,,,,,0.043,0.073,0.146,-0.053,-0.031,0.02,0.016,-0.086,-0.117,-0.043,-0.148,-0.279,-0.294,-0.153,-0.252,-0.042,-0.075,-0.095,-0.188,0.015,-0.046,-0.091,-0.03,-0.163,0.018
ctx-lh-CT2_fro,,,,,,,0.199,-0.011,0.154,0.166,0.097,-0.003,-0.105,0.091,0.088,-0.172,-0.252,-0.05,-0.182,-0.041,-0.28,0.12,-0.141,0.1,0.267,-0.132,0.041,0.044,-0.016,0.135
ctx-lh-CT2_par,,,,,,,,0.067,0.468,0.101,-0.092,-0.031,0.259,0.115,0.076,0.275,-0.253,-0.214,0.224,0.057,0.093,0.093,0.089,0.403,0.17,-0.148,0.015,0.248,0.032,0.235
ctx-lh-CT3_fro,,,,,,,,,0.21,0.193,0.223,0.18,0.12,0.054,0.081,0.005,-0.305,-0.071,-0.13,-0.096,-0.277,0.063,-0.153,0.103,0.157,0.023,0.108,0.134,-0.237,0.098
ctx-lh-CT3_par,,,,,,,,,,-0.062,0.024,0.029,-0.019,0.115,-0.021,0.01,-0.383,-0.182,-0.032,-0.195,-0.033,0.113,0.012,-0.031,0.012,-0.141,-0.08,0.078,0.048,0.214
ctx-lh-CT4_occ,,,,,,,,,,,-0.02,0.028,0.177,0.275,0.221,-0.136,-0.282,-0.066,-0.171,-0.209,-0.019,0.078,0.094,-0.013,0.096,-0.043,-0.169,0.328,0.293,0.476
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.103,0.197,0.281,0.012,0.219,0.168,-0.112,0.112,-0.13,0.031,-0.083,0.175,0.065,-0.072,0.109,-0.003,0.145,0.212,0.132
ctx-lh-CT5_cen,,,,,,,,,,,,,0.013,0.048,0.076,-0.09,-0.252,-0.286,-0.262,-0.026,-0.112,-0.025,-0.059,-0.001,0.01,-0.141,-0.042,0.208,-0.03,0.042
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.05,0.066,-0.086,-0.313,0.064,-0.175,0.022,-0.132,0.026,0.005,0.005,0.086,0.046,-0.038,-0.213,-0.114,0.048
ctx-lh-CT5_med,,,,,,,,,,,,,,,0.204,-0.06,-0.239,-0.017,-0.13,-0.007,-0.019,0.081,-0.051,-0.005,0.165,0.095,0.002,0.013,-0.173,0.07
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,0.037,-0.327,-0.074,-0.176,-0.218,-0.153,0.092,0.014,-0.004,0.243,-0.093,-0.082,0.273,0.062,0.193
ctx-rh-CT1,,,,,,,,,,,,,,,,,-0.411,0.001,-0.23,-0.212,-0.228,0.167,-0.084,0.03,-0.064,-0.068,-0.323,0.121,-0.158,-0.013
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.072,-0.353,-0.262,-0.163,-0.306,-0.258,-0.371,-0.132,-0.032,-0.298,-0.226,-0.3,-0.267
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,-0.091,-0.342,0.056,-0.166,0.031,-0.24,-0.075,-0.003,-0.058,-0.064,-0.07,0.016
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,-0.097,-0.278,0.19,-0.193,0.052,-0.13,-0.049,-0.225,0.043,-0.201,-0.185
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,0.007,-0.019,-0.191,-0.266,-0.172,-0.167,-0.099,0.007,-0.141,-0.214
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,0.033,-0.28,-0.014,-0.018,-0.015,-0.088,0.004,-0.102,-0.134
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,-0.016,0.31,0.097,-0.043,-0.133,0.119,0.027,0.206
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.068,0.224,-0.007,0.023,-0.242,0.032
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,-0.018,-0.046,-0.107,0.048,-0.126,0.126
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,-0.114,-0.163,0.228,0.154,0.41
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.087,-0.006,0.117,0.047
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,-0.086,-0.147
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.132,0.092
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
