,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-parsupA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,-0.019,-0.043,-0.03,-0.063,0.023,-0.118,-0.031,-0.036,-0.008,0.039,-0.016,-0.009,0.042,-0.041,-0.029,-0.021,0.014,0.049,0.08,0.038,0.102,-0.07,-0.035,-0.034,-0.049,0.006,0.022,0.086,-0.079,-0.039,-0.07,0.03,0.007,-0.044,-0.068,0.034,0.102,0.052,0.111,-0.049,-0.089,0.024,0.065,0.015,0.066,0.032,0.009,-0.016,0.015,0.024,0.062,0.028,-0.019,0.089,0.128,-0.016,0.147,-0.003
ctx-lh-parsupB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.047,0.058,0.043,0.058,-0.02,0.057,-0.084,0.108,0.023,0.021,0.011,0.025,0.11,0.051,0.056,0.081,0.04,0.029,0.002,0.066,0.03,0.008,0.033,0.081,0.037,0.051,0.015,0.025,0.057,0.122,-0.098,-0.089,-0.113,-0.03,-0.138,-0.059,-0.021,-0.004,0.068,0.044,-0.121,-0.041,-0.03,-0.027,0.014,-0.004,0.057,-0.029,0.037,0.098,-0.096,0.025,0.02,0.106,0.099,-0.003,0.067
ctx-lh-postcentA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.181,-0.108,0.089,0.066,-0.094,-0.042,-0.13,-0.005,-0.092,-0.026,0.018,-0.035,-0.032,0.107,0.072,0.13,-0.068,0.071,-0.001,0.028,0.065,0.052,0.101,0.046,-0.072,0.066,-0.053,0.077,-0.027,0.214,-0.1,-0.104,-0.032,0.111,-0.106,-0.006,-0.078,-0.071,0.084,0.029,-0.166,-0.058,-0.075,-0.195,-0.218,-0.101,0.02,0.016,-0.134,-0.153,-0.136,-0.02,-0.145,-0.008,-0.03,-0.145,0.079
ctx-lh-postcentB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008,0.072,0.017,-0.002,-0.06,-0.042,-0.0,-0.106,-0.051,-0.053,0.02,-0.009,0.038,0.024,0.029,-0.047,0.028,0.069,0.005,0.071,0.058,0.057,0.119,0.006,0.021,-0.048,0.038,-0.025,0.104,-0.051,-0.124,-0.081,0.05,-0.108,-0.032,-0.066,-0.054,0.134,0.005,-0.083,-0.095,-0.057,-0.154,-0.077,-0.062,0.056,-0.077,-0.004,-0.05,-0.062,-0.015,-0.087,0.002,-0.024,-0.059,0.027
ctx-lh-precentA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.012,0.026,-0.066,-0.001,-0.022,-0.134,-0.114,-0.077,-0.02,-0.017,0.029,0.049,0.044,-0.028,-0.006,0.046,-0.008,0.077,0.067,0.096,0.088,-0.05,0.009,-0.134,0.112,-0.064,0.16,-0.046,-0.165,-0.045,0.056,-0.041,-0.053,-0.151,-0.119,0.175,0.074,-0.096,-0.063,-0.015,-0.197,-0.12,-0.073,-0.015,-0.034,-0.037,-0.131,-0.019,0.004,-0.127,-0.082,-0.039,-0.072,0.033
ctx-lh-precentB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033,0.014,-0.038,-0.066,0.04,-0.03,0.004,-0.04,-0.007,-0.011,0.076,0.043,0.098,-0.003,0.037,0.073,0.095,0.156,0.027,0.144,0.159,0.024,0.048,0.058,0.061,-0.021,0.152,-0.028,-0.189,-0.08,-0.011,-0.088,-0.071,-0.143,-0.104,0.124,0.056,-0.102,-0.123,-0.006,-0.023,0.002,-0.005,0.036,-0.113,-0.064,-0.053,-0.083,-0.004,-0.063,0.027,0.009,-0.021,0.045
ctx-lh-pyriform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,-0.001,0.035,-0.04,-0.013,0.012,-0.013,-0.039,-0.05,-0.038,-0.016,0.063,-0.029,0.016,-0.015,0.006,0.006,-0.003,-0.026,0.036,0.025,-0.043,0.017,0.014,-0.012,0.006,0.042,0.047,0.028,0.01,0.076,-0.025,-0.057,0.033,0.006,-0.048,0.089,0.047,0.068,-0.023,-0.007,0.004,-0.06,-0.085,-0.068,-0.07,0.066,-0.111,-0.106,0.011,-0.014,0.001,0.012
ctx-lh-tempinf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.091,0.008,0.075,-0.03,0.028,-0.031,-0.086,-0.035,-0.032,0.116,-0.003,-0.078,-0.015,-0.09,-0.022,-0.001,0.06,0.05,0.025,0.02,0.101,-0.032,0.087,0.046,0.02,0.119,0.062,0.038,0.064,0.095,0.01,-0.086,-0.094,0.045,0.103,0.048,-0.052,0.013,-0.0,0.046,-0.006,0.083,0.053,-0.059,-0.091,0.124,0.043,-0.059,0.01,-0.004,0.021,-0.059
ctx-lh-tempmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.082,-0.019,-0.007,-0.034,-0.105,-0.091,-0.04,0.021,0.051,-0.087,-0.102,0.077,0.043,-0.098,0.03,0.046,0.101,-0.039,-0.035,0.008,-0.062,0.05,-0.028,0.037,0.044,0.048,0.033,0.037,0.095,-0.1,-0.051,-0.018,0.039,-0.001,0.033,-0.01,-0.022,-0.062,-0.104,-0.091,-0.007,0.036,-0.033,-0.1,0.033,0.079,-0.061,-0.053,-0.084,0.052,-0.024
ctx-lh-temppara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,-0.145,-0.042,-0.047,-0.012,0.005,0.041,0.073,0.042,0.024,0.023,-0.005,0.082,-0.047,0.033,0.024,-0.066,0.018,0.033,-0.02,0.028,0.023,0.078,0.093,-0.083,0.03,0.091,0.023,0.031,-0.039,-0.004,0.063,0.012,-0.022,-0.024,-0.05,-0.128,-0.059,-0.096,-0.037,-0.06,0.018,-0.076,0.009,-0.019,-0.145,-0.009,0.004,-0.091,0.049
