,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.094,-0.104,0.028,-0.008,0.125,-0.059,0.069,-0.28,-0.047,-0.179,0.028,-0.45,0.018,-0.071,-0.204,0.068,0.111,-0.265,-0.164,-0.17,-0.226,0.007,-0.522,-0.085,-0.005,-0.173,-0.015,-0.036,-0.001
ctx-lh-CT1_2_fro_inf,,,0.133,0.012,0.078,-0.066,0.015,0.196,-0.12,-0.112,0.12,-0.151,-0.298,-0.057,-0.188,-0.17,0.08,-0.069,-0.061,-0.017,-0.022,0.178,-0.002,0.14,-0.016,0.135,-0.084,-0.287,-0.071,-0.129
ctx-lh-CT1_2_mof,,,,-0.051,-0.017,-0.184,0.115,0.005,0.138,-0.185,-0.141,-0.024,-0.312,0.056,-0.085,-0.105,-0.061,-0.136,0.045,-0.09,-0.031,0.172,0.03,0.33,-0.155,-0.053,0.007,-0.227,-0.054,-0.055
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.041,0.171,-0.09,0.048,-0.152,-0.035,-0.298,-0.016,-0.272,0.021,-0.096,-0.116,-0.024,0.023,-0.085,-0.009,0.08,-0.167,0.222,-0.379,-0.034,-0.167,-0.161,-0.021,-0.075,-0.001
ctx-lh-CT1_2_temp,,,,,,-0.261,-0.007,-0.02,0.153,-0.276,0.027,0.103,0.073,-0.227,-0.175,-0.059,-0.07,-0.01,0.078,-0.028,-0.159,0.19,-0.065,0.222,-0.169,-0.027,0.139,-0.224,-0.213,-0.134
ctx-lh-CT2_fro,,,,,,,0.055,0.052,0.166,-0.009,-0.053,0.069,-0.035,0.09,0.044,0.014,-0.124,0.065,0.122,-0.193,0.092,0.218,0.088,0.185,0.153,-0.089,0.19,0.12,-0.043,0.261
ctx-lh-CT2_par,,,,,,,,0.051,-0.161,-0.253,0.205,-0.073,-0.078,0.374,-0.086,-0.116,0.158,0.298,-0.136,0.127,0.165,0.196,0.022,-0.067,-0.284,0.196,-0.124,-0.09,0.447,-0.056
ctx-lh-CT3_fro,,,,,,,,,0.044,0.16,0.334,0.11,0.085,-0.05,0.035,-0.113,-0.146,-0.071,0.083,-0.163,0.01,0.071,-0.201,0.178,0.017,0.146,0.13,0.165,-0.154,0.148
ctx-lh-CT3_par,,,,,,,,,,0.055,0.014,-0.207,0.245,-0.307,-0.002,-0.093,-0.106,-0.091,-0.106,-0.087,0.021,-0.197,0.062,0.007,-0.008,-0.111,-0.33,-0.071,0.048,-0.038
ctx-lh-CT4_occ,,,,,,,,,,,-0.104,-0.295,0.111,-0.292,0.086,-0.031,-0.223,-0.02,-0.184,-0.378,0.039,-0.112,0.147,0.027,-0.09,-0.02,-0.213,-0.04,-0.215,0.113
