,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.273,-0.245,-0.199,0.02,0.056,0.002,0.038,0.075,-0.013,0.155,0.04,0.247,0.038,0.041,0.076,-0.083,-0.151,-0.291,0.081,-0.01,-0.181,-0.139,-0.133,-0.069,0.006,-0.043,0.013,0.064,-0.042,0.017,-0.123,0.149,-0.225,-0.191,0.085,0.001,0.054,0.035,-0.247,-0.242,-0.257,-0.106,0.098,0.065,0.1,0.073,0.106,-0.085,0.153,0.017,0.257,0.036,-0.019,0.014,-0.007,-0.111,-0.178,0.109,-0.056,-0.253,-0.214,-0.089,0.039,0.092,-0.073,-0.039,0.067,-0.01,0.063,-0.005,0.239,-0.28,-0.176,0.231,0.147,0.166,0.085
ctx-lh-BA2,,,-0.206,-0.107,-0.022,0.04,-0.135,-0.132,-0.074,-0.091,0.1,0.029,0.148,-0.027,-0.017,0.032,-0.196,-0.285,-0.322,-0.031,-0.079,-0.224,-0.132,-0.188,-0.178,-0.096,0.086,-0.08,-0.006,-0.077,-0.133,-0.175,0.003,-0.259,-0.128,-0.002,-0.12,-0.035,-0.13,-0.276,-0.191,-0.126,-0.002,0.034,-0.0,-0.119,-0.115,-0.037,-0.138,0.06,-0.003,0.188,-0.032,-0.072,-0.089,-0.199,-0.254,-0.25,0.063,-0.069,-0.287,-0.149,-0.061,-0.06,-0.032,-0.099,0.015,0.004,-0.053,-0.121,-0.131,0.108,-0.322,-0.136,0.132,0.004,0.126,-0.105
ctx-lh-BA4,,,,-0.206,0.023,0.032,-0.012,0.015,0.108,0.014,0.062,0.017,0.253,0.091,0.088,0.134,-0.042,-0.125,-0.214,0.062,-0.083,-0.097,-0.091,-0.096,-0.028,0.023,0.09,0.012,0.12,0.044,0.053,-0.068,0.065,-0.308,-0.19,-0.023,-0.051,0.016,0.022,-0.257,-0.154,-0.186,-0.137,0.045,0.012,0.057,0.032,0.129,0.015,0.035,-0.029,0.288,0.117,0.031,0.056,0.038,-0.11,-0.144,0.119,-0.018,-0.187,-0.109,-0.045,0.033,0.095,-0.012,0.037,0.09,0.076,0.094,0.01,0.158,-0.33,-0.174,0.113,0.089,0.137,0.054
ctx-lh-BA5,,,,,-0.041,0.108,0.005,-0.032,0.063,-0.007,0.041,-0.037,0.234,0.056,0.08,0.058,-0.076,-0.218,-0.205,-0.039,-0.044,-0.165,-0.129,-0.118,-0.047,-0.075,-0.005,-0.018,0.116,0.089,-0.088,0.051,0.079,-0.294,-0.281,-0.047,-0.075,0.129,-0.009,-0.24,-0.066,-0.247,-0.146,0.001,0.035,0.01,0.023,0.092,-0.028,0.019,-0.095,0.277,0.097,0.011,-0.038,-0.014,-0.139,-0.11,-0.016,-0.041,-0.167,-0.096,-0.006,0.025,0.011,-0.019,0.097,0.056,0.085,0.013,0.071,0.172,-0.26,-0.227,0.091,0.07,0.206,0.026
ctx-lh-BA6,,,,,,-0.003,-0.123,-0.116,-0.005,-0.011,-0.1,-0.131,0.133,0.061,0.129,0.014,-0.174,-0.03,-0.165,0.018,-0.07,-0.102,-0.071,-0.134,-0.011,-0.033,-0.006,-0.068,-0.004,0.009,-0.101,-0.182,-0.087,-0.284,-0.095,-0.11,-0.167,-0.19,-0.079,-0.026,-0.007,0.001,-0.02,-0.013,0.016,-0.149,-0.123,-0.047,-0.09,-0.089,-0.133,0.213,0.122,0.132,-0.101,-0.129,-0.05,-0.15,0.028,-0.06,-0.193,-0.078,-0.027,-0.03,0.024,-0.031,0.039,0.001,0.017,-0.097,-0.164,-0.013,-0.272,-0.119,-0.03,-0.067,-0.054,-0.111
ctx-lh-BA7,,,,,,,-0.042,-0.074,0.026,-0.012,-0.02,-0.006,0.047,0.003,0.103,-0.01,-0.057,-0.085,-0.064,0.033,0.034,-0.059,-0.098,-0.084,0.065,-0.025,0.067,-0.106,0.062,0.087,-0.12,0.019,0.038,-0.088,-0.093,-0.106,-0.102,-0.017,-0.026,0.037,0.023,0.028,0.127,-0.015,-0.001,-0.057,-0.098,0.008,-0.003,-0.069,-0.006,0.158,0.053,0.087,-0.047,-0.044,-0.037,-0.071,0.037,-0.042,-0.068,-0.096,0.069,0.058,0.037,-0.038,0.095,0.078,0.065,-0.057,-0.012,0.075,-0.14,-0.073,-0.03,-0.042,0.063,-0.028
ctx-lh-BA8,,,,,,,,-0.035,-0.026,0.055,-0.075,-0.177,-0.006,0.025,0.058,0.005,-0.06,0.023,0.045,-0.032,0.052,0.008,0.005,-0.053,0.027,-0.058,-0.072,-0.112,0.016,-0.001,0.022,-0.08,-0.059,-0.298,-0.147,-0.087,-0.014,-0.041,0.036,-0.016,-0.047,0.037,-0.079,-0.085,-0.049,-0.015,-0.016,0.033,-0.061,-0.077,-0.195,0.058,0.094,0.085,0.018,0.03,-0.023,-0.018,-0.004,0.111,-0.014,-0.001,-0.017,0.009,-0.008,-0.039,0.045,0.013,-0.009,0.046,-0.032,-0.07,-0.249,-0.167,0.032,0.073,-0.031,0.076
ctx-lh-BA9,,,,,,,,,-0.076,-0.013,-0.115,-0.228,-0.002,-0.003,0.053,0.01,-0.147,0.025,-0.059,-0.164,0.002,-0.085,-0.072,-0.123,-0.011,-0.112,-0.101,-0.031,-0.09,-0.124,-0.066,-0.101,-0.142,-0.283,-0.169,-0.087,-0.065,-0.047,-0.078,0.069,-0.023,0.059,-0.072,-0.103,-0.084,-0.094,-0.077,-0.106,-0.109,-0.168,-0.254,0.068,0.024,0.08,-0.068,-0.073,-0.027,-0.108,-0.082,0.05,-0.073,-0.097,-0.094,-0.088,-0.078,-0.072,0.019,-0.067,-0.127,-0.028,-0.12,-0.163,-0.241,-0.155,-0.05,-0.002,-0.071,-0.033
ctx-lh-BA10,,,,,,,,,,-0.1,-0.002,-0.136,0.034,-0.01,0.111,-0.043,-0.075,0.045,0.037,-0.018,0.029,-0.047,-0.08,-0.147,0.068,0.033,-0.005,-0.082,-0.048,-0.083,-0.136,0.006,0.01,-0.165,-0.147,-0.058,-0.032,0.064,-0.082,0.074,0.067,0.15,0.035,0.023,-0.002,-0.043,0.015,-0.128,-0.118,-0.14,-0.166,0.019,-0.005,0.095,-0.142,-0.061,0.003,-0.041,0.002,0.029,-0.065,-0.1,-0.07,0.002,0.067,0.024,-0.071,-0.121,-0.111,-0.123,-0.01,-0.057,-0.152,-0.154,-0.015,0.014,0.061,-0.073
ctx-lh-BA11,,,,,,,,,,,-0.062,-0.154,-0.051,-0.044,0.038,-0.066,-0.045,-0.034,0.054,-0.163,0.078,-0.036,-0.052,-0.057,-0.025,-0.088,-0.116,-0.044,-0.08,-0.038,-0.125,0.043,-0.055,-0.102,-0.075,-0.055,-0.044,0.014,-0.057,-0.028,0.007,0.052,-0.069,-0.011,-0.035,0.039,-0.012,-0.109,-0.08,-0.159,-0.155,-0.074,-0.047,0.016,-0.147,-0.044,-0.092,0.008,-0.12,0.03,-0.011,-0.003,0.013,0.026,-0.059,-0.05,-0.043,-0.048,-0.087,-0.135,0.015,-0.109,-0.122,-0.166,-0.108,0.012,-0.045,-0.031
