,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.182,0.077,0.1,-0.007,0.052,0.029,0.017,-0.068,-0.024,0.057,0.023,-0.034,0.002,0.064,0.009,0.146,-0.078,-0.066,-0.065,-0.028,-0.105,0.209,-0.068,-0.095,0.1,-0.02,0.075,0.023,0.083
ctx-lh-CT1_2_fro_inf,,,0.106,0.213,-0.068,-0.069,-0.034,0.043,0.007,-0.03,-0.009,0.044,-0.021,-0.014,0.068,0.198,0.005,-0.058,0.041,-0.13,-0.029,-0.031,-0.071,-0.009,-0.035,-0.066,-0.037,0.002,0.038,0.001
ctx-lh-CT1_2_mof,,,,0.046,-0.08,-0.078,-0.067,0.14,0.103,0.118,-0.203,0.058,-0.02,-0.003,0.217,0.021,0.044,0.065,-0.046,-0.072,-0.033,-0.098,0.021,0.023,0.17,-0.105,-0.003,0.101,0.042,0.141
ctx-lh-CT1_2_pref_ins_postc,,,,,0.006,0.093,-0.05,0.083,-0.042,-0.122,0.138,-0.072,-0.052,0.032,0.047,-0.017,0.093,0.042,-0.058,-0.023,0.007,-0.104,0.177,-0.132,-0.181,0.064,-0.05,-0.001,0.051,0.022
ctx-lh-CT1_2_temp,,,,,,-0.0,-0.137,0.077,-0.039,0.091,-0.112,0.009,-0.099,0.02,0.028,0.017,-0.112,-0.118,-0.062,-0.113,-0.002,-0.15,-0.055,-0.112,0.002,-0.121,-0.061,-0.037,0.075,0.088
ctx-lh-CT2_fro,,,,,,,-0.043,0.08,0.068,0.056,-0.016,0.002,-0.054,-0.078,0.009,0.032,-0.047,-0.042,-0.097,-0.062,0.028,-0.014,0.033,0.039,0.049,0.014,-0.075,-0.1,0.011,-0.005
ctx-lh-CT2_par,,,,,,,,-0.056,-0.087,-0.071,0.022,0.004,0.103,-0.008,-0.07,0.09,0.022,-0.057,0.062,0.049,0.128,0.004,0.038,-0.001,-0.071,0.057,0.052,0.05,-0.041,-0.058
ctx-lh-CT3_fro,,,,,,,,,0.07,0.065,0.22,-0.1,-0.075,-0.003,-0.015,-0.026,0.006,0.088,-0.076,-0.046,0.035,0.007,0.034,-0.015,0.09,0.155,-0.041,-0.15,0.084,0.005
ctx-lh-CT3_par,,,,,,,,,,-0.046,0.046,-0.098,0.201,0.171,0.037,-0.032,-0.006,0.014,-0.007,-0.082,0.139,-0.028,0.185,-0.137,-0.077,-0.006,-0.141,0.109,0.045,0.088
ctx-lh-CT4_occ,,,,,,,,,,,0.002,-0.18,-0.009,0.045,0.09,-0.054,0.018,0.115,-0.044,-0.004,0.098,-0.061,0.081,-0.127,0.038,0.093,-0.173,0.012,-0.04,0.178
ctx-lh-CT4_dmpf,,,,,,,,,,,,0.012,0.012,-0.147,0.03,-0.014,-0.11,-0.203,-0.037,-0.289,-0.075,0.019,0.152,-0.08,0.004,-0.1,-0.07,-0.03,-0.018,-0.036
ctx-lh-CT5_cen,,,,,,,,,,,,,0.041,-0.007,0.047,-0.043,0.02,0.001,-0.089,0.03,-0.111,-0.083,-0.011,-0.068,-0.157,-0.016,-0.013,0.124,0.034,0.024
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.04,-0.069,0.04,0.032,-0.012,-0.021,-0.101,-0.167,0.127,0.001,0.133,-0.003,0.026,0.127,-0.159,-0.071,-0.051
ctx-lh-CT5_med,,,,,,,,,,,,,,,-0.133,-0.061,0.076,0.033,-0.105,-0.012,-0.008,-0.084,-0.04,0.045,0.024,-0.039,0.018,-0.057,-0.029,-0.064
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,0.075,0.093,0.175,0.096,0.03,0.042,-0.107,-0.058,0.039,0.081,0.095,0.073,-0.053,-0.262,-0.081
ctx-rh-CT1,,,,,,,,,,,,,,,,,0.139,-0.012,0.0,0.025,-0.112,0.03,-0.003,0.036,-0.041,0.004,0.03,0.121,-0.079,0.064
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.093,0.019,-0.086,-0.083,0.056,-0.089,0.065,0.112,-0.135,0.032,0.083,0.133,0.052
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,-0.03,-0.135,-0.021,-0.032,-0.027,-0.046,0.105,-0.121,-0.029,0.018,0.121,0.048
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,0.007,-0.101,0.1,0.02,0.118,0.056,-0.014,-0.033,0.023,0.001,0.146
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,-0.046,0.024,-0.153,0.031,-0.008,-0.182,0.011,-0.022,0.036,-0.015
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,0.142,-0.119,0.055,0.208,-0.052,-0.082,-0.19,0.058,0.06
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,0.05,0.032,-0.043,0.063,0.014,0.069,-0.188,-0.095
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.127,0.133,0.063,-0.103,-0.027,0.005
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.003,-0.01,0.102,-0.111,0.026
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,-0.134,0.013,-0.055,0.134
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028,0.04,0.109,0.052
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,-0.023,0.061
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.087,-0.021
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.208
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
