,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.043,-0.072,0.011,0.115,0.132,0.015,0.057,0.008,0.102,-0.034,-0.123,-0.103,-0.058,-0.166,0.105,0.039,0.132,0.001,-0.139,-0.098,0.016,0.006,0.059,-0.246,-0.158,-0.026,0.046,0.171,-0.143,-0.034,-0.049,-0.213,-0.02,-0.182,-0.066,-0.027,-0.022,-0.216,-0.0,-0.005,0.096,0.265,0.224,-0.076,0.129,0.016,0.081,-0.074,-0.024,0.007,-0.08,-0.207,0.113,-0.017,0.213,-0.033,-0.148,-0.159,-0.068,0.014,0.101,-0.197,-0.185,-0.045,0.129,0.227,-0.133,-0.011,-0.127,-0.214,-0.22,-0.249,-0.146,-0.144,-0.009
ctx-lh-FB,,,-0.142,-0.026,0.004,-0.021,-0.006,0.019,0.028,0.177,-0.035,-0.041,-0.053,0.008,-0.021,-0.131,-0.009,0.02,0.066,-0.032,0.048,0.07,0.034,0.012,0.01,0.014,-0.027,-0.012,-0.061,-0.059,0.061,0.017,-0.018,-0.042,-0.017,0.002,0.035,0.001,0.007,-0.104,-0.034,-0.005,-0.012,0.017,-0.004,-0.056,0.054,0.174,-0.105,0.047,0.107,-0.02,-0.129,-0.155,-0.034,0.038,0.085,0.059,0.064,0.032,0.003,-0.003,-0.051,0.003,-0.055,0.008,-0.057,0.036,0.008,0.044,-0.044,-0.099,-0.116,-0.016,-0.019,0.022
ctx-lh-FBA,,,,-0.062,-0.003,0.029,0.024,-0.123,-0.0,-0.012,-0.052,-0.004,0.039,-0.028,0.039,-0.055,-0.024,0.007,-0.04,-0.083,-0.073,0.106,0.12,0.153,-0.02,0.026,-0.02,-0.051,-0.076,-0.037,-0.109,0.089,-0.009,-0.018,-0.045,-0.035,0.085,0.056,-0.067,-0.132,-0.148,-0.013,0.001,-0.028,-0.135,-0.101,-0.009,-0.019,-0.151,0.0,-0.029,0.029,0.023,0.006,0.009,0.068,-0.006,-0.069,-0.012,0.087,0.12,0.227,-0.003,-0.039,-0.006,0.057,-0.042,-0.028,-0.071,0.038,-0.039,-0.118,-0.057,-0.101,0.041,-0.04
ctx-lh-FC,,,,,0.0,-0.06,-0.075,-0.031,0.011,0.14,-0.088,-0.053,-0.006,-0.023,0.138,-0.063,0.021,-0.0,0.148,0.03,0.151,0.134,0.11,0.021,0.098,0.064,-0.001,0.025,-0.092,0.034,0.026,0.062,0.052,-0.067,0.012,-0.049,-0.028,-0.055,0.057,-0.046,-0.031,-0.005,-0.041,-0.032,0.058,-0.034,0.049,0.11,-0.114,-0.013,0.079,0.039,-0.03,-0.104,0.032,-0.013,0.198,0.125,0.166,0.099,0.025,-0.005,0.064,0.025,0.022,0.038,-0.081,0.119,0.03,0.141,-0.02,-0.045,-0.002,0.003,-0.006,-0.017
ctx-lh-FCBm,,,,,,0.031,0.063,-0.006,0.02,0.007,-0.213,-0.02,-0.033,-0.025,0.021,-0.159,-0.037,0.05,0.133,0.041,0.009,0.084,0.152,0.058,0.175,0.18,0.194,0.051,-0.087,0.121,0.098,0.014,0.103,-0.075,0.07,-0.075,0.009,-0.07,0.136,-0.07,0.006,-0.024,-0.126,-0.035,0.026,-0.096,-0.044,-0.09,-0.272,-0.115,0.028,0.028,-0.062,-0.198,0.001,-0.023,0.148,0.052,0.13,0.091,0.137,0.111,0.126,0.187,0.113,0.009,-0.117,0.177,0.015,0.06,-0.052,-0.061,-0.019,-0.106,0.047,-0.035
ctx-lh-FDdelta,,,,,,,0.084,-0.025,0.01,-0.016,-0.063,-0.017,-0.075,-0.105,0.015,0.005,0.05,0.012,0.035,-0.044,-0.001,0.104,0.096,-0.0,0.11,0.143,0.079,-0.067,-0.107,0.044,-0.045,0.11,0.062,-0.048,0.043,-0.132,0.016,-0.03,0.175,0.038,0.081,0.022,0.045,-0.048,0.026,0.045,-0.03,-0.033,-0.105,-0.016,-0.043,-0.021,-0.063,-0.005,-0.014,-0.02,0.015,0.062,0.074,0.022,-0.004,0.044,0.151,0.192,0.136,-0.05,-0.037,0.085,-0.063,0.152,0.003,-0.004,-0.001,0.002,-0.032,-0.066
ctx-lh-FDL,,,,,,,,-0.005,0.017,0.034,-0.046,-0.067,-0.045,-0.057,0.059,0.003,-0.119,-0.0,-0.031,-0.036,0.002,0.131,0.15,0.116,0.034,-0.049,-0.087,0.016,-0.059,-0.059,-0.016,0.082,-0.058,-0.061,-0.046,0.041,-0.019,-0.008,0.06,0.009,-0.02,0.011,0.059,-0.001,-0.064,0.003,-0.084,-0.049,-0.036,-0.011,-0.114,-0.017,0.002,0.029,-0.066,-0.117,0.006,-0.09,0.063,0.065,0.023,0.086,-0.003,-0.038,-0.034,0.007,-0.07,0.013,0.004,0.07,-0.024,-0.027,-0.03,0.04,-0.002,-0.043
ctx-lh-FDm,,,,,,,,,0.015,0.135,-0.068,-0.047,-0.047,-0.006,0.12,-0.144,-0.11,-0.012,0.184,0.084,0.168,0.099,0.089,0.015,0.106,0.079,0.109,0.097,-0.166,0.003,0.069,0.047,0.058,-0.103,0.024,0.005,0.042,-0.046,0.096,-0.072,-0.094,0.022,-0.035,-0.033,0.063,-0.015,0.018,0.024,-0.038,-0.013,0.06,-0.081,0.034,-0.162,-0.049,-0.076,0.194,0.127,0.187,0.025,-0.013,0.019,0.092,0.086,0.082,0.001,-0.21,0.132,0.014,0.103,0.014,-0.04,0.025,0.021,0.029,-0.023
ctx-lh-FDp,,,,,,,,,,0.035,-0.102,-0.091,0.002,0.016,0.11,-0.049,0.03,0.078,0.19,0.076,0.055,0.108,0.04,-0.048,0.083,0.047,0.031,0.106,-0.093,0.078,0.066,0.009,0.052,-0.086,-0.018,-0.122,-0.018,-0.145,0.066,-0.031,0.054,-0.062,-0.083,-0.01,0.087,-0.047,-0.043,-0.017,-0.152,-0.15,-0.027,0.07,-0.067,-0.047,0.047,-0.019,0.165,0.058,0.141,0.059,0.027,-0.022,0.063,0.034,-0.02,-0.029,-0.127,0.175,-0.033,0.072,0.041,0.044,-0.003,-0.08,-0.032,-0.12
ctx-lh-FE,,,,,,,,,,,0.083,-0.084,-0.084,-0.054,-0.07,0.05,-0.083,-0.006,0.062,-0.008,-0.053,-0.052,-0.042,-0.047,0.038,0.04,-0.008,0.049,-0.044,-0.062,-0.007,-0.096,0.017,-0.061,0.045,0.024,0.042,-0.008,0.056,0.127,-0.107,0.093,-0.025,0.082,0.147,0.034,0.07,-0.072,0.077,-0.058,-0.147,-0.027,-0.053,0.095,-0.078,-0.003,0.024,0.015,-0.067,-0.052,-0.1,-0.056,-0.028,0.035,-0.03,-0.027,-0.091,-0.037,-0.002,-0.106,0.057,-0.021,-0.014,-0.11,-0.093,0.004
