,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041,-0.063,0.12,-0.064,-0.096,-0.07,-0.014,-0.047,0.022,0.149,0.101,-0.063,0.04,0.009,-0.035,0.031,-0.06,-0.046,0.007,-0.021,0.07,-0.02,0.019,-0.044,-0.041,-0.134,-0.101,-0.058,-0.023,-0.082,-0.124,-0.049,0.034,-0.046,-0.091,-0.004,-0.079,-0.136,0.083,-0.194,0.015,-0.102,-0.104
ctx-lh-TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.025,-0.127,-0.028,0.018,0.008,-0.004,-0.014,0.072,0.015,-0.027,0.031,0.047,-0.023,0.041,-0.055,0.074,0.017,-0.077,0.024,-0.037,-0.03,-0.061,-0.084,-0.105,-0.047,-0.052,-0.033,0.011,0.002,0.054,0.012,0.008,-0.035,0.077,-0.031,-0.047,-0.073,-0.08,0.017,-0.069,-0.011
ctx-lh-TE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018,-0.102,-0.076,-0.085,-0.028,0.014,0.026,0.148,-0.0,-0.074,-0.005,0.006,-0.032,0.016,-0.108,-0.115,-0.116,-0.108,0.052,-0.022,-0.021,-0.054,-0.04,-0.072,-0.005,0.039,0.013,-0.124,-0.131,-0.02,0.041,-0.002,-0.074,-0.017,0.018,-0.091,-0.043,-0.073,-0.013,-0.023,-0.007
ctx-lh-TE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.089,0.054,0.028,0.031,0.002,0.054,-0.077,0.041,0.001,-0.021,-0.017,-0.018,-0.008,0.058,-0.015,0.055,0.003,0.082,0.018,-0.026,-0.029,0.002,0.054,0.055,0.059,0.007,0.038,-0.013,0.003,0.031,0.048,-0.05,0.064,0.028,0.043,0.004,-0.034,0.089,0.075
ctx-lh-TF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.052,-0.085,-0.068,-0.06,-0.081,-0.046,0.037,0.095,-0.03,-0.027,-0.006,-0.07,-0.128,0.012,0.026,-0.038,-0.0,0.024,0.01,-0.019,-0.024,-0.067,0.033,0.039,0.0,-0.032,-0.013,0.02,-0.002,0.044,-0.017,0.008,0.124,-0.147,-0.052,-0.118,0.013,0.04,-0.078
ctx-lh-TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032,0.011,-0.027,-0.014,0.024,-0.057,-0.073,-0.073,-0.057,-0.087,-0.065,-0.037,-0.089,0.029,-0.052,0.059,0.032,-0.058,-0.069,-0.042,-0.078,-0.047,-0.067,-0.003,-0.104,-0.005,0.069,0.065,-0.024,0.013,-0.021,0.009,-0.06,0.034,-0.135,0.063,0.021,-0.124
ctx-rh-FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,-0.029,-0.03,0.115,0.125,-0.088,0.037,-0.004,-0.048,0.037,-0.096,-0.15,-0.102,-0.062,0.063,0.009,0.042,-0.051,-0.096,-0.126,-0.062,0.059,0.054,-0.149,-0.121,-0.004,0.046,0.085,-0.076,-0.083,-0.076,-0.143,0.017,-0.164,-0.057,-0.109,-0.083
ctx-rh-FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.103,-0.075,0.01,0.106,-0.005,0.07,-0.001,0.041,0.032,-0.026,-0.047,-0.064,-0.056,-0.005,-0.021,0.094,-0.051,-0.085,-0.142,-0.043,-0.018,-0.054,0.04,-0.021,0.008,0.003,0.018,-0.035,-0.088,-0.004,-0.019,-0.013,-0.013,-0.085,-0.101,-0.026
ctx-rh-FBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.088,0.092,0.104,0.0,-0.001,0.076,-0.028,0.055,-0.029,-0.039,0.065,-0.093,0.012,-0.044,0.006,-0.104,-0.089,-0.157,-0.068,0.014,-0.002,-0.02,0.021,-0.012,0.004,0.013,-0.121,-0.046,0.027,-0.004,0.087,-0.043,0.001,-0.084,-0.007
ctx-rh-FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.181,-0.119,0.029,-0.042,-0.034,0.038,-0.072,0.055,0.047,0.011,0.014,-0.12,-0.112,-0.022,0.094,0.091,0.092,0.055,0.039,-0.033,-0.036,-0.004,0.013,-0.013,-0.128,0.015,0.026,-0.004,0.026,-0.099,0.011,-0.045,-0.079,-0.058
ctx-rh-FCBm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.047,-0.021,-0.065,-0.04,0.017,0.022,0.089,0.046,0.081,-0.068,-0.071,0.037,-0.012,-0.052,-0.034,-0.119,-0.022,-0.055,-0.089,0.118,0.132,0.016,-0.097,-0.089,0.043,-0.082,0.043,0.14,0.097,0.074,0.01,-0.074,-0.004
ctx-rh-FDdelta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.123,-0.145,-0.059,-0.115,0.036,0.003,-0.033,-0.005,0.048,0.098,0.077,0.009,-0.043,0.026,0.014,-0.007,-0.036,0.163,0.1,0.077,0.004,-0.029,0.088,-0.058,-0.031,0.083,0.038,-0.035,-0.051,0.033,-0.065
ctx-rh-FDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.179,-0.051,-0.1,-0.08,-0.156,-0.045,0.083,0.025,-0.074,-0.072,0.043,0.032,0.117,0.156,0.072,0.049,-0.142,-0.063,-0.014,0.012,0.004,-0.009,0.012,0.1,0.023,-0.092,-0.011,0.018,0.108,-0.029
