,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-callosA,,-0.162,-0.052,-0.013,0.02,0.036,-0.046,-0.075,-0.005,-0.076,-0.132,-0.061,-0.036,-0.025,-0.116,-0.087,-0.151,-0.035,-0.007,-0.007,-0.052,0.012,-0.079,-0.067,-0.02,-0.1,-0.137,0.017,-0.06,0.036,0.014,-0.004,-0.017,-0.033,-0.019,-0.044,-0.001,-0.082,-0.051,0.028,-0.087,-0.034,-0.072,-0.233,-0.133,-0.107,-0.095,0.002,-0.025,0.068,-0.028,-0.068,-0.099,-0.106,-0.06,-0.054,-0.111,-0.053,-0.084,-0.01,-0.091,-0.029,0.028,-0.057,-0.082,-0.063,-0.008,-0.078,-0.002,-0.043,-0.117,0.026,-0.02,0.011,0.022,0.013,0.04,-0.044,-0.031,0.0,0.015,-0.04,-0.007,0.046,-0.045,-0.042,-0.05,-0.165
ctx-lh-callosB,,,-0.079,-0.14,0.006,0.017,-0.072,-0.038,-0.017,-0.084,-0.063,-0.122,-0.064,-0.067,-0.026,-0.087,-0.077,0.044,0.009,0.067,-0.017,0.003,-0.178,-0.18,-0.051,-0.085,-0.054,-0.031,-0.129,0.068,0.102,0.016,0.083,0.049,-0.084,-0.006,-0.036,0.003,-0.115,0.013,-0.117,-0.017,-0.02,-0.192,-0.132,-0.008,-0.105,-0.134,-0.05,-0.027,-0.06,-0.013,-0.07,-0.05,-0.044,-0.142,-0.021,-0.113,0.027,-0.044,0.004,0.026,-0.018,0.048,-0.014,0.057,-0.081,-0.184,-0.109,0.006,-0.1,-0.006,-0.124,0.048,0.054,0.018,0.112,0.047,-0.141,-0.097,-0.084,0.016,-0.131,-0.018,-0.123,0.023,-0.043,-0.046
ctx-lh-callosC,,,,-0.031,0.048,0.069,-0.002,-0.032,-0.009,-0.039,-0.077,-0.036,-0.006,-0.013,-0.081,-0.097,-0.025,0.003,0.05,0.024,-0.07,-0.025,0.014,-0.092,-0.052,-0.063,-0.065,-0.024,-0.068,-0.008,0.056,-0.05,0.002,0.012,0.035,0.007,-0.016,-0.013,0.028,0.051,-0.064,-0.03,-0.071,-0.102,0.015,-0.051,-0.034,-0.081,0.028,0.034,0.007,0.004,-0.031,-0.001,-0.035,-0.006,0.003,-0.0,-0.07,-0.035,-0.035,0.017,0.007,-0.021,-0.055,-0.021,0.008,-0.101,-0.033,-0.022,-0.092,-0.027,-0.079,-0.016,0.003,0.007,0.064,-0.013,-0.043,-0.033,-0.047,0.017,0.009,0.035,-0.026,-0.049,-0.055,-0.005
ctx-lh-callosD,,,,,0.07,0.103,-0.076,0.037,0.006,0.056,-0.093,-0.06,-0.127,-0.045,0.017,-0.111,-0.0,0.04,0.046,0.047,0.019,0.03,-0.01,-0.058,0.042,0.077,-0.134,0.057,-0.034,-0.056,-0.108,-0.083,-0.101,-0.105,0.039,0.087,-0.022,-0.032,-0.054,-0.011,-0.101,-0.034,-0.169,-0.049,0.012,-0.103,-0.059,-0.126,0.067,0.094,-0.038,0.037,-0.057,-0.017,0.014,0.004,-0.098,0.001,0.018,-0.126,-0.0,0.039,0.008,0.029,0.001,-0.002,0.028,-0.054,0.065,-0.006,-0.152,0.02,-0.075,-0.096,-0.112,-0.11,-0.131,-0.081,0.0,0.113,0.024,0.007,0.029,0.026,-0.018,-0.082,-0.056,-0.065
ctx-lh-froB,,,,,,0.075,0.035,-0.018,0.055,-0.023,0.053,0.059,0.122,0.085,0.043,-0.033,0.026,-0.03,0.003,0.015,-0.025,0.026,-0.133,0.038,0.033,0.088,-0.048,-0.043,-0.059,0.038,0.088,0.04,0.07,0.037,0.047,-0.037,0.069,-0.043,0.018,0.046,0.043,0.034,0.02,-0.18,-0.042,-0.048,0.055,0.087,-0.035,0.067,0.12,-0.019,-0.035,-0.066,0.063,0.051,0.002,0.032,0.036,-0.01,-0.036,-0.078,0.03,-0.012,-0.039,-0.027,-0.087,-0.02,-0.02,-0.063,-0.049,-0.03,-0.068,0.058,0.128,0.104,0.108,0.038,-0.021,-0.031,0.059,-0.045,-0.016,0.031,0.033,0.024,-0.035,-0.098
ctx-lh-froC,,,,,,,0.018,0.02,0.0,0.034,0.051,0.045,0.033,0.024,0.069,0.01,0.064,-0.009,-0.028,-0.048,-0.077,0.044,-0.067,0.018,-0.022,0.043,0.014,0.009,-0.065,0.059,0.034,0.042,0.077,0.055,0.072,-0.046,0.025,-0.01,0.052,0.053,-0.009,-0.01,-0.056,-0.153,-0.003,0.005,0.014,0.039,0.002,0.009,-0.003,0.026,-0.012,-0.033,0.066,0.022,-0.026,-0.05,0.071,0.06,0.036,-0.016,0.034,-0.033,-0.052,-0.007,-0.047,0.007,-0.038,0.014,0.017,0.01,-0.038,0.091,0.056,0.075,0.039,0.073,0.078,-0.022,0.053,0.029,-0.013,0.046,-0.004,-0.023,-0.029,-0.121
ctx-lh-froD,,,,,,,,-0.094,-0.07,-0.073,-0.098,-0.06,0.035,-0.091,-0.025,-0.111,-0.047,0.016,0.018,0.011,-0.081,-0.01,-0.093,-0.106,-0.085,-0.049,-0.024,-0.014,-0.047,0.113,0.078,0.026,0.019,0.025,0.001,-0.005,-0.061,-0.058,-0.065,0.025,-0.061,-0.029,-0.114,-0.189,0.047,-0.048,0.016,-0.037,0.039,0.047,-0.018,-0.031,-0.045,-0.073,-0.011,-0.031,0.078,-0.073,-0.044,-0.066,-0.048,0.001,-0.023,-0.04,-0.096,-0.088,-0.065,-0.127,-0.046,0.023,-0.063,-0.001,-0.051,0.107,0.019,0.071,0.083,0.007,-0.021,-0.054,-0.067,-0.019,-0.016,0.041,-0.042,-0.06,-0.058,-0.037
ctx-lh-froinf,,,,,,,,,0.021,0.05,-0.062,-0.043,-0.033,0.009,-0.019,-0.051,-0.061,-0.089,-0.11,-0.092,-0.09,-0.044,-0.164,-0.039,-0.041,-0.014,-0.074,-0.032,-0.134,0.011,0.044,-0.005,0.022,-0.013,0.023,-0.073,-0.009,-0.137,0.027,-0.002,-0.038,-0.093,-0.043,-0.153,-0.105,-0.079,-0.065,0.027,-0.073,0.062,-0.023,0.032,-0.037,0.005,0.042,0.02,-0.066,-0.002,-0.021,-0.043,-0.103,-0.121,-0.072,-0.053,-0.051,-0.033,-0.13,-0.021,-0.054,-0.072,-0.103,-0.018,-0.106,-0.0,0.031,-0.004,0.036,-0.004,0.017,-0.051,-0.001,-0.084,0.011,-0.01,-0.025,-0.073,-0.065,-0.115
ctx-lh-froint,,,,,,,,,,0.005,-0.008,-0.001,-0.049,0.034,0.013,-0.066,-0.037,-0.039,-0.06,0.0,-0.014,-0.021,-0.121,0.006,-0.057,0.062,-0.036,-0.002,-0.04,0.023,0.007,0.008,-0.001,-0.025,0.029,-0.05,0.011,-0.062,0.034,0.037,-0.018,-0.07,-0.013,-0.19,-0.028,-0.045,-0.032,0.059,-0.02,0.097,0.018,0.043,-0.02,-0.032,0.069,0.038,-0.091,0.035,0.005,-0.037,-0.062,-0.064,-0.026,-0.015,-0.037,-0.035,-0.078,0.029,-0.035,-0.058,-0.088,-0.03,-0.043,0.032,0.026,0.022,0.036,-0.017,0.007,-0.043,0.015,-0.043,0.01,0.02,0.002,-0.095,0.02,-0.096
ctx-lh-frointB,,,,,,,,,,,-0.025,0.037,-0.028,0.006,-0.031,-0.097,-0.107,-0.102,-0.141,-0.073,-0.063,-0.078,-0.163,-0.002,-0.056,-0.054,-0.111,-0.104,-0.093,-0.012,0.019,-0.055,-0.041,-0.061,0.017,-0.058,0.017,-0.114,0.006,-0.008,0.056,-0.095,0.001,-0.132,-0.134,-0.156,-0.033,0.032,-0.116,0.054,-0.043,-0.046,-0.126,-0.115,0.015,0.076,-0.139,-0.034,-0.059,-0.081,-0.13,-0.19,-0.118,-0.07,-0.045,-0.049,-0.131,0.014,-0.08,-0.183,-0.142,-0.127,-0.108,-0.01,-0.019,-0.018,0.034,-0.095,-0.005,-0.081,0.01,-0.129,-0.032,-0.024,0.029,-0.052,-0.074,-0.048
