,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.051,0.073,0.043,-0.007,0.014,-0.015,0.089,0.014,-0.093,-0.09,-0.05,0.008,0.019,0.049,-0.03,-0.074,0.016,0.044,-0.052,0.05,0.083,0.012,-0.056,0.135,0.025,-0.069,-0.04,-0.035,-0.089,0.029,0.025,-0.055,-0.117
ctx-lh-frontal,,,0.014,0.1,0.15,0.182,0.077,0.139,0.037,0.0,0.001,-0.022,0.099,0.123,0.037,0.104,-0.101,0.037,-0.075,-0.063,0.142,0.2,0.217,0.067,0.212,0.078,0.027,0.054,-0.061,-0.051,0.126,0.012,0.1,-0.115
ctx-lh-inter_precentral,,,,0.012,0.074,0.103,0.015,0.136,0.069,0.017,-0.046,-0.116,0.123,0.043,0.042,0.017,-0.151,0.007,-0.065,-0.186,0.042,0.108,0.144,-0.005,0.187,0.163,0.024,-0.042,-0.17,-0.02,0.082,0.038,0.059,-0.135
ctx-lh-precentral,,,,,-0.186,-0.011,0.07,0.133,0.102,0.118,-0.02,-0.007,0.071,-0.003,-0.058,-0.053,0.116,0.058,0.143,0.108,-0.137,-0.183,0.008,0.094,0.109,0.126,0.129,-0.056,-0.108,-0.043,0.132,-0.005,-0.026,0.135
ctx-lh-postcentral,,,,,,-0.187,0.05,0.101,0.101,0.071,-0.005,0.017,0.072,-0.03,-0.034,-0.089,0.153,-0.02,0.2,0.143,-0.158,-0.187,-0.131,0.056,0.091,0.13,0.064,-0.056,-0.088,-0.037,0.089,0.019,-0.057,0.15
ctx-lh-inter_postcentral,,,,,,,-0.051,0.091,0.106,0.105,-0.002,0.012,0.077,0.011,0.045,-0.073,0.163,0.036,0.169,0.136,0.019,-0.152,-0.122,-0.071,0.072,0.147,0.09,0.016,-0.082,0.067,0.163,0.048,-0.017,0.15
ctx-lh-parietal,,,,,,,,0.158,0.105,0.021,0.008,-0.004,0.076,0.002,0.014,0.015,0.011,-0.008,0.049,0.055,0.044,0.121,0.028,0.043,0.184,0.145,0.058,0.096,-0.083,0.009,0.1,-0.044,0.113,0.034
ctx-lh-visuopsychic,,,,,,,,,0.126,0.157,0.021,0.11,0.128,0.137,0.074,0.08,0.133,0.119,0.18,0.173,0.121,0.121,0.087,0.087,-0.044,0.106,0.182,0.041,0.076,0.109,0.19,0.101,0.11,0.106
ctx-lh-visuosensory,,,,,,,,,,0.082,0.036,0.055,0.086,0.042,0.06,0.002,0.098,0.031,0.069,0.101,0.112,0.12,0.073,0.043,0.16,0.032,0.126,0.057,0.027,0.11,0.105,0.08,0.042,0.07
ctx-lh-temporal,,,,,,,,,,,-0.054,-0.021,0.18,-0.038,0.012,0.032,-0.071,-0.087,-0.003,-0.013,0.094,0.134,0.153,0.01,0.195,0.153,-0.038,-0.018,-0.064,0.053,0.004,0.028,0.089,-0.068
ctx-lh-audiopsychic,,,,,,,,,,,,-0.168,0.121,-0.129,-0.041,-0.079,0.035,-0.102,0.03,-0.041,-0.029,-0.031,-0.049,-0.009,0.007,0.095,-0.103,-0.299,-0.213,0.007,-0.021,0.036,-0.034,0.014
ctx-lh-audiosensory,,,,,,,,,,,,,0.113,-0.094,-0.133,-0.045,0.004,-0.118,0.017,-0.088,-0.017,-0.005,0.03,-0.031,0.1,0.107,-0.037,-0.076,-0.241,0.001,-0.062,-0.009,-0.012,-0.004
ctx-lh-olfactory,,,,,,,,,,,,,,0.071,0.033,0.094,0.098,-0.04,0.097,0.118,-0.023,0.036,0.115,0.054,0.135,0.145,0.139,0.104,0.107,-0.047,0.094,0.082,0.092,0.077
ctx-lh-limbicA,,,,,,,,,,,,,,,0.018,-0.025,-0.079,-0.034,0.084,-0.083,-0.018,0.038,0.023,0.001,0.183,0.066,-0.033,-0.017,-0.128,-0.084,-0.112,-0.101,-0.033,-0.12
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.017,-0.031,-0.001,0.029,-0.066,-0.062,-0.006,0.011,-0.041,0.103,0.065,0.048,0.007,-0.051,-0.09,-0.012,-0.093,-0.012,-0.085
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.011,-0.04,0.104,-0.027,-0.077,-0.017,-0.035,0.014,0.12,0.031,0.049,0.028,-0.061,-0.034,0.009,-0.072,-0.032,-0.032
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.093,-0.103,-0.129,0.134,0.091,0.23,0.056,0.166,0.117,-0.012,0.039,-0.025,-0.017,0.023,0.021,0.042,-0.079
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.042,-0.034,0.044,0.045,0.018,-0.019,0.132,0.041,-0.104,-0.086,-0.095,-0.115,-0.089,0.014,-0.12,-0.127
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,0.004,0.137,0.198,0.179,0.092,0.186,0.09,0.05,0.033,-0.031,-0.042,0.132,0.119,0.073,-0.089
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.127,0.137,0.185,0.094,0.164,0.142,0.026,-0.002,-0.153,0.013,0.014,0.046,0.032,-0.098
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.248,-0.009,0.04,0.095,0.142,0.064,-0.094,-0.136,-0.063,0.079,0.024,-0.071,0.126
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.16,0.107,0.123,0.145,0.125,-0.008,-0.071,0.01,0.098,-0.009,-0.006,0.138
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.083,0.129,0.168,-0.017,-0.092,0.051,0.134,0.078,-0.005,0.222
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.075,0.075,0.027,-0.102,-0.001,0.125,-0.047,0.064,0.083
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,0.184,0.03,0.087,0.114,0.211,0.1,0.131,0.138
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.081,0.068,0.115,0.128,0.053,0.06,0.141
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015,0.02,0.038,0.006,0.043,0.06,-0.04
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.111,0.007,0.035,0.07,0.026,0.04
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,-0.106,-0.022,-0.03,-0.059
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.111,-0.065,0.012,0.032
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.086,0.02,-0.073
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.064,-0.058
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
