,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.011,-0.048,-0.025,-0.085,-0.106,-0.048,-0.128,-0.109,-0.095,-0.068,-0.024,-0.095,0.003,-0.067,-0.116,-0.107,-0.075,-0.059,-0.1,-0.002,-0.013,0.088,-0.02,-0.1,-0.106,-0.044,-0.035,-0.135,-0.01,-0.021,0.089,-0.004,0.079,0.001,-0.025,-0.065,0.018,-0.036,-0.063,0.037,-0.074,-0.069,-0.097,-0.024,-0.009,0.007,-0.026,-0.071,-0.021,-0.072,-0.013,-0.088,0.026,0.131,-0.21,0.011,0.163,-0.099,0.013,0.047,-0.03,0.033,0.179,-0.087,0.062,0.016,-0.069,-0.192,-0.071,-0.099,-0.004,-0.187,-0.086,0.004,0.03,0.009,-0.049,-0.188,-0.027,0.15,0.07,0.043,0.047,-0.101,-0.045
ctx-lh-FB,,,-0.087,-0.143,-0.137,-0.23,-0.089,0.033,-0.054,-0.071,-0.023,-0.063,0.055,-0.068,-0.138,-0.281,-0.076,0.029,0.054,-0.003,-0.006,-0.073,0.148,-0.103,-0.131,-0.059,-0.062,-0.054,-0.027,-0.074,0.083,-0.134,-0.057,0.065,-0.143,-0.123,0.009,-0.005,-0.008,-0.016,-0.014,-0.09,-0.076,0.031,-0.044,-0.078,0.041,-0.096,-0.133,0.045,-0.066,0.029,0.016,0.102,0.058,-0.095,-0.002,0.005,-0.047,-0.017,0.009,0.035,0.042,0.105,-0.13,0.067,0.108,0.043,-0.126,-0.128,-0.051,0.096,-0.07,-0.009,-0.088,-0.072,-0.05,-0.14,-0.121,0.154,0.138,0.045,0.017,0.075,-0.084,-0.007
ctx-lh-FC,,,,-0.035,-0.062,-0.042,-0.008,0.069,0.013,0.11,0.061,-0.088,0.067,-0.089,-0.249,-0.294,-0.004,0.033,0.138,0.083,-0.123,-0.228,0.187,-0.134,-0.145,-0.142,-0.181,-0.087,-0.072,-0.103,-0.044,-0.086,-0.109,-0.034,-0.186,-0.093,0.083,0.139,-0.062,0.02,-0.009,-0.019,0.023,0.056,-0.018,0.052,0.088,-0.037,0.001,0.043,-0.08,0.088,0.02,0.063,0.023,0.076,0.009,-0.134,-0.246,0.038,0.074,0.097,0.03,-0.037,-0.251,0.051,-0.028,-0.085,-0.182,-0.208,-0.081,0.06,-0.14,0.016,-0.066,-0.088,0.054,-0.166,-0.19,-0.011,-0.012,-0.041,-0.005,-0.017,-0.19,0.07
ctx-lh-FCBm,,,,,-0.051,-0.033,0.017,0.1,-0.028,0.043,-0.053,0.04,0.069,-0.144,-0.145,-0.108,0.016,-0.026,0.129,-0.061,-0.048,-0.014,0.204,0.003,-0.018,0.031,0.013,0.075,0.09,-0.062,0.073,0.04,-0.01,-0.063,-0.093,-0.044,0.061,0.156,0.004,-0.001,-0.007,0.051,0.034,-0.037,-0.006,-0.024,0.124,0.088,-0.085,0.004,-0.032,0.005,0.073,-0.078,-0.012,0.054,-0.102,-0.159,-0.213,0.155,0.068,0.079,0.036,0.099,-0.112,0.047,0.146,0.157,-0.092,-0.037,-0.082,0.095,-0.088,0.01,-0.072,-0.026,0.114,-0.09,-0.118,0.02,0.023,-0.179,-0.161,-0.046,-0.055,-0.012
ctx-lh-FD,,,,,,-0.053,0.175,0.083,0.045,0.12,0.087,0.04,0.025,0.11,-0.114,-0.132,0.23,0.202,0.239,0.131,-0.056,-0.171,0.122,0.048,-0.143,0.026,-0.025,-0.007,-0.014,-0.062,0.034,-0.059,0.101,0.067,-0.086,0.044,0.223,0.133,-0.012,0.109,0.016,0.14,0.165,0.016,0.023,0.026,0.156,0.104,0.08,0.173,0.019,0.142,0.052,0.034,0.021,0.065,0.097,0.007,-0.074,0.162,0.149,0.212,0.001,-0.069,-0.055,0.091,0.076,0.039,-0.016,-0.034,0.03,0.148,-0.053,0.046,-0.007,0.057,0.052,-0.089,-0.137,0.161,-0.017,-0.057,0.032,0.044,-0.035,0.201
ctx-lh-FDdelta,,,,,,,-0.061,0.021,0.0,0.159,0.157,-0.119,0.075,0.22,-0.057,-0.022,0.045,0.078,-0.003,-0.015,-0.07,-0.172,-0.021,-0.051,-0.225,-0.162,-0.175,-0.148,-0.092,-0.215,0.032,-0.19,-0.062,-0.124,-0.063,-0.058,0.107,0.123,-0.038,0.003,0.012,0.142,0.197,-0.018,-0.084,0.002,-0.01,0.052,0.069,-0.014,-0.063,0.064,0.025,0.064,-0.041,0.114,0.146,0.021,0.019,0.011,-0.014,-0.014,-0.046,-0.145,-0.14,-0.017,-0.006,-0.037,-0.114,-0.161,-0.134,-0.051,-0.133,-0.04,-0.111,-0.073,-0.018,-0.077,-0.181,-0.033,-0.064,-0.112,0.023,0.003,-0.032,0.123
ctx-lh-FDT,,,,,,,,0.156,0.099,0.144,-0.028,-0.108,0.039,-0.056,-0.243,0.017,0.062,0.013,0.103,0.094,-0.095,-0.016,0.034,0.159,-0.199,-0.055,-0.054,-0.032,0.046,-0.083,-0.026,-0.066,-0.017,0.023,-0.045,-0.142,-0.122,0.041,-0.068,-0.05,-0.099,-0.118,0.008,0.008,-0.04,0.064,0.129,0.152,-0.023,0.184,0.188,0.188,-0.065,-0.046,0.039,-0.004,-0.03,-0.141,-0.03,0.164,-0.076,0.134,0.014,0.044,0.015,0.003,0.002,0.033,-0.114,-0.082,-0.037,0.064,-0.171,0.026,0.078,0.012,0.039,-0.103,-0.128,-0.013,0.056,-0.074,-0.005,-0.02,-0.062,0.124
ctx-lh-FE,,,,,,,,,-0.039,-0.078,-0.097,-0.028,-0.126,0.002,-0.191,-0.083,0.12,0.005,0.011,0.017,-0.171,-0.257,0.109,-0.03,-0.173,0.003,-0.001,0.004,-0.016,-0.077,-0.078,-0.15,-0.183,0.083,-0.118,-0.061,0.062,0.012,-0.013,-0.064,0.033,-0.087,0.033,-0.087,0.009,0.129,0.216,0.083,0.099,0.264,-0.043,0.108,-0.023,-0.135,-0.063,-0.031,-0.075,-0.015,-0.111,0.146,0.177,0.175,0.054,-0.166,-0.149,0.136,-0.02,-0.157,-0.083,-0.174,0.034,0.034,-0.127,0.006,-0.084,-0.148,0.028,-0.011,-0.161,0.084,0.085,0.043,-0.023,-0.051,-0.103,-0.003
ctx-lh-FF,,,,,,,,,,-0.031,-0.148,0.021,0.089,-0.074,-0.086,-0.028,0.106,0.126,0.046,-0.005,-0.005,-0.111,0.066,0.033,-0.035,-0.024,-0.083,-0.113,0.023,-0.001,0.015,-0.106,-0.006,-0.02,0.091,-0.117,0.031,0.015,-0.014,0.013,-0.059,-0.138,0.031,-0.072,-0.089,0.009,0.171,0.112,0.222,0.212,0.013,-0.002,-0.09,-0.039,-0.122,0.051,-0.066,0.114,-0.039,0.088,0.097,0.026,0.066,-0.062,0.129,-0.012,0.088,-0.062,0.002,-0.016,-0.065,0.089,-0.083,-0.045,-0.091,-0.062,0.01,0.044,-0.124,0.082,0.104,0.098,-0.068,0.02,-0.177,0.071
ctx-lh-FG,,,,,,,,,,,-0.036,0.102,-0.028,-0.046,0.025,-0.092,0.01,-0.031,0.045,-0.109,0.001,0.001,0.047,-0.007,-0.015,-0.061,0.027,0.052,-0.013,0.024,-0.038,-0.061,-0.038,-0.019,0.084,-0.116,0.012,0.038,-0.063,-0.091,-0.02,-0.062,0.049,-0.059,-0.063,0.092,0.05,0.074,0.067,0.047,-0.001,0.022,-0.096,0.002,0.049,0.071,0.07,0.107,-0.106,0.121,0.086,0.103,-0.027,0.017,0.121,0.029,-0.074,-0.133,0.043,-0.025,0.074,0.042,-0.093,0.071,-0.009,-0.003,-0.028,-0.004,-0.083,0.072,0.076,-0.047,-0.059,0.023,-0.101,0.082
